{' Yes': -0.0062188194, 'Yes': -5.4882436, ' Generally': -6.715779, ' No': -8.289528, ' A': -8.50017}
{' Yes': -0.6707474, ' No': -1.1189094, '\n': -3.1564517, ' M': -3.2151904, 'No': -3.8219485}
{' Yes': -0.00492488, 'Yes': -5.855566, ' Generally': -6.74975, ' A': -8.224123, ' It': -8.9595585}
{' Yes': -0.005731568, 'Yes': -5.900352, ' Generally': -6.36726, ' A': -7.563022, ' It': -8.404191}
{' Yes': -0.11527423, ' No': -2.7643278, ' Generally': -3.6858575, ' Frog': -5.1120925, 'Yes': -5.12235}
{' Yes': -0.03918141, ' No': -4.027888, ' Generally': -4.8404794, 'Yes': -5.3197713, ' Frog': -5.4389462}
{' Yes': -0.027043628, 'Yes': -4.2243643, ' Generally': -4.8739195, ' It': -6.5866976, ' A': -7.2923}
{' Yes': -0.027504615, 'Yes': -4.0919633, ' Generally': -5.0321393, ' It': -6.557093, ' No': -7.7069526}
{' Yes': -0.13478296, ' No': -2.8651466, ' Generally': -3.641424, 'Yes': -3.9523811, 'No': -5.1514835}
{' Yes': -0.1959841, ' No': -2.13908, ' Generally': -4.095669, 'Yes': -4.4513016, ' It': -4.6008377}
{' Yes': -0.019214863, 'Yes': -4.302538, '\n': -5.893417, ' ': -7.159689, ' Generally': -7.222563}
{' Yes': -0.018610591, 'Yes': -4.2554097, '\n': -6.2432733, ' ': -7.3166943, ' Generally': -7.3535786}
{' Yes': -0.7545496, ' No': -0.90651006, '\n': -3.2263267, 'No': -3.4763267, 'Yes': -4.3155675}
{' Yes': -0.14519948, ' No': -2.475745, 'Yes': -4.1892724, '\n': -4.6633363, ' Generally': -5.227019}
{' Yes': -0.0154726105, 'Yes': -4.7776966, ' Generally': -5.3948402, ' A': -7.2299075, ' It': -7.3114033}
{' Yes': -0.011106392, 'Yes': -4.98571, ' Generally': -5.9124236, ' A': -7.19036, ' It': -8.319269}
{' Yes': -0.11836131, ' No': -3.0541272, ' Generally': -3.3143432, 'Yes': -4.401187, ' Frog': -5.5860085}
{' Yes': -0.23488463, ' No': -1.9930594, ' Generally': -3.9347, 'Yes': -4.2029457, ' Frog': -4.3955555}
{' Yes': -0.11127067, 'Yes': -3.4401224, ' No': -3.7408884, '\n': -4.028465, ' Generally': -4.618688}
{' Yes': -0.06477184, 'Yes': -3.7153378, '\n': -4.2225685, ' Generally': -5.0092106, ' No': -5.4395447}
{' Yes': -0.16038522, ' No': -3.0325794, 'Yes': -3.1755257, '\n': -3.5787275, ' Generally': -4.8261495}
{' Yes': -0.07758645, 'Yes': -3.7636878, ' No': -3.8263218, '\n': -5.0096703, ' Frog': -5.1796646}
{' Yes': -0.022735152, 'Yes': -4.202497, ' Generally': -5.604461, '\n': -6.9915977, ' ': -7.2610474}
{' Yes': -0.02584004, 'Yes': -4.100438, ' Generally': -5.586175, '\n': -6.3414774, ' A': -6.8462043}
{' Yes': -0.06987761, 'Yes': -3.6709175, ' Generally': -4.2379875, ' No': -4.341415, '\n': -5.8518353}
{' Yes': -0.048896994, 'Yes': -4.21793, ' No': -4.5385094, ' Generally': -4.8184013, ' Frog': -5.0928}
{' Yes': -0.0036999679, 'Yes': -5.8703513, ' yes': -7.3837423, '\n': -9.263929, ' ': -9.26455}
{' Yes': -0.0037438825, 'Yes': -5.9136763, ' yes': -7.602765, ' No': -8.100232, '\n': -8.939565}
{' Yes': -0.061875235, ' No': -2.9135215, 'Yes': -5.805754, '\n': -6.462687, ' yes': -7.663878}
{' Yes': -0.085782945, ' No': -2.550127, 'Yes': -5.8862834, 'No': -7.8228264, '\n': -7.844778}
{' Yes': -0.025609294, 'Yes': -4.13227, '\n': -5.17208, ' ': -6.5772853, ' yes': -7.3784933}
{' Yes': -0.025133595, 'Yes': -4.237974, '\n': -5.0533624, ' ': -6.709404, ' No': -7.237122}
{' No': -0.5748604, ' Yes': -0.9964151, 'No': -3.4268768, '\n': -4.199168, 'Yes': -4.7457147}
{' Yes': -0.06946938, ' No': -3.2513733, 'Yes': -4.0521603, '\n': -5.9477897, 'No': -6.1135955}
{' Yes': -0.11431271, '\n': -2.5526922, 'Yes': -3.9136138, ' ': -4.92662, ' yes': -6.7062793}
{' Yes': -0.12584727, '\n': -2.4295087, 'Yes': -3.8969615, ' ': -4.992411, ' yes': -6.807432}
{' No': -0.74498874, '\n': -1.2889627, ' Yes': -1.57603, 'No': -3.9347641, ' ': -4.2546496}
{' Yes': -0.19777972, '\n': -2.0617037, ' No': -3.8825827, 'Yes': -3.9413993, ' ': -4.862635}
{' Yes': -0.003321221, 'Yes': -5.954241, ' yes': -8.181488, ' ': -8.590446, '\n': -8.805256}
{' Yes': -0.0029853028, 'Yes': -5.9755135, ' yes': -8.312973, ' No': -9.570732, ' ': -9.921904}
{' Yes': -0.16152492, ' No': -1.9550829, 'Yes': -5.4046335, 'No': -6.476508, '\n': -7.6641498}
{' Yes': -0.015033354, ' No': -4.777578, 'Yes': -5.193334, ' yes': -8.40263, ' Frog': -8.718841}
{' Yes': -0.2102268, 'Yes': -2.2717216, '\n': -2.9256732, ' No': -4.4322515, ' ': -4.516526}
{' Yes': -0.16298534, 'Yes': -2.6574786, '\n': -3.1317332, ' No': -4.3055058, ' ': -4.6819477}
{' No': -0.49068624, ' Yes': -1.9128473, 'No': -2.2937105, '\n': -2.329872, 'Yes': -4.081833}
{' Yes': -0.3596631, ' No': -2.1124954, 'Yes': -2.8148594, '\n': -2.8948689, ' Frog': -3.6662102}
{' Yes': -0.016455023, 'Yes': -4.6228466, ' yes': -5.64867, '\n': -6.614534, ' ': -6.779772}
{' Yes': -0.013508583, 'Yes': -4.842709, ' yes': -5.7394834, '\n': -7.074888, ' ': -7.260422}
{' Yes': -0.119845875, ' No': -2.722171, 'Yes': -4.0276256, '\n': -4.8466344, ' ': -5.2911215}
{' Yes': -0.043760028, ' No': -4.2048016, 'Yes': -4.3332515, ' yes': -5.413551, ' Frog': -5.9725337}
{' Yes': -0.028739033, 'Yes': -3.7217567, ' yes': -6.269562, ' A': -7.4764304, ' No': -7.5320144}
{' Yes': -0.03835417, 'Yes': -3.5270875, ' A': -6.214551, ' No': -6.4143248, ' yes': -6.4755163}
{' Yes': -0.5198599, ' No': -1.287194, 'No': -3.0049784, 'Yes': -3.4293673, ' Generally': -4.3952813}
{' Yes': -0.30028468, ' No': -1.8956692, 'Yes': -3.238107, 'No': -3.676242, ' Frog': -4.4341717}
{' Yes': -0.04095783, 'Yes': -3.279672, ' No': -6.774278, ' yes': -7.1488714, 'No': -8.663619}
{' Yes': -0.06585485, 'Yes': -3.1251142, ' No': -4.178539, 'No': -6.035791, ' yes': -6.727218}
{' Yes': -0.35082173, ' No': -1.6003962, 'No': -3.1611319, 'Yes': -3.4076262, ' Generally': -4.4523535}
{' Yes': -0.24881032, ' No': -2.0489812, 'Yes': -3.0801473, 'No': -3.5104604, ' Generally': -4.9695954}
{' Yes': -0.056662466, 'Yes': -3.0443602, ' No': -5.4572797, ' yes': -6.533335, 'No': -7.225327}
{' Yes': -0.04928151, 'Yes': -3.1948233, ' No': -5.4318304, ' yes': -7.0669484, 'No': -7.3638406}
{' Yes': -0.45832354, ' No': -1.4591742, 'No': -2.7214708, 'Yes': -2.8521564, '\n': -5.937473}
{' Yes': -0.14293124, ' No': -2.690428, 'Yes': -3.0552843, 'No': -4.3786488, ' Generally': -6.7259874}
{' Yes': -0.017386716, 'Yes': -4.12564, ' yes': -7.649493, ' No': -8.229102, ' ': -9.272464}
{' Yes': -0.01453266, 'Yes': -4.418257, ' No': -6.4955215, ' yes': -8.074255, ' Generally': -8.40704}
{' Yes': -0.27102867, ' No': -1.6662503, 'Yes': -3.8908958, 'No': -4.0240808, ' Generally': -4.898901}
{' Yes': -0.119655125, ' No': -2.58707, 'Yes': -3.7564728, 'No': -4.9892855, ' Generally': -5.4510374}
{' Yes': -0.4912054, ' No': -1.8045846, 'Yes': -2.2559588, 'No': -2.3504374, '\n': -5.0169716}
{' Yes': -0.3370907, 'Yes': -2.1693776, ' No': -2.3489544, 'No': -2.9981394, '\n': -5.122127}
{' Yes': -0.643352, 'Yes': -1.828361, ' No': -2.0388122, 'No': -2.0598063, '\n': -4.210401}
{' Yes': -0.35091764, 'Yes': -2.4218576, ' No': -2.4465177, 'No': -3.1468334, ' Frog': -3.3619783}
{' Yes': -0.076771565, 'Yes': -2.8869693, ' yes': -4.506032, ' Frog': -6.237859, '\n': -6.3173184}
{' Yes': -0.07453941, 'Yes': -2.952301, ' yes': -5.095381, ' No': -5.155571, '\n': -6.0818095}
{' Yes': -0.38659754, ' No': -1.9531524, 'No': -2.4627464, 'Yes': -2.5037584, ' Generally': -5.4408636}
{' Yes': -0.6539672, ' No': -1.2938827, 'No': -2.1675744, 'Yes': -2.8722994, ' Frog': -4.0131187}
{' Yes': -0.06294592, ' yes': -2.847328, 'Yes': -6.0628543, 'yes': -8.076395, ' ': -8.615006}
{' Yes': -0.020273453, ' yes': -4.091421, 'Yes': -5.816824, ' ': -8.949259, 'yes': -9.092752}
{' Yes': -0.10921585, ' No': -2.5337915, ' yes': -3.8424885, 'Yes': -6.271117, '\n': -8.534866}
{' Yes': -0.022602055, ' No': -4.4309497, ' yes': -4.7886252, 'Yes': -6.3260474, '\n': -9.094651}
{' Yes': -0.023856739, 'Yes': -4.184713, ' yes': -5.1011534, '\n': -6.87112, ' ': -7.7978673}
{' Yes': -0.025384651, 'Yes': -4.2021804, ' yes': -5.154012, '\n': -6.09363, ' No': -6.9557185}
{' No': -0.102908656, ' Yes': -3.1111407, 'No': -3.1482882, '\n': -5.4153857, ' It': -6.479812}
{' Yes': -0.3879719, ' No': -1.3083478, 'No': -3.9889145, 'Yes': -4.039409, ' yes': -4.8848743}
{' Yes': -0.08981175, '\n': -3.3081381, 'Yes': -3.452141, ' yes': -4.4350286, ' ': -5.7603626}
{' Yes': -0.13730073, '\n': -2.589205, 'Yes': -3.2650776, ' yes': -4.8463154, ' ': -5.401884}
{' No': -0.837543, ' Yes': -1.1587443, '\n': -1.6435027, 'No': -3.4346137, 'Yes': -4.154897}
{' Yes': -0.24491557, ' No': -2.4329, '\n': -2.5888104, 'Yes': -3.4139848, 'No': -4.8313966}
{' Yes': -0.008629454, 'Yes': -5.364512, ' yes': -5.9532857, '\n': -7.6565266, ' ': -8.170095}
{' Yes': -0.007797981, 'Yes': -5.2812796, ' yes': -6.255249, '\n': -8.040884, ' ': -9.008652}
{' Yes': -0.018303858, 'Yes': -4.855859, ' No': -5.239833, ' yes': -6.3182583, ' Generally': -6.641436}
{' Yes': -0.014279293, 'Yes': -4.6539903, ' No': -6.075537, ' yes': -6.7019696, ' Generally': -7.979186}
{' Yes': -0.31665608, 'Yes': -2.2209642, '\n': -2.5632477, ' No': -3.0819964, ' yes': -4.0840807}
{' Yes': -0.5218661, '\n': -1.9338553, ' No': -2.195038, 'Yes': -2.4499476, 'No': -3.3089619}
{' No': -0.48093912, '\n': -1.8934529, 'No': -2.0202096, ' Yes': -2.622207, 'Yes': -4.569072}
{' Yes': -0.34323373, ' No': -2.1376195, 'Yes': -2.7665355, '\n': -2.9071355, 'No': -3.742312}
{' Yes': -0.11524446, ' yes': -2.3597856, 'Yes': -4.5978265, '\n': -6.1532984, 'yes': -6.7904086}
{' Yes': -0.09204041, ' yes': -2.5832324, 'Yes': -4.74014, '\n': -6.3107624, ' ': -7.255585}
{' Yes': -0.17066574, ' yes': -2.1099186, 'Yes': -4.086305, ' No': -4.659681, '\n': -5.4733143}
{' Yes': -0.11213737, ' yes': -2.4937751, 'Yes': -4.2388577, ' No': -6.052558, '\n': -6.201975}
{' Yes': -0.0037927027, 'Yes': -6.102219, ' yes': -7.3985777, '\n': -7.449614, ' ': -8.323933}
{' Yes': -0.0035482596, 'Yes': -6.136204, ' yes': -7.555992, '\n': -7.5798316, ' ': -8.6056595}
{' Yes': -0.056951344, ' No': -3.0727365, '\n': -5.5007854, 'Yes': -5.8751597, ' ': -7.0177894}
{' Yes': -0.020046782, ' No': -4.4161363, '\n': -5.755364, 'Yes': -6.0947666, ' Generally': -7.2029576}
{' Yes': -0.08960286, '\n': -2.847671, 'Yes': -4.1650457, ' ': -4.6255393, ' yes': -7.221718}
{' Yes': -0.07169715, '\n': -3.1303172, 'Yes': -4.1954284, ' ': -5.094711, ' Generally': -7.1228437}
{' Yes': -0.95563465, ' No': -0.9880099, '\n': -1.6446606, 'No': -3.8172204, ' ': -4.356733}
{' Yes': -0.38454416, '\n': -1.874456, ' No': -2.0674684, 'Yes': -4.236231, ' ': -4.7923584}
{' Yes': -0.100321375, '\n': -2.737225, 'Yes': -4.2552934, ' ': -4.6603513, ' No': -5.504145}
{' Yes': -0.10100006, '\n': -2.7063103, 'Yes': -4.1042123, ' ': -4.864519, ' No': -6.042509}
{' No': -0.4942307, '\n': -1.3201984, ' Yes': -2.5226157, ' ': -3.9473672, 'No': -4.1342797}
{' Yes': -0.4053434, '\n': -1.6622556, ' No': -2.2630074, ' ': -4.26074, 'Yes': -4.644786}
{' Yes': -0.014907749, '\n': -4.9202914, ' ': -5.657509, 'Yes': -5.6905665, ' yes': -8.044592}
{' Yes': -0.012074563, '\n': -5.219331, 'Yes': -5.634279, ' ': -6.2071943, ' yes': -7.839143}
{' Yes': -0.03929857, '\n': -3.9530058, ' No': -4.978435, 'Yes': -5.1146593, ' ': -5.328574}
{' Yes': -0.03832388, '\n': -4.2174463, ' No': -4.5857024, 'Yes': -5.0605154, ' ': -5.848697}
{' Yes': -0.12816441, ' No': -3.103121, 'Yes': -3.3319874, '\n': -3.6642535, ' ': -4.9525867}
{' Yes': -0.30720747, ' No': -1.9705738, '\n': -2.764006, 'Yes': -3.656107, ' ': -4.1774583}
{' No': -0.12593421, ' Yes': -2.961141, 'No': -3.2844844, '\n': -3.8831534, ' ': -5.2425265}
{' Yes': -0.2170297, ' No': -2.5138474, '\n': -2.6410964, 'Yes': -4.07777, ' ': -4.471819}
{' Yes': -0.025314715, 'Yes': -4.8079376, '\n': -5.0842056, ' ': -5.2363763, ' yes': -5.427111}
{' Yes': -0.03655804, '\n': -4.3840995, 'Yes': -4.8094153, ' ': -4.9961777, ' yes': -5.520603}
{' Yes': -0.087708555, ' No': -3.1470213, 'Yes': -4.4028325, '\n': -4.599789, ' ': -5.1966047}
{' Yes': -0.0740398, ' No': -3.507765, 'Yes': -4.586354, '\n': -4.6499786, ' ': -5.1355515}
{' No': -0.033692278, 'No': -3.8942971, ' A': -5.729184, ' Generally': -5.794106, ' It': -6.1689606}
{' No': -0.15668948, ' Yes': -2.501212, ' A': -3.4574919, 'No': -4.403674, ' Generally': -4.46633}
{' No': -0.04005988, 'No': -3.7369876, ' Generally': -5.2303143, ' It': -5.789542, ' Frog': -5.8134894}
{' No': -0.15002538, ' Frog': -3.0237358, ' Yes': -3.4343803, ' Generally': -3.5594091, 'No': -4.135455}
{' No': -0.13800089, 'No': -2.7159944, ' Generally': -3.8401794, ' It': -3.994145, ' Yes': -4.627299}
{' No': -0.1564814, 'No': -2.8474736, ' Yes': -2.9712987, ' Generally': -4.0478787, ' It': -4.8836713}
{' No': -0.11301798, 'No': -2.386646, ' Generally': -5.1732464, ' It': -6.072644, ' Frog': -6.2763586}
{' No': -0.10686163, 'No': -2.6097379, ' Generally': -4.818529, ' Frog': -5.048178, ' It': -5.349505}
{' No': -0.09990158, 'No': -2.6483042, '\n': -4.3141174, ' It': -5.838274, ' ': -6.038162}
{' No': -0.1033508, 'No': -2.884271, ' Yes': -3.8622677, '\n': -4.4380713, ' A': -6.154086}
{' No': -0.11749858, 'No': -2.6081107, '\n': -3.8497775, ' ': -5.2822075, ' Frog': -5.409256}
{' No': -0.10508949, 'No': -3.2060757, ' Yes': -3.8695621, ' Frog': -4.389057, '\n': -4.5777855}
{' No': -0.07955821, 'No': -2.9758976, ' Generally': -4.6925073, ' A': -4.9995656, ' It': -5.258841}
{' No': -0.36755693, ' Yes': -2.149997, ' A': -2.4403489, 'No': -3.1682067, ' Generally': -3.3002732}
{' No': -0.0909766, 'No': -2.5146024, ' Generally': -5.8906803, ' Frog': -6.567749, ' It': -7.226604}
{' No': -0.07802262, 'No': -2.831877, ' Frog': -4.833428, ' Generally': -5.560282, ' It': -6.7563763}
{' No': -0.16633607, 'No': -2.1453817, '\n': -4.011711, ' Generally': -5.4231415, ' ': -5.534732}
{' No': -0.1690667, 'No': -2.4858086, '\n': -3.9092116, ' Generally': -4.279784, ' Yes': -4.366285}
{' No': -0.17675017, 'No': -2.1991558, '\n': -3.6007745, ' ': -5.0930343, ' Frog': -5.3786054}
{' No': -0.174916, 'No': -2.701989, ' Yes': -3.5263371, ' Frog': -3.9132695, '\n': -4.6962667}
{' No': -0.14955187, 'No': -2.533358, ' Generally': -3.7960725, ' A': -4.746989, ' Yes': -4.880232}
{' No': -0.21822, 'No': -2.858265, ' Yes': -3.0955849, ' Generally': -3.3123286, ' A': -3.5076847}
{' No': -0.15964489, 'No': -2.1836853, ' Generally': -4.642458, ' Frog': -4.9706664, '\n': -5.3969383}
{' No': -0.17002027, 'No': -2.7875643, ' Frog': -3.3849308, ' Yes': -3.6923268, ' Generally': -4.0765505}
{' No': -0.0064228186, 'No': -5.1802335, ' ': -8.538334, '\n': -8.602421, ' It': -8.624275}
{' No': -0.016366139, ' Yes': -4.636035, 'No': -5.258603, ' A': -7.3831053, ' It': -8.463799}
{' No': -0.012367321, 'No': -4.685444, '\n': -6.3456745, ' Yes': -7.67521, ' ': -8.095662}
{' No': -0.036445774, ' Yes': -3.559063, 'No': -5.1349907, '\n': -7.6056437, ' Frog': -7.9783306}
{' No': -0.0885139, 'No': -2.6593566, '\n': -4.687965, ' ': -6.1286783, ' It': -6.6698694}
{' No': -0.075000525, 'No': -3.0596046, '\n': -4.214878, ' A': -5.3472304, ' ': -5.906908}
{' No': -0.061364792, 'No': -3.1953006, '\n': -4.3816466, ' ': -5.935926, ' Frog': -6.3344436}
{' No': -0.07311836, 'No': -2.862154, '\n': -5.5809817, ' Frog': -5.6643314, ' Yes': -5.9989448}
{' No': -0.247912, '\n': -1.8385816, 'No': -3.033602, ' ': -4.6599584, ' A': -6.4868646}
{' No': -0.2392224, '\n': -1.8393544, 'No': -3.1895967, ' ': -4.7397256, ' A': -6.213753}
{' No': -0.5866904, '\n': -0.9344362, 'No': -3.4759915, ' ': -4.0910807, ' Frog': -6.8192344}
{' No': -0.50027716, '\n': -1.0837027, 'No': -3.4462383, ' ': -4.2248654, ' Frog': -5.459727}
{' No': -0.0136087565, 'No': -4.3762913, ' A': -7.890148, ' ': -8.096924, '\n': -9.113142}
{' No': -0.01379469, 'No': -4.507523, ' A': -6.3099084, ' Yes': -7.9962697, ' ': -8.475204}
{' No': -0.022210546, 'No': -3.9434483, ' Frog': -7.3390775, '\n': -7.460103, ' It': -7.7342997}
{' No': -0.029567681, 'No': -3.8486001, ' Frog': -5.4980507, ' Yes': -6.566257, ' Generally': -7.43132}
{' No': -0.28457105, 'No': -1.6864017, '\n': -2.986914, ' ': -4.773682, ' A': -6.3573337}
{' No': -0.24543837, 'No': -1.8588703, '\n': -3.1785095, ' A': -4.727259, ' ': -4.869799}
{' No': -0.19942291, 'No': -2.0965233, '\n': -3.059288, ' ': -4.9037304, ' Frog': -6.370737}
{' No': -0.26746923, 'No': -2.1200235, '\n': -2.7544496, ' Frog': -3.6079497, ' ': -4.417682}
{' No': -0.0623383, 'No': -3.233078, ' A': -4.951487, '\n': -5.568063, ' ': -5.6522355}
{' No': -0.15901203, ' Yes': -2.9482844, ' A': -3.0687563, 'No': -3.6366007, '\n': -5.023632}
{' No': -0.08740811, 'No': -2.8440263, '\n': -4.5270057, ' Frog': -5.156051, ' ': -5.2213316}
{' No': -0.11197296, 'No': -3.2256682, ' Frog': -3.5231037, ' Yes': -4.2016487, '\n': -5.153576}
{' No': -0.11489163, 'No': -2.2536817, ' A': -6.573216, ' ': -7.759488, ' Generally': -7.790276}
{' No': -0.15274166, 'No': -2.2293806, ' Yes': -4.2921896, ' A': -4.3536196, ' Generally': -6.15243}
{' No': -0.16901207, 'No': -1.9618683, '\n': -5.6731143, ' Frog': -5.8299155, ' Generally': -6.325599}
{' No': -0.17363274, 'No': -1.9714881, ' Yes': -5.4057426, ' Frog': -5.444812, '\n': -5.8184185}
{' No': -0.15205376, 'No': -1.9607389, ' ': -9.160765, '\n': -9.92118, ' no': -10.214786}
{' No': -0.11501159, 'No': -2.2241101, ' ': -9.096979, ' Yes': -9.1019535, ' Generally': -10.051942}
{' No': -0.2141071, 'No': -1.6594347, ' Generally': -7.2108836, ' It': -7.8104525, ' Frog': -7.9880767}
{' No': -0.19561443, 'No': -1.7609029, ' Yes': -5.955647, ' Generally': -6.6656284, ' Frog': -7.323517}
{' No': -0.15817049, 'No': -1.9405383, '\n': -6.412702, ' ': -7.684836, ' Yes': -9.138801}
{' No': -0.16945484, 'No': -1.9662133, ' Yes': -4.6543427, '\n': -5.792704, 'Yes': -7.1475616}
{' No': -0.19416134, 'No': -1.7671232, '\n': -6.3029504, ' ': -6.57608, ' Generally': -7.906965}
{' No': -0.15887982, 'No': -2.0205016, ' Yes': -4.7795577, ' Frog': -6.1797457, 'Yes': -7.1424065}
{' No': -0.073486306, 'No': -2.653898, ' ': -8.436905, ' A': -10.080492, ' no': -10.175836}
{' No': -0.054816306, 'No': -2.9432075, ' A': -8.513504, ' ': -8.719976, ' Generally': -9.659337}
{' No': -0.12063047, 'No': -2.1946623, ' Generally': -6.8838267, ' Frog': -8.1683855, ' ': -8.352614}
{' No': -0.07469116, 'No': -2.669965, ' Generally': -6.7908635, ' Frog': -7.559112, ' Yes': -7.7481675}
{' No': -0.52583474, 'No': -0.9341409, '\n': -4.720836, ' Frog': -5.9088984, ' ': -6.414858}
{' No': -0.4294987, 'No': -1.1012001, '\n': -5.134823, ' A': -5.7987094, ' Frog': -6.1158614}
{' No': -0.7078021, 'No': -0.7475436, ' Frog': -4.714575, '\n': -4.72962, ' It': -5.595441}
{' No': -0.5560041, 'No': -1.1869951, ' Frog': -2.835478, ' Yes': -3.8090327, ' Generally': -4.5322576}
{' No': -0.2592506, 'No': -1.5885257, ' Frog': -4.2884026, '\n': -4.828144, ' ': -6.9782753}
{' No': -0.17747325, 'No': -1.9629499, ' Frog': -4.4214687, '\n': -5.4262505, ' A': -5.99024}
{' No': -0.46244052, 'No': -1.0056192, ' Frog': -6.329004, '\n': -6.8377566, ' Generally': -7.7531457}
{' No': -0.30479288, 'No': -1.3625588, ' Frog': -5.6099205, ' Yes': -7.285571, ' Generally': -7.530599}
{' No': -0.0043701855, 'No': -6.1722455, ' no': -6.755921, ' ': -7.6078095, ' It': -8.325626}
{' No': -0.0075292005, ' Yes': -5.604226, 'No': -5.9502554, ' no': -7.5465393, ' ': -7.826325}
{' No': -0.0046795625, 'No': -5.6754365, ' no': -7.1927843, '\n': -8.641639, ' ': -8.852821}
{' No': -0.007061003, 'No': -5.5588045, ' Yes': -6.083366, ' no': -8.21311, ' Frog': -8.317769}
{' No': -0.10089291, 'No': -2.447479, '\n': -5.324537, ' It': -6.370287, ' ': -6.42837}
{' No': -0.084149964, 'No': -2.6288393, '\n': -5.23397, ' ': -6.7250624, ' It': -7.6799383}
{' No': -0.070209846, 'No': -2.7772508, '\n': -5.6480346, ' no': -6.904787, ' ': -7.2426357}
{' No': -0.07843448, 'No': -2.6335015, '\n': -6.443781, ' ': -7.398489, ' no': -7.8802834}
{' No': -0.20016906, 'No': -2.4081938, '\n': -2.4760191, ' ': -5.4288216, ' It': -6.9659166}
{' No': -0.30479774, '\n': -1.774097, 'No': -2.4802127, ' ': -5.1040034, ' A': -6.75998}
{' No': -0.33755258, '\n': -1.6071886, 'No': -2.5733142, ' ': -5.0930843, ' Frog': -6.8686643}
{' No': -0.37780076, '\n': -1.7467889, 'No': -2.3097312, ' Frog': -4.2115808, ' Yes': -4.6734514}
{' No': -0.023340879, 'No': -3.9254043, '\n': -6.639927, ' ': -7.4122663, ' A': -7.6488876}
{' No': -0.03080944, 'No': -3.8275564, ' Yes': -5.611926, '\n': -6.1660857, ' A': -6.7339377}
{' No': -0.048444483, 'No': -3.1433692, '\n': -6.14175, ' ': -7.6774974, ' Generally': -7.8508873}
{' No': -0.06587834, 'No': -2.8249857, '\n': -6.63179, ' Generally': -7.166241, ' Frog': -7.24972}
{' No': -0.430676, 'No': -1.3654314, '\n': -2.467032, ' ': -5.1949906, ' no': -6.6077514}
{' No': -0.38827682, 'No': -1.4043787, '\n': -2.6832616, ' ': -5.3973365, ' no': -7.0722127}
{' No': -0.30514568, 'No': -1.8333323, '\n': -2.3779318, ' ': -5.2018247, ' no': -6.4547434}
{' No': -0.33227393, 'No': -1.689772, '\n': -2.5183797, ' ': -5.052676, ' Yes': -6.065152}
{' No': -0.08123734, 'No': -3.241071, ' no': -4.170263, ' It': -4.9693136, '\n': -4.983393}
{' No': -0.10405377, ' Yes': -3.5204413, 'No': -3.7089884, ' A': -4.438679, ' no': -4.6560965}
{' No': -0.115604766, 'No': -2.6734545, '\n': -4.037379, ' no': -4.4685445, ' ': -5.452708}
{' No': -0.12831186, 'No': -2.7501972, ' Frog': -4.4401593, '\n': -4.524054, ' Yes': -4.532595}
{' No': -0.0071764393, 'No': -5.4787354, ' It': -6.8939123, '\n': -7.2615995, ' ': -7.671294}
{' No': -0.033741165, ' Yes': -3.7915208, 'No': -5.5706577, ' A': -5.58859, '\n': -6.8085923}
{' No': -0.013566342, 'No': -5.131789, '\n': -5.187768, ' ': -6.70929, ' Generally': -8.496611}
{' No': -0.013592201, 'No': -5.169241, '\n': -5.9525943, ' ': -6.7429986, ' Frog': -6.7686253}
{' No': -0.15429005, '\n': -2.6219108, 'No': -2.911065, ' ': -4.7055745, ' It': -5.872033}
{' No': -0.13328546, '\n': -2.613342, 'No': -3.2808723, ' ': -4.929704, ' A': -5.750309}
{' No': -0.35342363, '\n': -1.3948207, 'No': -3.3648868, ' ': -4.3848186, ' Frog': -6.712947}
{' No': -0.20354044, '\n': -2.0632606, 'No': -3.1070015, ' ': -4.969358, ' Generally': -6.355806}
{' No': -0.16207969, '\n': -2.3790367, 'No': -3.1733902, ' ': -4.5294576, ' A': -6.149574}
{' No': -0.16786954, '\n': -2.212017, 'No': -3.4242628, ' ': -4.719423, ' A': -6.3024573}
{' No': -0.28665486, '\n': -1.5577404, 'No': -3.871814, ' ': -4.2672076, ' Frog': -6.1752815}
{' No': -0.39077884, '\n': -1.3938345, 'No': -3.7447007, ' ': -3.8903096, ' Frog': -4.197366}
