{' Yes': -0.0025378054, 'Yes': -6.061555, ' yes': -9.673789, '\n': -9.904489, ' Spider': -10.603524}
{' Yes': -0.00063041, 'Yes': -7.632937, ' No': -9.571132, ' yes': -10.831715, ' YES': -10.8527775}
{' Yes': -0.0006270693, 'Yes': -7.4640207, ' yes': -10.453151, ' YES': -11.244559, ' No': -12.288451}
{' Yes': -0.0131358905, ' No': -4.7622256, 'Yes': -5.9037337, ' St': -7.1555734, ' Staples': -8.3247595}
{' Yes': -0.041894317, ' Dagger': -3.9137623, ' No': -4.253242, 'Yes': -5.6618648, ' yes': -6.6864467}
{' Yes': -0.008458306, ' No': -5.0982275, 'Yes': -6.2043905, ' yes': -9.372797, ' YES': -9.83118}
{' Yes': -0.011044375, ' No': -4.650544, 'Yes': -6.6425004, ' yes': -9.976904, ' YES': -10.417204}
{' Yes': -0.0039775977, 'Yes': -6.3168592, ' No': -6.700478, ' Direct': -8.450695, ' Directory': -8.66855}
{' Yes': -0.30009356, ' No': -1.356551, 'Yes': -6.90396, 'No': -7.7994485, ' yes': -9.506054}
{' Yes': -0.020182949, ' No': -4.012773, 'Yes': -6.701545, ' yes': -8.585558, ' YES': -8.878469}
{' Yes': -0.063307546, ' No': -2.8838048, 'Yes': -6.3405204, ' Office': -6.705571, ' Off': -6.945208}
{' Yes': -0.074469864, ' No': -3.4161386, ' Office': -3.877969, ' Off': -4.6579475, 'Yes': -5.753303}
{' No': -0.505216, ' Yes': -0.9515908, ' Behind': -4.9183435, 'No': -6.525984, ' Nope': -7.285081}
{' Yes': -0.013725437, ' No': -4.697216, 'Yes': -5.992863, ' Behind': -7.5780287, ' Nope': -8.970966}
{' Yes': -0.02351746, ' Thread': -3.882297, 'Yes': -6.556602, ' No': -7.265342, ' yes': -8.598688}
{' Yes': -0.2594625, ' Thread': -1.5024453, ' No': -6.6144314, 'Thread': -6.805212, 'Yes': -7.071951}
{' Yes': -0.24952184, ' Issue': -2.477242, ' No': -2.4925923, ' Su': -4.871946, ' Suite': -5.1541553}
{' Yes': -0.053687513, ' No': -3.137355, 'Yes': -5.693038, ' Issue': -6.6121087, ' Sure': -7.02567}
{' Yes': -0.008819756, ' Sure': -5.113708, 'Yes': -6.729486, ' No': -6.7363625, ' yes': -9.327602}
{' Yes': -0.0071358597, ' Sure': -5.686046, ' No': -6.322344, 'Yes': -6.5792046, ' yes': -8.9737625}
{' Yes': -0.21413456, ' No': -1.7407802, ' Fl': -4.6064553, 'Yes': -5.5312905, ' False': -7.0677643}
{' Yes': -0.5875624, ' No': -0.8218401, 'Yes': -6.078296, 'No': -7.30252, ' False': -7.629402}
{' Yes': -0.050141357, ' No': -3.769986, ' Sne': -3.9459887, 'Yes': -5.6808686, ' Sn': -7.2356324}
{' Yes': -0.06654608, ' No': -2.8059237, 'Yes': -6.0047016, ' Sne': -7.3829665, ' Nope': -8.758731}
{' Yes': -0.0022844095, 'Yes': -6.357144, ' Better': -8.183045, ' YES': -9.381026, ' yes': -9.684751}
{' Yes': -0.0029422573, 'Yes': -6.3763413, ' Better': -7.2510753, ' yes': -9.114892, ' No': -9.256227}
{' Yes': -0.0022022072, ' No': -6.526526, 'Yes': -7.321641, ' yes': -10.204141, ' YES': -11.165598}
{' Yes': -0.0139781805, ' No': -4.4865985, ' Purple': -6.437924, 'Yes': -7.1779733, ' yes': -9.4067135}
{' Yes': -0.0077920337, ' Animal': -5.5988865, 'Yes': -5.7439613, ' No': -7.5890636, ' yes': -8.837355}
{' Yes': -0.11593443, ' Animal': -2.3111362, ' No': -5.440683, 'Yes': -5.4562397, ' yes': -7.634234}
{' Hel': -0.012603487, ' Yes': -4.9223533, 'Helper': -6.2249303, ' Help': -6.7389097, ' Helic': -7.2202687}
{' Hel': -0.10967607, ' Yes': -2.3223433, ' Help': -6.235861, 'Helper': -6.39589, ' Helic': -7.6139364}
{' Yes': -0.1435908, ' No': -2.019083, 'Yes': -7.4267173, 'No': -8.366908, ' Nope': -9.731223}
{' Yes': -0.0016130833, 'Yes': -6.678035, ' No': -8.686831, ' yes': -9.385449, ' YES': -10.382802}
{' Yes': -0.0025417497, 'Yes': -6.504479, ' No': -7.0271463, ' Branch': -9.825244, ' yes': -10.180524}
{' Yes': -0.2738378, ' Branch': -1.5257088, 'Yes': -5.0821166, ' Br': -5.2032037, ' No': -5.8120875}
{' Yes': -0.00299457, 'Yes': -6.0633864, ' No': -7.948183, ' Pretty': -9.625992, ' yes': -9.869966}
{' Yes': -0.19333583, ' Pretty': -1.8468164, ' Pre': -4.6252584, 'Yes': -5.6978855, ' No': -6.767726}
{' Yes': -0.6023965, ' No': -0.81181014, ' Ign': -5.5420938, ' Ignore': -6.1260285, ' Nope': -6.628376}
{' No': -0.6934436, ' Yes': -0.71513015, ' Ignore': -5.053932, ' Ign': -5.851004, ' Nope': -7.0629253}
{' Yes': -0.14240481, ' Divide': -2.198664, ' No': -3.9433694, 'Yes': -6.625044, ' Div': -7.4684525}
{' Divide': -0.1449359, ' Yes': -2.1089041, ' Div': -4.635628, ' No': -6.443596, ' Division': -7.598978}
{' Yes': -0.0133613, ' Hammer': -4.4157925, 'Yes': -6.9338984, ' yes': -10.130295, ' YES': -10.2518015}
{' Yes': -0.6103002, ' Hammer': -0.7889101, 'Yes': -7.136347, ' Ham': -7.6555943, 'hammer': -8.220066}
{' Yes': -0.0042608753, 'Yes': -6.3351645, ' Second': -6.357856, ' Absolutely': -8.962669, ' YES': -9.019154}
{' Yes': -0.0031100775, 'Yes': -6.2299385, ' Second': -8.118188, ' YES': -8.679237, ' yes': -8.722706}
{' Yes': -0.39256227, ' No': -1.1363978, 'Yes': -6.322873, 'No': -6.825633, ' Nope': -8.928414}
{' Yes': -0.22762671, ' No': -1.61009, 'Yes': -6.1881213, 'No': -7.3297067, ' Nope': -8.259442}
{' Yes': -0.23748104, ' Ex': -1.5925264, 'Yes': -6.073397, 'Ex': -6.3054852, ' No': -6.7502275}
{' Yes': -0.32255015, ' No': -1.5301557, ' Ex': -2.963837, ' Nope': -6.1308475, 'Yes': -6.6630907}
{' Yes': -0.0007449901, 'Yes': -7.695937, ' Dollar': -8.787362, ' No': -9.639512, ' yes': -10.1564245}
{' Yes': -0.0066806246, ' No': -5.08614, 'Yes': -7.9396105, ' Sure': -10.462239, ' YES': -10.550294}
{' Yes': -0.14117941, ' Planet': -2.0505939, 'Yes': -6.3561425, ' Plane': -7.7438517, 'Planet': -8.483291}
{' Yes': -0.15458192, ' Planet': -1.9806528, 'Yes': -6.175326, ' No': -6.553147, ' Plane': -7.058979}
{' Yes': -0.005030127, 'Yes': -5.8787823, ' No': -6.9522514, ' Car': -7.2733974, ' yes': -8.765336}
{' Yes': -0.005107828, 'Yes': -5.9220676, ' Car': -6.6602116, ' No': -7.427399, ' yes': -8.650605}
{' Yes': -0.0055490453, ' Ass': -5.716418, 'Yes': -6.3010426, ' Absolutely': -9.173885, ' No': -9.546262}
{' Yes': -0.019640949, ' Ass': -4.2267804, 'Yes': -6.0797544, ' No': -6.326184, ' Absolutely': -8.88636}
{' Yes': -1.1288459, ' Circ': -1.1340396, ' No': -1.863467, ' Cir': -2.1437347, ' Circus': -2.5693328}
{' Circ': -0.77293, ' No': -1.347553, ' Cir': -2.0606363, ' Yes': -2.331926, ' Circus': -3.0267367}
{' Yes': -0.0031783034, ' No': -6.3199205, 'Yes': -6.727278, ' yes': -9.601362, ' YES': -10.090654}
{' Yes': -0.0068802773, 'Yes': -5.9214354, ' No': -6.8253293, ' Balloon': -6.840048, ' yes': -7.713355}
{' Yes': -0.0030037144, 'Yes': -6.8909006, ' No': -6.92274, ' Finger': -7.1205525, ' yes': -9.512309}
{' Yes': -0.0058395397, ' No': -6.0187483, ' Finger': -6.2136116, 'Yes': -6.8361955, ' yes': -9.136118}
{' Law': -0.44906393, ' Yes': -1.122175, ' Layer': -4.6530786, 'Law': -5.127826, ' No': -5.1417394}
{' Yes': -0.13531677, ' Law': -2.6636734, ' No': -3.3588667, 'Yes': -5.4620175, ' L': -5.687185}
{' Yes': -0.007185085, ' No': -6.0511336, ' Smooth': -6.0587826, 'Yes': -6.214462, ' Sm': -9.255198}
{' Yes': -0.2255623, ' Smooth': -1.6733161, ' Sm': -5.0658216, ' No': -5.6354876, 'Yes': -5.8900547}
{' Yes': -0.07153561, ' Cancer': -3.4146826, ' No': -3.430552, 'Yes': -6.017306, ' Cance': -7.7872043}
{' No': -0.26016307, ' Yes': -1.4867694, 'No': -6.683512, ' Cancer': -7.5357666, 'Yes': -7.840656}
{' Yes': -0.042950086, ' Sc': -3.3066177, 'Yes': -5.7249393, ' Scar': -7.667891, ' yes': -7.9089804}
{' Yes': -0.122309476, ' Sc': -2.2304447, 'Yes': -5.842743, ' Scar': -6.4139824, ' Scare': -6.5994034}
{' Yes': -0.26304346, ' No': -1.473323, 'Yes': -6.637776, 'No': -7.6748796, ' Nope': -8.680644}
{' Yes': -0.075953946, ' No': -2.6513934, 'Yes': -6.2308803, 'No': -8.519637, ' Nope': -8.640592}
{' Yes': -0.010956327, ' No': -5.335732, ' Ex': -5.5914006, 'Yes': -6.4054585, ' Exc': -9.158618}
{' Yes': -0.09219785, ' No': -3.0356126, ' Ex': -3.3556123, 'Yes': -6.018563, '\n': -7.4899607}
{' Yes': -0.019147966, ' No': -4.028599, 'Yes': -7.0492535, ' Nope': -9.380394, ' yes': -9.576899}
{' Yes': -0.18263796, ' No': -1.7946337, 'Yes': -7.6126285, 'No': -8.852486, ' yes': -10.238388}
{' Yes': -0.10943067, ' No': -2.2918134, 'Yes': -6.4039593, ' Nope': -8.073719, 'No': -8.090647}
{' Yes': -0.108162, ' No': -2.8422658, ' Cowboy': -3.8749332, ' Cow': -4.133642, ' Cowboys': -5.9069533}
{' Yes': -0.020506866, ' Finish': -4.6191816, ' No': -4.9037576, 'Yes': -6.0126905, ' yes': -9.172936}
{' Yes': -0.3088548, ' Finish': -1.397081, ' Fish': -4.911262, 'Yes': -5.438462, ' No': -6.4855967}
{' Yes': -0.02745358, ' No': -3.7394037, 'Yes': -6.306504, ' Puzzle': -7.247184, ' yes': -8.814149}
{' Yes': -0.028184963, ' No': -3.7959538, 'Yes': -6.055927, ' Puzzle': -6.2168593, ' yes': -8.496785}
{' Yes': -0.0010267505, 'Yes': -6.9312577, ' YES': -11.206469, ' yes': -11.282807, ' Repeat': -11.592985}
{' Yes': -0.0023474388, ' Repeat': -6.593959, 'Yes': -7.137161, ' Repe': -9.756591, ' yes': -9.840426}
{' Yes': -0.0008152585, 'Yes': -7.2831845, ' yes': -10.0282755, ' Spider': -10.316628, ' YES': -10.551602}
{' Yes': -0.0006823005, 'Yes': -7.912868, ' No': -8.184272, ' yes': -11.315906, ' YES': -11.5100155}
{' Yes': -0.0016497403, ' No': -7.218318, 'Yes': -7.495601, ' Candle': -8.712413, ' yes': -9.510314}
{' Yes': -0.0018438551, 'Yes': -7.3623495, ' No': -7.5989847, ' Candle': -7.82495, ' Cand': -9.484349}
{' Yes': -0.008588333, ' Thr': -5.810931, ' No': -6.1245246, ' Th': -6.5100126, 'Yes': -6.803587}
{' Yes': -0.0032711076, ' No': -5.9424453, 'Yes': -7.485534, ' yes': -10.177511, '\n': -11.325474}
{' Yes': -0.0068654525, ' No': -5.201638, 'Yes': -7.0350347, ' Beach': -8.4671755, ' yes': -9.265044}
{' Yes': -0.004365456, ' No': -5.5783033, 'Yes': -7.671941, ' yes': -9.868416, ' YES': -10.886176}
{' Yes': -0.00057237793, 'Yes': -8.00789, ' No': -8.419913, ' yes': -11.310876, ' YES': -12.517435}
{' Yes': -0.0042381883, ' No': -5.917484, 'Yes': -7.110101, ' Flower': -7.485618, ' yes': -9.460989}
{' Yes': -0.013412586, ' No': -4.352564, 'Yes': -7.8278103, ' yes': -10.661625, ' YES': -11.710504}
{' No': -0.5713059, ' Yes': -0.8330741, 'Yes': -8.394575, 'No': -8.4527445, ' Nope': -10.76796}
{' No': -0.47209364, ' Yes': -1.0486202, ' Indian': -3.9706955, ' India': -5.7086387, 'No': -6.712194}
{' No': -0.1672974, ' Yes': -1.8889273, ' Indian': -6.7016144, 'No': -7.0329914, ' Nope': -8.708633}
{' Yes': -0.008717775, ' Orange': -5.019788, ' No': -6.6166625, 'Yes': -7.4749002, ' Sure': -9.5349}
{' Yes': -0.012510052, ' Orange': -4.551182, 'Yes': -7.1285815, ' No': -7.1994066, ' Sure': -8.638186}
{' Yes': -0.0015994118, 'Yes': -7.016537, ' No': -7.582076, ' Hungry': -9.452714, ' YES': -10.108665}
{' Yes': -0.0034212791, ' No': -5.783782, 'Yes': -8.081973, ' yes': -11.503185, ' YES': -11.591665}
{' Yes': -0.12832582, ' No': -2.1227353, 'Yes': -7.7747016, ' Nope': -9.06878, 'No': -9.644393}
{' Yes': -0.53036344, ' No': -0.90066946, ' Number': -5.6117516, 'Yes': -7.5481186, ' Nope': -7.758461}
{' No': -0.55182475, ' Yes': -1.5415213, ' Mirror': -1.6259156, ' Mir': -4.777895, 'No': -6.267479}
{' No': -0.18253158, ' Yes': -1.8007051, 'No': -7.272455, ' Mirror': -7.479637, ' Mir': -8.6093445}
{' Yes': -0.0003152495, 'Yes': -8.135296, ' yes': -11.453018, ' YES': -11.832278, ' No': -13.449114}
{' Yes': -0.0006046459, 'Yes': -7.4544997, ' yes': -11.557868, ' YES': -11.981249, '\n': -12.776932}
{' Yes': -0.25887388, ' No': -1.8596773, ' Pepper': -2.9790392, ' Pe': -4.1856527, 'Yes': -6.1517987}
{' Yes': -0.25942636, ' No': -1.5040992, ' Nope': -6.330097, ' Pepper': -6.3522124, 'Yes': -6.826402}
{' Yes': -0.0023755787, 'Yes': -6.6354146, ' No': -6.9791126, ' Cheese': -10.0888195, ' yes': -10.604656}
{' Yes': -0.0009162564, 'Yes': -7.340516, ' No': -8.459706, ' yes': -11.424499, ' Cheese': -11.63828}
{' Yes': -0.3733132, ' No': -1.1870396, ' Nope': -5.401227, 'Yes': -7.106145, 'No': -7.6811037}
{' No': -0.68010426, ' Yes': -0.7300673, ' Nope': -4.7328615, 'No': -6.9256144, 'Yes': -7.1497126}
{' Yes': -0.44345963, ' No': -1.5042753, ' Squ': -2.6167746, ' Sure': -3.4909625, ' Square': -3.512071}
{' Yes': -0.41888824, ' Squ': -2.0934963, ' No': -2.1958504, ' Sure': -2.4378664, ' Square': -4.066183}
{' Yes': -0.00037934902, 'Yes': -8.08727, ' Sure': -10.7130995, ' No': -11.089108, ' yes': -11.510337}
{' Yes': -0.00066458626, ' No': -8.107817, 'Yes': -8.139199, ' Sure': -10.575636, ' yes': -11.285774}
{' Yes': -0.011894437, ' No': -4.6047, 'Yes': -6.5032325, ' YES': -9.393057, ' Leaves': -9.526758}
{' Yes': -0.25983337, ' No': -1.4905958, 'Yes': -6.1846967, ' Nope': -7.758103, 'No': -8.130051}
{' Yes': -0.015245998, ' No': -4.2922325, 'Yes': -7.1218605, ' Ending': -7.509449, ' yes': -10.113615}
{' Yes': -0.53243667, ' Ending': -1.2689042, ' No': -2.0517387, 'Yes': -6.7915273, ' End': -6.8573503}
{' Yes': -0.008556532, ' Energy': -4.941265, 'Yes': -7.088648, ' No': -8.153812, ' YES': -9.821224}
{' Yes': -0.003973173, ' No': -6.1522555, ' Energy': -7.238319, 'Yes': -7.251089, ' Absolutely': -9.22997}
{' Yes': -0.0010465599, 'Yes': -7.600465, ' No': -7.9291544, ' Father': -9.20214, ' yes': -10.069554}
{' Yes': -0.002257766, ' No': -6.4087114, 'Yes': -7.6625, ' Father': -9.628797, ' yes': -10.482515}
{' No': -0.15635295, ' Yes': -1.9472886, 'No': -6.8629336, ' Pen': -7.3815002, 'Yes': -8.681469}
{' Yes': -0.19613135, ' No': -1.7303891, 'Yes': -7.4902496, 'No': -8.845688, ' Nope': -9.783672}
{' Yes': -0.004868696, ' Street': -5.671666, 'Yes': -6.942672, ' No': -8.557202, ' yes': -9.081403}
{' Yes': -0.00077069976, 'Yes': -7.5888424, ' No': -8.4313545, ' yes': -10.935831, ' YES': -10.952581}
{' Yes': -0.00042019345, 'Yes': -7.9258823, ' Strong': -10.784983, ' yes': -10.926659, ' YES': -11.477229}
{' Yes': -0.004161631, ' Strong': -5.7047477, 'Yes': -7.331344, ' yes': -9.6661825, ' No': -10.201957}
{' Yes': -0.018983994, ' No': -4.306606, ' Seller': -5.344776, 'Yes': -7.836715, ' yes': -9.631095}
{' Yes': -0.0028161292, ' Seller': -6.235438, 'Yes': -7.9357176, ' No': -8.038805, ' yes': -9.280949}
{' Yes': -0.011439621, ' No': -4.5166125, 'Yes': -8.003995, ' yes': -10.0482, ' Bl': -10.98944}
{' Yes': -0.18871115, ' No': -1.8286265, ' Bl': -4.7991695, 'Yes': -6.7354736, ' Bond': -7.727962}
{' Yes': -0.00058072904, 'Yes': -7.815186, ' No': -8.8838625, ' yes': -10.804097, ' YES': -11.599613}
{' Yes': -0.009442262, ' No': -5.7345796, ' B': -5.8039484, 'Yes': -6.7630663, ' Bor': -6.89734}
{' Yes': -0.0003266982, 'Yes': -8.312466, ' No': -9.711781, ' yes': -11.313947, ' YES': -11.905066}
{' Yes': -0.13050485, ' No': -2.1847117, ' Nope': -5.6957855, ' Prince': -5.9992957, 'Yes': -6.5833073}
{' Yes': -0.0032657254, ' No': -6.3817043, 'Yes': -7.0054226, ' Parent': -7.6400013, ' yes': -9.514892}
{' Yes': -0.008060752, ' Parent': -5.3220463, 'Yes': -6.569952, ' No': -6.8386254, ' Parents': -8.820478}
{' Yes': -0.0004766064, 'Yes': -7.876626, ' No': -9.878656, ' yes': -11.182064, ' YES': -11.325947}
{' Yes': -0.00032240388, 'Yes': -8.188097, ' No': -10.934279, ' yes': -11.510961, ' YES': -11.774654}
{' Yes': -0.15206598, ' No': -1.9675946, 'Yes': -7.2024713, ' Weight': -8.508123, 'No': -9.052261}
{' Yes': -0.08163492, ' No': -2.552794, 'Yes': -8.067183, ' Nope': -8.908005, 'No': -10.848138}
{' Yes': -0.0020122065, 'Yes': -6.9089317, ' No': -6.994861, ' YES': -10.479795, ' yes': -10.906287}
{' Yes': -0.14944085, ' St': -2.3335745, ' Stars': -3.8485851, ' No': -4.56443, 'Yes': -5.1544666}
{' Yes': -0.0006214646, 'Yes': -7.5356097, ' yes': -9.896098, ' Doctor': -11.11181, ' No': -11.730658}
{' Yes': -0.0026368257, ' No': -6.862602, ' Doctor': -7.193724, 'Yes': -7.249135, ' yes': -9.387451}
{' No': -0.2631041, ' Yes': -1.4953218, 'No': -6.2653008, ' Nope': -6.3861833, ' Rot': -6.899217}
{' No': -0.20627886, ' Yes': -1.7382764, ' Nope': -5.990396, 'No': -6.174403, ' Rot': -6.177779}
{' Yes': -0.4701402, ' No': -0.9876135, ' Tennis': -6.695728, 'Yes': -7.1665225, 'No': -8.066564}
{' Yes': -0.5841654, ' No': -0.9958723, ' Tennis': -2.9509103, ' Tenn': -4.3695602, ' Ten': -5.760553}
{' Yes': -0.6705348, ' No': -0.7234408, ' Bucket': -6.258274, 'Yes': -7.5030365, 'No': -7.590109}
{' Yes': -0.25341418, ' No': -1.9883517, ' Bucket': -2.6043186, ' Buck': -4.6059856, 'Yes': -6.4940124}
{' Yes': -0.016396007, ' No': -4.400431, 'Yes': -6.212572, ' States': -6.474268, ' St': -8.933927}
{' Yes': -0.040885054, ' No': -3.9459562, ' States': -4.219857, ' St': -5.8720236, 'Yes': -6.022267}
{' Yes': -0.0007551294, 'Yes': -7.7332664, ' No': -8.347974, ' YES': -10.951649, ' Sure': -11.123686}
{' Yes': -0.0022572873, ' No': -6.814024, 'Yes': -7.1854897, ' Yep': -9.357133, ' Nope': -9.418747}
{' Yes': -0.0013964521, 'Yes': -7.0877, ' No': -7.720663, ' yes': -9.891197, ' YES': -10.275146}
{' No': -0.095159315, ' Yes': -2.5859964, ' Nope': -4.509979, 'No': -6.2160544, ' Nah': -7.2870026}
{' Yes': -0.0016268156, 'Yes': -6.949505, ' Loving': -8.37093, ' yes': -8.990232, ' No': -8.994642}
{' Yes': -0.00056247984, 'Yes': -7.657221, ' No': -10.062229, ' YES': -11.074074, ' yes': -11.09175}
{' Yes': -0.0053269435, ' No': -5.3870635, 'Yes': -7.417785, ' Turtle': -10.059017, ' yes': -10.107217}
{' Yes': -0.24474403, ' No': -1.5306823, 'Yes': -7.7774353, 'No': -9.104925, ' Nope': -9.447048}
{' Yes': -0.00082396914, 'Yes': -7.753059, ' No': -7.9516373, ' yes': -11.016577, ' YES': -11.524438}
{' Yes': -0.01382545, ' No': -4.729033, ' Butter': -5.6567984, 'Yes': -7.0039907, ' But': -8.63421}
{' Yes': -0.0047321417, ' No': -5.4994907, 'Yes': -7.567602, ' yes': -10.009784, ' B': -10.3114605}
{' Yes': -0.10347864, ' No': -2.3251011, 'Yes': -7.856546, 'No': -9.647901, ' yes': -10.145415}
{' Yes': -0.2302438, ' No': -1.588112, 'Yes': -7.2536182, 'No': -8.580668, ' Nope': -8.597339}
{' No': -0.09381536, ' Yes': -2.4318852, 'No': -6.97217, ' Nope': -7.542576, 'Yes': -9.267392}
{' Yes': -0.0028568974, 'Yes': -6.6322236, ' No': -7.250249, ' She': -7.3665223, ' YES': -9.836241}
{' Yes': -0.0024060518, 'Yes': -6.316134, ' No': -7.7181683, ' YES': -9.999885, ' yes': -10.092686}
{' Yes': -0.0022805864, 'Yes': -6.669523, ' No': -7.2509336, ' YES': -9.086121, ' yes': -9.33088}
{' Yes': -0.0043524057, 'Yes': -6.189983, ' No': -6.4248996, ' St': -8.590346, ' YES': -8.692501}
{' Yes': -0.008778266, ' No': -4.922137, 'Yes': -6.7866592, ' Sure': -9.201056, ' Sunset': -9.463285}
{' Yes': -0.024678715, ' No': -3.8705702, 'Yes': -6.002502, ' Sunset': -8.368753, ' Sun': -8.518463}
{' Yes': -0.022931453, ' No': -3.8007538, 'Yes': -8.190314, 'No': -11.669518, ' yes': -11.767874}
{' Yes': -0.46401587, ' No': -1.1076201, ' Minute': -3.40291, ' Nope': -6.0010347, ' M': -6.992768}
{' Yes': -0.00068289746, 'Yes': -7.9455204, ' No': -8.110399, ' yes': -11.080122, ' YES': -11.968623}
{' Yes': -0.0013182644, ' No': -7.0697956, 'Yes': -7.825739, ' Sure': -10.680197, ' yes': -11.321295}
{' Yes': -0.15152417, ' No': -1.9779228, 'Yes': -7.0105424, ' Wa': -7.369017, 'No': -8.31973}
{' Yes': -0.010580849, ' No': -5.2175527, ' Wa': -5.9159184, 'Yes': -6.639502, ' Wait': -7.929581}
{' Yes': -0.03187241, ' No': -3.4833624, 'Yes': -7.5631638, ' YES': -10.2302475, 'No': -10.470052}
{' No': -0.2982111, ' Yes': -1.3610142, 'No': -7.2619214, ' Nope': -7.898499, 'Yes': -8.60087}
{' Yes': -0.5491741, ' No': -0.86692494, ' Length': -6.356711, 'Yes': -8.204616, 'No': -8.429704}
{' Yes': -0.078430876, ' No': -2.6166618, ' Length': -6.863972, ' Nope': -7.292279, 'Yes': -7.55815}
{' Yes': -0.00043653257, 'Yes': -8.157416, ' No': -9.049279, ' yes': -10.829432, ' YES': -12.415886}
{' Yes': -0.0005337355, 'Yes': -7.7234836, ' No': -10.308541, ' yes': -10.500516, ' YES': -11.339717}
{' Yes': -0.00087193144, 'Yes': -7.6721554, ' No': -8.135111, ' yes': -9.987881, ' YES': -10.855853}
{' Yes': -0.001549086, ' No': -6.916746, 'Yes': -7.6355705, ' yes': -10.215954, ' YES': -11.179093}
{' Yes': -0.048423838, ' No': -3.1757715, ' Muscle': -5.766817, 'Yes': -6.912388, ' Mus': -6.9941006}
{' Yes': -0.4049887, ' No': -1.1292452, ' Muscle': -5.27604, ' Mus': -5.950437, 'Yes': -7.191063}
{' Yes': -0.11068346, ' Empire': -2.3473568, ' No': -5.8794346, ' Em': -6.0610676, ' Emperor': -6.1181026}
{' Yes': -0.46407562, ' Empire': -1.0911126, ' Em': -3.940209, ' No': -4.721617, ' Emperor': -5.3597646}
{' No': -0.12831587, ' Yes': -2.3689528, ' Kid': -3.975669, ' Nope': -5.3256674, 'No': -6.505709}
{' No': -0.009093457, ' Yes': -4.8545694, 'No': -7.153508, ' Nope': -7.7033734, 'Yes': -11.553735}
{' Yes': -0.00043665178, 'Yes': -8.012257, ' No': -9.921407, ' yes': -11.155422, ' Hunger': -11.197522}
{' Yes': -0.0022443254, ' No': -6.3039565, 'Yes': -8.141078, ' Hunger': -10.240827, ' yes': -10.7078495}
{' Yes': -0.00037588822, 'Yes': -8.146535, ' No': -9.717443, ' yes': -10.935798, ' YES': -12.023374}
{' Yes': -0.07418955, ' No': -2.6867766, 'Yes': -6.529284, ' Nope': -7.2145615, ' St': -7.556427}
{' Yes': -0.12003867, ' No': -2.2724893, ' Dagger': -4.9806495, 'Yes': -6.442275, ' yes': -7.404437}
{' Yes': -0.028194223, ' No': -3.6215265, 'Yes': -6.9716563, 'No': -10.23441, ' yes': -10.566703}
{' Yes': -0.13411702, ' No': -2.0806386, 'Yes': -7.5502033, 'No': -9.652835, ' yes': -10.304124}
{' Yes': -0.014470131, ' No': -4.3649855, 'Yes': -6.9103403, ' Direct': -8.506935, ' Directory': -9.106642}
{' No': -0.3704287, ' Yes': -1.1749998, 'No': -7.7188225, 'Yes': -8.486025, ' Nope': -10.018786}
{' Yes': -0.23669215, ' No': -1.5634323, 'Yes': -7.224666, 'No': -8.603963, ' Nope': -9.167618}
{' Yes': -0.32222188, ' No': -1.3015634, ' Nope': -6.5860424, 'Yes': -7.033076, ' Office': -8.322519}
{' Yes': -0.2785313, ' No': -1.4590638, ' Nope': -5.638549, ' Off': -6.047759, ' Office': -6.4161673}
{' No': -0.12618966, ' Yes': -2.145385, 'No': -7.07137, ' Nope': -7.8361063, ' Behind': -9.092596}
{' Yes': -0.023032144, ' No': -3.8303287, 'Yes': -7.1972795, ' Nope': -9.679887, ' yes': -10.100555}
{' Yes': -0.065469064, ' Thread': -3.262176, ' No': -3.764064, 'Yes': -7.095686, ' yes': -8.440608}
{' Yes': -0.078084484, ' No': -2.8608296, ' Thread': -4.161979, 'Yes': -7.4597955, ' Nope': -7.735681}
{' Yes': -0.47557035, ' No': -1.340681, ' Issue': -2.7425094, ' Su': -4.926539, ' Tess': -5.2352786}
{' Yes': -0.21728432, ' No': -1.6784621, 'Yes': -5.8423777, ' Nope': -6.336394, ' Sure': -7.2838902}
{' Yes': -0.08201255, ' No': -2.5686781, ' Sure': -6.836191, 'Yes': -7.3343697, ' Nope': -8.827222}
{' Yes': -0.032141536, ' No': -3.6346176, ' Sure': -5.8708954, 'Yes': -6.502535, ' Nope': -8.761544}
{' Yes': -0.5106878, ' No': -0.9236251, 'Yes': -6.656781, ' Fl': -7.4702215, ' Nope': -7.9053526}
{' No': -0.21025424, ' Yes': -1.668842, 'No': -7.7117167, 'Yes': -7.944396, ' Nope': -8.144284}
{' Yes': -0.44261897, ' No': -1.0433671, ' Sne': -6.0376716, 'Yes': -6.492407, 'No': -7.641952}
{' Yes': -0.25488302, ' No': -1.4994336, 'Yes': -7.012274, ' Nope': -7.6684036, 'No': -8.824752}
{' Yes': -0.0019939884, 'Yes': -6.8345, ' No': -7.9404206, ' Better': -8.006309, ' yes': -9.528577}
{' Yes': -0.0026389777, ' No': -6.472516, 'Yes': -7.091407, ' yes': -9.45806, ' Better': -9.611817}
{' Yes': -0.008785722, ' No': -4.7833652, 'Yes': -8.000492, ' yes': -10.704203, ' YES': -11.490175}
{' Yes': -0.22134812, ' No': -1.6280845, ' Purple': -6.922501, ' Nope': -7.6756425, 'Yes': -7.700257}
{' Yes': -0.0073715677, ' Animal': -5.862409, ' No': -6.0706587, 'Yes': -6.2554984, ' yes': -8.95238}
