{' Yes': -0.0031022474, 'Yes': -5.9189844, ' No': -8.122923, ' yes': -9.982982, '\n': -10.223577}
{' Yes': -0.0069600414, 'Yes': -5.8852215, ' No': -6.042472, ' Moon': -6.967964, ' yes': -8.566643}
{' Yes': -0.1843144, ' Pain': -2.1238246, ' Paint': -3.9759514, ' No': -4.738335, ' Plain': -4.891559}
{' Yes': -0.03657801, ' No': -4.2903924, ' Pain': -4.461348, 'Yes': -5.7862186, ' Paint': -6.053369}
{' Yes': -0.016117577, ' Plus': -4.6064415, ' No': -5.4384556, 'Yes': -6.6519623, ' Pl': -8.368289}
{' Yes': -0.05384306, ' Plus': -3.0155563, ' Pl': -6.643847, 'Yes': -6.8284817, ' No': -7.2046795}
{' Yes': -0.031209067, ' Area': -3.8483648, 'Yes': -5.6456413, ' No': -5.9280176, ' Arena': -7.473201}
{' Yes': -0.035754588, ' Area': -3.5824044, 'Yes': -5.7528486, ' No': -6.951147, ' Sure': -7.3139715}
{' Yes': -0.666358, ' Dive': -0.72827065, 'Yes': -6.529223, ' Divide': -7.863253, ' Diver': -8.180259}
{' Dive': -0.119816706, ' Yes': -2.3900309, ' D': -5.103514, ' Divide': -5.324191, ' Diver': -5.778132}
{' Yes': -0.001137975, 'Yes': -7.3398294, ' Hear': -8.056197, ' Yeah': -9.396356, ' yes': -10.925729}
{' Yes': -0.0019504537, 'Yes': -6.6063986, ' Hear': -8.337588, ' Yeah': -8.942549, ' yes': -9.960841}
{' Yes': -0.03189481, ' Bush': -3.5417004, 'Yes': -6.311212, ' yes': -8.728208, ' Brush': -9.097206}
{' Yes': -0.3967016, ' Bush': -1.1392934, 'Yes': -6.1419826, ' Brush': -6.206659, 'Bush': -6.85889}
{' Yes': -0.059472807, ' No': -3.3625257, ' Near': -3.9112318, 'Yes': -6.967094, ' Ne': -7.363149}
{' Yes': -0.3229338, ' No': -1.3002154, ' Near': -6.255131, 'Yes': -7.7839603, 'No': -7.8467655}
{' Mile': -0.50947213, ' Yes': -0.98628634, ' Miles': -4.805483, ' M': -4.957241, ' No': -5.1768484}
{' Yes': -0.17430376, ' Mile': -1.915877, ' No': -5.096635, ' Miles': -5.9853835, ' M': -6.6472187}
{' Navy': -0.4963332, ' Yes': -0.96754766, ' Naval': -6.05734, ' Nav': -6.239658, ' N': -6.3924584}
{' Yes': -0.43677294, ' Navy': -1.1120164, ' Nav': -5.3413005, ' N': -5.5301642, 'Yes': -5.598783}
{' No': -0.21164025, ' Yes': -2.0521781, ' Okay': -3.603999, ' Nope': -3.708964, 'No': -5.69966}
{' No': -0.057342052, ' Okay': -3.2551682, ' Yes': -4.6766276, ' Nope': -5.545253, 'No': -6.4233565}
{' Yes': -0.008840079, ' Math': -5.4047503, 'Yes': -6.3422084, ' No': -6.4881873, ' YES': -8.676615}
{' Yes': -0.0038815588, ' No': -6.28466, 'Yes': -6.802699, ' Math': -7.7487817, ' YES': -9.318062}
{' No': -0.120691404, ' Yes': -2.3209076, ' Bee': -4.666155, ' Nope': -5.805313, 'No': -6.798025}
{' No': -0.04994334, ' Yes': -3.1291404, ' Nope': -6.0918097, ' Bee': -6.490926, 'No': -7.131738}
{' Yes': -0.0045871055, ' Milk': -6.468551, 'Yes': -6.495641, ' No': -6.6265407, ' yes': -9.739524}
{' Yes': -0.16571668, ' No': -1.9359497, ' Milk': -5.036076, 'Yes': -6.6725674, 'No': -8.176134}
{' Yes': -0.0029487761, 'Yes': -6.218159, ' No': -7.2121043, ' yes': -9.323443, ' YES': -10.311088}
{' Yes': -0.004905591, 'Yes': -5.807987, ' No': -7.171072, ' Bass': -7.2180495, ' yes': -8.69389}
{' Yes': -0.0018061167, 'Yes': -6.7333293, ' Bird': -8.159869, ' yes': -8.952643, ' No': -9.550998}
{' Yes': -0.06659794, ' Bird': -2.8594007, 'Yes': -6.046007, ' B': -6.535565, ' yes': -7.4161143}
{' Yes': -0.010150294, ' No': -5.634637, ' Believe': -6.0512314, 'Yes': -6.330272, ' YES': -7.239882}
{' Yes': -0.013043674, ' Believe': -5.844924, 'Yes': -6.100283, ' YES': -6.5327253, ' No': -6.8953424}
{' Yes': -0.0072050784, ' Need': -6.291592, ' Indeed': -6.3455153, 'Yes': -6.4142485, ' yes': -7.707234}
{' Yes': -0.023263337, ' Need': -4.363076, ' Indeed': -5.663339, ' No': -6.155669, 'Yes': -6.716566}
{' Yes': -0.06091859, ' Tool': -3.2613788, ' Too': -4.208692, 'Yes': -6.337331, ' Tools': -6.3517838}
{' Yes': -0.04974442, ' Too': -3.567702, ' Tool': -4.1016564, 'Yes': -6.5983543, ' No': -6.92236}
{' Yes': -0.5696618, ' Po': -0.8836476, ' No': -4.1164794, 'Yes': -6.492329, ' Nope': -6.6582975}
{' Yes': -0.11016812, ' Po': -2.4061315, ' No': -4.5201793, 'Yes': -6.295501, ' Nope': -7.5263586}
{' Yes': -0.011888463, ' Cro': -5.103775, ' No': -6.3494687, 'Yes': -6.5906816, ' Rock': -6.911967}
{' Yes': -0.20197292, ' Cro': -1.7962377, ' Rock': -5.3552833, ' Rocket': -5.5063195, 'Yes': -6.1405926}
{' Yes': -0.0015311155, 'Yes': -6.7888975, ' No': -7.920339, ' yes': -10.816652, ' YES': -11.39459}
{' Yes': -0.0064733927, 'Yes': -5.8430934, ' Blast': -6.6358166, ' Last': -6.917744, ' No': -7.293548}
{' Yes': -0.22761168, ' Door': -1.6214086, 'Yes': -5.925939, ' yes': -7.2806325, ' Doors': -7.66691}
{' Yes': -0.12959406, ' Door': -2.1956818, ' No': -5.473049, 'Yes': -5.8085065, ' yes': -6.843338}
{' Yes': -0.05593773, ' No': -3.21807, ' To': -4.5538282, 'Yes': -5.8308015, ' YES': -8.925762}
{' Yes': -0.11657229, ' No': -2.3444204, ' To': -5.157813, 'Yes': -5.390064, ' St': -7.2476845}
{' Maze': -0.47230476, ' Yes': -0.98788214, 'Yes': -6.1986914, ' Maz': -7.1252933, ' Ma': -8.157639}
{' Yes': -0.034579154, ' Maze': -3.540074, 'Yes': -5.864817, ' No': -6.5261025, ' yes': -8.649711}
{' Yes': -0.033345267, ' Monk': -3.887771, 'Yes': -5.4996805, ' Monkey': -6.0090103, ' Mon': -6.4904623}
{' Yes': -0.07225222, ' Mon': -3.8900335, ' Monkey': -4.0113697, ' No': -4.3561993, ' Monk': -4.905496}
{' Yes': -0.0014652759, 'Yes': -6.963585, ' Camp': -8.002592, ' yes': -9.520075, ' Yep': -10.111613}
{' Yes': -0.013644284, ' Camp': -4.5582743, 'Yes': -6.3585935, ' yes': -8.087235, ' Campus': -8.388119}
{' Yes': -0.012488626, ' Most': -4.528676, 'Yes': -6.6055245, ' Mostly': -9.0732565, ' yes': -10.005805}
{' Yes': -0.042941064, ' Most': -3.2596443, ' Mostly': -6.475396, 'Yes': -6.90458, ' No': -7.5151744}
{' Yes': -0.038808446, ' Trip': -4.16847, ' Tri': -4.1957254, ' Triple': -5.817081, 'Yes': -6.4570446}
{' Yes': -0.04088574, ' Tri': -4.2687435, ' Trip': -4.364458, ' Triple': -5.3552303, ' Strip': -5.9628606}
{' Yes': -0.18134864, ' Dusk': -1.8563098, 'Yes': -5.4652896, ' No': -5.6375766, ' D': -7.0762224}
{' Yes': -0.08747394, ' No': -3.167079, ' Dusk': -3.3889816, 'Yes': -5.302623, ' D': -6.867018}
{' Yes': -0.0005065991, 'Yes': -8.000091, ' Hello': -10.171626, ' yes': -10.210212, ' YES': -10.331538}
{' Yes': -0.00063846173, 'Yes': -7.790103, ' Hello': -9.80918, ' Hell': -9.909583, ' yes': -9.993003}
{' Yes': -0.20489815, ' No': -1.698598, 'Yes': -6.634154, 'No': -7.336493, ' Nope': -8.939452}
{' Yes': -0.18444763, ' No': -1.8739808, ' Lawn': -5.0491514, ' Y': -6.1890073, 'Yes': -6.2895894}
{' Yes': -0.010399605, ' Hill': -4.786204, ' No': -6.854433, 'Yes': -7.426062, ' yes': -9.001739}
{' Yes': -0.0140890395, ' Hill': -4.46005, ' No': -6.686202, 'Yes': -7.2508287, ' yes': -8.735707}
{' Yes': -0.0013651743, 'Yes': -6.848428, ' No': -8.471055, ' Sure': -10.642234, ' yes': -10.818484}
{' Yes': -0.004940694, 'Yes': -6.319284, ' Take': -6.532246, ' No': -7.08757, ' yes': -8.6086}
{' Yes': -0.00224976, 'Yes': -6.6074605, ' No': -7.3994184, ' yes': -9.421003, ' Part': -9.955236}
{' Yes': -0.015180519, 'Yes': -5.5118876, ' Party': -5.8635592, ' Apart': -6.138654, ' Part': -6.147021}
{' Yes': -0.006865693, ' No': -5.1220884, 'Yes': -7.237159, ' Sure': -10.409369, ' Nope': -10.417166}
{' Yes': -0.0055999923, ' No': -5.951078, 'Yes': -6.3368874, ' Pick': -7.24254, ' yes': -8.803981}
{' Yes': -0.0012197905, 'Yes': -6.8646326, ' yes': -9.867475, ' YES': -10.15677, ' Absolutely': -10.90746}
{' Yes': -0.00077904906, 'Yes': -7.450072, ' No': -8.822385, ' yes': -10.6891165, ' YES': -11.29346}
{' No': -0.22994144, ' Yes': -1.5896846, 'No': -7.0666847, ' Nope': -8.271013, 'Yes': -8.350621}
{' Yes': -0.22332987, ' No': -1.6963601, ' Def': -5.3264217, ' De': -5.3941865, 'Yes': -6.139616}
{' Yes': -0.0105432, ' No': -5.0809565, 'Yes': -5.9172273, ' Kiss': -6.8179975, ' yes': -8.268482}
{' Yes': -0.03501826, ' No': -3.7901678, ' Kiss': -4.9019804, 'Yes': -5.697884, ' yes': -7.7466693}
{' Yes': -0.023878288, ' No': -3.8341005, 'Yes': -6.907734, ' Soda': -7.2564216, ' yes': -9.564981}
{' Yes': -0.052582156, ' No': -3.0107863, 'Yes': -6.7348156, ' Soda': -7.715897, ' yes': -9.422039}
{' Yes': -0.019778945, ' No': -3.9782481, 'Yes': -7.6637287, ' Gone': -8.281082, ' Nope': -9.605888}
{' Yes': -0.5997149, ' No': -0.81848973, ' Nope': -5.3745465, ' Gone': -5.459677, 'Yes': -7.895783}
{' Yes': -0.008480547, ' Fire': -5.641636, 'Yes': -6.2606187, ' Sure': -7.5593266, ' YES': -7.5715733}
{' Yes': -0.004455858, 'Yes': -6.518014, ' Fire': -6.8218384, ' No': -7.131156, ' Sure': -7.8966694}
{' Yes': -0.0016088443, 'Yes': -6.9057198, ' yes': -8.1333065, ' YES': -9.039242, ' Dread': -10.486216}
{' Yes': -0.0021313045, 'Yes': -6.7810245, ' yes': -7.6953144, ' YES': -9.000019, ' Dread': -9.220911}
{' Yes': -0.0012367961, ' No': -7.3551493, 'Yes': -7.558592, ' yes': -10.280067, ' Yep': -11.286993}
{' Yes': -0.008782053, ' No': -4.9389443, 'Yes': -7.07041, ' Push': -8.328875, ' Nope': -8.8535185}
{' Yes': -0.028273864, ' Stop': -3.7762063, ' No': -5.900952, 'Yes': -6.5464654, ' Yep': -8.180703}
{' Yes': -0.113498665, ' Stop': -2.349266, ' No': -4.984665, 'Yes': -6.6061206, ' Nope': -6.9558983}
{' Yes': -0.00064561894, 'Yes': -7.5825295, ' No': -9.684798, ' yes': -10.548207, ' YES': -10.9087925}
{' Yes': -0.00592036, ' No': -5.240896, 'Yes': -7.6858616, ' Late': -9.687334, ' yes': -10.424271}
{' Yes': -0.0085940445, ' No': -5.0248766, 'Yes': -6.4181733, ' yes': -8.524148, ' YES': -9.925351}
{' Yes': -0.006684764, ' No': -5.3380733, 'Yes': -6.4664836, ' yes': -8.953501, ' YES': -9.770005}
{' Yes': -0.00065230025, 'Yes': -7.7222037, ' No': -9.49435, ' Wife': -9.696015, ' YES': -10.300079}
{' Yes': -0.2368343, ' No': -2.2657974, ' Wife': -2.3846939, ' W': -4.5875616, ' Nope': -6.345654}
{' Yes': -0.0015118337, 'Yes': -7.19954, ' No': -7.663667, ' Frog': -9.078956, ' yes': -9.115529}
{' Yes': -0.0015336246, ' No': -7.094831, 'Yes': -7.5831027, ' yes': -9.6253395, ' Frog': -9.671812}
{' Yes': -0.0018737144, 'Yes': -6.726799, ' No': -7.5840836, ' yes': -9.489734, ' Duck': -9.800956}
{' Yes': -0.017083086, ' No': -4.229457, ' Duck': -6.9598513, 'Yes': -6.976248, ' yes': -8.608384}
{' Yes': -0.001784859, 'Yes': -7.0428977, ' Bank': -7.3613486, ' yes': -9.0061245, ' No': -9.240201}
{' Yes': -0.0017961444, ' No': -6.878339, 'Yes': -7.273015, ' yes': -10.195535, ' YES': -10.613591}
{' Yes': -0.00236823, 'Yes': -6.4519677, ' Test': -8.560349, ' YES': -9.005557, ' No': -9.151029}
{' Yes': -0.005890021, ' No': -6.011343, 'Yes': -6.3604956, ' Test': -6.9548397, ' Nest': -8.525517}
{' Yes': -0.0012463459, 'Yes': -7.145235, ' Stay': -8.17052, ' No': -9.253094, ' yes': -10.584694}
{' Yes': -0.014637714, ' Stay': -4.4424787, 'Yes': -6.456087, ' No': -7.1849656, ' yes': -9.199481}
{' Yes': -0.046776798, ' No': -3.1306162, 'Yes': -6.4543138, ' yes': -9.024957, ' Ye': -9.561957}
{' Yes': -0.14601547, ' No': -2.2011683, ' East': -4.47719, ' Ye': -5.5835204, 'Yes': -5.6959453}
{' No': -0.025772335, ' Yes': -3.7048645, 'No': -7.353237, ' Nope': -8.685501, 'Yes': -11.129561}
{' No': -0.05590716, ' Yes': -3.371386, ' Nope': -4.299893, ' High': -5.5094075, 'No': -6.8769627}
{' Yes': -0.5235986, ' No': -0.89923394, 'Yes': -8.002086, 'No': -8.498179, ' Draw': -9.276558}
{' Draw': -0.714278, ' Yes': -0.7740962, ' No': -3.6276574, ' Drew': -5.355122, ' Drawn': -5.4184823}
{' King': -0.32346568, ' Yes': -1.3509697, ' Kings': -4.961073, 'King': -5.170063, ' Kingston': -6.2666216}
{' Yes': -0.16284111, ' No': -2.271455, ' King': -3.156074, ' Nope': -6.5756907, 'Yes': -6.6958017}
{' Yes': -0.67641646, ' No': -0.7153721, ' Nope': -6.5386825, ' Lose': -7.835163, 'Yes': -8.137855}
{' Yes': -0.5861714, ' No': -0.82497716, ' Lose': -6.371228, ' Nope': -6.5179524, ' Lo': -6.6526437}
{' Yes': -0.005367634, ' No': -5.745692, ' Sure': -6.931049, 'Yes': -7.57386, ' Nope': -8.068304}
{' Yes': -0.0005350468, 'Yes': -8.111152, ' No': -8.799243, ' Sure': -9.822648, ' Yep': -11.893053}
{' Yes': -0.0018731165, 'Yes': -6.556333, ' Sick': -8.320606, ' yes': -9.189897, ' YES': -9.476536}
{' Yes': -0.0056105414, ' No': -6.0145326, 'Yes': -6.3005795, ' Sick': -6.9876294, ' yes': -8.78687}
{' Yes': -0.01173316, ' Dirt': -4.5638437, 'Yes': -6.950587, ' yes': -9.368548, ' YES': -9.855632}
{' Yes': -0.21427095, ' No': -1.6576169, ' Dirt': -6.8263497, 'Yes': -7.2174616, 'No': -8.358849}
{' Yes': -0.014996386, ' No': -5.0480714, ' Te': -5.320904, 'Yes': -6.860391, ' T': -7.569312}
{' Yes': -0.008041825, ' Te': -5.5072427, 'Yes': -6.5487823, ' No': -7.386389, ' Tears': -7.9687586}
{' No': -0.0012111381, 'No': -6.7409897, ' Nope': -11.231922, '\n': -11.744604, ' Yes': -12.0838175}
{' Yes': -0.030911237, ' No': -3.5626683, 'Yes': -7.2685657, ' Sure': -7.8325377, ' True': -7.902813}
{' Rain': -0.19745275, ' Yes': -2.9541438, ' Train': -2.9616888, ' Brain': -3.5580559, 'Rain': -3.902426}
{' Rain': -0.6172639, ' Yes': -1.3948328, ' No': -2.0716305, ' Brain': -3.3368242, 'Rain': -4.119581}
{' Yes': -0.002637902, ' No': -6.0844207, 'Yes': -8.040343, ' yes': -11.096707, ' YES': -11.862731}
{' Yes': -0.019767877, ' No': -3.9649408, 'Yes': -7.70677, ' Nope': -9.730049, ' yes': -11.034003}
{' Yes': -0.008758783, ' No': -4.991669, 'Yes': -7.4844933, ' Sure': -7.5938582, ' Absolutely': -8.020336}
{' Yes': -0.025344484, ' No': -3.8270183, ' Nope': -6.691846, 'Yes': -7.301233, ' Sure': -7.4579163}
{' Yes': -0.20393308, ' No': -1.6977626, 'Yes': -7.500848, ' Kill': -8.127795, ' Nope': -8.756791}
{' No': -0.051829875, ' Yes': -2.9958375, 'No': -7.7446055, ' Nope': -10.151275, 'Yes': -10.463977}
{' Yes': -0.008634205, ' No': -4.811559, 'Yes': -7.873224, ' Nope': -10.117137, ' yes': -11.343712}
{' Yes': -0.13717356, ' No': -2.0801113, ' Nope': -6.284651, 'Yes': -7.35454, ' Thin': -7.9507356}
{' No': -0.14037421, ' Yes': -2.0458345, 'No': -6.9482064, ' Nope': -7.7664742, 'Yes': -9.030034}
{' Yes': -0.40728766, ' No': -1.1083164, ' Tail': -6.048721, 'Yes': -7.1793704, 'No': -7.655972}
{' Yes': -0.00230998, 'Yes': -6.7948647, ' Land': -7.2372475, ' yes': -8.435861, ' No': -9.136442}
{' Yes': -0.010277835, ' Land': -5.523431, ' No': -5.7366495, 'Yes': -6.3062387, ' yes': -7.8715706}
{' Yes': -0.0030614678, ' No': -6.1267643, 'Yes': -7.5992126, ' yes': -9.606421, ' Feel': -9.609955}
{' Yes': -0.031750582, ' No': -3.529082, 'Yes': -7.612757, ' Feel': -7.9546046, ' F': -8.533683}
{' Yes': -0.008230512, ' No': -5.0202203, 'Yes': -7.0276756, ' Loud': -7.869579, ' Yep': -9.718396}
{' Yes': -0.22573574, ' No': -2.023782, ' Loud': -2.716195, ' Cloud': -7.115726, 'Yes': -7.1205587}
{' Yes': -0.0013797994, 'Yes': -6.9556737, ' Star': -8.68341, ' Sure': -8.720293, ' yes': -10.001716}
{' Yes': -0.0035199686, 'Yes': -6.4757867, ' Star': -7.1645784, ' Start': -7.7911606, ' Sure': -7.8946366}
{' Yes': -0.0015166106, 'Yes': -6.6318893, ' yes': -9.313889, ' YES': -10.11846, ' Card': -10.333479}
{' Yes': -0.0015545781, 'Yes': -6.6979804, ' yes': -9.043705, ' YES': -9.935749, ' No': -10.007483}
{' Yes': -0.4736496, ' Deer': -0.98456347, ' De': -7.060507, 'Yes': -7.2583656, ' Dear': -7.5116982}
{' Yes': -0.557245, ' Deer': -0.86466193, ' De': -6.0065746, ' Dear': -7.177503, ' deer': -7.3042264}
{' Yes': -0.009676171, ' Look': -5.547785, ' No': -5.6536365, 'Yes': -6.566503, ' YES': -8.320257}
{' Yes': -0.0022820197, 'Yes': -6.8809896, ' No': -7.05358, ' YES': -9.186094, ' Look': -9.2164545}
{' No': -0.48032495, ' Yes': -0.9685662, ' Nope': -6.7379327, 'No': -8.331845, 'Yes': -8.643556}
{' No': -0.15547967, ' Yes': -1.9572394, ' Gl': -6.8192058, ' Nope': -6.8423824, 'No': -7.8408237}
{' Yes': -0.008552803, ' No': -4.8105755, 'Yes': -7.965103, ' yes': -11.447327, ' YES': -12.334412}
{' Yes': -0.31170198, ' No': -1.3203555, 'Yes': -7.660739, 'No': -8.836682, ' yes': -10.232687}
{' Yes': -0.003136447, ' No': -6.1145463, 'Yes': -7.0934987, ' Sure': -10.476954, ' yes': -10.655149}
{' Yes': -0.01607887, ' No': -4.256046, 'Yes': -7.0700927, ' Code': -7.663846, ' Nope': -8.749227}
{' Yes': -0.00083810807, 'Yes': -7.841551, ' No': -8.080444, ' Sure': -9.202173, ' YES': -11.724252}
{' Yes': -0.0018932421, 'Yes': -7.100909, ' Sure': -7.327304, ' Shoes': -8.596005, ' Sh': -9.5194845}
{' Yes': -0.7126663, ' Exit': -1.3229529, ' No': -1.4236705, 'Yes': -7.27023, ' Ex': -7.3993077}
{' No': -0.7335601, ' Exit': -1.2650142, ' Yes': -1.4506907, ' Ex': -6.9960155, 'Exit': -7.3848476}
{' Yes': -0.045253657, ' No': -3.3500307, ' Lion': -4.8888664, 'Yes': -6.733495, 'No': -9.228592}
{' Yes': -0.20552377, ' No': -1.6857922, 'Yes': -7.9829593, 'No': -9.230609, ' yes': -10.953023}
{' Yes': -0.0030359402, ' Roof': -6.585614, 'Yes': -7.065949, ' No': -7.3333807, ' yes': -9.3924}
{' Roof': -0.27526575, ' Yes': -1.453887, ' No': -5.375327, ' roof': -7.057656, ' Ro': -7.7688136}
{' Want': -0.2983086, ' Yes': -1.4214336, ' W': -5.51845, 'Want': -5.53906, ' Wanted': -5.545611}
{' Want': -0.349229, ' Yes': -1.3837578, ' W': -4.191578, ' No': -4.535284, ' Wanted': -4.8605165}
{' Yes': -0.0008332749, 'Yes': -7.8379245, ' Wind': -8.121118, ' No': -9.529845, ' yes': -10.148828}
{' Yes': -0.046579074, ' Wind': -3.6596029, ' No': -4.0654902, ' Window': -6.7822123, 'Yes': -7.141198}
{' Yes': -0.0005292629, 'Yes': -7.8089705, ' No': -10.177076, ' yes': -10.2745495, ' YES': -10.387428}
{' Yes': -0.066241674, ' Foot': -2.8181164, 'Yes': -6.311538, ' No': -6.8938894, ' YES': -7.692272}
{' Yes': -0.27812663, ' No': -2.0394123, ' Hate': -2.2166831, ' Nope': -6.368348, 'Yes': -7.0127845}
{' Yes': -0.47594723, ' No': -1.6199064, ' Hate': -1.7661884, ' Nope': -5.228276, ' Hat': -6.4974694}
{' No': -0.13371246, ' Yes': -2.0852504, 'No': -7.351407, ' Nope': -9.021475, 'Yes': -9.207815}
{' Yes': -0.0019220267, ' No': -7.1378255, 'Yes': -7.1677866, ' YES': -8.945677, ' yes': -9.41373}
{' Yes': -0.0069471383, ' No': -5.2608724, ' Ring': -7.131495, 'Yes': -7.333273, ' yes': -9.300002}
{' Yes': -0.0076964675, ' No': -5.2360845, ' Ring': -6.8710074, 'Yes': -7.139242, ' yes': -9.424464}
{' Yes': -0.0011069442, 'Yes': -7.3380876, ' No': -8.258842, ' yes': -9.447369, ' Bear': -9.576737}
{' Yes': -0.004906488, ' Bear': -5.822417, 'Yes': -6.930861, ' yes': -7.9851604, ' No': -8.876758}
{' Yes': -0.0006593373, 'Yes': -7.891213, ' No': -8.703225, ' YES': -9.389869, ' yes': -11.362669}
{' Yes': -0.016756456, ' No': -4.1247177, 'Yes': -7.9355903, ' YES': -10.091421, ' Nope': -11.269054}
{' Yes': -0.0019374938, 'Yes': -6.556171, ' No': -8.2895155, ' yes': -8.647216, ' YES': -10.001264}
{' Yes': -0.0021334558, 'Yes': -6.4915967, ' No': -8.018891, ' yes': -8.496442, ' YES': -9.9827}
{' Yes': -0.11205023, ' No': -2.727422, ' Skin': -3.329137, 'Yes': -6.1907144, ' Sk': -7.1096497}
{' Yes': -0.6018157, ' No': -0.80173254, ' Nope': -6.8745313, 'Yes': -6.895911, ' Skin': -7.0739655}
{' Yes': -0.003616933, ' No': -6.3382134, 'Yes': -6.784132, ' So': -7.6048336, ' yes': -9.539629}
{' Yes': -0.004714893, ' No': -6.114097, 'Yes': -6.6271377, ' So': -7.184518, ' Yep': -9.013748}
{' Yes': -0.0003998604, 'Yes': -7.936736, ' Sure': -11.305554, ' Yep': -11.43797, ' yes': -12.128775}
{' Yes': -0.0016910578, 'Yes': -7.275201, ' No': -7.6646185, ' Che': -7.943307, ' Yep': -10.1938095}
{' Yes': -0.04227254, ' No': -3.206165, 'Yes': -7.2029924, ' yes': -9.876754, 'No': -10.032401}
{' Yes': -0.005137125, 'Yes': -6.450085, ' No': -6.564202, ' Male': -7.121308, ' yes': -7.8280663}
{' Yes': -0.0045559076, ' No': -5.4982443, 'Yes': -7.7905803, ' yes': -11.070437, ' Sure': -11.882745}
{' Yes': -0.25107738, ' No': -1.5122144, ' Nope': -7.037318, 'Yes': -7.620683, 'No': -9.342467}
{' Yes': -0.013630267, ' Bike': -4.586523, ' Bicycle': -6.455423, 'Yes': -7.0769024, ' B': -7.9910254}
{' Yes': -0.1422141, ' Bike': -2.2387965, ' No': -4.2708397, ' Bicycle': -4.9185376, ' B': -5.9366593}
{' Yes': -0.17793702, ' No': -2.020142, ' Dead': -4.085537, ' De': -5.7275467, ' Nope': -5.8247185}
{' Yes': -0.11890398, ' No': -2.2261353, ' Dead': -6.459184, ' Nope': -7.1235294, 'Yes': -7.1605964}
{' Yes': -0.00031489186, 'Yes': -8.127859, ' yes': -11.150692, ' YES': -12.838239, ' No': -13.366737}
{' Yes': -0.036839813, ' Cave': -3.4062014, 'Yes': -6.4425097, ' No': -7.4141397, ' YES': -8.315847}
{' Yes': -0.0064897705, ' Moon': -5.991553, ' No': -6.1061597, 'Yes': -6.5489774, ' yes': -9.033208}
{' Yes': -0.017899461, ' No': -4.203917, 'Yes': -6.353209, ' Moon': -7.770342, ' yes': -8.799995}
{' Yes': -0.32546976, ' No': -1.9299506, ' Pain': -2.3674467, ' Paint': -4.38067, ' Plain': -4.676002}
{' Yes': -0.10266887, ' No': -2.461712, ' Pain': -5.413038, ' Nope': -6.087307, 'Yes': -6.4616227}
{' Yes': -0.0035275053, ' No': -5.833428, 'Yes': -7.509632, ' yes': -10.476466, ' YES': -12.118463}
{' Yes': -0.043438263, ' No': -3.3268108, ' Plus': -5.2293034, 'Yes': -7.3801327, ' Pl': -8.07324}
{' Yes': -0.017936112, ' No': -4.4468184, ' Area': -6.01171, 'Yes': -6.3358374, ' Rare': -7.229514}
{' Yes': -0.019292273, ' No': -4.2560186, 'Yes': -6.3382616, ' Area': -6.342841, ' Sure': -7.9594464}
{' Yes': -0.04028865, ' Dive': -3.2807634, 'Yes': -6.7391405, ' YES': -8.50913, ' No': -8.82518}
{' Dive': -0.17742613, ' Yes': -2.028035, ' D': -4.6659684, ' Divide': -4.831321, ' Diver': -5.4764886}
{' Yes': -0.00043009248, 'Yes': -8.034079, ' Yeah': -10.063494, ' Hear': -10.620127, ' yes': -11.23877}
{' Yes': -0.0032415062, ' Hear': -6.4432263, 'Yes': -7.119616, ' Yeah': -8.170829, ' No': -8.673862}
{' Yes': -0.00080475875, 'Yes': -7.6766047, ' Bush': -8.157405, ' yes': -10.593197, ' No': -12.004328}
{' Yes': -0.0959419, ' Bush': -2.4261286, 'Yes': -6.5366893, ' Brush': -7.783996, ' Bus': -8.253802}
{' Yes': -0.20343977, ' No': -1.748867, ' Near': -4.793707, 'Yes': -7.488811, ' Nope': -7.87902}
{' Yes': -0.19091646, ' No': -1.77068, ' Near': -6.1154385, ' Nope': -7.6740375, 'Yes': -7.9925327}
{' Yes': -0.43713504, ' Mile': -1.5283347, ' No': -2.0509293, ' Miles': -5.6862745, ' M': -5.8484807}
{' Yes': -0.1192638, ' No': -2.4631913, ' Mile': -3.7225866, 'Yes': -7.0463514, ' Miles': -7.193346}
{' Yes': -0.014490692, ' Navy': -4.429093, 'Yes': -6.727509, ' No': -6.9989114, ' yes': -9.070331}
{' Yes': -0.015643086, ' Navy': -4.9904947, ' No': -5.372458, 'Yes': -6.0014462, ' yes': -7.8897185}
{' No': -0.073008135, ' Yes': -2.9016042, ' Nope': -4.313956, 'No': -6.640964, ' Not': -8.780139}
{' No': -0.006368709, ' Nope': -6.0166526, ' Yes': -6.4089885, 'No': -6.8929825, ' Okay': -6.9653435}
{' Yes': -0.019048084, ' No': -4.0148215, 'Yes': -7.4162683, ' Nope': -10.050033, ' YES': -10.268455}
{' Yes': -0.0278713, ' No': -3.6339579, 'Yes': -7.49467, ' Nope': -8.696403, ' Yeah': -9.5365}
{' No': -0.035613563, ' Yes': -3.4110312, ' Nope': -7.138557, 'No': -7.4463625, ' Bee': -7.749835}
{' No': -0.013428837, ' Yes': -4.3976374, ' Nope': -7.4132314, 'No': -7.9679894, ' Bee': -10.107354}
{' Yes': -0.00080475875, 'Yes': -7.4392467, ' No': -8.595059, ' yes': -10.921366, ' YES': -11.959356}
{' No': -0.10705692, ' Yes': -2.341346, ' Milk': -5.5703783, 'No': -6.811029, 'Yes': -8.812253}
