{' No': -0.065186426, ' Yes': -2.8289306, 'No': -5.7845254, ' The': -7.627158, 'Yes': -8.79785}
{' No': -0.0071939705, 'No': -5.1143203, ' Yes': -7.4527464, '\n': -7.9435396, ' ': -8.989503}
{' Yes': -0.15931366, ' No': -1.9498525, 'Yes': -6.0851684, ' The': -7.0819793, 'No': -7.2273173}
{' Yes': -0.35162193, ' No': -1.2275946, 'Yes': -6.5529027, 'No': -6.883044, ' The': -7.604555}
{' No': -0.033420205, ' Yes': -3.5922408, 'No': -5.399207, '\n': -8.358065, ' The': -8.443354}
{' No': -0.005468193, 'No': -5.479719, ' Yes': -6.9697056, ' ': -8.816042, ' The': -9.308159}
{' No': -0.008591158, 'No': -5.2901444, ' Yes': -5.731177, ' The': -9.357237, '\n': -9.509552}
{' No': -0.32336116, ' Yes': -1.3060653, 'No': -5.7883, ' The': -6.9877796, 'Yes': -7.1792097}
{' Yes': -0.16833092, ' No': -1.904434, 'Yes': -5.942089, '\n': -6.2961173, 'No': -7.4177485}
{' Yes': -0.08294115, ' No': -2.5664425, 'Yes': -6.173668, 'No': -8.369162, ' yes': -8.546368}
{' Yes': -0.21303253, ' No': -1.668267, 'Yes': -6.328627, 'No': -7.2164254, ' The': -8.277348}
{' Yes': -0.41033387, ' No': -1.0980322, 'Yes': -6.8136535, 'No': -6.953955, ' The': -7.5580316}
{' No': -0.02307954, ' Yes': -3.8543096, 'No': -6.530024, ' The': -9.702442, ' ': -10.404573}
{' No': -0.14565556, ' Yes': -2.0224178, 'No': -6.101159, ' The': -7.9779577, 'Yes': -8.343833}
{' Yes': -0.02093174, ' No': -4.0375295, 'Yes': -5.953135, '\n': -8.917391, ' yes': -9.089554}
{' No': -0.17637011, ' Yes': -1.8453764, 'No': -5.8429117, 'Yes': -7.8725734, '\n': -8.664241}
{' No': -0.009312364, 'No': -4.9251733, ' Yes': -6.4776273, ' The': -8.429905, '\n': -9.159721}
{' No': -0.01589506, ' Yes': -4.436429, 'No': -5.642337, ' The': -8.601914, '\n': -9.40239}
{' No': -0.008953978, 'No': -5.3836737, ' Yes': -5.529462, '\n': -9.081516, ' The': -9.397394}
{' No': -0.026498755, ' Yes': -3.7599792, 'No': -5.9351645, 'Yes': -9.802575, '\n': -9.891322}
{' No': -0.012762853, 'No': -5.1013665, ' Yes': -5.158051, '\n': -8.154465, ' The': -8.347657}
{' No': -0.011060405, 'No': -4.722095, ' Yes': -6.4492483, ' ': -8.6282625, ' The': -8.942815}
{' No': -0.052478127, ' Yes': -3.1954737, 'No': -5.0257106, '\n': -6.0202456, ' ': -7.2613}
{' No': -0.006981711, 'No': -5.206244, ' Yes': -6.752146, ' The': -9.166313, '\n': -9.355402}
{' Yes': -0.003394066, 'Yes': -6.4438977, ' No': -6.4775887, ' yes': -9.113887, '\n': -9.847358}
{' Yes': -0.25052384, ' No': -1.5240072, 'Yes': -6.298423, 'No': -7.1388826, '\n': -7.7955503}
{' Yes': -0.018291295, ' No': -4.109882, 'Yes': -6.6189914, ' yes': -8.575826, ' The': -9.67331}
{' Yes': -0.56604385, ' No': -0.84720796, 'No': -6.337827, 'Yes': -6.6102867, ' The': -8.491856}
{' No': -0.17642865, ' Yes': -1.8361939, ' The': -6.7464323, 'No': -7.1071687, 'Yes': -8.890335}
{' Yes': -0.18631306, ' No': -1.7808336, ' The': -7.4427743, 'Yes': -7.5071607, 'No': -8.841342}
{' Yes': -0.08133897, ' No': -2.5632458, 'Yes': -7.52358, ' The': -8.061026, 'No': -9.401818}
{' No': -0.041197613, ' Yes': -3.2463174, 'No': -6.958764, ' The': -8.087017, ' ': -9.52306}
{' No': -0.40422636, ' Yes': -1.1109467, ' The': -6.166605, 'No': -7.4476137, 'Yes': -8.480116}
{' Yes': -0.41713262, ' No': -1.0796139, 'Yes': -7.733222, ' The': -7.8582506, 'No': -8.1909895}
{' No': -0.007248363, ' Yes': -5.176848, 'No': -6.5529637, ' ': -9.914347, ' The': -10.24497}
{' Yes': -0.074674144, ' No': -2.661222, 'Yes': -6.8876834, ' The': -7.192512, 'No': -9.05843}
{' Yes': -0.042932164, ' No': -3.191875, 'Yes': -7.3485746, ' The': -9.307309, ' yes': -9.76105}
{' No': -0.005669824, ' Yes': -5.41541, 'No': -6.875716, ' The': -9.180459, ' ': -10.227513}
{' Yes': -0.15166345, ' No': -1.9668108, 'Yes': -7.660404, 'No': -9.219269, ' The': -9.236267}
{' Yes': -0.34165904, ' No': -1.244737, 'Yes': -7.649303, ' The': -7.782201, 'No': -8.053565}
{' No': -0.023126567, ' Yes': -3.8322675, 'No': -6.954014, ' The': -9.35495, ' ': -9.669418}
{' Yes': -0.25102967, ' No': -1.5117375, 'Yes': -7.3534975, 'No': -7.934198, ' The': -8.276671}
{' Yes': -0.40565193, ' No': -1.1052406, ' The': -7.0398245, 'Yes': -7.5490327, 'No': -7.6902566}
{' Yes': -0.039569028, ' No': -3.284398, 'Yes': -7.074342, ' The': -8.1900625, ' yes': -9.6325445}
{' Yes': -0.026953122, ' No': -3.6535857, 'Yes': -7.6907697, ' The': -9.243146, ' yes': -9.528592}
{' No': -0.24635568, ' Yes': -1.5369288, ' The': -6.5498905, 'No': -6.6904907, 'Yes': -8.233269}
{' Yes': -0.15764992, ' No': -1.9356422, 'Yes': -7.3070393, ' The': -7.6263614, 'No': -8.667021}
{' Yes': -0.0657388, ' No': -2.774109, 'Yes': -7.0845585, ' The': -8.78693, 'No': -9.342298}
{' No': -0.033299297, ' Yes': -3.448125, 'No': -7.1691136, ' The': -9.885417, ' ': -10.026645}
{' Yes': -0.12236236, ' No': -2.1842234, ' The': -6.6586323, 'Yes': -7.491068, ' yes': -7.508203}
{' No': -0.002243489, 'No': -6.1526814, ' Yes': -9.716509, ' ': -10.963558, ' The': -10.989029}
{' No': -0.0018859563, 'No': -6.4135146, ' Yes': -8.630327, ' The': -10.635074, ' ': -11.018036}
{' No': -0.16130553, ' Yes': -1.9144965, 'No': -6.8779287, ' The': -8.111903, 'Yes': -9.271815}
{' No': -0.0030782095, ' Yes': -6.494918, 'No': -6.5491977, ' The': -9.543952, ' ': -10.50702}
{' Yes': -0.21032257, ' No': -1.6675465, 'Yes': -7.8374925, ' The': -8.121302, 'No': -8.950332}
{' Yes': -0.5104914, ' No': -0.9196101, 'Yes': -7.938487, ' The': -7.98609, 'No': -8.056704}
{' Yes': -0.0880432, ' No': -2.481083, 'Yes': -7.8377833, ' The': -9.404914, ' yes': -9.976061}
{' No': -0.09577704, ' Yes': -2.404161, 'No': -7.3306036, ' The': -8.522517, 'Yes': -9.593884}
{' Yes': -0.27846673, ' No': -1.4181992, 'Yes': -7.8642373, 'No': -8.733893, ' The': -9.317872}
{' Yes': -0.09710125, ' No': -2.3939533, 'Yes': -7.4068604, ' The': -7.801628, 'No': -9.521481}
{' Yes': -0.0034013027, ' No': -5.944174, 'Yes': -7.560742, ' The': -8.948166, ' yes': -9.499174}
{' No': -0.05399114, ' Yes': -2.9628499, 'No': -7.4037185, ' The': -8.72178, ' ': -9.967522}
{' Yes': -0.0046983063, ' No': -5.7356453, 'Yes': -6.9030094, ' The': -8.241747, ' yes': -9.317135}
{' No': -0.0045107016, ' Yes': -6.1346965, 'No': -6.1613455, ' The': -9.041282, ' ': -9.782492}
{' Yes': -0.021267893, ' No': -3.9643025, ' The': -6.8700094, 'Yes': -7.4198995, ' yes': -8.488476}
{' Yes': -0.23356234, ' No': -1.5769117, ' The': -7.486942, 'Yes': -7.5915885, ' yes': -8.491044}
{' No': -0.0045113014, ' Yes': -5.5946674, 'No': -7.2953606, ' The': -10.006853, ' ': -10.071793}
{' No': -0.004081612, ' Yes': -5.797672, 'No': -6.9638453, ' ': -10.291135, ' The': -10.302911}
{' Yes': -0.02117176, ' No': -3.927397, 'Yes': -7.451626, ' The': -7.6016273, ' yes': -9.277653}
{' No': -0.3051882, ' Yes': -1.3478633, 'No': -6.4380503, ' The': -6.8255525, 'Yes': -8.233536}
{' No': -0.037036493, ' Yes': -3.4026234, 'No': -6.0400076, ' Not': -8.311069, ' The': -8.39172}
{' No': -0.0030203352, ' Yes': -6.4429235, 'No': -6.6542826, ' The': -9.710759, ' ': -10.160945}
{' No': -0.024062594, ' Yes': -3.7822106, 'No': -7.0560217, ' The': -9.543706, ' ': -10.800515}
{' No': -0.022694852, ' Yes': -3.8195524, 'No': -7.9399753, ' The': -9.419755, ' ': -10.51294}
{' No': -0.09156973, ' Yes': -2.460037, ' The': -7.0137515, 'No': -7.038215, ' ': -9.615473}
{' No': -0.05646127, ' Yes': -2.9407365, 'No': -6.7505913, ' The': -7.3637614, ' Not': -9.424814}
{' No': -0.03452479, ' Yes': -3.424398, 'No': -6.9502196, ' The': -8.872682, ' ': -9.004858}
{' No': -0.09055909, ' Yes': -2.4603138, 'No': -7.228494, ' The': -8.544484, ' ': -9.319384}
{' No': -0.11085772, ' Yes': -2.2756279, 'No': -6.8595486, ' The': -7.12637, 'Yes': -9.17824}
{' Yes': -0.42683783, ' No': -1.0644091, ' The': -6.6252623, 'Yes': -7.598497, 'No': -7.93259}
{' Yes': -0.06985536, ' No': -2.7180202, 'Yes': -6.9781423, ' The': -8.406574, 'No': -9.052807}
{' Yes': -0.3247573, ' No': -1.2887522, 'Yes': -7.423539, ' The': -7.5052147, 'No': -7.9824514}
{' Yes': -0.0047650808, ' No': -5.5022397, 'Yes': -7.8553433, ' The': -8.802637, ' yes': -9.5108185}
{' Yes': -0.337903, ' No': -1.2556065, ' The': -7.0410414, 'Yes': -7.7687078, 'No': -8.469144}
{' No': -0.0094523085, ' Yes': -4.9341063, 'No': -6.4111795, ' The': -7.755122, ' ': -9.5896845}
{' No': -0.017479455, ' Yes': -4.177071, 'No': -6.4662533, ' The': -8.200239, ' ': -9.838865}
{' Yes': -0.003417811, ' No': -6.043531, 'Yes': -7.591842, ' The': -7.769441, ' yes': -9.481864}
{' Yes': -0.09122301, ' No': -2.455101, ' The': -7.216581, 'Yes': -7.947038, ' yes': -9.260632}
{' Yes': -0.0019053629, ' No': -6.8229136, 'Yes': -7.3032146, ' yes': -9.705597, ' The': -10.067244}
{' Yes': -0.6040598, ' No': -0.7930456, 'Yes': -8.167652, 'No': -8.207058, ' The': -8.510735}
{' Yes': -0.12793894, ' No': -2.13158, ' The': -7.277767, 'Yes': -8.153742, ' Deer': -8.815589}
{' Yes': -0.022707291, ' No': -3.9143205, ' The': -6.5045075, 'Yes': -7.7183614, ' yes': -8.035786}
{' No': -0.14268331, ' Yes': -2.029791, ' The': -7.058058, 'No': -7.699112, 'Yes': -9.448984}
{' No': -0.5168552, ' Yes': -0.91061205, 'No': -7.5937037, ' The': -7.791443, 'Yes': -8.099067}
{' No': -0.17928454, ' Yes': -1.8175806, 'No': -6.8521566, ' The': -8.043444, 'Yes': -8.792106}
{' No': -0.007952302, ' Yes': -5.0021615, 'No': -7.0200357, ' The': -8.5413885, ' ': -9.919695}
{' Yes': -0.39088723, ' No': -1.1330749, 'Yes': -7.540755, ' The': -7.7242913, 'No': -8.123439}
{' Yes': -0.063210525, ' No': -2.8198707, 'Yes': -7.0541425, ' The': -8.044513, ' yes': -8.095149}
{' No': -0.0045551886, ' Yes': -6.1607223, 'No': -6.294424, ' The': -7.708197, ' ': -10.076412}
{' No': -0.0020679906, ' Yes': -6.801258, 'No': -7.170071, ' The': -9.1019535, ' ': -10.151554}
{' Yes': -0.023480846, ' No': -3.8249161, 'Yes': -7.1598883, ' The': -7.704559, ' yes': -9.876321}
{' Yes': -0.07713385, ' No': -2.6198852, 'Yes': -7.4170403, ' The': -7.4664865, ' yes': -9.112042}
{' No': -0.44274563, ' Yes': -1.0339228, ' The': -6.8614936, 'No': -7.5166817, 'Yes': -8.472424}
{' No': -0.004092145, ' Yes': -5.76302, 'No': -7.17409, ' The': -9.218561, ' ': -9.965531}
{' No': -0.35363954, ' Yes': -1.2147236, 'No': -7.7163887, ' The': -7.99315, 'Yes': -8.754005}
{' No': -0.07795644, ' Yes': -2.604871, 'No': -7.1508093, ' The': -9.042148, 'Yes': -9.678981}
{' Yes': -0.025466152, ' No': -3.8188124, ' The': -6.362784, 'Yes': -6.7842073, ' yes': -9.190795}
{' Yes': -0.45499617, ' No': -1.0152187, ' The': -6.299099, 'Yes': -7.336212, 'No': -7.7086277}
{' Yes': -0.0042252582, ' No': -5.74612, 'Yes': -7.605726, ' The': -7.8981776, ' yes': -9.729441}
{' No': -0.17875174, ' Yes': -1.8219726, 'No': -6.9521046, ' The': -7.27793, 'Yes': -9.085342}
{' Yes': -0.5947272, ' No': -0.80658394, ' The': -7.205786, 'No': -7.5512547, 'Yes': -7.8739204}
{' Yes': -0.097885534, ' No': -2.3877587, 'Yes': -7.000234, ' The': -8.388357, 'No': -8.701669}
{' No': -0.010514287, ' Yes': -4.730664, 'No': -6.5417314, ' The': -9.411948, ' ': -9.842749}
{' No': -0.3709803, ' Yes': -1.1771269, 'No': -7.202742, ' The': -7.497687, 'Yes': -8.381115}
{' No': -0.027122445, ' Yes': -3.6680813, 'No': -7.331608, ' The': -7.705471, ' Unfortunately': -10.390284}
{' No': -0.11120472, ' Yes': -2.2619464, 'No': -7.462367, ' The': -7.920461, 'Yes': -9.77519}
{' No': -0.36361462, ' Yes': -1.1914116, 'No': -7.4119616, 'Yes': -8.406068, ' The': -9.126894}
{' No': -0.43260425, ' Yes': -1.0536675, ' The': -6.390593, 'No': -7.614418, 'Yes': -8.50951}
{' Yes': -0.002944051, ' No': -6.2545156, 'Yes': -7.3261724, ' The': -8.607472, ' yes': -9.422678}
{' No': -0.36787125, ' Yes': -1.1826143, 'No': -7.332876, ' The': -8.195245, 'Yes': -8.477974}
{' No': -0.14941463, ' Yes': -1.9830328, 'No': -7.2457395, ' The': -8.643877, 'Yes': -9.358709}
{' Yes': -0.1890753, ' No': -1.7631835, 'Yes': -7.977144, ' The': -8.6836405, 'No': -8.991196}
{' Yes': -0.025621952, ' No': -3.7461932, ' The': -7.2191358, 'Yes': -7.2891965, ' yes': -9.238499}
{' No': -0.47256765, ' Yes': -0.982915, ' The': -6.802962, 'No': -7.370104, 'Yes': -8.144699}
{' Yes': -0.40895748, ' No': -1.0964745, 'Yes': -7.440815, 'No': -7.865544, ' The': -7.9767804}
{' Yes': -0.053569973, ' No': -2.9699535, 'Yes': -7.5547924, ' The': -8.951241, ' yes': -9.114843}
{' No': -0.01393424, ' Yes': -4.3518724, 'No': -7.243846, ' The': -9.004926, ' ': -10.159593}
{' No': -0.010938731, ' Yes': -4.732479, 'No': -6.383596, ' The': -8.448713, ' ': -9.523245}
{' No': -0.03503418, ' Yes': -3.4028208, 'No': -7.396952, ' The': -7.788934, '\n': -10.57615}
{' No': -0.24962743, ' Yes': -1.5234025, ' The': -6.720439, 'No': -6.771123, 'Yes': -8.356477}
{' No': -0.38341898, ' Yes': -1.148653, 'No': -7.317262, ' The': -8.030011, 'Yes': -8.452178}
{' Yes': -0.008315793, ' No': -4.986976, 'Yes': -6.829183, ' The': -8.290886, ' yes': -10.080432}
{' Yes': -0.35548332, ' No': -1.2103647, ' The': -7.8935537, 'Yes': -7.9292517, 'No': -8.489947}
{' Yes': -0.032374345, ' No': -3.47939, 'Yes': -7.2223043, ' yes': -9.351954, ' The': -9.382596}
{' No': -0.29693878, ' Yes': -1.3663912, 'No': -6.8701463, ' The': -7.759243, 'Yes': -8.140745}
{' No': -0.032561213, ' Yes': -3.4788995, 'No': -6.9845605, ' The': -8.626973, 'Yes': -10.515774}
{' No': -0.028661504, ' Yes': -3.6038756, 'No': -7.1623163, ' The': -8.802516, ' ': -9.902414}
{' No': -0.5898938, ' Yes': -0.81121874, 'No': -7.5541973, 'Yes': -7.9050994, ' The': -8.424101}
{' No': -0.034211848, ' Yes': -3.4371963, 'No': -6.800866, ' The': -8.430987, ' ': -10.1852255}
{' No': -0.003278106, 'No': -6.414489, ' Yes': -6.4992385, ' The': -9.53639, ' ': -10.787072}
{' Yes': -0.19897604, ' No': -1.7217441, 'Yes': -7.3898478, ' The': -7.665586, ' yes': -8.755562}
{' Yes': -0.5235644, ' No': -0.900718, ' The': -7.6033106, 'Yes': -7.997969, 'No': -8.263015}
{' No': -0.030005934, ' Yes': -3.582618, 'No': -6.553218, ' The': -8.728353, ' ': -9.94904}
{' No': -0.03058781, ' Yes': -3.5679278, 'No': -6.6573043, ' The': -7.7516584, ' ': -9.76982}
{' No': -0.2801292, ' Yes': -1.414418, 'No': -7.581505, ' The': -7.6893926, 'Yes': -9.044754}
{' No': -0.03388371, ' Yes': -3.4432733, 'No': -6.9443927, ' The': -8.252253, ' ': -10.149728}
{' No': -0.041046634, ' Yes': -3.2528536, 'No': -6.715691, ' The': -8.901016, ' ': -9.65889}
{' No': -0.0012925398, 'No': -7.2457705, ' Yes': -7.5629683, ' The': -10.690757, ' ': -10.959649}
{' No': -0.24305472, ' Yes': -1.5460675, 'No': -6.796336, ' The': -6.8495994, 'Yes': -8.410197}
{' No': -0.098597944, ' Yes': -2.386905, ' The': -7.0040545, 'No': -7.1204634, 'Yes': -9.418336}
{' No': -0.09081668, ' Yes': -2.4563925, 'No': -7.3732543, ' The': -8.230001, 'Yes': -9.603586}
{' No': -0.20206718, ' Yes': -1.7063873, ' The': -7.298094, 'No': -7.576331, 'Yes': -9.10153}
{' Yes': -0.0011378567, ' No': -7.2763047, 'Yes': -8.30964, ' The': -9.0171175, ' yes': -9.794528}
{' Yes': -0.062127326, ' No': -2.8395128, ' The': -7.2225175, 'Yes': -7.227216, ' yes': -8.787652}
{' Yes': -0.01397703, ' No': -4.354004, 'Yes': -7.313566, ' The': -8.303129, ' yes': -9.721213}
{' Yes': -0.28580442, ' No': -1.3960243, 'Yes': -7.7864175, ' The': -8.09629, 'No': -9.100478}
{' No': -0.017959537, ' Yes': -4.0741553, 'No': -7.339145, ' ': -10.035712, ' The': -10.062501}
{' Yes': -0.4941704, ' No': -0.9448711, ' The': -7.848267, 'No': -8.1196, 'Yes': -8.205649}
{' Yes': -0.5891992, ' No': -0.81239134, 'Yes': -7.647768, 'No': -7.8351693, ' The': -7.8465576}
{' No': -0.033666447, ' Yes': -3.4667795, 'No': -6.861741, ' The': -7.4383936, ' ': -9.040273}
{' Yes': -0.44801533, ' No': -1.0224154, 'Yes': -7.5209427, 'No': -7.609144, ' The': -8.815725}
{' Yes': -0.59291834, ' No': -0.8086873, 'No': -7.187502, 'Yes': -7.356251, ' The': -8.60154}
{' No': -0.0019685463, 'No': -6.386642, ' Yes': -8.864609, ' The': -9.334559, ' ': -10.594692}
{' No': -0.0014246848, 'No': -7.023401, ' Yes': -7.744613, ' The': -9.636616, ' ': -11.357326}
{' Yes': -0.5343244, ' No': -0.88626647, 'Yes': -7.347539, 'No': -7.414155, ' The': -8.407943}
{' No': -0.01859195, ' Yes': -4.0626016, 'No': -6.906033, ' The': -9.2088175, ' ': -10.308388}
{' No': -0.0018776549, 'No': -6.9384866, ' Yes': -7.1256304, ' The': -9.700344, ' ': -11.252993}
{' No': -0.0012757699, 'No': -6.7950306, ' Yes': -9.799098, ' The': -9.932984, ' ': -10.561941}
{' Yes': -0.23636739, ' No': -1.5652227, 'Yes': -7.5607285, ' The': -7.563061, 'No': -8.606529}
{' No': -0.0031030816, ' Yes': -6.2378683, 'No': -6.902696, ' ': -9.808043, ' The': -9.829777}
{' No': -0.06024763, ' Yes': -2.872982, 'No': -6.623079, ' The': -7.918722, 'Yes': -9.615923}
{' No': -0.05237542, ' Yes': -3.009601, 'No': -6.5851455, ' The': -8.967428, 'Yes': -9.596669}
{' Yes': -0.6286784, ' No': -0.76660645, 'No': -7.413642, ' The': -7.5865426, 'Yes': -7.643752}
{' No': -0.06732227, ' Yes': -2.755364, 'No': -6.8918667, ' The': -8.62882, ' ': -8.926601}
{' No': -0.019042617, ' Yes': -4.0417285, 'No': -6.9217486, ' The': -8.702315, ' ': -9.799861}
{' Yes': -0.038779322, ' No': -3.2970264, 'Yes': -7.5917807, ' The': -8.074667, ' yes': -9.051175}
{' Yes': -0.6767683, ' No': -0.7119016, ' The': -7.8838606, 'Yes': -8.34167, 'No': -8.433868}
{' Yes': -0.06641141, ' No': -2.777404, 'Yes': -7.091813, ' The': -7.303958, ' yes': -8.719783}
{' No': -0.05766459, ' Yes': -2.9071383, 'No': -7.322213, ' The': -7.4365816, ' ': -10.016206}
{' No': -0.024922017, ' Yes': -3.7611737, 'No': -6.925387, ' The': -8.34412, ' ': -9.856841}
{' No': -0.017302595, ' Yes': -4.265895, 'No': -6.018735, ' The': -7.6740937, ' Not': -9.928155}
{' No': -0.018689414, ' Yes': -4.0776644, 'No': -6.731582, ' The': -8.430372, ' ': -10.132379}
{' Yes': -0.0023144595, ' No': -6.6237726, 'Yes': -7.1551747, ' yes': -9.381504, ' The': -9.735567}
{' Yes': -0.008165849, ' No': -4.9375615, 'Yes': -7.359896, ' The': -8.791042, ' yes': -9.271891}
{' No': -0.34179738, ' Yes': -1.2445359, 'No': -7.2361984, ' The': -8.146402, 'Yes': -8.430054}
{' No': -0.44939002, ' Yes': -1.023664, ' The': -6.300386, 'No': -7.8392596, 'Yes': -8.22475}
{' No': -0.036357135, ' Yes': -3.3807173, 'No': -7.109721, ' The': -7.330264, ' ': -9.208844}
{' No': -0.019573478, ' Yes': -4.0651817, 'No': -6.5831738, ' The': -7.3440056, ' ': -9.449268}
{' Yes': -0.6133086, ' No': -0.7822597, 'Yes': -7.659367, 'No': -8.460486, ' The': -8.56263}
{' No': -0.030522792, ' Yes': -3.5281613, 'No': -7.928556, ' The': -8.397604, 'Yes': -10.473077}
{' No': -0.22320543, ' Yes': -1.6214464, ' The': -6.792587, 'No': -7.1301208, 'Yes': -8.430704}
{' No': -0.0402974, ' Yes': -3.274123, 'No': -6.8618984, ' The': -7.8207517, 'Yes': -9.911197}
{' No': -0.0030657141, 'No': -6.0485706, ' Yes': -7.9579334, ' The': -8.777716, ' ': -9.391651}
{' No': -0.10892941, ' Yes': -2.3092506, 'No': -6.231163, ' The': -6.555456, 'Yes': -8.710394}
{' Yes': -0.019435389, ' No': -3.986478, 'Yes': -7.755647, ' The': -9.286323, ' yes': -9.511527}
{' No': -0.049721178, ' Yes': -3.0557237, 'No': -7.0358167, ' The': -8.029484, ' ': -9.653226}
{' No': -0.024207491, ' Yes': -3.7856092, 'No': -6.8886924, ' The': -9.406693, ' ': -10.078507}
{' Yes': -0.23277177, ' No': -1.5839146, 'Yes': -7.1884503, ' The': -7.3367085, ' Most': -7.5445046}
{' Yes': -0.009257317, ' No': -4.777522, 'Yes': -7.641312, ' The': -8.642093, ' yes': -9.884512}
{' No': -0.26386276, ' Yes': -1.4662399, 'No': -7.41115, ' The': -8.324072, 'Yes': -8.954718}
{' No': -0.05358626, ' Yes': -2.9815645, 'No': -6.8825564, ' The': -8.391564, ' ': -9.466594}
{' No': -0.009062663, ' Yes': -4.9518743, 'No': -6.340544, ' ': -9.517172, '\n': -10.113106}
{' Yes': -0.029398005, ' No': -3.6045628, 'Yes': -7.060909, ' The': -7.533067, ' yes': -8.886592}
{' Yes': -0.1517591, ' No': -1.9719248, ' The': -7.3879075, 'Yes': -7.392421, 'No': -8.694329}
{' No': -0.06489223, ' Yes': -2.7902398, 'No': -6.9727535, ' The': -8.054443, ' ': -9.604063}
{' No': -0.003111634, 'No': -6.555413, ' Yes': -6.6093435, ' The': -8.565611, ' ': -9.311152}
{' No': -0.0043124747, ' Yes': -5.7461696, 'No': -6.977245, ' The': -9.16449, ' ': -10.426299}
{' No': -0.18580908, ' Yes': -1.7863663, 'No': -7.0203233, ' The': -7.2054753, 'Yes': -8.899069}
{' Yes': -0.03594839, ' No': -3.3701289, 'Yes': -7.319893, ' The': -9.173609, ' yes': -9.688061}
{' Yes': -0.01792185, ' No': -4.1055737, 'Yes': -6.9692364, ' The': -8.570112, ' yes': -9.5056095}
{' Yes': -0.016541798, ' No': -4.1885467, 'Yes': -7.035064, ' The': -8.679648, ' yes': -9.598121}
{' Yes': -0.13704169, ' No': -2.0652874, ' The': -7.42432, 'Yes': -7.7087536, 'No': -9.247612}
{' No': -0.009450865, ' Yes': -4.709482, 'No': -7.986723, ' The': -10.438444, ' ': -11.178428}
{' No': -0.3857276, ' Yes': -1.1428326, 'No': -7.693972, ' The': -7.9715714, 'Yes': -8.697272}
{' Yes': -0.06433514, ' No': -2.7966022, 'Yes': -7.15127, ' The': -8.151173, 'No': -9.556131}
{' Yes': -0.5212671, ' No': -0.9032386, 'Yes': -8.009758, 'No': -8.127769, ' The': -8.408728}
{' No': -0.0037404716, ' Yes': -6.0495167, 'No': -6.856214, ' The': -8.37841, ' ': -10.181545}
{' No': -0.012977792, ' Yes': -4.416327, 'No': -7.3978043, ' The': -8.969479, ' ': -10.567343}
{' No': -0.015112502, ' Yes': -4.269778, 'No': -7.094452, ' The': -9.237595, ' ': -10.428099}
{' No': -0.045242243, ' Yes': -3.1503692, 'No': -6.7331505, ' The': -9.376965, 'Yes': -9.933027}
{' No': -0.029823659, ' Yes': -3.5985703, 'No': -6.5830746, ' The': -7.73398, ' ': -9.448257}
{' No': -0.025345646, ' Yes': -3.7972875, 'No': -6.1970468, ' The': -8.105599, ' ': -9.087863}
{' No': -0.064872004, ' Yes': -2.7989607, 'No': -6.710337, ' ': -8.261113, '\n': -8.639967}
{' No': -0.0052630655, ' Yes': -5.439936, 'No': -7.138838, ' The': -9.665735, ' ': -10.633465}
{' Yes': -0.0013830229, 'Yes': -7.324053, ' No': -7.4123554, ' The': -10.144106, ' yes': -10.26963}
{' Yes': -0.051833518, ' No': -3.0060802, 'Yes': -7.4710155, ' The': -8.284537, ' ': -9.649579}
{' Yes': -0.075534105, ' No': -2.6340554, 'Yes': -7.5950007, ' The': -8.818248, ' yes': -8.867099}
{' No': -0.43770707, ' Yes': -1.0411559, 'No': -7.3943295, ' The': -7.698703, 'Yes': -8.328456}
