{' Yes': -0.4832697, ' No': -0.96698284, 'Yes': -6.763613, 'No': -6.8934584, ' Nope': -7.4044847}
{' No': -0.0051264013, 'No': -5.324767, '\n': -9.274482, ' Yes': -9.5296755, ' Nope': -9.744559}
{' Yes': -0.6283273, ' No': -0.76675314, 'Yes': -6.998343, 'No': -7.2454443, '\n': -8.59699}
{' No': -0.0047274698, 'No': -5.3824873, ' Nope': -9.730432, '\n': -9.955093, ' ': -11.583975}
{' No': -0.002728985, 'No': -5.947183, '\n': -9.656629, ' Yes': -10.518498, ' Nope': -11.59645}
{' Yes': -0.076934926, ' No': -2.631895, 'Yes': -6.4572926, 'No': -8.233953, '\n': -9.674477}
{' Yes': -0.1634736, ' No': -1.903828, 'Yes': -6.941931, 'No': -7.8580194, ' Nope': -8.344627}
{' No': -0.005282003, 'No': -5.7921486, ' Yes': -6.2060456, '\n': -9.470312, ' Nope': -9.54105}
{' No': -0.005538616, ' Yes': -5.7491713, 'No': -6.1234655, '\n': -9.191854, ' Nope': -10.55655}
{' Yes': -0.042643882, ' No': -3.2529938, 'Yes': -6.0797677, ' Nope': -7.698306, 'No': -9.094181}
{' Yes': -0.33344153, ' No': -1.2927369, ' Nope': -5.2978845, 'Yes': -5.9714894, 'No': -6.8642945}
{' No': -0.0023817935, 'No': -6.131671, ' Yes': -9.458521, ' Nope': -9.746806, '\n': -10.014789}
{' No': -0.0032510147, 'No': -6.0636563, ' Yes': -7.5667024, ' Nope': -8.099214, '\n': -9.552701}
{' Yes': -0.0014074334, 'Yes': -7.010629, ' Under': -8.743559, ' No': -9.535145, ' yes': -9.547798}
{' Yes': -0.0037032596, ' No': -6.0150557, 'Yes': -6.899701, ' Under': -9.659219, ' yes': -9.999642}
{' No': -0.009335045, ' Yes': -4.977562, 'No': -6.30562, ' Nope': -7.810642, '\n': -9.104237}
{' No': -0.0026300729, 'No': -6.183625, ' Yes': -8.110608, '\n': -8.94156, ' Nope': -9.130456}
{' Yes': -0.010820567, ' No': -4.635824, 'Yes': -7.0665417, ' Crack': -8.962204, '\n': -10.619007}
{' Yes': -0.042960912, ' No': -3.202415, 'Yes': -6.8045554, 'No': -9.260151, ' Crack': -10.029629}
{' No': -0.0021258094, 'No': -6.2020707, '\n': -9.6637535, ' Yes': -10.656912, ' Nope': -12.353209}
{' No': -0.0022973742, 'No': -6.1540112, ' Nope': -9.5354185, ' Yes': -9.655505, '\n': -10.679744}
{' Yes': -0.14542067, ' Ar': -3.006768, ' No': -3.3671136, ' Sure': -3.8280015, ' Arg': -4.6029696}
{' Yes': -0.44011283, ' No': -2.109184, ' Ar': -2.321388, ' Arg': -2.6670089, ' Argument': -3.3396802}
{' No': -0.0017930403, 'No': -6.3648524, ' Yes': -10.601034, '\n': -10.687281, ' Nope': -11.187452}
{' No': -0.0028525337, 'No': -5.9184422, ' Yes': -9.4369, ' Nope': -10.269938, '\n': -10.390075}
{' Yes': -0.0010429798, 'Yes': -7.112624, ' No': -8.732387, ' yes': -10.5078535, ' YES': -10.95967}
{' Yes': -0.0057770694, ' No': -5.3484187, 'Yes': -6.9914317, ' yes': -10.573374, 'No': -11.04354}
{' No': -0.0027843916, 'No': -5.950969, ' Nope': -9.518256, '\n': -9.920369, ' Yes': -10.041787}
{' No': -0.0022182178, 'No': -6.148947, ' Yes': -10.37396, '\n': -10.725862, ' Nope': -10.820506}
{' Yes': -0.0036186087, 'Yes': -5.9906106, ' No': -7.856637, ' yes': -9.191114, ' Yep': -9.219694}
{' Yes': -0.011670139, ' No': -5.264987, 'Yes': -5.8294854, ' Ear': -7.5646696, ' Early': -7.9507236}
{' No': -0.005390763, ' Yes': -5.7287526, 'No': -6.2550893, ' Nope': -8.886486, '\n': -10.100398}
{' No': -0.004583931, 'No': -6.036333, ' Yes': -6.220001, ' Nope': -9.135595, '\n': -9.678121}
{' Yes': -0.037071314, ' No': -3.4331036, 'Yes': -6.174789, ' Goose': -6.5525393, ' Nope': -8.128338}
{' Yes': -0.0666131, ' No': -2.8156173, 'Yes': -6.014031, ' Goose': -6.625094, ' Nope': -8.105549}
{' No': -0.003679867, 'No': -5.6914825, ' Yes': -8.986803, '\n': -9.2661, ' Not': -10.043701}
{' No': -0.0036192064, 'No': -5.6866336, ' Yes': -9.165589, '\n': -9.506984, ' Nope': -10.45538}
{' No': -0.04614055, ' Ocean': -3.8496184, ' Yes': -4.200971, ' Nope': -5.4540772, 'No': -5.6462626}
{' No': -0.023078501, ' Yes': -4.531381, ' Nope': -5.1867194, 'No': -5.2222896, ' Ocean': -7.6091976}
{' No': -0.0018516176, 'No': -6.3213434, '\n': -10.288063, ' Yes': -11.787364, ' Nope': -11.963316}
{' No': -0.0030064064, 'No': -5.8554597, '\n': -9.674517, ' Nope': -9.738806, ' Not': -12.345953}
{' Yes': -0.5474613, ' No': -0.8693626, 'No': -6.8851285, 'Yes': -7.058219, ' Nope': -8.01542}
{' Yes': -0.14685394, ' No': -2.0165858, 'Yes': -6.1996455, 'No': -7.2980704, ' Nope': -8.160178}
{' No': -0.003546584, 'No': -5.673022, '\n': -9.550765, ' Nope': -10.846055, ' ': -11.661617}
{' No': -0.0015864583, 'No': -6.498754, '\n': -10.085391, ' Nope': -10.577339, ' ': -11.96445}
{' Yes': -0.020915853, ' No': -3.9883382, 'Yes': -6.330625, '\n': -9.427507, ' Gross': -9.777013}
{' Yes': -0.017882165, ' No': -4.1794515, 'Yes': -6.3466606, ' Gross': -8.306871, '\n': -9.034316}
{' No': -0.0030434139, 'No': -5.880317, ' Nope': -8.837016, ' Yes': -9.512631, '\n': -11.189128}
{' No': -0.002348276, 'No': -6.196993, ' Yes': -8.437189, ' Nope': -9.584599, '\n': -11.0486145}
{' Yes': -0.0012222949, 'Yes': -6.7870407, '\n': -10.843785, ' Sure': -10.88136, ' yes': -11.196571}
{' Yes': -0.0012664603, 'Yes': -6.927955, ' No': -8.44128, '\n': -10.354339, ' yes': -11.550982}
{' No': -0.0024745255, 'No': -6.041134, '\n': -9.755377, ' ': -11.15126, ' Nope': -11.411854}
{' No': -0.0039661694, 'No': -5.552082, '\n': -9.76974, ' ': -11.645717, ' Nope': -12.000572}
{' Yes': -0.25779167, ' No': -1.5879422, ' Guard': -4.1079235, 'Yes': -5.8641195, 'No': -6.1154895}
{' Yes': -0.27246302, ' No': -1.8622303, ' Guard': -2.6508105, 'Yes': -5.705016, 'No': -6.2119236}
{' No': -0.006941376, ' Yes': -5.549135, 'No': -5.854988, '\n': -9.12203, ' Not': -11.148926}
{' No': -0.008724028, ' Yes': -5.168173, 'No': -5.8856688, '\n': -9.053938, ' Nope': -10.276002}
{' Yes': -0.0021945639, 'Yes': -6.1762757, ' No': -10.078106, ' yes': -10.64901, ' YES': -11.007919}
{' Yes': -0.0023593279, 'Yes': -6.1405177, ' No': -9.401327, ' yes': -9.856978, '\n': -10.534129}
{' No': -0.0023659621, 'No': -6.0859437, '\n': -10.085486, ' Nope': -10.719302, ' Yes': -11.057551}
{' No': -0.0033445465, 'No': -5.7518435, '\n': -8.946885, ' Yes': -11.349157, ' ': -11.911884}
{' Yes': -0.12181923, ' No': -2.2545857, ' Grass': -4.9594235, 'Yes': -6.2054143, 'No': -8.206076}
{' Yes': -0.11431945, ' No': -2.3794465, ' Grass': -4.3409314, 'Yes': -6.3756604, 'No': -8.528035}
{' No': -0.0072531067, ' Yes': -5.4504504, 'No': -6.145307, ' Nope': -7.236188, '\n': -10.688865}
{' No': -0.050924864, ' Yes': -3.0677667, 'No': -6.202568, ' Nope': -7.3357387, 'Yes': -9.068649}
{' Yes': -0.0031751925, 'Yes': -5.935498, ' No': -7.969735, ' yes': -9.409734, ' YES': -10.756432}
{' Yes': -0.0023949966, 'Yes': -6.190992, ' No': -8.364333, ' yes': -9.644141, ' YES': -10.801032}
{' No': -0.0032771486, 'No': -5.772724, '\n': -8.904663, ' Nope': -11.571638, ' ': -11.862718}
{' No': -0.003315301, 'No': -5.7293606, '\n': -9.863632, ' Nope': -12.670075, ' ': -12.929466}
{' Yes': -0.018021498, ' No': -4.4207277, 'Yes': -5.5558267, ' Girls': -6.6020913, ' Nope': -9.20525}
{' Yes': -0.027000027, ' No': -3.9090533, ' Girls': -5.632652, 'Yes': -5.987199, '\n': -9.141803}
{' No': -0.008089592, 'No': -5.684952, ' Nope': -5.8532333, ' Yes': -6.406744, '\n': -9.51799}
{' No': -0.007333382, ' Yes': -5.548475, 'No': -5.8725157, ' Nope': -8.167466, ' Not': -8.869191}
{' Yes': -0.029425442, ' No': -3.6459374, 'Yes': -6.067755, ' Nope': -8.575151, 'No': -9.048625}
{' Yes': -0.031516824, ' No': -3.6155581, 'Yes': -5.9083114, ' Light': -7.61633, 'No': -8.720297}
{' No': -0.002366439, 'No': -6.0847178, '\n': -10.119878, ' Nope': -10.484553, ' Yes': -11.771464}
{' No': -0.0021903221, 'No': -6.2415757, ' Yes': -8.700941, '\n': -10.017767, ' Nope': -10.843489}
{' Yes': -0.4946948, ' No': -0.9462443, 'Yes': -7.214717, ' Nope': -7.233594, 'No': -7.692557}
{' Yes': -0.024729665, ' No': -3.7843556, 'Yes': -6.5721517, ' Nope': -9.100364, 'No': -9.95907}
{' No': -0.0019935097, 'No': -6.2802978, '\n': -10.071478, ' Nope': -10.444635, ' Yes': -10.455311}
{' No': -0.0020814266, 'No': -6.22207, ' Yes': -10.022852, '\n': -10.452709, ' Nope': -11.389854}
{' Yes': -0.10731714, ' No': -2.3320675, 'Yes': -5.942743, ' Nope': -7.1206646, ' Lose': -7.7488093}
{' Yes': -0.38443753, ' No': -1.329586, ' Lo': -3.7042997, ' Lose': -3.7673547, 'Yes': -5.972825}
{' No': -0.003761711, 'No': -5.619417, '\n': -9.584841, ' Nope': -10.011755, ' ': -12.055528}
{' No': -0.0035191313, 'No': -5.6716914, '\n': -10.222024, ' Yes': -11.099319, ' ': -11.791205}
{' Yes': -0.43522012, ' No': -1.0565809, 'Yes': -5.877494, 'No': -6.4412894, ' Nope': -7.4020777}
{' Yes': -0.08359777, ' No': -2.6024861, 'Yes': -5.2927747, 'No': -7.627829, ' Nope': -8.226439}
{' No': -0.0017110558, 'No': -6.476351, ' Yes': -9.158325, '\n': -10.173573, ' Nope': -10.8488865}
{' No': -0.0017833055, 'No': -6.5938945, ' Yes': -8.155719, '\n': -9.485408, ' Nope': -10.101755}
{' Yes': -0.0071291947, ' No': -5.214919, 'Yes': -6.4873133, ' yes': -10.391888, 'No': -10.753231}
{' Yes': -0.010429601, ' No': -4.743191, 'Yes': -6.570812, '\n': -9.367785, ' Seven': -10.178661}
{' No': -0.0068228454, ' Yes': -5.449074, 'No': -6.0309176, ' Nope': -10.132612, '\n': -10.238062}
{' No': -0.006755272, ' Yes': -5.700765, 'No': -5.750543, '\n': -9.175256, ' Nope': -9.642148}
{' Yes': -0.0036140617, 'Yes': -5.7203536, ' No': -8.474323, ' yes': -10.4948, '\n': -10.84954}
{' Yes': -0.028688492, ' No': -3.667835, 'Yes': -6.1153164, ' Nope': -8.219856, 'No': -9.31884}
{' No': -0.002964021, 'No': -5.8727813, ' Nope': -9.556925, ' Yes': -10.264455, '\n': -10.706237}
{' No': -0.0016275318, 'No': -6.467636, '\n': -9.950977, ' Nope': -11.107782, ' ': -12.201159}
{' Yes': -0.006335061, ' No': -5.50997, 'Yes': -6.5156612, ' Rough': -7.271195, ' Nope': -10.871715}
{' Yes': -0.16739158, ' Rough': -2.0079162, ' No': -4.1877694, 'Yes': -6.2503643, ' Tough': -6.475352}
{' No': -0.002741357, 'No': -5.983458, '\n': -9.183556, ' Yes': -9.902627, ' Nope': -10.30043}
{' No': -0.00290992, 'No': -5.9345465, ' Nope': -9.272016, '\n': -9.591264, ' Yes': -9.789868}
{' Yes': -0.034593344, ' Dance': -3.8128107, 'Yes': -4.8477707, ' No': -5.7721925, ' yes': -8.056751}
{' No': -0.2808172, ' Yes': -1.4509698, 'No': -5.5637474, ' Dance': -5.835109, ' Nope': -6.355804}
{' No': -0.026654534, ' Yes': -3.7260678, 'No': -6.2726774, '\n': -8.788362, ' Nope': -9.55502}
{' No': -0.011943475, ' Yes': -4.6765056, 'No': -6.1383276, '\n': -8.583127, ' Not': -9.009572}
{' Yes': -0.006399003, ' No': -5.3589225, 'Yes': -6.494409, ' yes': -9.552024, ' Salad': -10.254982}
{' Yes': -0.043205038, ' No': -3.1991973, 'Yes': -6.633489, 'No': -9.589284, ' yes': -10.360328}
{' No': -0.003215734, 'No': -5.8173785, ' Yes': -9.122159, '\n': -9.232875, ' Not': -11.428401}
{' No': -0.0021623662, 'No': -6.203103, '\n': -9.68835, ' Yes': -9.770316, ' Nope': -11.7234745}
{' Yes': -0.07781321, ' No': -2.7316997, 'Yes': -5.264376, ' Looks': -5.7092786, 'No': -8.063342}
{' Yes': -0.09484175, ' No': -2.4853466, 'Yes': -5.326657, ' Looks': -6.8367333, 'No': -8.006771}
{' No': -0.0020811872, 'No': -6.3079567, ' Yes': -8.818806, ' Nope': -9.960133, '\n': -10.096586}
{' No': -0.0018928845, 'No': -6.3456445, '\n': -9.644867, ' Yes': -9.955473, ' Nope': -11.11485}
{' Store': -0.7016308, ' Yes': -0.75149846, ' Sure': -3.4942122, 'Yes': -6.806788, 'Store': -7.495786}
{' Yes': -0.0155516695, ' Sure': -4.453145, ' Store': -6.438052, 'Yes': -6.6901407, ' No': -7.404004}
{' No': -0.0029476988, 'No': -5.9626203, ' Yes': -8.362377, ' Nope': -9.742877, '\n': -9.991849}
{' No': -0.0045128562, ' Yes': -5.9362125, 'No': -6.6465797, ' Nope': -7.652657, '\n': -9.950702}
{' Yes': -0.0026412494, 'Yes': -6.488069, ' No': -7.454797, ' Break': -7.7823534, ' yes': -9.954152}
{' Yes': -0.0020902685, ' No': -6.816511, 'Yes': -6.9856563, ' yes': -10.58634, '\n': -11.605513}
{' No': -0.00248809, 'No': -6.0317254, '\n': -9.932998, ' Not': -11.051243, ' Nope': -11.435949}
{' No': -0.0026915683, 'No': -5.9733844, '\n': -8.997347, ' Nope': -12.0034485, ' ': -12.456521}
{' Yes': -0.03483383, ' No': -3.4674146, 'Yes': -5.955783, ' Parts': -8.897077, 'No': -9.433618}
{' Yes': -0.060654327, ' No': -2.897509, 'Yes': -5.696991, 'No': -8.699303, ' Nope': -10.0446}
{' No': -0.0028047143, 'No': -5.934738, ' Nope': -9.709731, '\n': -10.06482, ' Yes': -10.423436}
{' No': -0.002017938, 'No': -6.2308173, '\n': -10.699994, ' Nope': -11.334057, ' Yes': -11.827173}
{' Yes': -0.016759852, ' No': -4.791862, 'Yes': -5.460817, ' Nope': -6.659676, ' Sh': -6.6618323}
{' Yes': -0.03255795, ' No': -4.081163, 'Yes': -5.338128, ' Nope': -5.5761213, ' Sh': -5.6139636}
{' No': -0.0023722935, 'No': -6.1153135, ' Yes': -9.692275, ' Nope': -9.943992, '\n': -10.167104}
{' No': -0.004583931, 'No': -5.6279836, ' Nope': -7.3464093, ' Yes': -8.267393, ' Not': -10.090563}
{' Yes': -0.013002129, ' No': -4.634372, 'Yes': -5.829072, ' Nope': -9.190877, ' yes': -10.057955}
{' Yes': -0.014260069, ' No': -4.489432, 'Yes': -5.887057, ' Nope': -10.174496, 'No': -10.22889}
{' No': -0.002320435, 'No': -6.0752416, ' Nope': -11.823516, '\n': -11.848781, ' Not': -13.6013155}
{' No': -0.0035532261, 'No': -5.653644, '\n': -10.391738, ' Nope': -11.931447, ' ': -13.093805}
{' Yes': -0.002417464, 'Yes': -6.386332, ' Learn': -7.6942677, ' yes': -9.222368, ' YES': -9.709762}
{' Yes': -0.0020344828, 'Yes': -6.641881, ' No': -7.3200364, ' yes': -10.370837, ' YES': -11.235822}
{' No': -0.0019914203, 'No': -6.289194, ' Nope': -9.552357, '\n': -10.528496, ' Yes': -10.64015}
{' No': -0.0025234038, 'No': -6.045, ' Nope': -9.291504, '\n': -10.114855, ' ': -11.92733}
{' No': -0.3880217, ' Yes': -1.1406254, 'No': -6.5596385, 'Yes': -8.051013, ' Minor': -8.57959}
{' Yes': -0.0048963046, ' No': -5.483904, 'Yes': -7.317007, ' yes': -10.553582, ' Sure': -11.480247}
{' No': -0.0020415902, 'No': -6.257696, '\n': -9.540329, ' Yes': -10.603255, ' Nope': -10.877979}
{' No': -0.0024865346, 'No': -6.0950646, '\n': -8.874963, ' Yes': -9.883805, ' Nope': -10.788537}
{' Yes': -0.0015612049, 'Yes': -6.5432234, ' No': -9.213968, ' yes': -11.8609, ' Sure': -12.448117}
{' Yes': -0.0026675456, 'Yes': -6.34952, ' No': -7.1319094, ' Sure': -9.899167, '\n': -10.715728}
{' No': -0.0028209116, 'No': -5.897779, '\n': -10.429789, ' Yes': -10.63883, ' Nope': -11.4200945}
{' No': -0.003457403, 'No': -5.7675047, ' Nope': -8.461814, '\n': -9.249133, ' ': -12.00318}
{' Yes': -0.026910994, ' No': -4.4262676, ' Arrow': -4.5270863, 'Yes': -5.700554, 'No': -9.011474}
{' Yes': -0.028820073, ' Arrow': -4.1081276, ' No': -4.7978935, 'Yes': -5.7823257, 'No': -9.29202}
{' No': -0.0027371726, 'No': -5.983408, '\n': -8.869748, ' Nope': -10.388334, ' Yes': -10.477684}
{' No': -0.0018506622, 'No': -6.40793, '\n': -9.596298, ' Yes': -9.694143, ' Nope': -9.820065}
{' Yes': -0.16896597, ' No': -1.9197556, ' Nope': -5.4726253, 'Yes': -6.1264315, 'No': -6.462173}
{' Yes': -0.01629483, ' No': -4.36919, 'Yes': -5.9659367, ' Chain': -8.2303915, ' Nope': -8.322032}
{' No': -0.0018884644, 'No': -6.324329, ' Nope': -9.818962, '\n': -10.906683, ' Yes': -11.089832}
{' No': -0.0032279324, 'No': -5.8322816, ' Yes': -8.913375, ' Nope': -9.048082, '\n': -10.739905}
{' Yes': -0.003464641, ' No': -5.939955, 'Yes': -7.1653566, ' yes': -10.364617, ' Sure': -12.280231}
{' Yes': -0.05884334, ' No': -2.8796458, 'Yes': -7.0624285, 'No': -9.53629, ' yes': -10.659307}
{' No': -0.0018226585, 'No': -6.3652067, ' Yes': -9.813048, '\n': -10.616347, ' Nope': -11.173069}
{' No': -0.0031747157, 'No': -5.795548, '\n': -9.255645, ' Nope': -11.152174, ' ': -11.365235}
{' Yes': -0.0030193785, 'Yes': -6.0237594, ' Heart': -7.7598624, ' No': -10.078909, '\n': -10.403198}
{' Yes': -0.008763836, ' Heart': -5.4366164, 'Yes': -5.715518, ' No': -7.19518, '\n': -9.610272}
{' No': -0.003292338, 'No': -5.7760577, '\n': -9.126005, ' Yes': -9.941171, ' ': -11.280654}
{' No': -0.002194683, 'No': -6.194278, '\n': -9.592307, ' Nope': -10.538003, ' Yes': -10.609271}
{' Yes': -0.0024781092, 'Yes': -6.196846, ' Sure': -8.522207, ' Horse': -8.78232, '\n': -10.425886}
{' Yes': -0.0020306604, 'Yes': -6.240712, ' No': -10.682083, ' Sure': -11.065261, ' YES': -11.195239}
{' No': -0.0028042353, 'No': -5.950018, '\n': -9.427724, ' Yes': -9.681761, ' Nope': -10.191702}
{' No': -0.0044684284, 'No': -5.514146, ' Yes': -8.076596, ' Nope': -9.798707, '\n': -9.88457}
{' No': -0.2003034, ' Yes': -1.7231152, 'No': -6.141555, ' Nope': -7.61987, 'Yes': -8.099019}
{' No': -0.44526586, ' Yes': -1.0350486, 'No': -5.9392295, 'Yes': -7.107791, ' Nope': -7.6292906}
{' No': -0.0024372404, 'No': -6.0420594, ' Nope': -10.028696, ' Yes': -11.7464, ' Not': -12.866496}
{' No': -0.0034719973, 'No': -5.6951966, ' Nope': -9.719519, ' Yes': -10.6175785, ' Not': -11.411849}
{' No': -0.38743314, ' Yes': -1.1710616, ' Nope': -5.1890273, 'No': -5.691653, ' Pizza': -6.961356}
{' No': -0.0665299, ' Yes': -2.8191829, 'No': -5.741317, ' Nope': -6.677018, 'Yes': -8.781177}
{' No': -0.0025017718, 'No': -6.2859926, ' Nope': -7.396422, ' Yes': -11.574388, ' Not': -11.809986}
{' No': -0.0019848524, 'No': -6.283494, ' Nope': -9.58421, ' Yes': -10.340444, ' Not': -11.425391}
{' Yes': -0.0819584, ' Snake': -3.3257174, ' No': -3.4626822, 'Yes': -4.9837184, ' Sn': -5.8582106}
{' Yes': -0.0596116, ' Snake': -3.250959, ' No': -4.776799, 'Yes': -5.274402, ' Sn': -5.522517}
{' No': -0.003999442, 'No': -5.527885, ' Nope': -11.886341, '\n': -12.653719, ' Yes': -12.660354}
{' No': -0.0020478012, 'No': -6.251841, ' Nope': -9.324632, ' Yes': -10.763878, ' Not': -12.60063}
{' No': -0.26469514, ' Yes': -1.5741585, ' Nope': -3.919688, 'No': -5.5617776, 'Yes': -7.597583}
{' No': -0.084763266, ' Yes': -2.7297065, ' Nope': -4.775534, 'No': -5.0039563, 'Yes': -8.347397}
{' No': -0.0052790656, ' Nope': -6.020368, ' Yes': -6.546703, 'No': -6.591932, ' Not': -11.539917}
{' No': -0.020269863, ' Yes': -4.130289, 'No': -5.974264, ' Nope': -6.6364, 'Yes': -10.403717}
{' No': -0.27994686, ' Yes': -1.4593291, 'No': -4.759813, ' Nope': -6.3501544, 'Yes': -6.7812223}
{' No': -0.07380408, ' Yes': -2.7867558, 'No': -4.85633, ' Nope': -6.776969, 'Yes': -8.179758}
{' No': -0.0019600056, 'No': -6.250934, ' Yes': -10.725516, ' Nope': -12.509197, ' Not': -13.777084}
{' No': -0.0013406456, 'No': -6.647066, ' Yes': -10.683828, ' Nope': -11.08777, ' Not': -13.462272}
{' No': -0.11777909, ' Yes': -2.2225993, 'No': -6.408795, ' Nope': -7.022415, 'Yes': -8.699699}
{' Yes': -0.04893674, ' No': -3.1955392, 'Yes': -5.483131, ' Nope': -7.041038, ' Sure': -7.1683316}
{' No': -0.0017372094, 'No': -6.3607726, ' Yes': -13.011886, ' Nope': -13.183607, '\n': -13.733629}
{' No': -0.0014845538, 'No': -6.5180073, ' Nope': -12.9101095, ' Yes': -13.48608, ' Not': -13.661152}
{' Yes': -0.6757304, ' No': -1.0178857, ' Plane': -2.1764092, ' Nope': -5.1119695, 'Yes': -5.53157}
{' Yes': -0.3228504, ' Plane': -1.8373635, ' No': -2.2508633, ' Nope': -5.3736906, 'Yes': -5.856264}
{' No': -0.0013592055, 'No': -6.6172075, ' Nope': -11.484046, ' Yes': -11.907023, ' Not': -13.334506}
{' No': -0.0013088328, 'No': -6.6650147, ' Nope': -10.785149, ' Yes': -11.551619, ' Not': -13.69066}
{' Yes': -0.039905347, ' Found': -3.6306949, ' No': -4.913503, 'Yes': -6.238319, ' Sound': -7.3237543}
{' Yes': -0.011194449, ' No': -5.0568295, 'Yes': -6.1404305, ' Found': -6.3119564, ' yes': -9.126407}
{' No': -0.0015729043, 'No': -6.5346513, ' Nope': -9.189719, ' Yes': -11.68516, ' Not': -12.164175}
{' No': -0.0016402478, 'No': -6.4507823, ' Nope': -10.060131, ' Yes': -11.598028, ' Not': -12.31438}
{' No': -0.03775042, ' Yes': -3.6025999, ' Nope': -5.5935473, ' Uncle': -5.8226223, 'No': -6.152454}
{' No': -0.021122936, ' Yes': -4.4876065, ' Nope': -5.209498, 'No': -5.7476754, ' Un': -7.805265}
{' No': -0.0012711133, 'No': -6.7246785, ' Nope': -9.936406, ' Yes': -11.042527, ' Not': -13.179178}
{' No': -0.0020119674, 'No': -6.2761526, ' Yes': -9.373719, ' Nope': -10.218263, ' Not': -12.605455}
{' Yes': -0.021076122, ' No': -4.038963, 'Yes': -5.897859, 'No': -8.959297, ' Nope': -9.439643}
{' Yes': -0.03516401, ' No': -3.5061433, 'Yes': -5.749031, ' Stamp': -7.9223194, ' Nope': -8.008874}
{' No': -0.0017437781, 'No': -6.3632383, ' Nope': -11.464388, ' Not': -12.830705, ' Yes': -13.050128}
{' No': -0.0019365383, 'No': -6.2796865, ' Nope': -9.862564, ' Not': -13.078125, '\n': -13.179894}
{' Yes': -0.025339471, ' Sleep': -3.856041, 'Yes': -6.0154033, ' Sle': -7.7401786, ' Yep': -8.345663}
{' Yes': -0.0055958563, 'Yes': -5.9576464, ' No': -6.2307677, ' Sleep': -7.406221, ' yes': -8.515333}
{' No': -0.0020653033, 'No': -6.198152, ' Nope': -10.820466, ' Yes': -12.627744, ' Not': -12.946507}
{' No': -0.0025072685, 'No': -5.9947934, ' Nope': -12.189039, ' Not': -12.873281, '\n': -13.404873}
{' No': -0.08986496, ' Yes': -2.5053961, 'No': -5.581041, 'Yes': -8.028135, ' Nope': -8.635034}
{' No': -0.482867, ' Yes': -0.98889625, ' Nope': -5.372483, 'No': -5.6760583, 'Yes': -6.34924}
{' No': -0.002895034, 'No': -5.857108, ' Yes': -11.121637, ' Nope': -11.344938, ' Not': -13.260602}
{' No': -0.0018174611, 'No': -6.320327, ' Nope': -11.903033, ' Yes': -12.1437, ' Not': -12.834553}
{' Yes': -0.08662133, ' No': -2.549964, 'Yes': -5.9756837, ' Nope': -6.664963, 'No': -8.109146}
{' Yes': -0.0125045, ' No': -4.788177, 'Yes': -5.7464232, ' Nope': -8.197347, ' Yeah': -9.171451}
{' No': -0.0017309411, 'No': -6.372666, ' Yes': -11.445856, ' Nope': -12.07718, ' Not': -12.605556}
{' No': -0.0022063307, 'No': -6.157124, ' Yes': -9.660296, ' Nope': -11.270125, ' Not': -12.614276}
{' Yes': -0.0023797622, ' No': -6.808233, 'Yes': -6.9226775, ' Sure': -8.271419, ' yes': -12.273622}
{' Yes': -0.0015341023, 'Yes': -6.7980576, ' No': -8.252533, ' Sure': -9.046162, ' Yeah': -11.663573}
{' No': -0.0026396941, 'No': -6.2994804, ' Yes': -7.176986, ' Nope': -10.51207, ' Not': -12.670279}
{' No': -0.003095549, 'No': -6.323556, ' Yes': -6.6779165, ' Nope': -10.451401, ' Not': -12.69059}
{' Yes': -0.017871728, ' No': -4.539264, 'Yes': -5.362907, ' Drunk': -6.4189925, ' yes': -8.646991}
{' Yes': -0.12049625, ' No': -2.3413804, ' Drunk': -5.161161, 'Yes': -5.2295294, ' Nope': -6.134078}
