{' Yes': -0.13539301, ' No': -2.1033745, 'Yes': -5.6440215, 'No': -7.5718822, ' The': -8.168239}
{' Yes': -0.6915889, ' No': -0.80506265, ' Door': -3.0806613, ' ': -6.1055827, 'No': -6.6070642}
{' No': -0.0051757684, ' Yes': -5.9055834, 'No': -6.1214495, ' ': -9.189647, ' The': -9.726225}
{' No': -0.036994122, ' Yes': -3.3805282, 'No': -6.229039, 'Yes': -8.923927, ' The': -9.752816}
{' No': -0.06336572, ' Yes': -2.8728921, 'No': -5.567037, ' The': -7.9250045, 'Yes': -8.410449}
{' No': -0.0049161324, 'No': -5.838435, ' Yes': -6.3091555, '\n': -9.865737, ' ': -10.008805}
{' Yes': -0.18181299, ' No': -1.8255088, 'Yes': -5.7702603, 'No': -6.951775, ' The': -7.854471}
{' Yes': -0.537888, ' No': -0.8852791, 'Yes': -6.5189686, 'No': -6.6397552, ' ': -8.508451}
{' No': -0.08200531, ' Yes': -2.5691478, 'No': -6.3226533, 'Yes': -8.716894, ' Not': -9.862849}
{' No': -0.31385723, ' Yes': -1.319032, 'No': -6.6308794, 'Yes': -7.7344694, ' Not': -9.424348}
{' No': -0.18917347, ' Yes': -1.7962846, ' Most': -5.489884, 'No': -6.4096513, 'Yes': -7.9715905}
{' No': -0.13074094, ' Yes': -2.243162, ' Most': -4.3267055, 'No': -6.0368876, 'Yes': -8.136348}
{' No': -0.022338897, ' Yes': -4.0362167, 'No': -5.5816264, ' The': -8.132091, ' ': -8.862439}
{' Yes': -0.042729974, ' No': -3.214311, 'Yes': -6.5977297, 'No': -9.306973, ' yes': -9.611024}
{' No': -0.009042453, ' Yes': -5.227451, 'No': -5.670538, ' ': -9.922375, ' The': -10.059579}
{' No': -0.22430499, ' Yes': -1.6195058, 'No': -6.170552, 'Yes': -7.445857, ' The': -8.860204}
{' No': -0.43021637, ' Yes': -1.0605283, 'No': -6.4093432, 'Yes': -7.411013, ' The': -7.5623727}
{' No': -0.44573164, ' Yes': -1.0355926, 'No': -5.888646, 'Yes': -6.820153, ' The': -8.005897}
{' No': -0.0025214907, 'No': -6.134489, ' Yes': -8.274618, ' ': -9.938652, '\n': -10.502083}
{' No': -0.011990348, 'No': -5.1453176, ' Yes': -5.1832814, ' The': -8.980295, ' ': -9.073114}
{' No': -0.009579339, ' Yes': -5.1242294, 'No': -5.678063, ' ': -9.687344, '\n': -10.614197}
{' No': -0.035433162, ' Yes': -3.4366877, 'No': -6.0333786, ' The': -9.507259, 'Yes': -9.75799}
{' Yes': -0.59509337, ' No': -0.81142116, 'Yes': -5.9392877, 'No': -6.658169, ' The': -8.914009}
{' Yes': -0.13259897, ' No': -2.1040003, 'Yes': -6.3851924, 'No': -8.217791, ' The': -9.296993}
{' No': -0.33826423, ' Yes': -1.2638528, 'No': -6.0887194, 'Yes': -7.226196, ' The': -7.5610247}
{' Yes': -0.5655449, ' No': -0.8456601, 'Yes': -6.806387, 'No': -6.948355, ' The': -8.392164}
{' No': -0.10772133, ' Yes': -2.2937086, 'No': -6.9513087, 'Yes': -8.91333, ' The': -10.118385}
{' No': -0.16051635, ' Yes': -1.9255366, 'No': -6.19404, 'Yes': -8.199995, ' The': -9.314682}
{' Yes': -0.009582288, ' No': -5.1055083, 'Yes': -5.7053823, ' ': -9.880634, ' yes': -10.167794}
{' Yes': -0.5450641, ' No': -0.8713313, 'Yes': -6.994443, 'No': -7.408854, ' The': -9.314248}
{' No': -0.004289847, 'No': -6.02071, ' Yes': -6.3668327, ' ': -9.956938, ' The': -10.072456}
{' No': -0.004533692, 'No': -5.845323, ' Yes': -6.4610386, '\n': -11.091577, ' Not': -11.102649}
{' No': -0.0053913617, ' Yes': -5.740798, 'No': -6.1881776, ' ': -9.62591, '\n': -11.1098995}
{' No': -0.003952884, 'No': -6.125122, ' Yes': -6.3794236, ' ': -10.71692, '\n': -11.107378}
{' No': -0.011947458, ' Yes': -4.783481, 'No': -5.7390375, ' The': -9.042881, ' ': -9.94283}
{' No': -0.030658178, ' Yes': -3.6280625, 'No': -5.718903, ' The': -9.228488, 'Yes': -9.289266}
{' No': -0.05143578, ' Yes': -3.030165, 'No': -6.484003, 'Yes': -9.110728, '\n': -9.749592}
{' No': -0.01837513, ' Yes': -4.2383375, 'No': -5.6682506, '\n': -9.230526, ' ': -9.5420065}
{' Yes': -0.54937136, ' No': -0.86741984, 'Yes': -6.9396486, 'No': -7.3589644, ' The': -7.854644}
{' Yes': -0.5245617, ' No': -0.9016275, ' The': -7.118584, 'Yes': -7.297749, 'No': -7.6855016}
{' Yes': -0.41963083, ' No': -1.080445, ' The': -6.637072, 'Yes': -6.9743395, 'No': -7.452218}
{' Yes': -0.037806746, ' No': -3.3625917, 'Yes': -6.3155165, ' yes': -8.5108385, ' The': -8.52575}
{' Yes': -0.6842914, ' No': -0.7073131, 'Yes': -6.8365316, 'No': -7.160672, ' The': -7.8843074}
{' Yes': -0.01008388, ' No': -4.82377, 'Yes': -6.4358015, ' The': -8.7426405, ' yes': -9.474362}
{' No': -0.0031674788, 'No': -6.5117803, ' Yes': -6.6387014, ' ': -8.335462, ' The': -10.014904}
{' No': -0.05873809, ' Yes': -2.8917074, 'No': -6.937573, ' ': -8.801129, ' The': -9.0057745}
{' No': -0.18900265, ' Yes': -1.8309952, ' Late': -5.2716765, 'No': -5.49254, ' ': -6.9444857}
{' No': -0.2445483, ' Yes': -1.5358254, 'No': -6.981265, ' ': -8.341302, 'Yes': -8.449752}
{' No': -0.008859082, ' Yes': -5.160096, 'No': -5.841565, ' The': -9.610198, ' ': -10.290969}
{' No': -0.47541502, ' Yes': -0.98107606, 'No': -6.1959543, 'Yes': -7.1400595, '\n': -8.280826}
{' Yes': -0.16766405, ' No': -1.9020162, 'Yes': -5.843035, ' Wife': -6.9575906, 'No': -7.453835}
{' No': -0.049191788, ' Yes': -3.061208, 'No': -6.905406, 'Yes': -9.765914, ' ': -9.881841}
{' Yes': -0.053666566, ' No': -2.977075, 'Yes': -7.1483965, ' ': -8.50656, ' The': -9.2461}
{' Yes': -0.1496818, ' No': -1.9865177, 'Yes': -6.9906526, '\n': -8.185287, 'No': -8.535512}
{' No': -0.35316402, ' Yes': -1.22318, 'No': -6.2805166, 'Yes': -7.2352858, ' ': -8.103332}
{' No': -0.4734759, ' Yes': -0.9836172, 'No': -6.1040277, 'Yes': -7.098428, ' ': -9.883121}
{' Yes': -0.009946854, ' No': -4.829992, 'Yes': -6.8357463, ' The': -7.5417576, ' yes': -9.49708}
{' No': -0.029734438, ' Yes': -3.8702343, 'No': -4.844031, 'Yes': -8.550719, ' ': -9.25208}
{' Yes': -0.075402334, ' No': -2.6398478, 'Yes': -7.2265673, ' ': -8.787325, ' The': -8.8804245}
{' No': -0.03353195, ' Yes': -3.4738624, 'No': -6.446278, ' ': -9.153535, ' The': -9.239496}
{' No': -0.2533836, ' Yes': -1.5107136, 'No': -6.184322, 'Yes': -7.301611, ' ': -8.9858265}
{' Yes': -0.10399206, ' No': -2.339359, 'Yes': -6.609151, ' The': -7.5556326, ' yes': -8.716189}
{' No': -0.20516361, ' Yes': -1.6980243, 'No': -6.385148, 'Yes': -7.7009788, ' The': -8.635043}
{' No': -0.35104463, ' Yes': -1.2315224, 'No': -6.3428655, ' The': -6.752362, 'Yes': -7.120127}
{' No': -0.007899674, 'No': -4.869909, ' Yes': -8.878297, ' ': -10.24595, '\n': -12.22963}
{' No': -0.0121689215, ' Yes': -5.0337296, 'No': -5.2173285, ' ': -9.602202, ' The': -10.55326}
{' Yes': -0.46757403, ' No': -0.9964723, 'Yes': -6.815436, 'No': -6.8440194, ' The': -6.9680276}
{' No': -0.008839118, ' Yes': -4.9937477, 'No': -6.253931, ' ': -9.97624, ' The': -10.7775135}
{' Yes': -0.014451443, ' No': -4.311891, 'Yes': -7.1353045, ' yes': -10.040033, ' The': -10.135673}
{' No': -0.5776898, ' Yes': -0.8272798, 'No': -7.417039, 'Yes': -7.784336, ' The': -8.033435}
{' Yes': -0.5852705, ' No': -0.82045233, ' The': -6.5900254, 'Yes': -7.371578, 'No': -8.040083}
{' Yes': -0.29302222, ' No': -1.3785039, 'Yes': -6.9799476, ' The': -7.53778, 'No': -8.219789}
{' Yes': -0.13567354, ' No': -2.182314, 'Yes': -4.406599, 'No': -6.3662467, ' ': -9.455294}
{' Yes': -0.49259198, ' No': -0.9483738, 'Yes': -7.1175747, 'No': -7.709152, ' The': -8.673518}
{' Yes': -0.001824808, 'Yes': -6.9508142, ' No': -7.809575, ' The': -8.408717, ' yes': -9.308072}
{' Yes': -0.043946795, ' No': -3.1892407, 'Yes': -6.557128, ' yes': -9.129958, ' ': -9.4327}
{' No': -0.09033131, ' Yes': -2.494611, 'No': -5.7405105, 'Yes': -8.528592, ' Dirt': -8.57578}
{' No': -0.042511586, ' Yes': -3.2889314, 'No': -5.6480203, ' The': -8.159098, ' ': -8.667049}
{' Yes': -0.02252524, ' No': -3.9233255, ' The': -6.731639, 'Yes': -6.9854364, ' yes': -8.408767}
{' Yes': -0.35909417, ' No': -1.2551819, ' The': -5.4279, 'Yes': -5.90959, 'No': -6.1850424}
{' False': -0.030447762, ' No': -3.5590177, 'False': -6.6566834, 'No': -8.881491, ' ': -9.327583}
{' No': -0.013437417, ' Yes': -4.4080276, 'No': -6.9506946, ' ': -9.00512, '\n': -10.330639}
{' Yes': -0.6215637, ' No': -0.8938624, ' Rain': -3.1119103, 'No': -5.8320217, ' The': -6.023728}
{' No': -0.07743077, ' Yes': -2.6433468, 'No': -5.9511027, ' The': -8.505182, ' Rain': -8.684758}
{' No': -0.018119937, ' Yes': -4.1563945, 'No': -6.2023787, ' ': -9.120756, ' Not': -9.979094}
{' No': -0.0027471555, 'No': -6.1241894, ' Yes': -7.6203575, ' ': -9.964052, '\n': -11.9038515}
{' No': -0.033003863, ' Yes': -3.534301, 'No': -5.9732385, ' Unfortunately': -7.991675, ' Not': -8.609126}
{' No': -0.18762244, ' Yes': -1.7712481, 'No': -7.842701, ' The': -8.29719, 'Yes': -9.021847}
{' No': -0.0069075245, ' Yes': -5.1941667, 'No': -6.7449255, ' ': -9.260081, ' The': -10.566531}
{' No': -0.074523866, ' Yes': -2.6776578, 'No': -6.0218387, ' ': -8.597337, ' The': -8.692023}
{' Yes': -0.023243995, ' No': -3.8217685, 'Yes': -7.119871, ' The': -9.241513, ' yes': -9.493373}
{' Yes': -0.041818056, ' No': -3.2459693, 'Yes': -7.0238657, ' The': -7.0575786, '\n': -9.403457}
{' No': -0.012931058, ' Yes': -4.5257463, 'No': -6.473777, ' The': -8.186395, ' ': -9.114767}
{' No': -0.016250843, ' Yes': -4.264475, 'No': -6.299675, ' ': -8.896495, ' The': -10.422605}
{' Yes': -0.0036951827, ' No': -6.0727015, 'Yes': -6.82066, ' Land': -9.437396, ' yes': -9.541396}
{' No': -0.43472397, ' Yes': -1.0489551, 'No': -6.664002, 'Yes': -7.3344617, ' ': -8.628483}
{' Yes': -0.25807926, ' No': -1.4920136, ' The': -6.8209968, 'Yes': -7.3839145, ' ': -8.094973}
{' No': -0.45379147, ' Yes': -1.0155742, 'No': -6.857285, 'Yes': -7.527041, ' The': -7.546007}
{' No': -0.0018077892, 'No': -6.877166, ' Yes': -7.2561884, ' ': -9.762273, '\n': -12.10847}
{' Yes': -0.39253688, ' No': -1.1570117, ' The': -5.2175927, 'Yes': -6.477286, ' ': -6.804724}
{' Yes': -0.119862266, ' No': -2.2992349, 'Yes': -5.383614, ' The': -5.56851, ' ': -6.2409577}
{' Yes': -0.0037878582, ' No': -6.3455105, 'Yes': -6.5624714, ' ': -8.054188, ' yes': -9.083258}
{' Yes': -0.016983233, ' No': -4.20891, 'Yes': -6.4676437, ' yes': -8.951165, ' The': -9.0996895}
{' Yes': -0.03771755, ' No': -3.3284488, 'Yes': -7.002233, ' yes': -9.328812, ' ': -9.697713}
{' Yes': -0.1752982, ' No': -2.1856396, ' Deer': -3.0924752, 'Yes': -6.882399, ' ': -7.2778687}
{' Yes': -0.006284856, ' No': -5.2717266, 'Yes': -7.078489, ' The': -9.172228, ' yes': -9.210724}
{' Yes': -0.24675083, ' No': -1.5307912, 'Yes': -6.7976346, ' The': -7.492253, 'No': -8.081235}
{' No': -0.059534293, ' Yes': -2.8792248, 'No': -6.7217097, ' ': -8.901686, ' The': -9.115664}
{' No': -0.52637196, ' Yes': -0.89817905, 'No': -6.99862, 'Yes': -7.4088216, ' The': -8.484868}
{' No': -0.094831795, ' Yes': -2.4168916, 'No': -6.936405, 'Yes': -9.201897, ' ': -9.366585}
{' Yes': -0.549702, ' No': -0.8684066, 'Yes': -6.579685, 'No': -6.788446, ' ': -8.582095}
{' Yes': -0.041236684, ' No': -3.2604327, 'Yes': -6.5421386, ' yes': -8.2644, ' YES': -9.56449}
{' No': -0.07647832, ' Yes': -2.6314023, 'No': -6.6872087, ' The': -8.970923, 'Yes': -9.351048}
{' No': -0.16706638, ' Yes': -1.8836247, 'No': -6.9087076, ' The': -8.012197, 'Yes': -8.527961}
{' Yes': -0.0035297195, ' No': -5.934199, 'Yes': -7.42381, ' The': -8.714323, ' yes': -9.804776}
{' Yes': -0.36982036, ' No': -1.1869915, 'Yes': -5.996333, 'No': -7.1703057, ' ': -7.7591276}
{' Yes': -0.29851007, ' No': -1.3607601, 'Yes': -6.953415, 'No': -8.099945, ' ': -9.080793}
{' No': -0.06301187, ' Yes': -2.8144498, 'No': -7.0226765, ' ': -9.279842, 'Yes': -9.649136}
{' No': -0.0022744918, ' Yes': -6.802729, 'No': -6.870362, ' Lion': -9.470434, ' ': -10.91519}
{' No': -0.19569133, ' Yes': -1.7392492, 'No': -6.5541244, 'Yes': -8.207156, ' The': -8.549882}
{' Yes': -0.30242234, ' No': -1.3533143, ' ': -7.0558133, 'Yes': -7.2616735, ' The': -7.9810414}
{' No': -0.5964787, ' Yes': -0.8458913, ' Roof': -4.067687, ' ': -7.3415413, 'No': -7.373683}
{' Yes': -0.0015474142, 'Yes': -6.8464165, ' No': -8.252436, ' The': -9.3814, ' Want': -9.937365}
{' Yes': -0.4706651, ' No': -0.9861337, 'Yes': -7.33439, ' The': -7.551698, ' Want': -7.661136}
{' No': -0.30870295, ' Yes': -1.3335402, 'No': -6.6281643, 'Yes': -7.899815, ' ': -8.786006}
{' No': -0.0675779, ' Yes': -2.779265, 'No': -5.9603176, ' Wind': -7.7069073, 'Yes': -9.17342}
{' Yes': -0.07975579, ' No': -2.582956, 'Yes': -7.352372, ' The': -8.729478, ' yes': -8.978425}
{' Yes': -0.030301467, ' No': -3.545514, 'Yes': -7.4917846, ' The': -8.508695, ' yes': -9.153146}
{' No': -0.008159238, 'No': -5.3933234, ' Yes': -5.728402, ' ': -8.648314, '\n': -9.917983}
{' No': -0.4347414, ' Yes': -1.0463078, 'No': -7.5109935, 'Yes': -7.9552145, ' ': -8.64804}
{' No': -0.023355704, ' Yes': -3.8280733, 'No': -6.7713337, ' ': -9.413689, ' The': -9.961765}
{' No': -0.34943932, ' Yes': -1.2316376, 'No': -6.3247404, 'Yes': -7.645099, '\n': -8.058166}
{' Yes': -0.067177296, ' No': -2.7480721, 'Yes': -7.535746, ' ': -8.938363, ' The': -8.991066}
{' No': -0.23527375, ' Yes': -1.5680717, 'No': -7.033346, 'Yes': -8.889215, ' ': -9.153723}
{' No': -0.50626886, ' Yes': -0.92852724, 'No': -6.6581035, 'Yes': -7.4905047, ' The': -9.03622}
{' Yes': -0.09322495, ' No': -2.4273143, 'Yes': -7.616912, ' ': -9.510406, 'No': -9.589278}
{' Yes': -0.039516754, ' No': -3.2948325, 'Yes': -6.9037848, ' The': -8.096341, ' ': -8.933305}
{' No': -0.03862877, ' Yes': -3.324138, 'No': -6.475121, ' ': -8.971232, ' The': -9.277077}
{' Yes': -0.38322046, ' No': -1.1542165, 'Yes': -6.656945, ' The': -7.298637, 'No': -7.384361}
{' Yes': -0.09638484, ' No': -2.4264324, 'Yes': -6.16326, ' The': -7.5990314, 'No': -8.118994}
{' No': -0.03469016, ' Yes': -3.417899, 'No': -6.970324, ' Skin': -8.468225, ' ': -9.933963}
{' No': -0.3199376, ' Yes': -1.3018063, 'No': -7.3415604, ' Skin': -7.424914, 'Yes': -8.145751}
{' Yes': -0.5857649, ' No': -0.81978315, ' The': -6.9385037, 'Yes': -7.149592, 'No': -7.3205476}
{' No': -0.09767994, ' Yes': -2.4837482, 'No': -5.534123, ' So': -5.6274514, ' Nope': -7.501892}
{' No': -0.30596024, ' Yes': -1.3443686, 'No': -6.3103666, 'Yes': -7.5544724, ' ': -7.7567525}
{' Yes': -0.07977999, ' No': -2.5954258, 'Yes': -6.7549243, ' The': -7.963691, ' ': -8.509038}
{' No': -0.06327288, ' Yes': -2.8423254, 'No': -6.071064, ' Male': -7.7665997, 'Yes': -8.903185}
{' No': -0.43447474, ' Yes': -1.0568081, 'No': -5.9105844, 'Yes': -6.5650835, ' ': -8.105112}
{' No': -0.026709631, ' Yes': -3.6625338, 'No': -7.386945, 'Yes': -10.541484, ' ': -11.102487}
{' No': -0.24536356, ' Yes': -1.5300391, 'No': -7.702988, 'Yes': -8.352783, ' None': -8.619125}
{' No': -0.40135333, ' Yes': -1.1133437, 'No': -6.866866, 'Yes': -7.368823, ' ': -8.48471}
{' No': -0.6813068, ' Yes': -0.7076378, 'Yes': -7.4407425, 'No': -7.7634525, ' ': -9.231316}
{' No': -0.006894921, ' Yes': -5.5236874, 'No': -5.8945246, ' ': -9.70524, ' The': -10.951989}
{' No': -0.0041859327, ' Yes': -6.164062, 'No': -6.2117968, ' ': -10.336043, ' The': -11.653185}
{' Yes': -0.0034329991, ' No': -5.915605, 'Yes': -7.376846, ' yes': -10.115481, ' The': -10.139508}
{' Yes': -0.30370465, ' No': -1.3444418, 'Yes': -7.328609, ' The': -8.442203, 'No': -8.800616}
{' Yes': -0.3561186, ' No': -1.2143568, 'Yes': -6.5479193, 'No': -7.1480036, ' The': -8.50591}
{' Yes': -0.02086485, ' No': -4.0023327, 'Yes': -6.186743, ' yes': -8.967852, 'No': -9.684078}
{' Yes': -0.6930177, ' No': -0.70092, 'No': -6.258531, 'Yes': -6.738929, ' Pain': -7.872202}
{' No': -0.01204464, ' Yes': -4.656585, 'No': -6.2008333, ' ': -8.950385, ' Pain': -9.029254}
{' No': -0.018338827, ' Yes': -4.110618, 'No': -6.404273, ' ': -9.781809, 'Yes': -10.228244}
{' No': -0.0018930028, 'No': -6.285839, ' ': -10.978436, '\n': -12.013274, ' Not': -13.153504}
{' No': -0.038855847, ' Yes': -3.3449814, 'No': -6.1484995, ' The': -8.073836, ' ': -8.580514}
{' No': -0.037097234, ' Yes': -3.3973362, 'No': -5.9539156, 'Yes': -8.927927, ' ': -9.340664}
{' Yes': -0.4842234, ' No': -1.1189566, ' Dive': -2.895526, 'Yes': -7.065757, 'No': -8.093583}
{' No': -0.3370635, ' Yes': -1.2599703, 'No': -6.6070237, 'Yes': -7.251885, ' The': -8.501419}
{' Yes': -0.28619716, ' No': -1.4397159, 'Yes': -5.313312, 'No': -5.8139014, ' The': -6.296676}
{' Yes': -0.009544255, ' No': -4.901481, 'Yes': -6.389419, ' ': -8.90346, ' yes': -9.103087}
{' Yes': -0.0036140617, 'Yes': -5.726905, ' No': -8.543145, ' ': -9.373499, ' yes': -10.143847}
{' Yes': -0.011981176, ' No': -4.5771875, 'Yes': -6.5442066, ' yes': -9.682986, ' ': -10.109831}
{' Yes': -0.68095356, ' No': -0.70926434, 'No': -7.18427, 'Yes': -7.581092, ' Near': -8.488393}
{' Yes': -0.6491474, ' No': -0.8049034, ' Near': -3.5990868, 'No': -7.196826, ' The': -7.598454}
{' No': -0.0042186156, 'No': -5.7859087, ' Yes': -6.8721113, ' ': -10.008695, ' The': -10.661822}
{' Yes': -0.14191277, ' No': -2.0431826, 'Yes': -6.151535, 'No': -8.072266, ' ': -8.888269}
{' Yes': -0.00554299, ' No': -5.5838985, 'Yes': -6.4948254, ' The': -9.369186, ' yes': -9.41695}
{' Yes': -0.17047495, ' No': -1.8857973, ' Navy': -6.156122, 'Yes': -6.273826, 'No': -7.7357593}
{' No': -0.005395857, 'No': -5.331077, ' Not': -8.167516, ' Yes': -9.13008, ' ': -9.82869}
{' No': -0.0070961798, ' Yes': -5.5069833, 'No': -6.080111, ' The': -8.189543, ' ': -8.532198}
{' No': -0.017088363, ' Yes': -4.1733284, 'No': -6.673023, ' The': -9.016394, ' ': -9.735706}
{' No': -0.07835371, ' Yes': -2.6086023, 'No': -6.6020503, 'Yes': -9.206157, ' ': -9.517631}
{' No': -0.003571052, ' Yes': -6.2606583, 'No': -6.553442, ' The': -9.014114, ' ': -9.996838}
{' No': -0.0028447625, ' Yes': -6.488198, 'No': -6.723508, ' The': -9.868303, ' ': -10.3339}
{' Yes': -0.07646108, ' No': -2.65516, 'Yes': -6.1875696, ' Milk': -7.283084, 'No': -8.27488}
{' No': -0.61951727, ' Yes': -0.78068066, ' The': -6.7579484, 'No': -6.7811303, 'Yes': -7.014666}
{' No': -0.05834525, ' Yes': -2.9038842, 'No': -6.52213, ' ': -8.60452, 'Yes': -9.178044}
{' No': -0.15554284, ' Yes': -1.9518, 'No': -6.5929165, 'Yes': -8.459341, ' ': -8.508598}
{' Yes': -0.057632647, ' No': -2.9071922, 'Yes': -6.912958, ' The': -8.714022, 'No': -9.366461}
{' Yes': -0.06801873, ' No': -2.7460828, 'Yes': -7.193965, ' The': -8.32792, ' ': -8.651242}
{' Yes': -0.008508319, ' No': -5.1182914, 'Yes': -6.1358466, ' The': -8.632815, ' ': -9.929743}
{' Yes': -0.10367445, ' No': -2.3447595, 'Yes': -6.167696, 'No': -8.557829, ' yes': -9.131191}
{' No': -0.05975042, ' Yes': -2.8644378, 'No': -7.1165185, 'Yes': -9.614212, ' ': -9.773965}
{' Yes': -0.18807836, ' No': -1.7902722, 'Yes': -6.602762, ' The': -6.6239095, 'No': -7.581713}
{' Yes': -0.6490664, ' No': -0.74516046, 'Yes': -7.0097246, 'No': -7.368638, ' The': -7.9433966}
{' No': -0.296117, ' Yes': -1.3932716, ' ': -6.026734, ' Too': -6.0916147, 'No': -6.6169915}
{' Yes': -0.054652177, ' No': -2.9820104, ' The': -6.709611, 'Yes': -6.9710374, 'No': -9.480909}
{' Yes': -0.29641294, ' No': -1.3729415, 'Yes': -6.283002, 'No': -7.447978, ' The': -7.9610014}
{' Yes': -0.12503797, ' No': -2.1536653, 'Yes': -7.325002, ' The': -7.9365973, ' ': -8.6866665}
{' Yes': -0.0052739726, ' No': -5.492201, 'Yes': -6.9913216, ' ': -9.581047, ' yes': -9.669838}
{' No': -0.23174967, ' Yes': -1.5857286, 'No': -6.6595716, 'Yes': -8.073165, ' ': -8.379422}
{' No': -0.6404266, ' Yes': -0.7577153, 'No': -6.5467443, 'Yes': -6.605507, ' The': -6.9656634}
{' No': -0.6524225, ' Yes': -0.7443492, ' Door': -6.0180917, 'No': -7.73437, 'Yes': -7.9501724}
{' No': -0.020097623, ' Yes': -4.2030888, ' Door': -6.109377, 'No': -6.35276, ' ': -7.1581054}
{' No': -0.03597669, ' Yes': -3.4324665, 'No': -6.254638, ' ': -7.3958416, 'Yes': -8.509649}
{' No': -0.22549868, ' Yes': -1.6117234, 'No': -6.823394, 'Yes': -7.165026, ' ': -8.451757}
{' No': -0.106116734, ' Yes': -2.312179, 'No': -6.816123, ' The': -8.529563, 'Yes': -8.786752}
{' No': -0.06515863, ' Yes': -2.7974622, 'No': -6.368385, 'Yes': -8.820344, ' The': -9.195348}
{' Yes': -0.06415335, ' No': -2.8218627, 'Yes': -6.407216, ' The': -7.810071, '\n': -8.508655}
{' Yes': -0.26957953, ' No': -1.4553726, 'Yes': -6.573847, 'No': -7.443869, ' ': -7.846272}
{' Yes': -0.3111865, ' No': -1.3238685, 'Yes': -7.154606, 'No': -8.000572, ' ': -9.446955}
{' Yes': -0.45749775, ' No': -1.004697, 'Yes': -7.7370367, 'No': -8.359397, ' ': -9.07702}
{' No': -0.29800397, ' Yes': -1.3718584, 'No': -6.3609047, ' Most': -6.673723, 'Yes': -7.602012}
{' No': -0.38541308, ' Yes': -1.2249783, ' Most': -3.7566307, 'No': -6.5019026, 'Yes': -7.5053124}
{' No': -0.21930917, ' Yes': -1.6382927, 'No': -6.358673, 'Yes': -8.015133, ' ': -8.505476}
{' Yes': -0.104278155, ' No': -2.3249047, 'Yes': -6.954953, 'No': -8.905385, ' The': -10.078368}
{' No': -0.23512813, ' Yes': -1.5709321, 'No': -7.0023403, 'Yes': -7.966295, ' The': -8.725304}
{' No': -0.11339584, ' Yes': -2.261965, 'No': -6.0027575, 'Yes': -8.20155, ' The': -8.7339}
{' Yes': -0.5059406, ' No': -0.92892, 'Yes': -7.340504, 'No': -7.3639956, ' The': -7.8587503}
{' Yes': -0.04747995, ' No': -3.10829, 'Yes': -6.680677, ' The': -8.917879, 'No': -9.219585}
{' No': -0.014326939, ' Yes': -4.378655, 'No': -6.4878106, ' ': -9.389852, 'Yes': -10.725541}
{' No': -0.112572946, ' Yes': -2.3073113, 'No': -5.335025, ' The': -6.787276, '\n': -7.9819403}
{' No': -0.012947783, ' Yes': -4.6776757, 'No': -5.6954675, ' ': -9.33584, 'Yes': -10.408082}
{' No': -0.022599496, ' Yes': -3.9108436, 'No': -6.1565595, ' ': -9.559718, ' The': -9.745954}
{' Yes': -0.030758545, ' No': -3.564118, 'Yes': -6.3539567, ' The': -9.676855, ' yes': -9.827145}
{' Yes': -0.005512721, ' No': -5.4093213, 'Yes': -7.06025, ' yes': -9.638033, ' The': -9.845331}
{' No': -0.5341609, ' Yes': -0.88979566, 'No': -6.4909515, 'Yes': -7.0303364, ' ': -8.118969}
{' Yes': -0.19404924, ' No': -1.7464554, 'Yes': -6.7861047, ' The': -7.8879905, 'No': -8.225385}
{' No': -0.16470347, ' Yes': -1.8911669, 'No': -7.3518844, 'Yes': -8.757158, ' ': -9.67378}
{' Yes': -0.44638285, ' No': -1.024998, 'Yes': -7.255999, 'No': -7.843981, ' yes': -9.685993}
{' Yes': -0.03596205, ' No': -3.4053278, 'Yes': -6.2631865, ' ': -9.346763, 'No': -9.353488}
{' No': -0.6522288, ' Yes': -0.7384562, 'Yes': -7.4830236, 'No': -7.510545, ' ': -9.643466}
{' No': -0.003940795, ' Yes': -5.9211097, 'No': -6.7447143, ' ': -10.17013, ' The': -10.936583}
{' No': -0.012150521, ' Yes': -4.6105046, 'No': -6.207329, ' ': -10.331551, ' The': -10.660226}
{' No': -0.028489038, ' Yes': -3.6272936, 'No': -6.6711907, ' ': -8.690452, 'Yes': -10.102238}
{' No': -0.0048366506, ' Yes': -5.959319, 'No': -6.1278048, ' ': -10.320336, 'Yes': -11.48801}
{' No': -0.03961752, ' Yes': -3.2940502, 'No': -6.6175303, ' The': -8.56591, ' ': -9.346762}
{' No': -0.1493922, ' Yes': -1.9905903, 'No': -6.440458, 'Yes': -8.361865, ' The': -8.930436}
{' No': -0.0046088398, ' Yes': -5.56149, 'No': -7.30419, ' ': -10.35751, ' Nope': -11.525372}
{' No': -0.033074398, ' Yes': -3.527911, 'No': -5.865201, '\n': -9.193576, 'Yes': -9.362834}
{' Yes': -0.2351445, ' No': -1.5693959, 'Yes': -7.172106, ' ': -8.599649, 'No': -8.618532}
{' Yes': -0.17476523, ' No': -1.8394953, 'Yes': -7.239283, ' The': -8.107655, ' ': -8.626011}
{' Yes': -0.17492667, ' No': -1.8433396, ' The': -7.140979, 'Yes': -7.157424, ' ': -8.608259}
{' Yes': -0.052431393, ' No': -3.008448, 'Yes': -6.860969, ' yes': -8.581727, ' ': -8.804222}
