{' Yes': -0.0030951896, 'Yes': -5.8984904, ' No': -8.919969, ' yes': -9.2945795, ' A': -9.588872}
{' Yes': -0.03137394, 'Yes': -3.9887598, ' Generally': -5.2431064, ' No': -5.401104, 'No': -7.5646067}
{' Yes': -0.024326269, 'Yes': -4.0706897, ' Generally': -5.7455444, ' No': -6.060287, ' A': -7.993859}
{' Yes': -0.09204028, ' No': -3.0577462, 'Yes': -4.0744543, ' Generally': -4.608968, ' Ravens': -5.1722574}
{' Yes': -0.026481679, 'Yes': -3.9544199, ' Generally': -5.834308, ' No': -6.1961837, ' Ravens': -7.2092624}
{' Yes': -0.02737786, 'Yes': -3.9868388, ' No': -5.482864, '\n': -6.409377, ' ': -7.1636667}
{' Yes': -0.018820599, 'Yes': -4.1873, ' No': -6.5418057, '\n': -7.3115525, ' ': -7.707545}
{' Yes': -0.10651912, ' No': -3.00377, 'Yes': -3.784907, ' Ravens': -4.5097995, '\n': -5.0610194}
{' Yes': -0.026674734, 'Yes': -3.918461, '\n': -6.205921, ' No': -6.4258814, ' Ravens': -6.811147}
{' Yes': -0.013546223, 'Yes': -4.741755, ' No': -5.7182865, ' Generally': -7.3900337, ' A': -7.8334637}
{' Yes': -0.007890781, 'Yes': -5.003502, ' No': -7.6950474, ' A': -7.981434, ' Generally': -8.519154}
{' Yes': -0.6117435, ' No': -1.0076824, ' Ravens': -3.1944726, 'No': -3.4601302, ' Generally': -4.6257377}
{' Yes': -0.01971961, 'Yes': -4.373719, ' No': -5.8858633, ' Generally': -6.221828, ' Ravens': -6.4865007}
{' No': -0.449656, ' Yes': -1.4882112, 'No': -2.2871614, 'Yes': -4.711186, ' Generally': -4.83612}
{' Yes': -0.553952, ' No': -1.0782572, 'No': -3.0566356, 'Yes': -3.9178038, ' Generally': -5.146609}
{' No': -0.4119905, ' Yes': -2.0078843, 'No': -2.0944018, ' Ravens': -3.2490342, ' Generally': -4.7612906}
{' Yes': -0.0918251, 'Yes': -3.4751468, ' No': -3.5280185, ' Ravens': -4.267453, 'No': -5.4110866}
{' Yes': -0.06478907, 'Yes': -3.724432, ' Generally': -4.2321606, ' No': -4.3741035, ' A': -5.8785367}
{' Yes': -0.03787057, 'Yes': -3.9123116, ' Generally': -5.0833054, ' No': -5.462204, ' A': -5.8085265}
{' Yes': -0.6155703, ' No': -1.2461187, ' Ravens': -2.5949843, 'No': -3.2574866, ' Generally': -3.3770394}
{' Yes': -0.05245325, 'Yes': -3.8502147, ' No': -4.125245, ' Ravens': -5.040873, ' Generally': -5.7058473}
{' Yes': -0.0038971172, 'Yes': -5.90889, ' yes': -7.428637, ' ': -8.44022, '\n': -8.601477}
{' Yes': -0.003416016, 'Yes': -6.3515086, ' No': -7.224731, ' yes': -7.8851004, ' A': -8.387205}
{' Yes': -0.009118299, ' No': -5.18974, 'Yes': -5.9296813, '\n': -7.8895183, ' yes': -8.603082}
{' Yes': -0.0060041244, 'Yes': -5.7260485, ' No': -6.6811533, '\n': -6.9867244, ' ': -8.476485}
{' Yes': -0.05905426, 'Yes': -3.8793895, ' No': -3.964688, '\n': -5.0054364, ' A': -5.5839143}
{' Yes': -0.12310921, ' No': -2.5983057, 'Yes': -3.9908478, '\n': -4.744436, 'No': -5.2713084}
{' Yes': -0.10385384, ' No': -2.842295, 'Yes': -3.9612143, ' Ravens': -4.623755, 'No': -5.3421617}
{' Yes': -0.39322767, ' No': -1.3272716, 'No': -3.6874301, 'Yes': -3.8298194, '\n': -5.6675043}
{' Yes': -0.29725403, '\n': -1.9978821, ' No': -2.9143517, 'Yes': -3.3995638, ' ': -3.9420865}
{' Yes': -0.5715466, ' No': -1.5962181, '\n': -1.8300248, 'Yes': -3.7487829, ' ': -3.8301907}
{' Yes': -0.29422566, '\n': -1.8783208, ' No': -3.4047446, 'Yes': -3.6950681, ' Ravens': -3.7983167}
{' Yes': -0.23430787, '\n': -2.4210696, ' No': -2.8361983, 'Yes': -3.4464831, ' Ravens': -4.5619884}
{' Yes': -0.009583129, ' No': -5.227322, 'Yes': -5.819247, ' A': -7.763869, ' yes': -7.8945436}
{' Yes': -0.012986126, ' No': -4.8634577, 'Yes': -5.526574, ' ': -7.9854116, ' A': -8.064218}
{' Yes': -0.046807963, ' No': -3.2333748, 'Yes': -5.441934, ' Ravens': -7.414525, 'No': -7.4559984}
{' Yes': -0.01539065, 'Yes': -4.832735, ' No': -5.0215225, ' ': -8.743858, 'No': -8.759329}
{' No': -0.61233383, ' Yes': -1.6780859, 'No': -1.8364986, '\n': -2.8519385, 'Yes': -3.7204328}
{' No': -0.39626834, 'No': -1.933635, ' Yes': -2.1659808, '\n': -3.3768532, 'Yes': -4.4356856}
{' No': -0.5875551, ' Yes': -1.6699258, 'No': -1.9232254, '\n': -3.1188815, 'Yes': -3.732723}
{' Yes': -0.793243, ' No': -1.0027825, 'No': -2.6476798, 'Yes': -3.0938754, '\n': -3.3693366}
{' Yes': -0.027580464, 'Yes': -4.0659614, ' yes': -5.2208157, ' ': -6.4056683, '\n': -6.830043}
{' Yes': -0.026481925, 'Yes': -4.209599, ' No': -5.656561, ' yes': -5.8630853, ' ': -6.298565}
{' Yes': -0.065269515, ' No': -3.6775017, 'Yes': -3.8292294, ' ': -5.5410557, ' Ravens': -5.571813}
{' Yes': -0.029566636, 'Yes': -3.838292, ' ': -6.2305913, ' yes': -6.331703, '\n': -6.5446205}
{' Yes': -0.03513234, 'Yes': -3.668038, ' A': -5.993157, ' Generally': -6.2925076, ' yes': -6.3397946}
{' Yes': -0.059169218, 'Yes': -3.487268, ' No': -4.184758, ' A': -5.191316, 'No': -6.2905188}
{' Yes': -0.28674603, ' No': -1.8481665, 'No': -3.423947, 'Yes': -3.4393833, ' Ravens': -4.1787977}
{' Yes': -0.07815461, 'Yes': -3.1843705, ' No': -4.0280924, ' Ravens': -5.170327, 'No': -5.6420345}
{' Yes': -0.5230942, ' No': -1.1210881, 'No': -2.9375591, 'Yes': -3.6345253, ' yes': -6.8585396}
{' No': -0.5568247, ' Yes': -1.153243, 'No': -2.3648748, 'Yes': -4.136554, ' yes': -7.4195695}
{' No': -0.46510324, ' Yes': -1.6370659, 'No': -1.835251, 'Yes': -4.414688, ' Ravens': -5.922102}
{' Yes': -0.22014955, ' No': -2.2611978, 'Yes': -2.8147311, 'No': -3.504371, ' Generally': -6.538953}
{' Yes': -0.7748813, ' No': -0.7971878, 'No': -2.7144372, 'Yes': -3.923471, ' yes': -7.179971}
{' Yes': -0.3333087, ' No': -1.481294, 'No': -3.5986056, 'Yes': -3.6065593, ' ': -7.554488}
{' No': -0.57243484, ' Yes': -1.4639105, 'No': -1.7371784, 'Yes': -3.7788365, ' Ravens': -5.6664457}
{' Yes': -0.16179782, 'Yes': -2.6459, ' No': -2.7952414, 'No': -4.143136, ' Ravens': -8.132185}
{' Yes': -0.015139065, 'Yes': -4.623013, ' No': -5.5334225, ' yes': -7.201233, ' ': -8.619158}
{' Yes': -0.014458035, 'Yes': -4.6938305, ' No': -5.454729, ' yes': -7.509062, ' ': -8.781294}
{' No': -0.73870337, ' Yes': -0.76583165, 'No': -3.1785305, 'Yes': -4.4808564, ' Ravens': -5.945572}
{' Yes': -0.033005096, 'Yes': -3.9674091, ' No': -4.4317284, 'No': -7.0494404, ' Generally': -8.401138}
{' No': -0.3869096, 'No': -1.1460096, ' ': -7.2317486, '\n': -7.384153, ' Ravens': -7.807491}
{' No': -0.38676447, 'No': -1.1689795, ' Yes': -5.1267467, 'Yes': -6.9553623, '\n': -7.1092567}
{' No': -0.60754097, 'No': -0.86526763, ' Ravens': -4.2775426, ' Yes': -4.58874, 'Yes': -5.9765515}
{' No': -0.74206156, 'No': -1.229454, ' Yes': -1.9060879, ' Ravens': -3.2660787, 'Yes': -3.7181547}
{' Yes': -0.6150651, ' No': -1.0750414, 'No': -2.557675, 'Yes': -3.526703, ' yes': -5.6058135}
{' Yes': -0.47615966, ' No': -1.251743, 'No': -2.9541354, 'Yes': -3.4575953, ' yes': -5.5526366}
{' No': -0.43943045, 'No': -1.0938417, ' Ravens': -4.5610375, ' Yes': -4.9811993, ' Generally': -6.924266}
{' No': -0.47166833, 'No': -1.034317, ' Ravens': -4.7229652, ' Yes': -4.829132, 'Yes': -6.5763245}
{' Yes': -0.026157595, ' yes': -3.7485182, 'Yes': -6.295452, ' ': -8.6118, 'yes': -9.010054}
{' Yes': -0.010427794, ' yes': -4.8524303, 'Yes': -6.3677735, ' ': -7.6569743, '\n': -8.800798}
{' Yes': -0.0058866017, ' yes': -5.738253, 'Yes': -6.446018, ' No': -7.260712, ' ': -8.47076}
{' Yes': -0.006944916, ' yes': -5.743767, 'Yes': -5.9019914, ' ': -8.0493145, ' No': -8.0548115}
{' Yes': -0.048088558, 'Yes': -3.6499178, ' yes': -4.679705, ' No': -4.962019, '\n': -6.303103}
{' Yes': -0.04856643, 'Yes': -3.5630984, ' yes': -4.9747043, ' No': -5.027879, '\n': -5.8314433}
{' Yes': -0.048353646, 'Yes': -3.606051, ' No': -4.383074, ' yes': -5.744402, 'No': -6.578711}
{' Yes': -0.064157166, 'Yes': -3.2402394, ' No': -4.337087, ' yes': -5.613031, '\n': -5.858022}
{' Yes': -0.14662865, '\n': -2.8711388, 'Yes': -2.9074929, ' No': -4.8255663, ' yes': -4.8900385}
{' Yes': -0.20918171, '\n': -2.339017, 'Yes': -2.9616268, ' No': -3.8526921, ' ': -4.5940886}
{' Yes': -0.115448005, 'Yes': -2.994575, '\n': -3.411699, ' No': -4.54595, ' yes': -5.296398}
{' Yes': -0.14240074, 'Yes': -2.8124104, '\n': -3.066517, ' No': -4.4532123, ' yes': -5.2115726}
{' Yes': -0.0077102827, 'Yes': -5.3359857, ' yes': -6.104308, ' ': -8.619079, '\n': -8.911072}
{' Yes': -0.009993211, 'Yes': -4.9252667, ' yes': -6.4924107, '\n': -7.8076444, ' ': -8.189732}
{' Yes': -0.014159225, 'Yes': -4.65923, ' No': -5.8949437, ' yes': -7.1718717, ' Ravens': -7.533919}
{' Yes': -0.010176488, 'Yes': -4.743069, ' yes': -7.584547, ' No': -7.7089195, '\n': -8.504177}
{' No': -0.5557762, 'No': -1.5340247, '\n': -2.396978, ' Yes': -2.4575706, 'Yes': -4.217302}
{' No': -0.38023403, 'No': -1.6630766, '\n': -2.8505232, ' Yes': -2.9440901, 'Yes': -4.9177246}
{' No': -0.45400262, 'No': -1.8084433, ' Yes': -2.1853945, '\n': -2.9062824, 'Yes': -4.097864}
{' Yes': -0.3136638, 'Yes': -2.425715, ' No': -2.48799, '\n': -2.8811798, 'No': -3.8555336}
{' Yes': -0.12551191, ' yes': -2.2850063, 'Yes': -4.442446, '\n': -6.4760633, 'yes': -6.7040896}
{' Yes': -0.076181106, ' yes': -2.8147979, 'Yes': -4.665132, '\n': -6.4487305, ' ': -6.990085}
{' Yes': -0.08591823, ' yes': -3.0750635, 'Yes': -4.118734, ' No': -4.3819804, '\n': -6.0947933}
{' Yes': -0.054002214, ' yes': -3.39862, 'Yes': -4.1356287, '\n': -6.5883646, ' ': -7.0643}
{' Yes': -0.0058536287, 'Yes': -5.8532696, '\n': -6.4922385, ' yes': -7.268862, ' ': -7.672497}
{' Yes': -0.008707975, 'Yes': -5.917098, ' No': -5.9251757, '\n': -6.366715, ' ': -7.3912783}
{' Yes': -0.018911708, ' No': -4.7752557, '\n': -5.136219, 'Yes': -5.842133, ' ': -7.063822}
{' Yes': -0.02008771, '\n': -4.468955, 'Yes': -5.644889, ' No': -5.8307395, ' ': -6.9743776}
{' Yes': -0.07923382, '\n': -3.3528771, 'Yes': -3.801585, ' No': -4.8998914, ' ': -5.295941}
{' Yes': -0.28354922, '\n': -2.191426, ' No': -2.4383018, 'Yes': -3.947476, ' ': -4.4195433}
{' Yes': -0.10341776, '\n': -3.0912676, 'Yes': -3.754405, ' No': -4.0466375, ' Ravens': -5.541967}
{' Yes': -0.14171325, '\n': -3.025073, ' No': -3.0886753, 'Yes': -3.7287815, 'No': -5.536536}
{' Yes': -0.09164988, '\n': -3.4627473, 'Yes': -3.9691272, ' No': -4.06921, ' ': -4.7570877}
{' Yes': -0.37270442, ' No': -2.038159, '\n': -2.1528938, ' ': -3.8676023, 'Yes': -3.983615}
{' Yes': -0.09020247, ' Ravens': -3.4678879, '\n': -3.7402976, 'Yes': -4.2804756, ' No': -4.5920086}
{' Yes': -0.1517847, '\n': -2.6308725, ' No': -3.6197276, 'Yes': -4.154014, ' Ravens': -4.2426734}
{' Yes': -0.025754046, '\n': -4.470845, ' ': -5.3525305, 'Yes': -5.4926863, ' No': -5.880637}
{' Yes': -0.0673595, '\n': -3.5420258, ' No': -4.089856, ' ': -4.6210146, 'Yes': -5.313705}
{' Yes': -0.1014052, '\n': -2.9703815, ' No': -3.6492126, ' ': -4.962096, 'Yes': -5.021798}
{' Yes': -0.07952219, '\n': -3.1773708, ' No': -3.8955486, 'Yes': -4.9001265, ' ': -5.509576}
{' Yes': -0.63807136, ' No': -0.8944305, 'No': -3.8981266, '\n': -4.2862988, 'Yes': -4.292839}
{' No': -0.19590889, ' Yes': -2.3051255, 'No': -3.1218464, '\n': -4.104173, ' A': -4.781541}
{' No': -0.16166154, ' Yes': -2.4500985, 'No': -3.3875964, '\n': -4.494662, ' Ravens': -4.6495748}
{' Yes': -0.5596252, ' No': -1.0633026, '\n': -3.4862113, 'No': -4.155751, 'Yes': -4.291433}
{' Yes': -0.035401605, 'Yes': -4.3512983, '\n': -4.8915644, ' yes': -5.0658617, ' ': -5.4097853}
{' Yes': -0.08282395, '\n': -3.5729477, ' No': -4.019351, 'Yes': -4.436675, ' ': -4.479509}
{' Yes': -0.083706126, ' No': -3.2193813, 'Yes': -4.2750816, '\n': -4.773634, ' Ravens': -5.0335026}
{' Yes': -0.0303317, 'Yes': -4.294055, '\n': -5.020034, ' yes': -5.6536703, ' ': -6.047448}
{' Yes': -0.019707453, ' No': -4.566954, 'Yes': -5.1152925, ' Generally': -6.2805524, ' A': -7.2572517}
{' Yes': -0.0065744226, 'Yes': -5.174173, ' No': -8.0241785, ' A': -8.116996, ' Generally': -9.02522}
{' Yes': -0.2641268, ' No': -1.7956724, ' Ravens': -2.9592295, ' Generally': -4.957822, 'Yes': -5.6909323}
{' Yes': -0.05714312, ' No': -3.4180725, ' Ravens': -4.4854608, 'Yes': -4.736439, 'No': -7.046309}
{' Yes': -0.40674207, ' No': -1.2553215, 'No': -3.8037622, 'Yes': -4.35794, ' Generally': -4.7066092}
{' Yes': -0.06165808, ' No': -3.3375576, 'Yes': -4.232045, ' Generally': -5.284005, 'No': -6.113492}
{' No': -0.3120924, ' Yes': -1.938271, 'No': -2.5138135, ' Ravens': -3.8580232, ' Generally': -4.3599973}
{' No': -0.4592259, ' Yes': -1.2903225, 'No': -2.7582083, ' Ravens': -4.425763, 'Yes': -4.703309}
{' No': -0.17127462, ' Yes': -2.4314387, 'No': -2.8949265, '\n': -5.2407537, ' A': -6.073897}
{' Yes': -0.15527728, ' No': -2.1623688, 'Yes': -4.191616, 'No': -5.1280575, '\n': -5.971153}
{' No': -0.18915252, 'No': -2.6674755, ' Yes': -2.9668984, ' Ravens': -3.3182435, '\n': -5.051726}
{' No': -0.21896856, ' Yes': -2.0906765, 'No': -3.0529432, ' Ravens': -4.28045, '\n': -5.334903}
{' No': -0.32136124, ' Yes': -1.4711282, 'No': -3.4332232, ' A': -4.913051, 'Yes': -5.7942595}
{' Yes': -0.012470458, 'Yes': -4.7668552, ' A': -6.2226143, ' No': -6.4573603, ' Generally': -9.007534}
{' No': -0.105323635, 'No': -3.0014207, ' Ravens': -3.2673547, ' Yes': -4.800302, ' Generally': -5.8927207}
{' No': -0.5687989, ' Yes': -1.1606894, ' Ravens': -2.76245, 'No': -3.1184947, 'Yes': -4.734145}
{' No': -0.2123817, 'No': -2.094769, ' Yes': -3.1199703, ' Generally': -4.9986734, '\n': -5.218584}
{' Yes': -0.23196235, ' No': -1.949522, 'Yes': -3.5745125, 'No': -3.973181, ' Generally': -5.035843}
{' No': -0.29364693, 'No': -2.1834002, ' Ravens': -2.7409163, ' Yes': -3.1454475, '\n': -4.900324}
{' No': -0.7487287, ' Yes': -0.9772919, 'No': -2.6927974, ' Ravens': -3.0103118, 'Yes': -3.9411435}
{' No': -0.72777355, ' Yes': -1.0693358, 'No': -2.6430569, ' Generally': -2.9605002, 'Yes': -4.415191}
{' Yes': -0.10622019, ' No': -3.128778, 'Yes': -3.6514585, ' Generally': -4.4175797, ' A': -4.977537}
{' No': -0.5104153, ' Yes': -1.7605526, ' Ravens': -2.0881398, 'No': -2.697015, ' Generally': -3.9545107}
{' Yes': -0.74134624, ' No': -0.856283, 'No': -3.1357021, ' Ravens': -3.4805336, 'Yes': -4.169264}
{' No': -0.6633961, ' Yes': -0.75753903, ' A': -4.6336203, 'No': -6.0556912, ' ': -6.50006}
{' Yes': -0.0059260554, ' No': -5.93872, 'Yes': -6.233636, ' A': -7.4085054, ' ': -8.114308}
{' Yes': -0.019894887, ' No': -4.38387, ' Ravens': -5.7554216, 'Yes': -5.8282113, '\n': -7.7463064}
{' Yes': -0.077136815, ' No': -2.7097604, 'Yes': -5.659734, ' Ravens': -6.33867, '\n': -7.1047626}
{' No': -0.13689506, 'No': -2.7146556, ' Yes': -3.494002, ' A': -4.065905, '\n': -4.9589524}
{' Yes': -0.48432383, ' No': -1.2217965, ' A': -3.7134326, 'No': -3.8856792, 'Yes': -4.1071744}
{' No': -0.7407767, ' Yes': -0.98312634, ' Ravens': -2.5624073, 'No': -3.3406777, 'Yes': -4.559014}
{' Yes': -0.5462167, ' No': -1.1030481, 'No': -3.6189857, ' Ravens': -3.8174891, 'Yes': -3.881584}
{' No': -0.45038947, '\n': -1.9579349, ' Yes': -2.53375, 'No': -2.640375, ' A': -3.117696}
{' No': -0.5230275, ' Yes': -1.7761822, '\n': -1.951765, 'No': -3.0957587, ' ': -3.808157}
{' Yes': -1.2568372, '\n': -1.2949003, ' No': -1.3536352, ' Ravens': -2.1962333, ' ': -3.482505}
{' No': -0.7588185, ' Yes': -1.2301778, '\n': -1.9300833, 'No': -3.3958254, ' Ravens': -3.67974}
{' No': -0.019801073, 'No': -4.7007165, ' Yes': -5.266919, ' A': -5.3943033, ' ': -7.346192}
{' Yes': -0.19831465, ' No': -1.8851986, ' A': -3.871027, 'Yes': -5.5493183, ' ': -6.507999}
{' No': -0.24751082, ' Yes': -1.7540721, ' Ravens': -3.6919036, 'No': -4.1076884, 'Yes': -6.48797}
{' No': -0.47813198, ' Yes': -1.0645082, 'No': -3.9271216, ' Ravens': -4.8946853, 'Yes': -5.1758265}
{' No': -0.34276244, 'No': -1.4600968, '\n': -3.5198731, ' ': -4.482182, ' Yes': -4.8541427}
{' Yes': -0.3867151, 'Yes': -2.2026255, ' No': -2.3170664, '\n': -3.1520882, 'No': -3.5565856}
{' No': -0.7072449, ' Yes': -1.5137672, 'No': -2.1307125, ' Ravens': -2.9416199, '\n': -3.0043428}
{' Yes': -0.44536254, ' No': -1.8238451, 'Yes': -2.5542662, 'No': -3.37965, '\n': -3.4233575}
{' Yes': -0.64993, ' No': -0.98814875, ' A': -3.018075, 'No': -3.8872519, ' ': -4.404046}
{' Yes': -0.030644657, 'Yes': -4.0910063, ' A': -5.5343604, ' No': -5.844472, ' ': -5.9669657}
{' No': -0.8318955, ' Yes': -0.85860986, ' Ravens': -2.8398528, 'No': -3.4359677, ' ': -4.1058784}
{' Yes': -0.20291992, ' No': -2.3356845, 'Yes': -3.5850034, ' Ravens': -3.6610763, ' ': -4.764979}
{' No': -0.13085411, 'No': -2.5060964, ' Yes': -3.6377928, ' A': -4.868035, ' Generally': -5.7023144}
{' Yes': -0.41417295, ' No': -1.378704, 'No': -3.5266223, 'Yes': -3.619285, ' A': -3.8480947}
{' No': -0.2981911, 'No': -2.0137672, ' Yes': -2.7897778, ' Ravens': -3.2177715, ' Generally': -5.232748}
{' No': -0.20563564, 'No': -1.9003586, ' Yes': -3.8030345, ' Ravens': -5.0729527, 'Yes': -6.2379117}
{' No': -0.10873064, 'No': -2.3295233, ' Yes': -5.2970033, 'Yes': -8.24629, ' ': -8.392715}
{' No': -0.23521727, 'No': -2.2020826, ' Yes': -2.3856459, 'Yes': -5.168929, ' ': -7.1130915}
{' No': -0.20795718, 'No': -1.7104461, ' Yes': -5.8195367, ' Ravens': -6.2030096, ' Generally': -7.3382382}
{' No': -0.18723719, 'No': -1.8114858, ' Yes': -5.1106644, 'Yes': -7.4003487, ' Ravens': -8.25297}
{' No': -0.12298841, 'No': -2.1842449, ' Yes': -6.3770747, '\n': -7.6284175, ' ': -7.782089}
{' No': -0.11450792, 'No': -2.3187964, ' Yes': -4.8025074, 'Yes': -7.5326667, ' ': -7.62433}
{' No': -0.17714287, 'No': -1.9167823, ' Yes': -4.720062, ' Ravens': -5.507356, 'Yes': -7.079327}
{' No': -0.21788985, 'No': -1.635332, ' Yes': -8.454554, ' ': -8.59662, '\n': -8.689435}
{' No': -0.033541746, 'No': -3.5048723, ' Yes': -6.244416, ' ': -7.8349633, ' A': -8.159873}
{' No': -0.040270902, 'No': -3.8538883, ' Yes': -4.0638833, ' ': -7.579371, 'Yes': -8.375372}
{' No': -0.07726308, 'No': -2.7256393, ' Yes': -5.4529953, ' Ravens': -5.7763023, ' Generally': -7.418043}
{' No': -0.06137601, 'No': -2.864034, ' Yes': -6.380647, ' Ravens': -7.828418, ' ': -8.790878}
{' No': -0.37386847, 'No': -1.1824183, '\n': -6.2587237, ' Ravens': -6.757623, ' ': -6.8466735}
{' No': -0.34827423, 'No': -1.2477875, ' Yes': -6.032676, '\n': -6.2058864, ' ': -6.785182}
{' No': -0.43825784, 'No': -1.0977294, ' Ravens': -4.3012567, '\n': -6.431199, ' ': -6.7249436}
{' No': -0.43959954, 'No': -1.0681397, ' Ravens': -4.914663, ' Yes': -6.668337, '\n': -7.2370586}
{' No': -0.21175995, 'No': -1.8955692, ' Yes': -3.8211994, '\n': -4.8592725, ' Raven': -5.918363}
{' No': -0.19581683, 'No': -1.8736961, ' Yes': -4.028437, ' A': -6.238114, '\n': -6.4072156}
{' No': -0.29961193, 'No': -1.4036692, ' Ravens': -4.5249763, '\n': -7.3063245, ' ': -7.5786195}
{' No': -0.3555848, 'No': -1.2206628, ' Ravens': -6.110048, '\n': -7.2407293, ' ': -7.637477}
{' Yes': -0.057114843, ' No': -3.0209014, ' yes': -5.584317, 'Yes': -6.5756083, ' ': -6.8061953}
{' Yes': -0.008185499, ' yes': -5.6794477, 'Yes': -6.1145196, ' No': -6.752602, ' ': -7.0534234}
{' Yes': -0.11771821, ' No': -2.2609773, 'Yes': -6.0687065, ' Ravens': -6.6243787, ' yes': -6.7842565}
{' Yes': -0.04880004, ' No': -3.3715768, ' Ravens': -5.300694, 'Yes': -5.4345956, ' yes': -6.493313}
{' No': -0.42035818, ' Yes': -1.4311806, 'No': -2.6781878, 'Yes': -4.5647006, '\n': -4.5824122}
{' Yes': -0.24909227, ' No': -2.007786, 'Yes': -3.191822, '\n': -4.1774597, 'No': -4.1794796}
{' No': -0.59312385, ' Yes': -1.1012244, 'No': -2.6749873, 'Yes': -4.230733, ' Ravens': -4.2830577}
{' Yes': -0.642292, ' No': -0.99018294, 'No': -3.0299013, 'Yes': -3.376604, '\n': -4.5398254}
{' No': -0.3939631, '\n': -1.8751642, 'No': -2.3370457, ' Yes': -2.9816344, ' ': -4.579403}
{' Yes': -1.1275727, ' No': -1.1379105, '\n': -1.3760276, 'No': -3.1396766, 'Yes': -3.5864654}
{' Yes': -0.75753903, ' No': -1.5863811, '\n': -1.7852298, ' Ravens': -2.6708536, 'No': -3.4848852}
{' No': -0.5253607, ' Yes': -1.8969237, '\n': -1.964808, 'No': -2.4868362, 'Yes': -4.161055}
{' No': -0.20088857, ' Yes': -1.8406609, 'No': -4.341243, ' A': -5.245026, ' ': -6.33372}
{' Yes': -0.041075572, ' No': -3.6607654, 'Yes': -4.6964383, ' A': -6.5009356, ' yes': -6.7794194}
{' No': -0.3369886, ' Yes': -1.4239615, 'No': -3.438051, ' Ravens': -4.938692, 'Yes': -5.51914}
{' No': -0.11302546, ' Yes': -2.7872157, 'No': -3.2235315, ' Ravens': -6.009287, 'Yes': -6.666923}
{' No': -0.36568412, 'No': -1.4913555, '\n': -2.6945531, ' ': -5.039024, ' Yes': -5.792872}
{' No': -0.54434645, 'No': -1.7611203, ' Yes': -2.0240808, '\n': -2.54847, 'Yes': -3.6778185}
{' No': -0.37015826, 'No': -1.4828998, '\n': -3.2489328, ' Yes': -3.7954128, ' ': -4.8372483}
{' Yes': -0.89690834, ' No': -1.0173308, 'No': -2.4226747, 'Yes': -2.7502637, '\n': -2.792704}
{' Yes': -0.14255822, ' No': -2.9713888, ' yes': -3.0839453, 'Yes': -4.1598177, ' A': -5.0515203}
{' Yes': -0.0515397, ' yes': -3.4913018, 'Yes': -4.2277174, '\n': -5.928908, ' ': -6.628758}
{' Yes': -0.41409662, ' No': -1.3604791, ' Ravens': -4.1251807, 'No': -4.1706367, ' yes': -4.188276}
{' Yes': -0.08097386, 'Yes': -3.8084042, ' No': -3.8509207, ' yes': -3.9662619, '\n': -5.0998316}
{' No': -0.21105826, ' Yes': -1.8221557, ' A': -4.2686906, '\n': -4.936234, ' ': -5.6068616}
{' Yes': -0.02499596, ' No': -4.383583, '\n': -5.4920673, ' A': -5.5950446, 'Yes': -6.0277863}
{' Yes': -0.38664368, ' No': -1.318374, '\n': -3.679681, ' Ravens': -4.0839643, ' ': -5.498851}
{' No': -0.43783313, ' Yes': -1.1652405, '\n': -3.8695707, ' Ravens': -4.391883, 'No': -5.4398756}
{' No': -0.12954779, 'No': -2.8657403, '\n': -3.1468053, ' A': -4.9493985, ' Yes': -4.960839}
{' No': -0.19286638, '\n': -2.895547, ' Yes': -2.969554, 'No': -2.9984505, ' A': -4.734761}
{' No': -0.53608584, '\n': -1.6543472, ' Yes': -2.0565422, 'No': -3.1683927, ' Ravens': -3.4772022}
{' No': -0.44382125, '\n': -1.8376716, ' Yes': -2.0889497, 'No': -3.197199, ' Ravens': -3.9234295}
{' No': -0.15174358, '\n': -3.0350614, 'No': -3.1246972, ' A': -3.8909361, ' Yes': -4.0304775}
{' No': -0.5471472, '\n': -1.6236072, ' Yes': -1.93881, 'No': -3.514764, ' ': -3.7395873}
{' Yes': -0.6069258, ' No': -1.7562903, ' Ravens': -1.7718182, '\n': -2.6314292, ' ': -4.1724563}
{' No': -0.45152634, ' Yes': -1.8181989, '\n': -2.3439918, ' Ravens': -2.8391163, 'No': -3.8092492}
{' No': -0.050382793, ' A': -4.4461684, '\n': -4.4888115, 'No': -4.5676637, ' Yes': -4.8464127}
{' Yes': -0.7537323, ' No': -0.94718325, ' A': -2.6743639, '\n': -3.1634538, ' ': -3.8089821}
{' Yes': -0.66755545, ' No': -1.4909616, '\n': -2.1153686, ' Ravens': -2.2770143, ' ': -3.7955403}
{' No': -0.5796177, ' Yes': -1.3961957, '\n': -2.4584265, ' Ravens': -2.6217473, 'No': -4.180751}
