{' Yes': -0.2106354, ' No': -1.6864445, 'Yes': -5.9270716, 'No': -6.5995607, '\n': -7.8603544}
{' Yes': -0.0031241884, 'Yes': -5.8966866, ' yes': -9.1352005, ' No': -9.156639, '\n': -9.510496}
{' Yes': -0.0033201454, 'Yes': -5.9747458, ' No': -7.6902456, ' yes': -8.999251, '\n': -9.191203}
{' Yes': -0.18772441, ' No': -1.8036053, 'Yes': -5.9828267, '\n': -6.162274, 'No': -6.9233813}
{' Yes': -0.035421677, ' No': -3.4377003, 'Yes': -6.359991, '\n': -7.989328, ' The': -8.536131}
{' Yes': -0.005225798, 'Yes': -5.9542685, ' No': -6.1681933, ' The': -8.304105, ' yes': -8.833535}
{' Yes': -0.11444068, ' No': -2.2486913, 'Yes': -6.3818507, 'No': -7.898561, '\n': -8.8451395}
{' Yes': -0.0069435975, 'Yes': -5.6297135, ' No': -5.955411, ' yes': -8.288234, '\n': -8.357411}
{' Yes': -0.2169547, ' No': -1.6596065, 'Yes': -6.077512, 'No': -6.9035654, ' The': -7.3092966}
{' Yes': -0.0027453024, 'Yes': -6.2605443, ' No': -7.5990453, ' yes': -8.440383, ' The': -10.059243}
{' Yes': -0.003726174, ' No': -6.270526, 'Yes': -6.507214, ' yes': -8.365055, ' The': -10.027112}
{' Yes': -0.0015925446, 'Yes': -6.738317, ' No': -8.459955, ' yes': -9.048334, ' The': -10.592119}
{' Yes': -0.0068934215, ' No': -5.3494053, 'Yes': -6.3318734, '\n': -8.992733, ' yes': -9.100903}
{' Yes': -0.4201357, ' No': -1.0796434, 'Yes': -6.504799, 'No': -7.0478287, ' The': -7.458426}
{' No': -0.030734267, ' Yes': -3.783307, 'No': -5.1197557, '\n': -7.167741, ' The': -8.216228}
{' Yes': -0.0017310593, 'Yes': -6.5322065, ' yes': -8.824541, ' The': -9.818484, '\n': -11.033204}
{' Yes': -0.0014395484, 'Yes': -6.659354, ' yes': -9.497823, '\n': -10.623229, ' No': -10.751788}
{' Yes': -0.0017062826, 'Yes': -6.8171225, ' No': -8.120482, ' yes': -8.669986, '\n': -9.73033}
{' Yes': -0.01350937, ' No': -4.4641986, 'Yes': -6.832717, '\n': -7.932225, ' yes': -8.087451}
{' Yes': -0.3534398, ' No': -1.2216727, 'Yes': -6.6200395, 'No': -7.06317, '\n': -8.155331}
{' No': -0.104835935, ' Yes': -2.3497584, 'No': -5.6877975, 'Yes': -8.2926445, ' The': -8.903036}
{' Yes': -0.041857153, ' No': -3.304356, 'Yes': -5.848564, '\n': -7.564724, ' The': -8.128349}
{' Yes': -0.24983951, ' No': -1.5412117, 'Yes': -6.005285, '\n': -6.482452, ' The': -6.589269}
{' Yes': -0.3066712, ' No': -1.3415681, 'Yes': -6.8830967, 'No': -7.56595, ' The': -7.820127}
{' No': -0.6609398, ' Yes': -0.7315023, 'No': -6.7023864, 'Yes': -7.303663, '\n': -8.485616}
{' Yes': -0.0017247318, 'Yes': -6.630568, ' yes': -8.649489, ' No': -8.956501, ' ': -10.372915}
{' Yes': -0.010507359, ' No': -4.7966266, 'Yes': -6.46236, ' yes': -7.911155, ' ': -9.355882}
{' Yes': -0.0018933624, 'Yes': -6.437408, ' yes': -9.177901, ' No': -9.368562, '\n': -9.944659}
{' Yes': -0.024265992, ' No': -3.830912, 'Yes': -6.4756455, ' yes': -8.239859, '\n': -8.585784}
{' Yes': -0.039678235, ' No': -3.3714004, 'Yes': -6.06838, '\n': -6.4870925, ' ': -8.092371}
{' No': -0.3653312, ' Yes': -1.2091614, 'No': -5.218843, 'Yes': -6.608194, '\n': -7.8925624}
{' Yes': -0.0027442256, 'Yes': -6.429761, ' No': -7.0778704, ' yes': -9.189429, ' ': -9.474423}
{' Yes': -0.0768929, ' No': -2.635704, 'Yes': -6.7585254, '\n': -8.025854, ' The': -8.272286}
{' Yes': -0.02837013, ' No': -3.6836722, 'Yes': -6.098678, '\n': -8.728891, 'No': -8.950249}
{' Yes': -0.025889523, ' No': -3.7487574, 'Yes': -6.4795904, ' The': -8.766774, ' yes': -8.894723}
{' Yes': -0.0018930028, 'Yes': -6.6984544, ' No': -7.797888, ' yes': -8.738727, ' The': -10.445633}
{' Yes': -0.001713684, 'Yes': -6.804299, ' No': -7.957228, ' yes': -8.65546, '\n': -10.373756}
{' Yes': -0.0036203433, ' No': -6.2157197, 'Yes': -6.7112694, ' yes': -8.811919, ' The': -9.064539}
{' Yes': -0.010991218, ' No': -4.7318563, 'Yes': -6.587685, ' The': -8.229045, ' yes': -8.27278}
{' Yes': -0.012146176, ' No': -4.5545907, 'Yes': -6.904058, ' The': -8.5039425, ' yes': -8.763605}
{' Yes': -0.0016928478, 'Yes': -6.4960904, ' yes': -9.199116, ' No': -10.435702, '\n': -10.891398}
{' Yes': -0.0232163, ' No': -3.7987769, 'Yes': -7.795795, ' ': -10.096771, ' yes': -10.175169}
{' Yes': -0.30898538, ' No': -1.3305956, 'Yes': -7.640513, ' The': -7.8106256, 'No': -8.081087}
{' No': -0.21358947, ' Yes': -1.6642674, 'No': -6.4999456, ' The': -7.102765, 'Yes': -8.1883545}
{' Yes': -0.11921956, ' No': -2.19377, 'Yes': -7.4241643, ' The': -9.016722, 'No': -9.08176}
{' Yes': -0.0007062783, 'Yes': -7.546341, ' yes': -9.505924, ' The': -9.547482, ' YES': -11.025599}
{' Yes': -0.00072518643, 'Yes': -7.431196, ' yes': -9.772427, ' No': -9.954893, ' ': -11.429215}
{' Yes': -0.030432953, ' No': -3.5474348, 'Yes': -7.660096, ' The': -7.662488, ' yes': -9.349088}
{' Yes': -0.0005988019, 'Yes': -7.644918, ' yes': -9.69419, ' The': -10.702992, ' No': -11.038665}
{' Yes': -0.0009082647, 'Yes': -7.2992744, ' No': -8.9887085, ' yes': -9.536002, ' ': -11.052134}
{' Yes': -0.08863849, ' No': -2.4756472, 'Yes': -7.88912, ' The': -8.450638, 'No': -9.941166}
{' Yes': -0.00080380414, 'Yes': -7.416108, ' No': -9.003587, ' yes': -9.75948, ' ': -11.778416}
{' Yes': -0.0017806774, ' No': -6.928521, 'Yes': -7.4357243, ' The': -9.004983, ' yes': -9.7805805}
{' Yes': -0.0017711256, ' No': -7.1060667, 'Yes': -7.155978, ' The': -9.418849, ' yes': -9.958377}
{' Yes': -0.0008947209, 'Yes': -7.431312, ' No': -8.755716, ' yes': -9.716918, ' The': -9.866539}
{' Yes': -0.00044189885, 'Yes': -8.200076, ' yes': -9.443011, ' No': -10.733365, ' The': -10.757922}
{' No': -0.4926935, ' Yes': -0.94640976, ' The': -8.034859, 'No': -8.212807, 'Yes': -8.949619}
{' Yes': -0.013689303, ' No': -4.360895, 'Yes': -7.4352474, ' yes': -8.879904, ' ': -10.650254}
{' Yes': -0.0007999866, ' No': -7.943627, 'Yes': -8.040599, ' yes': -9.574515, ' The': -10.3885565}
{' Yes': -0.0023127876, ' No': -6.40441, 'Yes': -7.7239485, ' The': -9.367411, ' yes': -9.477961}
{' No': -0.5339391, ' Yes': -0.88499814, 'No': -7.831196, ' The': -8.05983, 'Yes': -8.691977}
{' Yes': -0.00049085513, 'Yes': -8.185476, ' No': -9.274954, ' yes': -9.7220955, ' The': -10.780594}
{' Yes': -0.0008733628, ' No': -7.676325, 'Yes': -8.028887, ' yes': -9.90377, ' The': -11.42172}
{' Yes': -0.000385668, 'Yes': -7.9811687, ' yes': -10.429972, ' YES': -11.951723, ' No': -12.318884}
{' Yes': -0.015662098, ' No': -4.2088666, 'Yes': -7.5492826, ' The': -9.594094, ' yes': -10.427701}
{' Yes': -0.014990516, ' No': -4.292847, 'Yes': -7.288721, ' The': -7.8494725, ' yes': -9.714544}
{' Yes': -0.20024267, ' No': -1.7361124, ' The': -5.7282577, 'Yes': -6.8048954, 'No': -7.9649}
{' Yes': -0.0029418978, ' No': -5.9992642, 'Yes': -7.9134717, ' yes': -9.916636, ' ': -11.253077}
{' Yes': -0.28272542, ' No': -1.40475, 'Yes': -7.9345407, 'No': -8.515485, ' The': -9.017844}
{' Yes': -0.0038444607, ' No': -5.7405443, 'Yes': -7.9938335, ' The': -8.694795, ' yes': -9.420705}
{' No': -0.08065903, ' Yes': -2.5736437, 'No': -7.1973734, ' The': -8.260352, ' ': -9.242078}
{' Yes': -0.005477901, ' No': -5.3546886, 'Yes': -7.4388113, ' The': -10.119863, ' ': -10.176446}
{' No': -0.077213496, ' Yes': -2.6174757, 'No': -6.8990455, ' The': -9.172884, ' ': -9.182089}
{' Yes': -0.00059975556, 'Yes': -7.875996, ' No': -8.984222, ' yes': -9.851109, ' The': -10.845625}
{' Yes': -0.20533691, ' No': -1.6902498, ' The': -7.6767964, 'Yes': -7.828227, 'No': -8.836732}
{' Yes': -0.003425522, ' No': -6.0011916, 'Yes': -7.2962985, ' The': -9.319539, ' yes': -9.448149}
{' No': -0.015263306, ' Yes': -4.247826, 'No': -7.2132473, ' The': -9.841229, ' ': -10.432053}
{' Yes': -0.024447137, ' No': -3.7483125, 'Yes': -7.6964498, ' yes': -9.912405, ' ': -10.2921}
{' Yes': -0.00071176566, 'Yes': -7.328399, ' yes': -10.304871, ' YES': -11.627796, ' The': -12.266488}
{' Yes': -0.0010895238, 'Yes': -6.9605885, ' yes': -9.958271, ' No': -10.167692, ' The': -10.349436}
{' No': -0.022422832, ' Yes': -3.922863, 'No': -6.552953, ' The': -7.450172, ' Not': -9.035373}
{' Yes': -0.0007628254, 'Yes': -7.680547, ' No': -8.350273, ' yes': -10.05261, ' ': -11.749958}
{' Yes': -0.00054459006, 'Yes': -7.6412473, ' yes': -10.511929, ' No': -11.087345, ' The': -11.413394}
{' Yes': -0.0011796867, 'Yes': -7.264909, ' No': -7.799214, ' yes': -10.468977, ' The': -10.786687}
{' Yes': -0.0006858805, 'Yes': -7.6685114, ' No': -8.940381, ' The': -10.207015, ' yes': -10.282539}
{' Yes': -0.0059640706, ' No': -5.311622, 'Yes': -7.1673503, ' The': -9.012512, ' yes': -9.750215}
{' No': -0.15485188, ' Yes': -1.9483528, 'No': -7.6145744, ' The': -8.300165, ' ': -9.615263}
{' Yes': -0.0025378054, ' No': -6.3722773, 'Yes': -7.375415, ' yes': -9.161376, ' ': -10.237124}
{' Yes': -0.007867953, ' No': -4.9325976, 'Yes': -7.7184215, ' yes': -9.675083, ' The': -9.868275}
{' Yes': -0.0774801, ' No': -2.6091974, 'Yes': -7.588266, ' The': -8.0741625, ' yes': -9.941015}
{' Yes': -0.032179326, ' No': -3.4758687, 'Yes': -7.6492944, ' The': -8.698416, ' yes': -10.570804}
{' Yes': -0.0035787686, ' No': -6.085003, 'Yes': -7.0627522, ' The': -8.399904, ' yes': -8.845564}
{' Yes': -0.019637665, ' No': -3.986892, ' The': -7.9782386, 'Yes': -8.086188, ' yes': -8.918859}
{' Yes': -0.33472958, ' No': -1.2656206, ' The': -6.6894174, 'Yes': -7.5700903, ' yes': -8.502757}
{' Yes': -0.040562846, ' No': -3.23899, 'Yes': -8.156896, ' The': -9.124234, ' yes': -9.365453}
{' No': -0.6589426, ' Yes': -0.731069, 'No': -7.6615324, 'Yes': -8.05128, ' ': -8.869128}
{' No': -0.26357085, ' Yes': -1.4705486, ' The': -6.824138, 'No': -7.61866, 'Yes': -8.901735}
{' Yes': -0.11346621, ' No': -2.258936, ' The': -6.471151, 'Yes': -7.2050934, 'No': -8.771032}
{' Yes': -0.012316209, ' No': -4.4905057, 'Yes': -7.6695495, ' The': -7.7476344, ' yes': -9.298458}
{' Yes': -0.001332409, ' No': -7.0268106, 'Yes': -7.960139, ' yes': -9.879611, ' ': -11.174906}
{' Yes': -0.0010556901, ' No': -7.422137, 'Yes': -7.965124, ' yes': -9.820062, ' The': -10.637975}
{' Yes': -0.08787371, ' No': -2.4889834, 'Yes': -7.5516434, ' The': -8.275127, ' yes': -9.082897}
{' No': -0.06281954, ' Yes': -2.8147857, 'No': -7.2970357, ' The': -8.840717, ' ': -9.426516}
{' Yes': -0.014273792, ' No': -4.2888727, 'Yes': -7.9032354, ' yes': -10.2369795, ' ': -11.093015}
{' Yes': -0.0017978171, ' No': -6.5516896, 'Yes': -8.218636, ' The': -10.176589, ' yes': -10.321983}
{' Yes': -0.0074154623, ' No': -5.008878, 'Yes': -7.811017, ' The': -8.871814, ' yes': -9.184428}
{' Yes': -0.25404093, ' No': -1.5015537, 'Yes': -7.295111, ' The': -8.187383, 'No': -8.319343}
{' Yes': -0.0521818, ' No': -2.9891973, 'Yes': -7.8891163, 'No': -10.308757, ' The': -10.3284645}
{' Yes': -0.050816048, ' No': -3.0210783, 'Yes': -7.777621, ' The': -8.763168, ' yes': -8.965607}
{' Yes': -0.001346851, ' No': -6.9515705, 'Yes': -8.143105, ' The': -10.013847, ' yes': -10.376085}
{' Yes': -0.36091995, ' No': -1.1966456, 'Yes': -8.035047, 'No': -8.52481, ' The': -8.72556}
{' Yes': -0.0006667348, 'Yes': -7.7875123, ' No': -9.156478, ' The': -9.756778, ' yes': -9.756991}
{' Yes': -0.0022050156, ' No': -6.436115, 'Yes': -7.8495975, ' The': -9.315151, ' yes': -9.437131}
{' Yes': -0.5146023, ' No': -0.9133278, 'Yes': -7.926503, 'No': -7.9928865, ' The': -8.70316}
{' Yes': -0.0015131489, ' No': -7.0500855, 'Yes': -7.5752225, ' yes': -9.641349, ' The': -10.357989}
{' Yes': -0.3517758, ' No': -1.217815, 'Yes': -8.405688, ' The': -8.678567, 'No': -8.768807}
{' No': -0.29431343, ' Yes': -1.3716372, 'No': -7.4387393, ' ': -8.48991, ' The': -8.536383}
{' Yes': -0.030294467, ' No': -3.5361822, 'Yes': -7.5037813, ' yes': -9.692138, ' ': -10.223947}
{' Yes': -0.20927104, ' No': -1.6727586, 'Yes': -7.6088815, ' The': -8.109107, 'No': -8.675834}
{' Yes': -0.18272205, ' No': -1.7980613, ' The': -7.4724574, 'Yes': -7.8308234, 'No': -8.932714}
{' Yes': -0.006233753, ' No': -5.188059, 'Yes': -7.914271, ' The': -8.815376, ' yes': -9.643816}
{' Yes': -0.043591667, ' No': -3.191239, 'Yes': -6.742812, ' The': -8.589974, 'No': -9.752364}
{' No': -0.20620401, ' Yes': -1.6834645, 'No': -8.069466, ' The': -8.825209, 'Yes': -9.311598}
{' No': -0.025901634, ' Yes': -3.7025428, 'No': -7.161786, ' ': -9.884389, ' The': -10.360066}
{' No': -0.0008564793, 'No': -7.125259, ' ': -10.968305, ' Yes': -11.115432, ' The': -11.755184}
{' Yes': -0.22829588, ' No': -1.5972208, 'Yes': -7.3733892, ' The': -7.8487086, 'No': -8.390534}
{' Yes': -0.10979334, ' No': -2.2746532, ' The': -7.959343, 'Yes': -7.989004, ' Devil': -8.600407}
{' Yes': -0.010097428, ' No': -4.6486926, 'Yes': -8.210944, ' The': -9.09903, ' yes': -9.843999}
{' Yes': -0.016106008, ' No': -4.1671085, 'Yes': -8.323387, ' The': -9.088429, ' yes': -9.571146}
{' No': -0.017995583, ' Yes': -4.094356, 'No': -6.874414, ' ': -9.890361, ' The': -10.249728}
{' No': -0.5785856, ' Yes': -0.82399285, 'No': -8.494878, 'Yes': -8.856078, ' The': -8.956058}
{' Yes': -0.010189975, ' No': -4.656638, 'Yes': -7.562329, ' The': -9.907052, ' yes': -10.279288}
{' No': -0.044251096, ' Yes': -3.1807237, 'No': -6.669411, ' The': -8.302804, ' Not': -9.770029}
{' No': -0.063415885, ' Yes': -2.806761, 'No': -7.200451, ' The': -9.162539, ' ': -9.471306}
{' Yes': -0.093197145, ' No': -2.432011, ' The': -7.4050555, 'Yes': -7.9480133, 'No': -9.891447}
{' Yes': -0.0038537337, ' No': -5.7287164, 'Yes': -7.726345, ' The': -9.17391, ' yes': -10.260948}
{' Yes': -0.22752494, ' No': -1.5977145, 'Yes': -7.533679, ' The': -8.318721, 'No': -8.4474535}
{' Yes': -0.015744261, ' No': -4.212327, 'Yes': -7.470771, ' The': -9.041193, ' yes': -9.940863}
{' Yes': -0.0060511995, ' No': -5.221595, 'Yes': -7.6743364, ' The': -9.738717, ' yes': -9.89647}
{' Yes': -0.0006686431, 'Yes': -7.7481794, ' No': -9.170682, ' yes': -9.515709, ' YES': -10.616342}
{' No': -0.041634914, ' Yes': -3.213918, 'No': -7.908992, ' The': -9.027093, ' ': -10.296227}
{' Yes': -0.00066434784, 'Yes': -7.852637, ' No': -8.855523, ' yes': -9.441123, ' ': -10.9917345}
{' Yes': -0.000869306, 'Yes': -7.5241313, ' No': -8.203769, ' yes': -10.407456, ' The': -11.3635645}
{' Yes': -0.24150595, ' No': -1.5424055, 'Yes': -8.268483, ' The': -8.738111, 'No': -8.906899}
{' No': -0.31832802, ' Yes': -1.3066703, 'No': -6.961516, ' The': -7.8166184, 'Yes': -8.520504}
{' No': -0.07044364, ' Yes': -2.7020278, 'No': -7.38202, ' The': -8.786082, ' ': -9.47413}
{' No': -0.010196238, ' Yes': -4.6546664, 'No': -7.5875196, ' ': -10.160758, ' The': -10.354253}
{' Yes': -0.0006518225, 'Yes': -8.306066, ' No': -9.066627, ' yes': -9.079471, ' The': -9.183463}
{' Yes': -0.0032486222, ' No': -5.9597664, 'Yes': -7.98604, ' The': -8.603252, ' yes': -9.781729}
{' Yes': -0.0006738902, 'Yes': -7.4917817, ' yes': -9.904255, ' No': -10.819555, ' The': -10.8269005}
{' Yes': -0.0005978472, 'Yes': -7.728762, ' No': -9.334729, ' yes': -9.868091, ' YES': -12.101984}
{' Yes': -0.0006580251, 'Yes': -7.5071864, ' The': -10.252422, ' yes': -10.422979, ' No': -10.5908375}
{' Yes': -0.0032987967, ' No': -5.9157705, 'Yes': -7.90355, ' The': -8.653547, ' yes': -10.538833}
{' No': -0.02624283, ' Yes': -3.693155, 'No': -7.2169604, ' The': -9.194627, ' ': -9.324128}
{' Yes': -0.18060598, ' No': -1.8058214, ' The': -7.9495153, 'Yes': -8.414838, 'No': -9.271802}
{' Yes': -0.005850811, ' No': -5.3905096, 'Yes': -6.9697247, ' The': -8.58323, ' yes': -9.272374}
{' Yes': -0.015311665, ' No': -4.2613406, 'Yes': -7.262885, ' The': -8.460042, ' yes': -9.269195}
{' No': -0.021319283, ' Yes': -3.9222667, 'No': -6.835061, ' ': -9.498509, ' The': -9.836345}
{' No': -0.0022256256, 'No': -6.234447, ' The': -9.309072, ' Yes': -9.344411, ' ': -10.18513}
{' No': -0.45270583, ' Yes': -1.0123792, ' The': -8.169693, 'No': -8.791975, 'Yes': -9.2088585}
{' No': -0.00038089874, 'No': -8.013988, ' ': -11.014129, ' Yes': -11.282773, ' The': -12.157475}
{' Yes': -0.008912245, ' No': -4.820771, 'Yes': -7.7327223, ' The': -8.472884, ' yes': -9.10761}
{' Yes': -0.10891658, ' No': -2.2836049, ' The': -7.5677176, 'Yes': -7.7854795, ' ': -9.31441}
{' Yes': -0.15064448, ' No': -1.9741784, 'Yes': -7.7052326, ' The': -8.194672, 'No': -9.444244}
{' Yes': -0.00073413085, ' No': -7.9535747, 'Yes': -8.1452055, ' yes': -9.897292, ' The': -10.868566}
{' Yes': -0.0003464352, 'Yes': -8.552621, ' yes': -9.261174, ' ': -11.037644, ' No': -11.154316}
{' Yes': -0.0045557874, ' No': -5.4981604, 'Yes': -7.9728365, ' yes': -9.690938, ' ': -10.859171}
{' No': -0.004185695, ' Yes': -6.085765, 'No': -6.3808527, ' ': -9.364878, ' The': -9.487103}
{' Yes': -0.40568072, ' No': -1.1022865, ' The': -7.5053186, 'Yes': -7.9597745, 'No': -8.185822}
{' Yes': -0.35397112, ' No': -1.2150438, ' The': -7.408471, 'Yes': -7.9949093, 'No': -8.606145}
{' Yes': -0.042334225, ' No': -3.2073047, 'Yes': -7.4518704, ' The': -8.5443125, ' yes': -9.1699505}
{' No': -0.69361204, ' Yes': -0.69507694, ' The': -7.5566087, 'No': -8.074567, 'Yes': -8.558155}
{' Yes': -0.0048149107, ' No': -5.4209867, 'Yes': -8.307934, ' The': -9.806, ' yes': -9.837917}
{' Yes': -0.0036551615, ' No': -5.8606796, 'Yes': -7.3402905, ' yes': -9.382055, '\n': -10.804809}
{' Yes': -0.0010574791, 'Yes': -7.4831567, ' No': -7.8270264, ' yes': -10.038649, ' The': -10.651534}
{' Yes': -0.0021934882, ' No': -6.4551578, 'Yes': -7.642874, ' The': -9.824781, ' yes': -9.8944435}
{' Yes': -0.0036543233, ' No': -5.8126903, 'Yes': -7.5083084, ' yes': -9.586901, ' ': -11.268323}
{' Yes': -0.30261716, ' No': -1.3475828, 'Yes': -7.7099156, ' The': -7.938879, 'No': -8.394491}
{' No': -0.015633702, ' Yes': -4.2447495, 'No': -7.0790873, ' The': -8.313905, ' ': -10.102553}
{' Yes': -0.15015496, ' No': -1.9906509, ' The': -6.649073, 'Yes': -7.0342617, 'No': -8.046697}
{' No': -0.023068257, ' Yes': -3.8792884, 'No': -6.2915125, ' ': -9.167527, ' The': -9.358577}
{' Yes': -0.011456746, ' No': -4.5397105, 'Yes': -7.66446, ' The': -9.050311, ' yes': -9.603139}
{' Yes': -0.0015323095, ' No': -6.874401, 'Yes': -7.7969975, ' yes': -9.9756365, ' The': -10.872296}
{' Yes': -0.0010735911, ' No': -7.635795, 'Yes': -7.7939014, ' The': -9.36983, ' yes': -9.763723}
{' Yes': -0.0009148268, 'Yes': -7.4411244, ' No': -8.49536, ' yes': -9.816136, ' The': -10.211589}
{' Yes': -0.0006244458, ' No': -8.139456, 'Yes': -8.383446, ' yes': -9.701872, ' The': -10.427014}
{' Yes': -0.17399225, ' No': -1.8383371, 'Yes': -8.327381, ' The': -8.532043, 'No': -9.589758}
{' Yes': -0.090258636, ' No': -2.461856, 'Yes': -7.3190603, ' The': -9.052545, 'No': -9.250934}
{' Yes': -0.1366474, ' No': -2.0641165, 'Yes': -7.5311327, 'No': -9.332588, ' The': -9.471662}
{' Yes': -0.00128478, 'Yes': -6.7711015, ' yes': -9.853822, ' The': -10.600211, ' No': -10.611712}
{' Yes': -0.02035137, ' No': -3.948097, 'Yes': -7.4396396, ' The': -9.061488, ' yes': -9.556269}
{' Yes': -0.0022448031, ' No': -6.5925226, 'Yes': -7.2588596, ' yes': -9.280107, ' The': -10.033387}
{' Yes': -0.0023213914, ' No': -6.448557, 'Yes': -7.384649, ' yes': -9.926132, ' The': -10.006384}
{' No': -0.09044601, ' Yes': -2.4588103, 'No': -7.30483, ' The': -9.23297, 'Yes': -9.735827}
{' No': -0.099374786, ' Yes': -2.3660126, 'No': -7.9036803, ' The': -8.162629, 'Yes': -10.2021}
{' Yes': -0.00070603896, 'Yes': -7.4420986, ' yes': -9.4268265, ' ': -11.266077, ' YES': -11.715517}
{' Yes': -0.0009602284, ' No': -7.6658974, 'Yes': -8.031481, ' yes': -9.448231, ' The': -9.986361}
{' Yes': -0.01882248, ' No': -4.0267377, 'Yes': -7.608414, ' The': -8.512638, ' yes': -9.805544}
{' Yes': -0.021532902, ' No': -3.8880928, 'Yes': -7.5998297, ' The': -8.62786, ' yes': -9.4736}
{' Yes': -0.0030905874, ' No': -5.979557, 'Yes': -7.765225, ' yes': -9.723829, ' The': -9.927048}
{' Yes': -0.0437487, ' No': -3.162134, 'Yes': -8.092049, ' The': -9.236245, ' yes': -10.534539}
{' Yes': -0.00076043844, 'Yes': -7.3363066, ' yes': -9.940949, ' The': -10.288455, ' ': -11.802506}
{' Yes': -0.00080058357, 'Yes': -7.4138675, ' No': -9.227033, ' yes': -9.858161, ' The': -10.912756}
{' Yes': -0.021980569, ' No': -3.8584063, 'Yes': -7.687908, ' yes': -9.761862, ' ': -10.008926}
{' Yes': -0.0074055544, ' No': -4.9714556, 'Yes': -8.120466, ' The': -9.369237, ' yes': -10.349588}
{' Yes': -0.003808499, ' No': -5.7524652, 'Yes': -7.716975, ' The': -9.261477, ' yes': -9.875754}
{' Yes': -0.02391595, ' No': -3.7770035, 'Yes': -7.6191607, ' The': -8.795526, ' yes': -10.061559}
{' Yes': -0.002406648, ' No': -6.6085896, 'Yes': -7.0748587, ' The': -9.539847, ' yes': -9.545314}
{' Yes': -0.008869968, ' No': -4.8418584, 'Yes': -7.398417, ' The': -8.575096, ' yes': -9.512676}
{' Yes': -0.0021098591, ' No': -6.6119723, 'Yes': -7.4320927, ' yes': -9.1995325, ' The': -10.402615}
{' Yes': -0.0010029455, 'Yes': -7.561559, ' No': -7.901483, ' yes': -9.723943, ' The': -10.282142}
{' Yes': -0.000680869, 'Yes': -7.841034, ' No': -8.608088, ' yes': -9.860994, ' The': -10.281091}
{' Yes': -0.0012012316, ' No': -7.4390693, 'Yes': -7.544139, ' yes': -10.009286, ' ': -11.10078}
{' Yes': -0.025064655, ' No': -3.764309, 'Yes': -6.9369583, ' The': -7.7133293, ' yes': -9.6328945}
{' Yes': -0.5147555, ' No': -0.91592044, 'Yes': -7.078668, ' The': -7.505388, 'No': -7.600727}
{' Yes': -0.0010176222, ' No': -7.6643877, 'Yes': -7.870194, ' The': -9.34846, ' yes': -9.815707}
{' Yes': -0.00047869395, 'Yes': -7.838436, ' yes': -10.075249, ' The': -11.37794, ' ': -11.507319}
{' Yes': -0.00072494993, 'Yes': -8.047314, ' No': -8.22784, ' yes': -9.7320385, ' The': -9.900824}
{' Yes': -0.0040488145, ' No': -5.6396375, 'Yes': -7.943195, ' yes': -9.450703, ' ': -11.044044}
{' Yes': -0.129448, ' No': -2.1149137, 'Yes': -7.665492, ' The': -8.935726, 'No': -9.438378}
{' No': -0.19368562, ' Yes': -1.7439995, 'No': -7.222324, ' The': -8.43443, 'Yes': -8.889491}
{' Yes': -0.0039963294, ' No': -5.8038845, 'Yes': -7.227467, ' The': -9.326527, ' yes': -9.756989}
{' Yes': -0.32188535, ' No': -1.303653, ' The': -6.1305056, 'Yes': -7.1364355, 'No': -7.9355917}
{' Yes': -0.06284943, ' No': -2.8160498, 'Yes': -7.3363323, ' The': -8.57959, ' yes': -9.605911}
{' Yes': -0.08964321, ' No': -2.4631956, 'Yes': -7.930631, ' The': -9.545914, ' yes': -9.759421}
{' Yes': -0.00044965209, 'Yes': -8.146123, ' No': -9.569001, ' yes': -9.674964, ' YES': -11.554719}
{' Yes': -0.010949217, ' No': -4.5694323, 'Yes': -7.983346, ' yes': -9.251405, ' The': -10.124325}
{' Yes': -0.00050898513, 'Yes': -7.86194, ' No': -9.68298, ' yes': -10.045993, ' ': -11.746385}
{' Yes': -0.0038992113, ' No': -5.6630898, 'Yes': -8.053671, ' yes': -9.763128, ' The': -10.840372}
{' Yes': -0.014284132, ' No': -4.282715, 'Yes': -8.134007, ' yes': -10.499995, ' The': -10.852079}
{' Yes': -0.37764624, ' No': -1.1607388, 'Yes': -7.501303, 'No': -7.8542676, ' The': -8.455255}
{' Yes': -0.0018213434, ' No': -6.843879, 'Yes': -7.4879208, ' The': -9.49762, ' yes': -9.794212}
{' Yes': -0.010321977, ' No': -4.6263647, 'Yes': -8.144553, ' The': -9.390242, ' yes': -9.826079}
{' Yes': -0.005470769, ' No': -5.3510513, 'Yes': -7.4517026, ' The': -9.863937, ' yes': -9.965006}
{' Yes': -0.011930265, ' No': -4.4908996, 'Yes': -7.6511683, ' The': -9.38742, ' yes': -9.932332}
{' Yes': -0.00069864327, 'Yes': -7.8876004, ' No': -8.351669, ' yes': -9.873924, ' The': -10.877117}
{' Yes': -0.00064335304, ' No': -8.069359, 'Yes': -8.249234, ' yes': -10.120368, ' The': -11.064886}
{' Yes': -0.0023172097, ' No': -6.392179, 'Yes': -7.8530936, ' The': -8.724905, ' yes': -10.037206}
{' Yes': -0.0027269528, ' No': -6.202909, 'Yes': -8.072539, ' The': -8.154233, ' yes': -9.968261}
{' Yes': -0.004561715, ' No': -5.477639, 'Yes': -8.343756, ' The': -9.715041, ' yes': -10.056264}
