{' No': -0.4067778, ' Yes': -1.1102976, 'No': -5.860507, 'Yes': -6.994649, ' Not': -7.4909906}
{' No': -0.04911127, ' Yes': -3.1263168, 'No': -5.808251, ' The': -7.9645696, '\n': -8.578002}
{' Yes': -0.30392143, ' No': -1.3515022, 'Yes': -6.271883, 'No': -7.0926013, '\n': -8.334135}
{' Yes': -0.44568658, ' No': -1.0272257, 'Yes': -7.3389397, ' The': -7.8186646, 'No': -8.127375}
{' Yes': -0.5177054, ' No': -0.9130758, 'Yes': -6.770387, 'No': -7.1723094, ' The': -7.8223853}
{' No': -0.5472747, ' Yes': -0.86745936, 'Yes': -7.549462, 'No': -7.550816, ' The': -9.1071415}
{' Yes': -0.032772813, ' No': -3.4961572, 'Yes': -6.49169, ' yes': -8.843172, ' The': -9.0393305}
{' No': -0.16723059, ' Yes': -1.8824252, 'No': -6.878788, ' The': -8.120475, 'Yes': -8.15684}
{' No': -0.08791829, ' Yes': -2.5045478, 'No': -6.2984567, 'Yes': -8.235662, ' The': -8.819086}
{' Yes': -0.06577158, ' No': -2.783354, 'Yes': -6.7079105, ' The': -8.588415, '\n': -8.7184105}
{' Yes': -0.12303897, ' No': -2.171457, 'Yes': -7.0902495, ' The': -7.760076, ' yes': -9.104095}
{' Yes': -0.0017739894, 'Yes': -6.8404, ' No': -7.506023, ' The': -9.825321, ' yes': -10.031029}
{' Yes': -0.0755665, ' No': -2.670934, ' The': -6.3350744, 'Yes': -6.596036, ' yes': -8.915036}
{' Yes': -0.0035488587, ' No': -6.403369, 'Yes': -6.7857957, ' Rough': -7.554089, ' The': -9.500035}
{' No': -0.57420146, ' Yes': -0.8443698, 'No': -5.971952, ' Rough': -5.99612, 'Yes': -6.5508323}
{' Yes': -0.0967262, ' No': -2.4348702, 'Yes': -5.612675, 'No': -7.706879, ' yes': -8.777459}
{' Yes': -0.2767326, ' No': -1.4326851, 'Yes': -6.4181046, ' The': -7.56428, 'No': -7.767232}
{' Yes': -0.019821623, ' No': -4.026419, 'Yes': -6.4727097, ' yes': -8.965683, 'No': -10.312056}
{' Yes': -0.36879236, ' No': -1.1834954, 'Yes': -6.691445, 'No': -7.421141, ' The': -8.7002125}
{' Yes': -0.36541325, ' No': -1.1951233, 'Yes': -6.3386526, ' The': -7.1538405, 'No': -7.605464}
{' No': -0.26340276, ' Yes': -1.473398, 'No': -6.7419467, 'Yes': -7.2222652, ' The': -8.184615}
{' Yes': -0.007200094, ' No': -5.16679, 'Yes': -6.7698193, ' The': -8.995002, ' Store': -9.748285}
{' Yes': -0.0020383657, 'Yes': -7.0034494, ' No': -7.161834, ' yes': -9.064788, ' The': -9.427789}
{' Yes': -0.013155335, ' No': -4.480284, 'Yes': -6.6230907, ' The': -8.796749, ' yes': -9.031828}
{' Yes': -0.006043822, ' No': -5.4724627, 'Yes': -6.4945135, ' yes': -9.193983, ' The': -9.608006}
{' Yes': -0.5672943, ' No': -0.8446475, 'Yes': -6.528849, 'No': -6.739435, ' ': -8.187009}
{' Yes': -0.1480174, ' No': -1.9930986, 'Yes': -6.910537, 'No': -8.745299, ' yes': -9.8116865}
{' Yes': -0.13698488, ' No': -2.1372538, ' The': -5.0767922, 'Yes': -5.9583306, '\n': -8.125342}
{' Yes': -0.28885126, ' No': -1.4669919, ' Sho': -5.3068337, 'Yes': -5.3113217, ' The': -6.016117}
{' Yes': -0.07837504, ' No': -2.6760943, ' Sy': -5.827988, 'Yes': -5.945411, ' ': -7.685924}
{' Yes': -0.5277172, ' No': -0.9005791, 'Yes': -6.340314, 'No': -7.1970663, ' The': -8.285902}
{' Yes': -0.0011192968, 'Yes': -7.2480884, ' No': -8.0920515, ' yes': -9.625049, ' ': -11.356581}
{' Yes': -0.0018521555, ' No': -6.925844, 'Yes': -7.280874, ' yes': -9.026821, ' ': -10.818127}
{' Yes': -0.4523959, ' No': -1.0155768, 'Yes': -7.0871825, 'No': -7.394656, ' The': -9.265252}
{' No': -0.68390864, ' Yes': -0.7073042, 'No': -6.9782276, 'Yes': -7.15378, ' The': -8.239843}
{' Yes': -0.009806359, ' No': -4.9249654, 'Yes': -6.0428715, ' yes': -9.690603, 'No': -10.536463}
{' No': -0.34041527, ' Yes': -1.2532914, 'No': -6.174063, 'Yes': -7.3575788, ' The': -9.157882}
{' Yes': -0.1636828, ' No': -1.9072511, 'Yes': -6.547546, 'No': -7.33184, ' The': -8.68584}
{' Yes': -0.03364814, ' No': -3.499932, 'Yes': -6.333702, ' The': -7.8431325, ' Arrow': -8.000439}
{' Yes': -0.12472867, ' No': -2.1643481, 'Yes': -6.585967, ' The': -7.597188, 'No': -8.333423}
{' Yes': -0.122299306, ' No': -2.1787243, 'Yes': -6.571108, 'No': -8.346266, ' yes': -8.948685}
{' Yes': -0.060772706, ' No': -2.8569973, 'Yes': -6.749533, 'No': -9.190994, ' yes': -9.244974}
{' Yes': -0.09034325, ' No': -2.460327, 'Yes': -7.2986274, 'No': -9.375953, ' The': -9.576864}
{' Yes': -0.00287973, 'Yes': -6.242103, ' No': -7.346317, ' The': -9.078432, ' yes': -9.295994}
{' Yes': -0.0061695785, ' No': -5.591962, 'Yes': -6.3714323, ' The': -8.11786, ' Heart': -8.563766}
{' Yes': -0.003936609, ' No': -5.8155684, 'Yes': -7.134607, ' The': -9.528954, ' yes': -10.253405}
{' Yes': -0.0011506272, 'Yes': -6.891646, ' No': -9.610783, ' yes': -10.880522, ' ': -11.047575}
{' No': -0.05713182, ' Yes': -2.9136705, 'No': -6.8300138, 'Yes': -9.580612, ' ': -9.838456}
{' Yes': -0.22574319, ' No': -1.6106423, 'Yes': -6.6479387, 'No': -7.9142494, ' The': -8.031698}
{' No': -0.20574072, ' Yes': -1.6997533, 'No': -6.0044174, 'Yes': -7.6494355, ' ': -8.637648}
{' No': -0.009089367, ' Yes': -5.0269976, 'No': -6.040286, ' ': -10.236247, ' Not': -10.707914}
{' Yes': -0.0014262373, 'Yes': -6.769145, ' The': -9.2123785, ' No': -9.392615, ' yes': -9.697881}
{' Yes': -0.0018504227, 'Yes': -6.5048885, ' No': -9.183613, ' The': -9.224083, ' yes': -9.935097}
{' Yes': -0.01711086, ' No': -4.1818423, 'Yes': -6.8758483, ' ': -7.931577, ' The': -9.455964}
{' Yes': -0.21429509, ' No': -1.6551273, 'Yes': -7.027699, 'No': -8.193968, '\n': -8.212133}
{' Yes': -0.07534507, ' No': -2.6385374, 'Yes': -7.1377516, ' The': -9.27353, 'No': -9.411082}
{' Yes': -0.08323197, ' No': -2.5412836, 'Yes': -7.2204976, ' The': -9.249982, ' ': -9.29084}
{' No': -0.014227722, ' Yes': -4.4691834, 'No': -5.9892244, ' The': -9.471326, ' ': -10.471505}
{' Yes': -0.28248593, ' No': -1.4116076, 'Yes': -6.7153487, 'No': -7.655399, ' The': -8.069467}
{' Yes': -0.013955031, ' No': -4.485234, 'Yes': -6.0839944, ' Plane': -9.167988, ' yes': -9.573743}
{' Yes': -0.0063512563, ' No': -5.5796604, 'Yes': -6.296659, ' The': -8.231207, '\n': -8.552586}
{' Yes': -0.09831434, ' No': -2.385229, 'Yes': -6.9938617, ' The': -8.918511, ' Found': -8.98073}
{' Yes': -0.1649934, ' No': -1.8943979, 'Yes': -6.8936534, ' ': -8.263489, 'No': -8.331558}
{' Yes': -0.0030434139, 'Yes': -6.5838156, ' ': -7.1708555, ' Uncle': -7.4744196, ' No': -8.419404}
{' Yes': -0.24917087, ' No': -1.5186582, 'Yes': -7.5394974, ' ': -7.689669, 'No': -8.657261}
{' No': -0.052218918, ' Yes': -3.024179, 'No': -6.3279467, ' The': -8.161195, 'Yes': -9.657548}
{' Yes': -0.06642874, ' No': -2.781795, 'Yes': -6.279336, 'No': -8.42109, ' ': -9.405234}
{' Yes': -0.0065327263, ' No': -5.3056316, 'Yes': -6.6638546, ' The': -9.097059, ' yes': -9.473191}
{' Yes': -0.001346254, 'Yes': -6.7867637, ' No': -9.392129, ' yes': -9.629804, ' YES': -10.850196}
{' No': -0.10466901, ' Yes': -2.317857, 'No': -7.4143133, ' The': -9.175811, 'Yes': -9.44106}
{' Yes': -0.04934175, ' No': -3.0796704, 'Yes': -6.635218, ' The': -8.04793, ' ': -8.581376}
{' Yes': -0.041613292, ' No': -3.2681432, 'Yes': -6.451721, ' The': -7.638239, ' ': -8.039526}
{' Yes': -0.017454525, ' No': -4.353342, 'Yes': -6.1515656, ' The': -6.4026675, ' yes': -8.431911}
{' Yes': -0.038543772, ' No': -3.301115, 'Yes': -7.1276684, ' ': -9.590827, 'No': -10.218269}
{' Yes': -0.012889396, ' No': -4.44828, 'Yes': -6.954163, ' ': -10.268672, ' yes': -10.366363}
{' Yes': -0.065728545, ' No': -2.7997448, 'Yes': -6.206973, ' ': -7.9783826, 'No': -8.830092}
{' Yes': -0.052538745, ' No': -3.026015, 'Yes': -6.3146124, ' ': -8.190341, ' yes': -8.622981}
{' No': -0.05139443, ' Yes': -3.0168293, 'No': -7.1172166, ' The': -9.127593, ' ': -9.202344}
{' No': -0.050299928, ' Yes': -3.0614617, 'No': -6.453658, ' ': -8.338185, ' The': -8.542272}
{' Yes': -0.0013498942, 'Yes': -7.2137866, ' No': -7.6079307, ' yes': -9.85361, ' The': -10.347809}
{' Yes': -0.00063017063, 'Yes': -7.7591114, ' yes': -9.331444, ' No': -9.355264, ' YES': -11.3977585}
{' Yes': -0.039654855, ' No': -3.2864997, 'Yes': -6.9114003, '\n': -8.742794, ' ': -8.796992}
{' No': -0.0773636, ' Yes': -2.618568, 'No': -6.7984324, ' ': -8.448766, 'Yes': -9.158906}
{' Yes': -0.0010104622, 'Yes': -7.045979, ' yes': -9.596869, ' The': -10.788814, ' No': -10.894156}
{' Yes': -0.00089782214, 'Yes': -7.3381033, ' No': -8.830153, ' yes': -10.152238, ' The': -10.669341}
{' Yes': -0.0021550776, 'Yes': -6.498859, ' No': -7.5210013, ' yes': -9.796288, ' ': -10.837955}
{' Yes': -0.03156394, ' No': -3.5105374, 'Yes': -6.9772596, ' ': -9.120545, ' The': -9.843749}
{' No': -0.19238596, ' Yes': -1.7559732, 'No': -6.3027596, 'Yes': -8.307466, ' ': -9.07747}
{' Yes': -0.20327403, ' No': -1.7008438, 'Yes': -7.0362034, 'No': -8.467968, ' ': -9.001838}
{' Yes': -0.005415515, ' No': -5.4470487, 'Yes': -6.8961716, ' yes': -10.492928, ' ': -10.63043}
{' Yes': -0.0022460553, 'Yes': -6.1180215, ' yes': -10.92795, ' The': -11.857544, ' YES': -12.045931}
{' No': -0.40639183, ' Yes': -1.1015575, 'No': -7.0084515, 'Yes': -7.825611, ' The': -8.7325535}
{' Yes': -0.15701127, ' No': -1.947136, ' The': -6.9598675, 'Yes': -7.337267, ' Ghost': -7.518677}
{' Yes': -0.006573583, ' No': -5.16058, 'Yes': -7.291077, ' Shirt': -10.112754, ' yes': -10.187798}
{' Yes': -0.0010578377, 'Yes': -7.387269, ' No': -7.950524, ' yes': -10.325711, ' ': -10.827346}
{' Yes': -0.48047876, ' No': -0.9675069, 'Yes': -7.0433006, 'No': -8.174362, ' Pants': -8.92437}
{' Yes': -0.20778182, ' No': -1.6820116, 'Yes': -6.8400927, 'No': -8.623683, ' The': -8.68641}
{' Yes': -0.018018097, ' No': -4.1436057, 'Yes': -6.910514, ' The': -7.6893187, ' ': -8.187011}
{' No': -0.08044183, ' Yes': -2.6779149, 'No': -5.550313, ' Board': -5.7419577, ' B': -7.8853655}
{' Yes': -0.0041231476, ' No': -6.122485, 'Yes': -6.3774557, ' The': -9.337066, ' yes': -9.710547}
{' Yes': -0.011680873, ' No': -4.5551186, 'Yes': -7.0811324, ' The': -9.16678, ' yes': -9.448055}
{' Yes': -0.08996898, ' No': -2.463531, 'Yes': -7.3365817, ' The': -9.297993, 'No': -9.828265}
{' Yes': -0.06357829, ' No': -2.8219762, 'Yes': -6.757096, ' The': -7.717097, ' ': -8.565804}
{' Yes': -0.005686189, ' No': -5.3586254, 'Yes': -7.1111984, ' yes': -10.024378, ' ': -10.101483}
{' No': -0.4385357, ' Yes': -1.0477295, 'No': -6.0254173, 'Yes': -7.100775, ' The': -7.259102}
{' Yes': -0.00673169, ' No': -5.11316, 'Yes': -7.42688, ' yes': -10.298147, ' ': -10.373096}
{' Yes': -0.026199631, ' No': -3.6998656, 'Yes': -6.955937, ' yes': -9.37405, ' ': -10.084141}
{' No': -0.64577526, ' Yes': -0.7454113, ' ': -8.050184, ' The': -8.184926, 'No': -8.289051}
{' Yes': -0.05074086, ' No': -3.0304313, 'Yes': -7.0265765, ' ': -9.403972, ' The': -9.618718}
{' Yes': -0.0077035553, ' No': -5.0155387, 'Yes': -7.010257, ' yes': -9.945006, ' The': -9.965285}
{' Yes': -0.010084483, ' No': -5.5201077, ' Women': -5.531393, 'Yes': -6.831453, ' ': -7.0786376}
{' Yes': -0.039787266, ' No': -3.6327343, 'Yes': -5.1583023, ' Spr': -5.217836, ' yes': -7.8374166}
{' Yes': -0.057852592, ' No': -2.922503, 'Yes': -6.788312, '\n': -7.371941, ' yes': -8.182481}
{' No': -0.27354103, ' Yes': -1.436751, 'No': -6.983111, 'Yes': -8.151177, ' ': -8.450525}
{' Yes': -0.05625689, ' No': -2.934423, 'Yes': -6.929683, ' The': -8.609666, ' ': -8.924311}
{' Yes': -0.15562291, ' No': -1.9418149, 'Yes': -7.6277847, 'No': -9.316599, ' ': -10.137688}
{' No': -0.20795827, ' Yes': -1.6793424, 'No': -7.149538, 'Yes': -8.585688, ' ': -8.910019}
{' Yes': -0.00045310915, 'Yes': -7.789832, ' yes': -10.938476, ' No': -11.847034, ' ': -11.870601}
{' Yes': -0.0007851362, 'Yes': -7.1999254, ' yes': -10.718385, ' ': -11.852272, ' YES': -12.871052}
{' Yes': -0.20102464, ' No': -1.7164474, 'Yes': -6.9497733, ' ': -7.100614, 'No': -8.071552}
{' Yes': -0.0074732318, ' No': -5.0438004, 'Yes': -7.073881, ' yes': -9.513607, ' ': -9.99301}
{' No': -0.08421974, ' Yes': -2.5370204, 'No': -6.997017, ' ': -8.020363, ' The': -8.625719}
{' No': -0.1297542, ' Yes': -2.1326246, 'No': -6.181789, ' ': -7.8462243, 'Yes': -8.24817}
{' No': -0.15842642, ' Yes': -1.9317799, 'No': -6.7245655, 'Yes': -8.357177, ' ': -9.246629}
{' No': -0.20484965, ' Yes': -1.6993946, 'No': -6.562615, 'Yes': -8.158222, ' The': -8.313461}
{' Yes': -0.09584126, ' No': -2.4077346, 'Yes': -6.9065027, 'No': -8.997818, ' The': -9.488635}
{' Yes': -0.04243472, ' No': -3.2364273, 'Yes': -6.5957007, ' ': -8.497589, ' The': -8.675224}
{' Yes': -0.1515882, ' No': -1.9742485, 'Yes': -6.7527785, ' ': -8.521509, 'No': -8.8168955}
{' No': -0.122379735, ' Yes': -2.1781714, 'No': -6.9884987, ' ': -7.9711285, ' The': -8.075825}
{' No': -0.001605023, 'No': -6.475211, ' Yes': -10.11103, ' ': -10.954474, ' no': -13.5213585}
{' No': -0.107758105, ' Yes': -2.300078, 'No': -6.4948387, 'Yes': -8.9904585, ' ': -9.088299}
{' Yes': -0.02738564, ' No': -3.6619508, 'Yes': -7.062666, ' The': -8.94227, ' ': -9.070355}
{' Yes': -0.14599665, ' No': -2.0084424, 'Yes': -7.2650456, ' The': -7.8601646, ' ': -8.959358}
{' No': -0.49148804, ' Yes': -0.94833237, 'No': -7.8622255, 'Yes': -8.539112, ' The': -8.658231}
{' Yes': -0.013740727, ' No': -4.350645, 'Yes': -7.5030704, ' ': -9.464906, ' yes': -9.591071}
{' No': -0.63229764, ' Yes': -0.76022553, 'No': -7.7804565, 'Yes': -7.9602027, ' ': -8.9874115}
{' Yes': -0.58669126, ' No': -0.81461746, 'Yes': -7.6179757, 'No': -8.069482, ' ': -9.342251}
{' No': -0.17982535, ' Yes': -1.8255638, 'No': -5.950476, 'Yes': -7.751879, ' Unfortunately': -8.684019}
{' Yes': -0.4189291, ' No': -1.0804453, 'Yes': -6.724572, 'No': -6.963353, ' The': -8.419937}
{' No': -0.01669785, ' Yes': -4.1802416, 'No': -6.774245, ' ': -9.983783, ' The': -10.353901}
{' Yes': -0.47494176, ' No': -0.98036826, 'Yes': -6.863339, 'No': -7.058621, ' ': -7.999966}
{' No': -0.3893969, ' Yes': -1.1344397, 'No': -7.8329296, 'Yes': -8.71562, ' ': -9.130774}
{' Yes': -0.3161067, ' No': -1.3162841, 'Yes': -6.7967315, ' Dirty': -7.0939593, 'No': -7.693393}
{' Yes': -0.002168998, ' No': -6.869751, 'Yes': -6.9782333, ' ': -9.3027935, ' yes': -10.245047}
{' Yes': -0.0017199542, ' No': -7.049969, 'Yes': -7.217296, ' yes': -9.715236, ' ': -10.725989}
{' Yes': -0.0019686655, 'Yes': -6.484951, ' yes': -8.957436, ' E': -9.111372, ' YES': -9.140194}
{' No': -0.021926468, 'No': -5.0293965, ' Yes': -5.369443, ' Nope': -5.4550576, 'rupt': -6.4334955}
{' Yes': -0.0011526573, 'Yes': -7.0466504, ' No': -9.259291, ' yes': -9.414513, ' The': -9.710928}
{' Yes': -0.009106568, ' No': -4.875067, 'Yes': -6.7440057, ' The': -9.258221, ' yes': -9.376674}
{' No': -0.6907777, ' Yes': -0.7024086, ' Armor': -6.3684945, 'No': -6.918071, 'Yes': -7.6995497}
{' Yes': -0.2204085, ' No': -1.629163, 'Yes': -7.207343, ' The': -8.028214, 'No': -8.247617}
{' No': -0.6224088, ' Yes': -0.7719431, 'No': -7.72028, 'Yes': -8.030108, ' ': -8.318974}
{' Yes': -0.14350954, ' No': -2.021994, 'Yes': -7.133208, 'No': -8.654049, ' ': -9.102533}
{' No': -0.46217924, ' Yes': -1.0012418, 'No': -6.874281, ' Still': -7.395654, 'Yes': -7.500639}
{' Yes': -0.61455655, ' No': -0.78474355, ' The': -7.4287195, 'Yes': -7.431611, ' ': -7.4742746}
{' Yes': -0.017279128, ' No': -4.1402574, 'Yes': -6.8091683, 'No': -10.307959, ' yes': -10.755699}
{' Yes': -0.0161177, ' No': -4.192574, 'Yes': -7.2016244, ' yes': -9.9237995, ' ': -10.122326}
{' Yes': -0.0023923684, ' No': -6.7062573, 'Yes': -6.992703, ' The': -9.205694, ' Purs': -9.826889}
{' Yes': -0.02799419, ' No': -3.6500416, 'Yes': -6.9429145, ' The': -7.999323, ' ': -9.105181}
{' No': -0.1338036, ' Yes': -2.097295, 'No': -6.572097, ' The': -7.698323, ' ': -8.61406}
{' No': -0.08711303, ' Yes': -2.538094, 'No': -5.8388977, ' The': -7.4558187, 'Yes': -8.386281}
{' Yes': -0.14610045, ' No': -2.0150046, 'Yes': -6.4061804, ' The': -7.940236, 'No': -8.17031}
{' Yes': -0.10995945, ' No': -2.2849739, 'Yes': -6.6796446, ' The': -7.3732514, ' ': -8.8391695}
{' No': -0.0038272871, ' Yes': -6.3182473, 'No': -6.53202, ' ': -8.34608, '\n': -9.016094}
{' No': -0.0035230804, 'No': -5.798158, ' Yes': -7.962133, ' ': -9.85215, ' The': -10.396669}
{' No': -0.3009598, ' Un': -1.8553935, ' ': -3.170026, ' Unt': -4.0286055, 'No': -4.2073717}
{' No': -0.024981048, ' Yes': -3.7251916, 'No': -7.732559, ' ': -9.665766, 'Yes': -10.70467}
{' Yes': -0.015440526, ' No': -4.3910794, 'Yes': -6.4388375, ' The': -7.4915733, '\n': -7.9263577}
{' Yes': -0.0128406705, ' No': -4.486653, 'Yes': -7.1598687, ' The': -8.040307, ' ': -8.261349}
{' No': -0.33587253, ' Yes': -1.4659728, ' Spice': -3.0657766, ' Nope': -6.2638493, ' ': -6.4156604}
{' Yes': -0.050903536, ' No': -3.0362895, 'Yes': -6.6488166, ' yes': -9.6604185, 'No': -9.813458}
{' Yes': -0.00067496306, 'Yes': -7.4654326, ' yes': -9.938881, ' ': -10.356861, ' YES': -11.542438}
{' Yes': -0.0074921465, ' No': -5.2576885, 'Yes': -6.7663517, ' ': -7.360941, ' Under': -8.8751335}
{' Yes': -0.04409691, ' No': -3.1604908, 'Yes': -7.591513, ' The': -9.400401, ' ': -9.7829895}
{' No': -0.30975896, ' Yes': -1.3343389, 'No': -6.2619853, 'Yes': -7.6988745, ' ': -8.131497}
{' Yes': -0.44277003, ' No': -1.0590382, 'Yes': -6.028309, '\n': -6.0763087, ' ': -6.275581}
{' Yes': -0.011014663, ' No': -4.6479373, 'Yes': -6.6988115, ' yes': -9.923032, ' ': -9.998921}
{' Yes': -0.0079961615, ' No': -4.934262, 'Yes': -7.3436475, ' yes': -10.012009, ' ': -10.310989}
{' Yes': -0.022108166, ' No': -3.868633, 'Yes': -7.2268653, ' yes': -9.453704, ' ': -9.498648}
{' No': -0.6733995, ' Yes': -0.7358784, 'No': -5.6447983, 'Yes': -6.0831575, ' Early': -6.9773846}
{' Yes': -0.0106756715, ' No': -4.684778, 'Yes': -6.9579873, ' The': -8.78224, ' ': -9.078911}
{' Yes': -0.010319867, ' No': -4.701478, 'Yes': -6.8967614, ' ': -9.774441, ' The': -10.059344}
{' Yes': -0.052479573, ' No': -2.9956994, 'Yes': -6.924429, 'No': -9.896318, ' ': -10.334171}
{' No': -0.12284774, ' Yes': -2.2344925, ' Ocean': -5.015668, 'No': -6.725642, ' The': -7.892787}
{' No': -0.11394638, ' Yes': -2.3166232, 'No': -5.802827, ' The': -5.8579173, ' Ocean': -6.220769}
{' No': -0.022487262, ' Yes': -4.0460105, 'No': -5.4382606, ' ': -8.281445, 'Yes': -9.863657}
{' Yes': -0.21264178, ' No': -1.6664362, 'Yes': -6.911998, ' The': -7.0579743, 'No': -8.149219}
{' No': -0.24800687, ' Yes': -1.5245228, 'No': -6.6602645, 'Yes': -7.561246, '\n': -10.305249}
{' No': -0.28349304, ' Yes': -1.4048119, 'No': -7.3441577, ' The': -8.038712, 'Yes': -8.569695}
{' Yes': -0.0027614387, ' No': -6.4866195, 'Yes': -6.904674, ' The': -9.348792, ' yes': -9.613671}
{' Yes': -0.000702105, 'Yes': -7.430031, ' No': -9.726181, ' yes': -10.926624, ' ': -11.015276}
{' Yes': -0.33018586, ' No': -1.2720917, 'Yes': -7.9264874, ' The': -8.433183, 'No': -8.8110285}
{' Yes': -0.05355702, ' No': -2.9785886, 'Yes': -7.241871, ' Guard': -8.346397, ' yes': -9.245926}
{' Yes': -0.009100072, ' No': -5.2816544, 'Yes': -6.2386794, ' Sweet': -6.463007, ' ': -8.352289}
{' Yes': -0.0019655596, 'Yes': -6.3978505, ' No': -8.726665, ' yes': -9.903644, ' The': -10.34099}
{' Yes': -0.020571299, ' No': -3.9551873, 'Yes': -6.868685, ' ': -9.661669, ' yes': -10.199453}
{' No': -0.43545708, ' Yes': -1.0587157, 'No': -5.652086, 'Yes': -6.815784, ' The': -7.210576}
{' Yes': -0.07287664, ' No': -2.688357, 'Yes': -6.3874173, 'No': -8.767964, ' ': -8.918265}
{' Yes': -0.30271387, ' No': -1.3461517, 'Yes': -7.539585, 'No': -8.571617, ' ': -9.612339}
{' No': -0.038483128, ' Yes': -3.3238413, 'No': -6.6852345, ' Unfortunately': -8.82481, ' ': -9.152819}
{' No': -0.18124661, ' Yes': -1.8042723, 'No': -7.0496273, 'Yes': -8.806351, ' ': -9.501437}
{' Yes': -0.0696274, ' No': -2.7427897, 'Yes': -6.371951, ' The': -7.711156, ' ': -8.264443}
{' Yes': -0.03425712, ' No': -3.4679365, 'Yes': -6.413903, ' The': -7.571852, '\n': -9.301736}
{' Yes': -0.05124836, ' No': -3.0219321, 'Yes': -7.2164564, ' The': -8.788992, ' ': -9.049593}
{' Yes': -0.4112336, ' No': -1.0928133, 'Yes': -7.276811, ' The': -7.7562213, 'No': -8.123237}
{' Yes': -0.2407617, ' No': -1.5472593, 'Yes': -7.3039136, ' ': -8.6324835, 'No': -8.919588}
{' Yes': -0.024285534, ' No': -3.768613, 'Yes': -7.2980795, ' yes': -9.303651, ' ': -9.700833}
{' Yes': -0.052602448, ' No': -3.0030951, 'Yes': -6.970294, ' The': -8.104724, ' ': -8.898339}
{' Yes': -0.07692965, ' No': -2.646317, 'Yes': -6.0008836, ' Plant': -8.560169, ' yes': -8.851034}
{' Yes': -0.3795455, ' No': -1.156134, 'Yes': -7.4713516, 'No': -8.523182, ' The': -9.090832}
{' Yes': -0.06909842, ' No': -2.723584, 'Yes': -7.277144, ' ': -8.870049, ' The': -9.184539}
{' Yes': -0.0020648255, ' No': -6.530047, 'Yes': -7.6703444, ' The': -9.840494, ' ': -10.337643}
{' Yes': -0.02469454, ' No': -3.766039, 'Yes': -7.1037993, ' The': -8.5197525, ' yes': -9.353623}
{' Yes': -0.019341981, ' No': -4.017654, 'Yes': -6.9741225, ' Rough': -9.716565, ' ': -9.8664465}
{' No': -0.23209299, ' Yes': -1.5820056, 'No': -6.929839, 'Yes': -8.339574, ' ': -8.58298}
{' Yes': -0.018328506, ' No': -4.129605, 'Yes': -6.355669, ' yes': -8.9839, ' ': -9.66642}
{' Yes': -0.08803271, ' No': -2.495818, 'Yes': -7.0015206, ' The': -8.00791, '\n': -8.2307205}
{' Yes': -0.0026364678, ' No': -6.5449867, 'Yes': -6.8206677, ' yes': -9.5570755, ' ': -11.162613}
{' Yes': -0.074100584, ' No': -2.6615925, 'Yes': -6.7218165, ' yes': -8.970553, 'No': -9.074104}
{' Yes': -0.36973536, ' No': -1.1821723, 'Yes': -6.8476305, ' The': -7.6836977, 'No': -7.823003}
{' Yes': -0.5250454, ' No': -0.9001274, 'Yes': -6.820562, 'No': -7.929399, ' The': -8.411176}
{' Yes': -0.003051485, ' No': -6.28725, 'Yes': -7.148489, ' The': -8.703292, ' Store': -9.050776}
{' Yes': -0.0022547792, ' No': -7.281765, 'Yes': -7.312189, ' The': -8.181889, ' ': -8.630194}
{' Yes': -0.010742302, ' No': -4.6545906, 'Yes': -7.1072483, ' The': -8.714332, ' yes': -9.614639}
{' Yes': -0.0037352068, ' No': -6.183237, 'Yes': -6.5500603, ' yes': -9.533058, ' ': -9.674898}
{' Yes': -0.5220214, ' No': -0.9023258, 'Yes': -7.625684, 'No': -8.343652, ' ': -8.909856}
{' Yes': -0.044181067, ' No': -3.1606321, 'Yes': -7.3030024, ' ': -10.068405, ' yes': -10.133286}
{' Yes': -0.01751967, ' No': -4.2945676, ' The': -6.460034, 'Yes': -6.471503, ' ': -8.42708}
{' Yes': -0.33942723, ' No': -1.2805684, 'Yes': -5.9249835, ' The': -6.3848753, ' Sho': -6.3979526}
{' Yes': -0.078497216, ' No': -2.637478, 'Yes': -6.1790633, ' Sy': -6.8968105, ' ': -7.5049872}
{' Yes': -0.048071295, ' No': -3.1234248, 'Yes': -6.13753, ' ': -7.994059, ' yes': -8.718163}
{' Yes': -0.0006338098, 'Yes': -7.697668, ' No': -9.454342, ' yes': -9.814472, ' ': -10.991392}
{' Yes': -0.0010059284, 'Yes': -7.589438, ' No': -7.9640217, ' yes': -9.254498, ' ': -10.315811}
{' Yes': -0.054669365, ' No': -2.9483309, 'Yes': -7.5411005, ' The': -9.427346, ' yes': -9.75125}
{' Yes': -0.12785712, ' No': -2.1339245, 'Yes': -6.9019413, 'No': -8.68136, ' ': -8.707104}
{' Yes': -0.098640844, ' No': -2.3901658, 'Yes': -6.3254795, 'No': -8.18894, ' ': -9.17905}
{' No': -0.3189787, ' Yes': -1.3066171, 'No': -6.3486457, 'Yes': -7.6620474, ' ': -9.598472}
{' Yes': -0.045344338, ' No': -3.1427886, 'Yes': -7.140536, ' The': -9.163635, 'No': -9.238447}
{' Yes': -0.015835773, ' No': -4.2496576, 'Yes': -6.812607, ' ': -9.207562, ' The': -9.460248}
{' Yes': -0.07104626, ' No': -2.702596, 'Yes': -6.8576217, ' ': -8.830084, ' The': -9.079986}
