{' No': -0.019491663, ' Yes': -4.188889, 'No': -5.6951966, ' The': -7.8454537, '\n': -8.467041}
{' Yes': -0.15856415, ' No': -1.9431272, 'Yes': -6.069964, 'No': -7.565684, ' yes': -8.618125}
{' No': -0.522322, ' Yes': -0.9118846, 'No': -5.847666, 'Yes': -6.878437, ' The': -8.041761}
{' No': -0.43818486, ' Yes': -1.0472432, 'No': -6.139702, 'Yes': -7.306238, ' The': -7.449138}
{' No': -0.0056539387, ' Yes': -5.6491838, 'No': -6.210251, ' The': -10.362385, '\n': -10.444571}
{' No': -0.052277446, ' Yes': -3.0477684, 'No': -5.8478727, ' The': -8.544014, '\n': -8.751204}
{' Yes': -0.12283386, ' No': -2.1907296, 'Yes': -5.9933496, 'No': -7.595064, '\n': -8.153026}
{' No': -0.035372272, ' Yes': -3.4831927, 'No': -5.619164, '\n': -8.860222, 'Yes': -9.3632145}
{' No': -0.009334322, 'No': -4.7092967, ' The': -9.359248, '\n': -9.825627, ' ': -9.924277}
{' No': -0.0071401205, 'No': -4.992863, ' Yes': -8.582229, ' The': -9.869568, '\n': -10.265861}
{' No': -0.0057831244, 'No': -5.2309113, ' Yes': -8.334713, '\n': -9.725585, ' ': -10.031841}
{' No': -0.006047539, 'No': -5.5510373, ' Yes': -6.2036557, '\n': -10.173858, ' ': -10.350923}
{' No': -0.017426502, ' Yes': -4.664967, 'No': -4.9683175, '\n': -7.9410806, ' The': -8.30214}
{' No': -0.01150721, 'No': -4.838072, ' Yes': -5.831684, ' ': -8.649519, '\n': -8.721503}
{' No': -0.01939868, 'No': -4.6661744, ' Yes': -4.8603334, '\n': -6.624078, ' ': -7.6564736}
{' No': -0.007187547, 'No': -5.003533, ' Yes': -8.342239, '\n': -9.569557, ' The': -9.79694}
{' Yes': -0.011140625, ' No': -4.749952, 'Yes': -6.173692, ' yes': -9.171121, '\n': -9.407655}
{' No': -0.3626593, ' Yes': -1.2091539, 'No': -5.7624316, 'Yes': -7.0016513, '\n': -7.248037}
{' Yes': -0.1558313, ' No': -1.9507265, 'Yes': -6.7011037, 'No': -7.942969, ' yes': -8.349644}
{' No': -0.61196005, ' Yes': -0.7910315, 'No': -5.9882393, 'Yes': -6.7337093, ' The': -8.219517}
{' No': -0.017507235, ' Yes': -4.127313, 'No': -7.2025294, ' The': -7.9514403, ' ': -10.169487}
{' Yes': -0.32392985, ' No': -1.290618, ' The': -7.473931, 'Yes': -7.4994287, 'No': -8.280955}
{' Yes': -0.2929222, ' No': -1.3757794, ' The': -7.5379014, 'Yes': -7.904759, 'No': -8.492248}
{' No': -0.0062043048, ' Yes': -5.429672, 'No': -6.463151, ' The': -8.942082, ' ': -9.917123}
{' No': -0.040705748, ' Yes': -3.2678251, ' The': -7.1347027, 'No': -7.280474, '\n': -9.444921}
{' No': -0.3668111, ' Yes': -1.1858038, 'No': -7.338668, ' The': -7.737656, 'Yes': -8.367314}
{' No': -0.007798221, ' Yes': -5.142535, 'No': -6.324773, ' ': -10.144695, ' The': -10.437185}
{' Yes': -0.5300416, ' No': -0.89556396, ' The': -6.829657, 'No': -7.1162, 'Yes': -7.1353006}
{' No': -0.44227913, ' Yes': -1.0326971, 'No': -7.2738414, 'Yes': -8.032945, ' The': -8.606803}
{' No': -0.0018861956, 'No': -6.696569, ' Yes': -7.4714236, ' The': -10.340825, ' ': -10.696676}
{' Yes': -0.65253204, ' No': -0.7380099, 'No': -7.6311064, 'Yes': -7.8900576, ' The': -8.612254}
{' No': -0.43147916, ' Yes': -1.0533262, 'No': -7.160273, ' The': -7.6744637, 'Yes': -8.312735}
{' No': -0.02432071, ' Yes': -3.788593, 'No': -6.7727613, ' The': -9.21639, ' ': -9.823637}
{' No': -0.58938044, ' Yes': -0.8131944, 'No': -7.0720296, ' The': -7.6724873, 'Yes': -7.8465176}
{' No': -0.25131944, ' Yes': -1.5159928, 'No': -6.832809, ' The': -6.9199233, 'Yes': -8.4925375}
{' Yes': -0.12670988, ' No': -2.1425865, 'Yes': -7.0884514, ' The': -7.75722, 'No': -8.546766}
{' Yes': -0.36895216, ' No': -1.1794646, 'Yes': -7.861366, ' The': -8.097473, 'No': -8.460648}
{' No': -0.03612672, ' Yes': -3.4161713, 'No': -6.3034124, ' The': -7.515073, ' ': -9.409812}
{' No': -0.02475826, ' Yes': -3.7905948, 'No': -6.4994493, ' The': -8.342138, '\n': -10.137669}
{' No': -0.56194556, ' Yes': -0.84935814, 'No': -6.8411736, 'Yes': -7.454792, ' The': -7.8808064}
{' No': -0.034541946, ' Yes': -3.4135015, 'No': -7.0220065, ' ': -10.384186, ' The': -10.483502}
{' Yes': -0.63002986, ' No': -0.7651292, ' The': -6.911819, 'Yes': -7.8495865, 'No': -7.9971614}
{' No': -0.0030342657, 'No': -5.8212447, ' The': -10.841515, ' ': -10.84711, ' Yes': -11.624223}
{' No': -0.0024019885, 'No': -6.075705, ' Yes': -10.241531, ' The': -10.649149, ' ': -10.825558}
{' No': -0.044807166, ' Yes': -3.1683612, 'No': -6.573556, ' The': -8.455863, ' ': -10.16141}
{' No': -0.0027918632, 'No': -6.1855345, ' Yes': -7.40298, ' The': -9.690574, ' ': -10.599065}
{' Yes': -0.13834924, ' No': -2.0533614, 'Yes': -7.6810813, ' The': -8.510644, 'No': -9.1693945}
{' No': -0.20589945, ' Yes': -1.6887523, 'No': -7.138032, ' The': -8.0898905, 'Yes': -8.862671}
{' No': -0.6725517, ' Yes': -0.71576446, 'No': -8.069842, 'Yes': -8.175223, ' The': -9.552411}
{' No': -0.0050210813, ' Yes': -5.5071015, 'No': -7.0533605, ' The': -10.127867, ' ': -10.7241535}
{' No': -0.33838293, ' Yes': -1.2512782, 'No': -7.653753, 'Yes': -8.798273, ' ': -9.509493}
{' Yes': -0.4374757, ' No': -1.0416971, ' The': -7.568657, 'Yes': -7.6708736, 'No': -8.241743}
{' Yes': -0.01015493, ' No': -4.6831684, 'Yes': -7.5127277, ' The': -8.652506, ' yes': -9.55541}
{' No': -0.010052572, ' Yes': -4.7155766, 'No': -7.029526, ' The': -9.326249, ' ': -10.285611}
{' Yes': -0.19793755, ' No': -1.7364907, ' The': -6.6256413, 'Yes': -6.911303, 'No': -7.3177643}
{' No': -0.00582461, ' Yes': -5.6905665, 'No': -6.140266, ' The': -8.741521, ' ': -9.74736}
{' Yes': -0.21586563, ' No': -1.6609284, ' The': -5.9366465, 'Yes': -7.4638953, ' yes': -7.981477}
{' Yes': -0.45067093, ' No': -1.0211704, ' The': -6.661064, 'Yes': -7.672461, 'No': -7.7760696}
{' No': -0.001432684, 'No': -7.193594, ' Yes': -7.416769, ' ': -10.279369, ' The': -10.339342}
{' No': -0.002907528, ' Yes': -6.2756085, 'No': -6.9912057, ' ': -10.233431, ' The': -10.349936}
{' Yes': -0.29382625, ' No': -1.375413, ' The': -7.0321813, 'Yes': -7.8432326, 'No': -8.212518}
{' No': -0.028149346, ' Yes': -3.7016094, 'No': -6.074658, ' The': -7.441672, ' ': -9.470207}
{' No': -0.005670783, 'No': -5.7417507, ' Yes': -6.1345215, ' The': -9.17317, ' Not': -9.432104}
{' No': -0.0017267592, 'No': -6.632117, ' Yes': -8.133456, ' The': -9.940598, ' ': -10.315359}
{' No': -0.047508135, ' Yes': -3.0930972, 'No': -7.1089873, ' The': -9.088219, 'Yes': -10.385044}
{' No': -0.011162083, ' Yes': -4.5547028, 'No': -7.670715, ' The': -9.760154, ' ': -10.73623}
{' No': -0.042605378, ' Yes': -3.214156, 'No': -6.988856, ' The': -7.91717, '\n': -9.603238}
{' No': -0.015984694, ' Yes': -4.2945623, 'No': -6.4077535, ' The': -7.93336, ' Not': -9.52608}
{' No': -0.035855096, ' Yes': -3.3951554, 'No': -6.7205925, ' The': -8.69264, ' ': -9.08502}
{' No': -0.27102178, ' Yes': -1.4443482, 'No': -7.4638104, ' The': -7.5772657, 'Yes': -8.741149}
{' No': -0.022082511, ' Yes': -3.908755, 'No': -6.85209, ' The': -7.577064, ' ': -9.507696}
{' No': -0.10895507, ' Yes': -2.2927337, 'No': -6.9113955, ' The': -7.0021315, ' ': -9.15602}
{' Yes': -0.5206599, ' No': -0.90666336, 'No': -7.1004763, 'Yes': -7.289565, ' The': -8.294749}
{' No': -0.06987428, ' Yes': -2.7205338, 'No': -6.68825, ' The': -8.525066, ' ': -9.570031}
{' Yes': -0.26381293, ' No': -1.4681338, ' The': -7.313768, 'Yes': -7.801322, 'No': -8.695896}
{' No': -0.12779346, ' Yes': -2.1345587, 'No': -7.1470003, ' The': -7.5485024, ' ': -8.9153595}
{' No': -0.0046535702, ' Yes': -6.0227003, 'No': -6.33343, ' The': -8.052463, ' ': -9.719451}
{' No': -0.0034941868, ' Yes': -6.2709064, 'No': -6.5932784, ' The': -8.915072, ' ': -10.144352}
{' Yes': -0.006563323, ' No': -5.2325096, 'Yes': -7.4326224, ' The': -7.6270576, ' yes': -9.458381}
{' Yes': -0.095817976, ' No': -2.409262, ' The': -7.1236253, 'Yes': -7.8410516, ' yes': -9.222591}
{' Yes': -0.045014143, ' No': -3.1478927, 'Yes': -7.1196485, ' yes': -9.702136, 'No': -9.7185335}
{' No': -0.14480914, ' Yes': -2.0110638, 'No': -7.5215707, ' The': -8.648528, 'Yes': -9.427745}
{' Yes': -0.6507504, ' No': -0.7429688, ' The': -6.9577475, ' Deer': -7.145005, 'No': -8.225169}
{' Yes': -0.07116441, ' No': -2.7249823, ' The': -6.2818937, 'Yes': -7.607024, ' yes': -7.8937726}
{' No': -0.029845828, ' Yes': -3.5631652, 'No': -7.344669, ' The': -8.338719, ' ': -9.796927}
{' No': -0.04485255, ' Yes': -3.1551278, 'No': -6.9763227, ' The': -8.558267, 'Yes': -10.031356}
{' No': -0.13460563, ' Yes': -2.0856173, 'No': -6.774073, ' The': -8.295774, 'Yes': -8.863373}
{' No': -0.007897872, ' Yes': -5.0318995, 'No': -6.831731, ' The': -8.768952, ' ': -10.169742}
{' No': -0.03136976, ' Yes': -3.533355, 'No': -6.6243944, ' The': -8.781545, ' ': -9.933052}
{' No': -0.2919311, ' Yes': -1.3798215, 'No': -7.253345, ' The': -7.9298534, 'Yes': -8.233238}
{' No': -0.0036166937, 'No': -6.1720586, ' Yes': -6.8559113, ' The': -7.996083, ' ': -10.045429}
{' No': -0.0013572962, 'No': -6.8043795, ' Yes': -9.004682, ' The': -9.59269, ' ': -10.351666}
{' Yes': -0.33649963, ' No': -1.2610601, ' The': -7.0809393, 'Yes': -7.113445, 'No': -7.7842402}
{' No': -0.07283132, ' Yes': -2.6812203, 'No': -6.9266496, ' The': -7.6224446, 'Yes': -9.409856}
{' No': -0.018620064, ' Yes': -4.0702977, 'No': -6.9099927, ' The': -8.525358, ' ': -9.445597}
{' No': -0.0034387428, ' Yes': -6.01469, 'No': -7.092136, ' The': -9.533382, ' ': -9.9197235}
{' No': -0.021041607, ' Yes': -3.9206195, 'No': -7.1221995, ' The': -9.233723, ' ': -10.463753}
{' No': -0.057906967, ' Yes': -2.8992572, 'No': -7.0150313, ' The': -8.966656, ' ': -9.753723}
{' No': -0.45305648, ' Yes': -1.0350839, ' The': -5.1156826, 'No': -6.3107243, 'Yes': -7.4158473}
{' No': -0.20600156, ' Yes': -1.7004359, ' The': -6.180165, 'No': -6.922169, 'Yes': -8.510555}
{' Yes': -0.024993269, ' No': -3.7730744, ' The': -7.06813, 'Yes': -7.5134993, ' Want': -9.037986}
{' No': -0.032800835, ' Yes': -3.4961872, 'No': -6.7121596, ' The': -7.6144633, ' ': -9.488266}
{' No': -0.3916812, ' Yes': -1.1322722, 'No': -7.1675234, ' The': -7.5035067, 'Yes': -8.388417}
{' No': -0.3790495, ' Yes': -1.1604618, 'No': -6.6345916, ' The': -7.888519, 'Yes': -7.919396}
{' No': -0.007977116, ' Yes': -5.0576177, 'No': -6.5829964, ' The': -9.356831, ' ': -9.811354}
{' No': -0.3171477, ' Yes': -1.3104701, 'No': -7.094606, ' The': -7.119922, 'Yes': -8.475457}
{' No': -0.014541248, ' Yes': -4.3450446, 'No': -6.9783983, ' The': -7.757285, ' ': -10.67846}
{' No': -0.0124978, ' Yes': -4.4762483, 'No': -7.244885, ' The': -8.339594, ' ': -10.230407}
{' No': -0.11994943, ' Yes': -2.188427, 'No': -7.297735, ' The': -9.142439, 'Yes': -9.463779}
{' No': -0.0064411755, ' Yes': -5.3574886, 'No': -6.596586, ' The': -8.267132, ' ': -10.529335}
{' Yes': -0.012658597, ' No': -4.477884, 'Yes': -7.336396, ' The': -7.9710054, ' yes': -9.555009}
{' No': -0.10510557, ' Yes': -2.3207827, 'No': -6.776431, ' The': -8.565291, 'Yes': -9.405442}
{' No': -0.013028697, ' Yes': -4.4542193, 'No': -6.7850866, ' The': -9.580363, ' ': -9.862798}
{' No': -0.3696144, ' Yes': -1.178807, 'No': -7.2628574, ' The': -8.167973, 'Yes': -8.609534}
{' Yes': -0.16227996, ' No': -1.9181737, ' The': -6.4525476, 'Yes': -7.2503533, 'No': -8.460626}
{' No': -0.17985804, ' Yes': -1.8145913, 'No': -7.1878166, ' The': -7.4944153, 'Yes': -9.041313}
{' No': -0.04929591, ' Yes': -3.0731244, 'No': -6.567641, ' The': -8.526258, '\n': -9.538673}
{' No': -0.5616088, ' Yes': -0.84754694, 'No': -7.6522927, 'Yes': -8.061515, ' The': -8.075668}
{' No': -0.003933075, ' Yes': -5.9064956, 'No': -6.876682, ' The': -9.625179, ' ': -10.091572}
{' No': -0.007311826, ' Yes': -5.152169, 'No': -6.726205, ' The': -9.08096, ' ': -9.630418}
{' No': -0.020573428, ' Yes': -3.9461882, 'No': -7.2846584, ' The': -8.3347, ' ': -10.431708}
{' No': -0.016700273, ' Yes': -4.287544, 'No': -6.075906, ' The': -8.074019, ' ': -9.648017}
{' No': -0.037741136, ' Yes': -3.3404124, 'No': -6.735153, ' The': -8.270937, ' ': -9.509632}
{' Yes': -0.16275442, ' No': -1.9106524, 'Yes': -6.7928624, ' The': -7.4450665, 'No': -8.305619}
{' Yes': -0.47337377, ' No': -0.97772074, 'Yes': -8.10832, ' The': -8.164003, 'No': -8.275042}
{' Yes': -0.13415718, ' No': -2.0852242, 'Yes': -7.2334266, 'No': -8.794539, ' The': -8.839116}
{' No': -0.046177253, ' Yes': -3.141575, 'No': -6.4561706, ' The': -8.486233, 'Yes': -9.6736355}
{' No': -0.0043377983, ' Yes': -5.820242, 'No': -6.6991544, ' The': -9.431668, ' ': -10.956485}
{' No': -0.014897281, ' Yes': -4.284371, 'No': -7.137828, ' The': -9.008755, ' ': -10.173217}
{' No': -0.287528, ' Yes': -1.39256, 'No': -7.091389, 'Yes': -8.283021, ' The': -8.503682}
{' No': -0.008838275, ' Yes': -4.874114, 'No': -6.9892874, ' The': -8.840102, ' ': -10.521195}
{' No': -0.0023881858, 'No': -6.4504943, ' Yes': -7.276647, ' The': -9.807688, ' ': -10.947717}
{' No': -0.25254804, ' Yes': -1.5067004, ' The': -7.721132, 'No': -7.8301616, 'Yes': -8.55451}
{' No': -0.28066063, ' Yes': -1.4130306, ' The': -7.5324554, 'No': -7.7575297, 'Yes': -8.791706}
{' No': -0.19832134, ' Yes': -1.7249461, 'No': -7.11657, ' The': -7.5348134, 'Yes': -8.862238}
{' No': -0.12452782, ' Yes': -2.1675136, 'No': -6.77051, ' The': -6.8554196, 'Yes': -8.961887}
{' No': -0.03191124, ' Yes': -3.4927795, 'No': -7.379876, ' The': -8.416955, ' ': -9.850661}
{' No': -0.02001443, ' Yes': -3.9801488, 'No': -7.0638757, ' The': -8.705575, ' ': -10.2406025}
{' No': -0.00404241, ' Yes': -5.910954, 'No': -6.7252088, ' The': -9.781559, ' ': -10.597901}
{' No': -0.0011301578, 'No': -7.0550733, ' Yes': -8.420449, ' The': -11.059803, ' ': -11.379223}
{' No': -0.057750914, ' Yes': -2.922806, 'No': -6.474315, ' The': -7.5985126, ' ': -9.2130375}
{' No': -0.006777836, ' Yes': -5.1995497, 'No': -6.9375925, ' The': -8.61402, ' ': -10.179271}
{' No': -0.035432667, ' Yes': -3.386337, 'No': -7.3172946, ' The': -8.48663, ' ': -10.5203905}
{' No': -0.014812587, ' Yes': -4.300209, 'No': -7.1303196, ' The': -8.294302, ' ': -10.485426}
{' Yes': -0.09029765, ' No': -2.4602852, ' The': -7.758011, 'Yes': -8.088625, ' yes': -9.435112}
{' No': -0.36687857, ' Yes': -1.1914539, ' The': -6.410331, 'No': -6.934737, 'Yes': -8.031052}
{' Yes': -0.038372997, ' No': -3.3070478, 'Yes': -7.269295, ' The': -8.616727, ' yes': -9.679548}
{' No': -0.47667313, ' Yes': -0.97285086, 'No': -7.9276905, ' The': -7.971269, 'Yes': -8.277411}
{' No': -0.008547936, ' Yes': -4.880126, 'No': -7.138953, ' ': -10.130832, ' The': -10.296235}
{' No': -0.06992932, ' Yes': -2.713253, 'No': -7.0587463, ' The': -8.600769, ' ': -10.083593}
{' No': -0.53519654, ' Yes': -0.88431203, 'No': -7.4807224, 'Yes': -7.883169, ' The': -7.914987}
{' No': -0.013809132, ' Yes': -4.415884, 'No': -6.814089, ' The': -8.073177, ' ': -9.35397}
{' No': -0.4582332, ' Yes': -1.0065559, 'No': -6.7685304, 'Yes': -7.974953, ' The': -8.213478}
{' No': -0.04404658, ' Yes': -3.1929665, 'No': -6.378406, ' The': -9.142099, 'Yes': -9.673378}
{' No': -0.0021381753, 'No': -6.2127533, ' The': -9.720604, ' Yes': -10.634995, ' ': -10.779132}
{' No': -0.0014468295, 'No': -6.7425675, ' Yes': -8.529586, ' The': -10.201081, ' ': -11.284344}
{' No': -0.46747145, ' Yes': -0.98984265, 'No': -6.8710704, 'Yes': -7.695352, ' The': -9.217135}
{' No': -0.032746945, ' Yes': -3.4667335, 'No': -7.1336474, ' The': -9.511958, ' Not': -10.449946}
{' No': -0.0016767867, 'No': -6.4636154, ' Yes': -9.972464, ' The': -10.263693, ' ': -11.338205}
{' No': -0.0016136811, 'No': -6.4906616, ' The': -10.359039, ' ': -10.665897, ' Yes': -11.316044}
{' Yes': -0.2549808, ' No': -1.4986522, ' The': -7.4133377, 'Yes': -7.53883, 'No': -8.466461}
{' No': -0.005672102, ' Yes': -5.4198775, 'No': -6.8337183, ' The': -9.590989, ' ': -9.997296}
{' No': -0.030307183, ' Yes': -3.575313, 'No': -6.5356417, ' The': -8.469369, ' Not': -9.931186}
{' No': -0.017844666, ' Yes': -4.1376467, 'No': -6.4876657, ' The': -9.452629, ' ': -10.308453}
{' Yes': -0.50074095, ' No': -0.93615806, 'Yes': -7.5684514, 'No': -7.646446, ' The': -8.247557}
{' No': -0.02784856, ' Yes': -3.669242, 'No': -6.512889, ' The': -8.627284, ' ': -9.090182}
{' No': -0.038960762, ' Yes': -3.3051329, 'No': -6.765271, ' The': -8.57965, ' ': -9.755265}
{' No': -0.13534899, ' Yes': -2.0759158, 'No': -7.4516077, ' The': -7.904933, 'Yes': -9.256242}
{' No': -0.058582097, ' Yes': -2.8832812, 'No': -7.4642596, ' The': -8.521209, ' ': -9.808875}
{' Yes': -0.057578035, ' No': -2.9255512, 'Yes': -7.0240083, ' The': -7.1515336, ' yes': -8.642653}
{' No': -0.015063912, ' Yes': -4.271045, 'No': -7.338779, ' The': -8.337976, ' ': -10.671016}
{' No': -0.007490825, ' Yes': -5.1376576, 'No': -6.759667, ' The': -8.097282, ' ': -10.281002}
{' No': -0.05470367, ' Yes': -2.9934127, 'No': -6.075072, ' The': -7.6173716, 'Yes': -9.2882185}
{' No': -0.08035166, ' Yes': -2.5872142, 'No': -6.767577, ' The': -7.628974, 'Yes': -9.216624}
{' Yes': -0.0063232435, ' No': -5.2778573, 'Yes': -6.9814467, ' The': -9.221415, ' yes': -9.349762}
{' Yes': -0.02009519, ' No': -3.988107, 'Yes': -7.2193346, ' The': -7.849704, ' yes': -9.227822}
{' No': -0.3866109, ' Yes': -1.1425028, 'No': -7.085484, ' The': -7.9889035, 'Yes': -8.24658}
{' No': -0.028264914, ' Yes': -3.6263423, 'No': -7.1520934, ' The': -8.149913, ' ': -10.036397}
{' No': -0.042812217, ' Yes': -3.2119193, 'No': -7.0561366, ' The': -7.5308986, ' ': -9.267439}
{' No': -0.01521822, ' Yes': -4.3676367, 'No': -6.360183, ' The': -7.5690713, ' ': -9.589414}
{' No': -0.06875193, ' Yes': -2.7278743, 'No': -7.223785, 'Yes': -9.218674, ' The': -9.290158}
{' No': -0.013079423, ' Yes': -4.401091, 'No': -7.709273, ' The': -8.698076, ' Not': -10.533533}
{' No': -0.29794094, ' Yes': -1.3648107, ' The': -7.0137916, 'No': -7.206113, 'Yes': -8.181535}
{' No': -0.02691877, ' Yes': -3.6841035, 'No': -6.833824, ' The': -8.480989, 'Yes': -10.266392}
{' No': -0.0033681686, 'No': -6.0906506, ' Yes': -7.195304, ' The': -8.8013935, ' ': -9.321088}
{' No': -0.08944296, ' Yes': -2.513893, 'No': -6.0426097, ' The': -6.417423, 'Yes': -8.719368}
{' No': -0.40209976, ' Yes': -1.1092378, 'No': -7.6916327, ' The': -7.9049964, 'Yes': -8.570919}
{' No': -0.011871032, ' Yes': -4.590976, 'No': -6.667548, ' The': -8.375695, ' ': -9.879674}
{' No': -0.026958387, ' Yes': -3.7029305, 'No': -6.4173827, ' The': -8.954398, '\n': -9.656421}
{' Yes': -0.18125132, ' No': -1.8488977, ' Most': -5.0620785, ' The': -7.0438604, 'Yes': -7.3214545}
{' Yes': -0.0843041, ' No': -2.5270207, 'Yes': -7.843108, ' The': -8.094104, '\n': -9.809262}
{' No': -0.5246024, ' Yes': -0.89870226, 'No': -7.797584, ' The': -8.083909, 'Yes': -8.499181}
{' No': -0.0031115138, ' Yes': -6.3046327, 'No': -6.7851377, ' The': -9.788471, ' ': -9.952641}
{' No': -0.004828447, ' Yes': -5.898968, 'No': -6.238251, ' ': -10.251559, '\n': -10.266656}
{' Yes': -0.23866192, ' No': -1.5598861, ' The': -7.175427, 'Yes': -7.4154043, 'No': -8.205049}
{' No': -0.47999406, ' Yes': -0.9703599, 'No': -7.070421, ' The': -7.2084427, 'Yes': -8.047291}
{' No': -0.011442455, ' Yes': -4.586281, 'No': -7.001972, ' The': -8.775604, ' ': -9.537045}
{' No': -0.0019935097, 'No': -6.4617386, ' Yes': -8.31274, ' ': -9.583282, ' The': -9.618977}
{' No': -0.0021109357, 'No': -6.83629, ' Yes': -6.9814754, ' The': -10.218709, ' ': -10.438746}
{' No': -0.043115668, ' Yes': -3.2091901, 'No': -6.6238265, ' The': -8.24136, '\n': -9.720652}
{' No': -0.33941364, ' Yes': -1.2491332, 'No': -7.604136, 'Yes': -8.349661, ' The': -8.639874}
{' Yes': -0.042665213, ' No': -3.2087417, 'Yes': -7.0642366, ' The': -8.157545, ' yes': -9.099489}
{' Yes': -0.52687484, ' No': -0.8982605, 'No': -7.0854015, 'Yes': -7.1931133, ' The': -8.076431}
{' No': -0.6821556, ' Yes': -0.7078819, ' The': -7.078249, 'No': -7.75556, 'Yes': -8.112648}
{' No': -0.007339026, ' Yes': -4.989906, 'No': -7.7344775, ' The': -10.258746, ' ': -10.92221}
{' No': -0.08335369, ' Yes': -2.5373807, 'No': -7.523411, ' The': -8.341662, 'Yes': -10.089521}
{' Yes': -0.075329386, ' No': -2.6447737, 'Yes': -6.982622, ' The': -7.985665, 'No': -9.171425}
{' No': -0.096694164, ' Yes': -2.3975346, 'No': -7.0454583, ' The': -8.575736, 'Yes': -9.558507}
{' No': -0.0015255071, 'No': -6.6531324, ' Yes': -9.189794, ' The': -9.43875, ' ': -10.644401}
{' No': -0.0016394124, 'No': -6.6677184, ' Yes': -8.151561, ' The': -10.420127, ' ': -10.755101}
{' No': -0.002612505, ' Yes': -6.447501, 'No': -6.9903, ' The': -10.051628, ' ': -10.665498}
{' No': -0.00836766, ' Yes': -4.9936595, 'No': -6.541872, ' The': -9.89081, ' ': -10.6585455}
{' No': -0.015598165, ' Yes': -4.30627, 'No': -6.4484305, ' The': -8.329215, ' ': -9.643371}
{' No': -0.04438262, ' Yes': -3.1899607, 'No': -6.366591, ' The': -8.191677, ' ': -9.189772}
{' No': -0.024015704, ' Yes': -3.829813, 'No': -6.515457, ' ': -8.596598, ' The': -8.837786}
{' No': -0.0016586959, 'No': -6.751086, ' Yes': -7.7613096, ' The': -10.506595, ' ': -11.007213}
{' Yes': -0.0038100546, ' No': -5.808169, 'Yes': -7.3191743, ' The': -10.099224, ' yes': -10.144317}
{' No': -0.5261, ' Yes': -0.8976115, 'No': -7.401863, ' The': -7.8804913, 'Yes': -7.9934115}
{' Yes': -0.03775865, ' No': -3.3233228, 'Yes': -7.4853444, ' yes': -8.68604, ' The': -8.875773}
{' No': -0.36509332, ' Yes': -1.1898156, 'No': -7.1419983, ' The': -7.8057213, 'Yes': -8.301739}
