{' No': -0.07183919, ' Yes': -2.7906997, 'No': -4.9420385, 'Yes': -8.206423, '\n': -8.27543}
{' No': -0.09137274, ' Yes': -2.479722, 'No': -5.975852, ' The': -7.4660616, 'Yes': -8.172046}
{' No': -0.008104619, 'No': -5.416262, ' Yes': -5.7936134, '\n': -8.087109, ' ': -9.150909}
{' Yes': -0.0031251458, 'Yes': -6.491152, ' No': -6.7115746, ' yes': -8.52816, ' The': -9.0637665}
{' Yes': -0.03258332, ' No': -3.51301, 'Yes': -6.3724403, ' The': -8.898262, '\n': -9.009802}
{' Yes': -0.11973213, ' No': -2.2058659, 'Yes': -6.6257415, ' yes': -7.931291, 'No': -8.063787}
{' Yes': -0.41723296, ' No': -1.090941, '\n': -6.246908, 'Yes': -6.7093697, 'No': -6.851326}
{' No': -0.07859541, ' Yes': -2.608886, 'No': -6.444644, 'Yes': -9.1066885, '\n': -9.373763}
{' No': -0.017428624, ' Yes': -4.4353685, 'No': -5.2817545, '\n': -9.318606, ' ': -9.320981}
{' No': -0.4501714, ' Yes': -1.032239, 'No': -5.8863645, 'Yes': -6.6480336, '\n': -6.9511576}
{' No': -0.12937765, ' Yes': -2.1702178, 'No': -5.520159, '\n': -6.583404, ' The': -6.9137645}
{' No': -0.09753971, ' Yes': -2.422983, 'No': -5.918353, '\n': -7.519235, ' The': -7.644695}
{' No': -0.036005173, ' Yes': -3.4305284, 'No': -5.948999, '\n': -8.918992, 'Yes': -9.627939}
{' Yes': -0.0041734832, ' No': -6.018001, 'Yes': -6.6286464, ' yes': -8.261591, ' The': -10.00654}
{' Yes': -0.05985135, ' No': -2.897803, 'Yes': -6.4350533, ' yes': -7.405567, '\n': -8.461332}
{' No': -0.04215814, ' Yes': -3.2805326, 'No': -5.713037, ' ': -9.018673, '\n': -9.118499}
{' No': -0.45206508, ' Yes': -1.0245539, 'No': -6.0365148, 'Yes': -7.1649365, '\n': -7.2424636}
{' Yes': -0.15192977, ' No': -1.986965, 'Yes': -6.272836, '\n': -6.965226, 'No': -7.5887403}
{' No': -0.030068526, ' Yes': -3.7875016, 'No': -5.0547705, '\n': -8.311861, 'Yes': -9.191618}
{' No': -0.3268372, ' Yes': -1.2940518, 'No': -5.752412, 'Yes': -7.4007716, ' ': -8.299657}
{' No': -0.3808457, ' Yes': -1.161886, 'No': -6.293264, '\n': -7.338643, 'Yes': -7.650993}
{' No': -0.51546615, ' Yes': -0.9202112, 'No': -5.9345255, 'Yes': -6.911731, ' The': -8.188035}
{' No': -0.3467, ' Yes': -1.238765, 'No': -6.146272, 'Yes': -7.5552454, ' The': -8.012355}
{' Yes': -0.07214901, ' No': -2.6962028, 'Yes': -6.5547023, ' yes': -8.433642, ' The': -8.596004}
{' Yes': -0.51671714, ' No': -0.91353923, 'Yes': -7.07516, 'No': -7.1036863, ' The': -8.366475}
{' Yes': -0.009212801, ' No': -4.9400067, 'Yes': -6.594042, ' yes': -8.385316, ' The': -8.607134}
{' Yes': -0.13990366, ' No': -2.0664897, 'Yes': -6.524476, ' The': -6.836304, 'No': -7.590287}
{' Yes': -0.032225247, ' No': -3.5140405, 'Yes': -6.7261777, ' The': -8.372398, ' yes': -8.565693}
{' Yes': -0.0018965848, 'Yes': -6.4480658, ' yes': -9.013727, ' No': -9.039771, '\n': -10.402501}
{' No': -0.19659798, ' Yes': -1.728731, 'No': -7.3295393, 'Yes': -9.075873, ' ': -9.30745}
{' No': -0.106754124, ' Yes': -2.3103082, 'No': -6.512874, ' The': -8.3738785, 'Yes': -9.133039}
{' No': -0.016248362, ' Yes': -4.3385177, 'No': -6.000967, ' The': -7.921888, ' ': -9.484135}
{' No': -0.031159136, ' Yes': -3.539715, 'No': -6.5846252, ' The': -8.568825, 'Yes': -10.309532}
{' Yes': -0.0035129702, ' No': -6.053502, 'Yes': -7.192523, ' The': -8.336963, ' yes': -9.090795}
{' Yes': -0.0027056737, ' No': -6.26632, 'Yes': -7.3658495, ' yes': -9.216378, ' The': -10.450812}
{' No': -0.037456505, ' Yes': -3.3516595, 'No': -6.9203587, ' The': -7.7774367, ' ': -9.032042}
{' Yes': -0.017172888, ' No': -4.135268, 'Yes': -7.348948, ' The': -8.429928, ' yes': -9.307516}
{' Yes': -0.027367324, ' No': -3.6425824, 'Yes': -7.354447, ' yes': -9.6573925, ' ': -10.2491455}
{' No': -0.21310188, ' Yes': -1.6556087, 'No': -7.5384607, ' The': -8.342549, 'Yes': -9.168449}
{' Yes': -0.171323, ' No': -1.8539573, 'Yes': -7.51101, 'No': -8.76492, ' yes': -9.74096}
{' Yes': -0.14536236, ' No': -2.015018, ' The': -7.1207304, 'Yes': -7.1697664, 'No': -8.494519}
{' Yes': -0.0030244011, ' No': -6.2417555, 'Yes': -7.011827, ' The': -9.461402, ' yes': -9.969781}
{' Yes': -0.010384548, ' No': -4.6929483, 'Yes': -7.2070737, ' The': -8.32574, ' yes': -9.570244}
{' Yes': -0.0068836976, ' No': -5.06229, 'Yes': -8.00647, ' yes': -9.441063, ' The': -10.01256}
{' No': -0.013605615, ' Yes': -4.3557363, 'No': -7.5450935, ' The': -9.581978, ' ': -10.130238}
{' No': -0.22140265, ' Yes': -1.6236949, 'No': -7.061208, 'Yes': -8.773875, ' The': -9.13881}
{' No': -0.11320319, ' Yes': -2.243828, 'No': -7.536972, ' The': -8.2892685, 'Yes': -9.701366}
{' Yes': -0.016794646, ' No': -4.1465874, 'Yes': -7.6069107, ' The': -8.59948, ' yes': -9.490555}
{' No': -0.007318071, ' Yes': -5.1086917, 'No': -6.8223143, ' The': -9.322312, ' ': -10.629207}
{' Yes': -0.10456154, ' No': -2.3194988, 'Yes': -7.754729, ' The': -8.166039, ' yes': -9.21429}
{' Yes': -0.007908325, ' No': -4.9314313, 'Yes': -7.7876472, ' The': -9.046423, ' yes': -9.47706}
{' Yes': -0.023906058, ' No': -3.7657237, 'Yes': -7.8188562, ' yes': -10.3411665, 'No': -11.284856}
{' No': -0.039179366, ' Yes': -3.2860494, 'No': -7.1146836, ' The': -9.070635, ' ': -10.504211}
{' No': -0.20678939, ' Yes': -1.6928408, ' The': -6.497938, 'No': -7.097511, 'Yes': -8.801934}
{' No': -0.4876032, ' Yes': -0.96736616, ' The': -5.699874, 'No': -6.663939, 'Yes': -7.4050984}
{' Yes': -0.017651062, ' No': -4.0764523, 'Yes': -7.9038124, ' yes': -9.643187, ' The': -9.988496}
{' Yes': -0.11643273, ' No': -2.2174535, 'Yes': -7.5117455, ' The': -8.556942, 'No': -9.024956}
{' Yes': -0.3572828, ' No': -1.2081568, ' The': -6.9226527, 'Yes': -8.045513, 'No': -8.653517}
{' No': -0.0045148334, ' Yes': -5.763073, 'No': -6.792068, ' The': -9.147977, ' ': -9.521968}
{' No': -0.19011138, ' Yes': -1.7630616, 'No': -6.8353877, 'Yes': -8.673483, ' The': -8.8368435}
{' No': -0.00534618, ' Yes': -5.5179534, 'No': -6.7339525, ' The': -9.7641, ' ': -10.105855}
{' Yes': -0.0012408558, ' No': -7.2773066, 'Yes': -7.7552214, ' yes': -9.658006, ' The': -10.402574}
{' Yes': -0.029783927, ' No': -3.546828, 'Yes': -7.922537, ' yes': -9.688573, ' The': -9.7755165}
{' Yes': -0.15468745, ' No': -1.9531398, 'Yes': -7.2352915, ' The': -8.082069, 'No': -8.723777}
{' No': -0.0069565014, ' Yes': -5.149109, 'No': -6.913168, ' The': -9.624895, ' ': -10.332092}
{' No': -0.03743411, ' Yes': -3.3416963, 'No': -6.812475, ' ': -9.333532, ' The': -9.715885}
{' Yes': -0.001741269, 'Yes': -6.927067, ' No': -7.355558, ' yes': -9.879349, ' The': -10.118765}
{' Yes': -0.0010909562, 'Yes': -6.9304276, ' yes': -9.892673, ' No': -10.724838, ' The': -10.88755}
{' No': -0.020655269, ' Yes': -4.024672, 'No': -6.327774, ' The': -8.073338, ' Not': -8.630981}
{' No': -0.29279932, ' Yes': -1.3754562, 'No': -7.264898, 'Yes': -8.569902, ' The': -9.402254}
{' Yes': -0.13105755, ' No': -2.1028724, 'Yes': -7.6985083, ' The': -9.172496, 'No': -9.270533}
{' Yes': -0.040194765, ' No': -3.2596216, 'Yes': -7.1454573, ' The': -9.228053, ' yes': -10.195837}
{' Yes': -0.004281289, ' No': -5.660807, 'Yes': -7.5356164, ' The': -8.672352, ' yes': -10.018364}
{' Yes': -0.31569833, ' No': -1.3138709, 'Yes': -7.2366514, 'No': -7.5893526, ' The': -7.62133}
{' No': -0.0035569347, ' Yes': -5.98914, 'No': -7.057445, ' The': -9.149762, ' ': -10.149947}
{' Yes': -0.0011215664, 'Yes': -7.5640025, ' No': -7.719177, ' yes': -9.194558, ' ': -11.001047}
{' Yes': -0.041830175, ' No': -3.2166445, 'Yes': -7.5568137, ' The': -9.071635, ' yes': -9.328712}
{' No': -0.03144172, ' Yes': -3.5025375, 'No': -7.786711, ' The': -8.064227, ' ': -10.519194}
{' No': -0.276149, ' Yes': -1.4267361, 'No': -7.7268248, ' The': -7.834315, 'Yes': -8.439813}
{' Yes': -0.41770583, ' No': -1.0816405, ' The': -7.1228657, 'Yes': -7.2734795, 'No': -7.578779}
{' No': -0.036298968, ' Yes': -3.3613605, 'No': -7.292492, ' The': -8.761084, ' ': -10.0613575}
{' No': -0.41408038, ' Yes': -1.089526, ' The': -6.4708543, 'No': -7.8634186, 'Yes': -8.230609}
{' No': -0.18034689, ' Yes': -1.8066685, 'No': -8.042243, ' The': -8.088883, 'Yes': -9.505639}
{' No': -0.35084602, ' Yes': -1.2226932, 'No': -7.184851, 'Yes': -8.34482, ' ': -8.773391}
{' No': -0.22985616, ' Yes': -1.5913655, ' The': -7.0031805, 'No': -7.653148, 'Yes': -9.008288}
{' No': -0.1456468, ' Yes': -2.0237288, ' The': -6.361659, 'No': -6.7067313, 'Yes': -8.896554}
{' Yes': -0.5993853, ' No': -0.80313975, ' The': -6.2710023, 'No': -7.6688924, 'Yes': -7.855849}
{' No': -0.24437073, ' Yes': -1.5330384, 'No': -7.6312857, ' The': -8.742946, 'Yes': -8.972545}
{' Yes': -0.29809493, ' No': -1.3592539, 'Yes': -7.8513117, 'No': -8.731587, ' The': -8.7736635}
{' No': -0.2514866, ' Yes': -1.5123241, 'No': -6.8907533, ' The': -7.674984, 'Yes': -8.629744}
{' No': -0.006702226, ' Yes': -5.1578445, 'No': -7.124429, ' The': -9.891505, ' ': -10.052628}
{' No': -0.4112256, ' Yes': -1.0902056, 'No': -7.5204344, 'Yes': -8.298196, ' The': -9.4021635}
{' Yes': -0.013906858, ' No': -4.325491, 'Yes': -7.9235253, ' The': -9.008837, ' yes': -9.9495125}
{' No': -0.44288775, ' Yes': -1.0322871, ' The': -7.3855696, 'No': -7.4862275, 'Yes': -8.342181}
{' No': -0.10606503, ' Yes': -2.3207464, 'No': -6.594884, ' The': -7.7228723, 'Yes': -8.825394}
{' Yes': -0.50143373, ' No': -0.93243545, 'Yes': -8.207227, 'No': -8.27473, ' The': -9.112935}
{' No': -0.46185213, ' Yes': -0.99784195, 'No': -7.873044, ' The': -7.96818, 'Yes': -8.465798}
{' Yes': -0.11567971, ' No': -2.220479, 'Yes': -7.7398305, ' The': -9.358755, 'No': -9.554512}
{' No': -0.01746787, ' Yes': -4.1251945, 'No': -6.89464, ' The': -9.46627, ' ': -10.781045}
{' Yes': -0.0061870907, ' No': -5.187959, 'Yes': -7.812539, ' The': -9.39877, ' yes': -9.70647}
{' Yes': -0.009167083, ' No': -4.772112, 'Yes': -7.7515407, ' The': -9.204636, ' yes': -9.354954}
{' No': -0.12933598, ' Yes': -2.1203618, 'No': -7.010132, ' The': -8.895489, 'Yes': -9.220894}
{' Yes': -0.26041988, ' No': -1.4777718, 'Yes': -7.5878654, 'No': -8.317576, ' The': -8.730388}
{' No': -0.039355423, ' Yes': -3.2786245, 'No': -7.330394, ' The': -9.005642, ' ': -9.9800825}
{' No': -0.033879455, ' Yes': -3.444066, 'No': -6.8925915, ' ': -8.85184, ' The': -9.107457}
{' No': -0.67645895, ' Yes': -0.71275574, 'No': -7.417208, 'Yes': -7.665938, ' ': -9.59012}
{' No': -0.18446821, ' Yes': -1.7917756, 'No': -6.8018956, ' The': -7.9183626, 'Yes': -8.691071}
{' No': -0.36582616, ' Yes': -1.1895299, ' The': -7.0534515, 'No': -7.396223, 'Yes': -8.584484}
{' Yes': -0.40068084, ' No': -1.114138, ' The': -6.8330116, 'Yes': -8.207687, 'No': -8.58276}
{' No': -0.28911904, ' Yes': -1.3905348, 'No': -6.8466716, ' The': -7.606179, 'Yes': -8.0281515}
{' No': -0.003926195, ' Yes': -5.7051663, 'No': -7.6783223, ' The': -9.364537, ' ': -10.9821415}
{' No': -0.0012588807, 'No': -6.741552, ' Yes': -10.345936, ' ': -10.632335, ' The': -11.779209}
{' No': -0.0010584347, 'No': -6.89039, ' ': -11.136689, ' Yes': -11.81442, ' The': -12.146264}
{' No': -0.16385032, ' Yes': -1.9079431, 'No': -6.483182, ' The': -7.967749, 'Yes': -8.476401}
{' No': -0.14938486, ' Yes': -1.982339, 'No': -7.742177, ' The': -8.178672, ' Devil': -9.153293}
{' No': -0.3777449, ' Yes': -1.1600498, 'No': -7.658549, ' The': -7.934532, 'Yes': -8.814411}
{' No': -0.27915683, ' Yes': -1.41595, 'No': -7.71288, ' The': -8.454564, 'Yes': -9.388185}
{' No': -0.002237754, 'No': -6.362149, ' Yes': -7.8076634, ' ': -9.856628, ' The': -10.685078}
{' No': -0.0013278142, ' Yes': -7.350294, 'No': -7.395786, ' ': -10.567813, ' The': -10.591093}
{' No': -0.01613799, ' Yes': -4.255132, 'No': -6.426231, ' The': -9.448641, ' Unfortunately': -10.449862}
{' No': -0.0066838637, ' Yes': -5.3789773, 'No': -6.279034, ' The': -9.897147, ' Not': -10.099062}
{' No': -0.008954641, ' Yes': -4.8450694, 'No': -7.040183, ' The': -9.649634, ' ': -9.829689}
{' No': -0.12993833, ' Yes': -2.117777, ' The': -7.1231956, 'No': -7.5421085, 'Yes': -9.587876}
{' No': -0.08711609, ' Yes': -2.5055997, 'No': -6.577907, ' The': -8.367018, 'Yes': -9.548182}
{' No': -0.040618587, ' Yes': -3.2624373, 'No': -6.67562, ' The': -9.343801, ' ': -10.083516}
{' Yes': -0.0307071, ' No': -3.5298126, 'Yes': -7.3848405, ' The': -8.901786, ' yes': -9.563141}
{' Yes': -0.005304534, ' No': -5.3759346, 'Yes': -7.5850163, ' yes': -9.686787, ' The': -10.250915}
{' Yes': -0.013031896, ' No': -4.429303, 'Yes': -7.294253, ' yes': -8.872518, ' The': -9.193423}
{' No': -0.0019046467, ' Yes': -6.6504087, 'No': -7.654519, ' The': -9.694747, ' ': -10.631345}
{' No': -0.15937594, ' Yes': -1.9285047, 'No': -6.9609714, ' The': -7.4599223, '\n': -8.891925}
{' Yes': -0.13350478, ' No': -2.090267, 'Yes': -7.144046, ' The': -8.266604, 'No': -8.856135}
{' No': -0.012219666, ' Yes': -4.4872007, 'No': -7.191607, ' The': -9.614459, ' ': -10.150865}
{' No': -0.015026335, ' Yes': -4.3474674, 'No': -6.3598304, ' The': -9.003341, ' ': -10.068562}
{' No': -0.028862158, ' Yes': -3.6062393, 'No': -6.9760556, ' The': -8.574632, ' ': -9.456669}
{' No': -0.008496898, ' Yes': -4.8642287, 'No': -7.4426126, ' ': -9.865138, '\n': -10.056308}
{' Yes': -0.025774656, ' No': -3.7404313, ' The': -7.13353, 'Yes': -7.7087173, ' yes': -8.387198}
{' No': -0.5469338, ' Yes': -0.87149775, ' Still': -6.787507, ' The': -7.2124767, 'No': -7.5589747}
{' Yes': -0.00114108, 'Yes': -7.372973, ' No': -7.831576, ' yes': -9.803062, ' The': -10.559559}
{' Yes': -0.004740047, ' No': -5.4763207, 'Yes': -7.7144566, ' yes': -9.729652, ' The': -11.004999}
{' Yes': -0.022340057, ' No': -3.8637516, 'Yes': -7.260865, ' The': -8.237161, ' yes': -10.060953}
{' No': -0.1190016, ' Yes': -2.1991618, 'No': -7.67861, ' The': -7.7180705, ' Purs': -8.24927}
{' No': -0.0035099788, ' Yes': -5.9935627, 'No': -7.0802784, ' ': -9.59399, ' The': -9.831596}
{' No': -0.006039325, ' Yes': -5.323609, 'No': -7.1537075, ' The': -9.014713, ' ': -9.422416}
{' Yes': -0.045037653, ' No': -3.162507, 'Yes': -6.897752, ' The': -7.67056, ' yes': -9.177228}
{' Yes': -0.6698254, ' No': -0.72158706, ' The': -6.9796014, 'No': -7.4912534, 'Yes': -7.5976567}
{' No': -0.009233674, ' Yes': -4.8851643, 'No': -6.586942, ' The': -9.313744, ' ': -9.553341}
{' No': -0.0027970034, 'No': -6.004901, ' Yes': -8.79255, ' The': -9.435569, ' ': -10.094281}
{' No': -0.020251129, ' Yes': -3.9353776, 'No': -8.036226, ' The': -9.21396, '\n': -10.269423}
{' No': -0.0019395242, ' Yes': -6.5785637, 'No': -7.726539, ' The': -10.097485, ' ': -10.55835}
{' Yes': -0.07637969, ' No': -2.625244, 'Yes': -7.7553134, ' The': -7.786495, ' yes': -9.074656}
{' No': -0.51261055, ' Yes': -0.9183341, 'No': -7.268052, ' The': -7.413466, 'Yes': -8.200559}
{' No': -0.06508559, ' Yes': -2.7784739, 'No': -7.5274305, ' The': -8.914586, ' ': -9.828368}
{' Yes': -0.08666722, ' No': -2.497241, 'Yes': -7.9723754, ' The': -8.761351, ' yes': -9.367406}
{' Yes': -0.0047763987, ' No': -5.4565244, 'Yes': -8.513975, ' yes': -8.658258, ' The': -10.123108}
{' No': -0.4781589, ' Yes': -0.9698123, 'No': -7.728994, 'Yes': -8.546221, ' The': -8.851692}
{' No': -0.0054586628, ' Yes': -5.4895873, 'No': -6.7935114, ' The': -9.5129175, ' ': -9.607923}
{' No': -0.0854786, ' Yes': -2.516848, 'No': -7.209323, ' The': -8.155274, ' ': -9.567044}
{' No': -0.44664615, ' Yes': -1.0250934, ' The': -7.57242, 'No': -7.706623, 'Yes': -8.428335}
{' Yes': -0.25300238, ' No': -1.5039885, 'Yes': -7.400902, ' The': -8.145302, 'No': -8.579377}
{' No': -0.071356036, ' Yes': -2.690451, 'No': -7.3571854, ' The': -8.309778, ' ': -10.008355}
{' No': -0.21509017, ' Yes': -1.6477798, 'No': -7.549891, ' The': -8.031933, 'Yes': -9.363556}
{' Yes': -0.18181121, ' No': -1.8018843, 'Yes': -7.3112206, 'No': -8.66774, '\n': -8.855017}
{' Yes': -0.016016364, ' No': -4.2040067, 'Yes': -7.1798215, ' yes': -9.651749, ' The': -9.670122}
{' No': -0.37013546, ' Yes': -1.1771213, 'No': -7.555231, ' The': -7.97979, 'Yes': -8.585878}
{' No': -0.24890938, ' Yes': -1.5168595, 'No': -7.3761163, 'Yes': -8.836051, ' The': -9.348717}
{' No': -0.039831243, ' Yes': -3.284872, 'No': -7.0635157, ' The': -7.5047927, ' ': -9.553441}
{' No': -0.003979813, ' Yes': -5.894192, 'No': -7.057505, ' The': -8.234162, ' ': -10.612981}
{' No': -0.36646444, ' Yes': -1.2020835, 'No': -5.951108, ' The': -6.035154, 'Yes': -7.4680266}
{' No': -0.0031472694, 'No': -6.017738, ' Yes': -7.48172, ' ': -9.555555, ' The': -10.5396595}
{' No': -0.030939821, ' Yes': -3.5394943, 'No': -6.876619, ' The': -8.387996, ' ': -9.745384}
{' Yes': -0.30547756, ' No': -1.338265, 'Yes': -7.9267535, ' The': -8.274081, 'No': -8.652304}
{' Yes': -0.0022399025, ' No': -6.492016, 'Yes': -7.6252866, ' The': -9.020712, ' yes': -9.613485}
{' Yes': -0.016377952, ' No': -4.178409, 'Yes': -7.2802367, ' The': -9.290622, ' yes': -9.638571}
{' Yes': -0.34494567, ' No': -1.2340467, 'Yes': -8.372524, ' The': -8.777393, 'No': -8.982128}
{' No': -0.042743284, ' Yes': -3.1894374, 'No': -7.652292, ' The': -9.389264, '\n': -10.643228}
{' Yes': -0.4864336, ' No': -0.95849675, 'Yes': -7.374883, 'No': -7.4431934, ' The': -8.107518}
{' Yes': -0.14587718, ' No': -2.0046113, 'Yes': -7.2916174, ' The': -8.996385, 'No': -9.162246}
{' Yes': -0.022758204, ' No': -3.8683524, 'Yes': -6.7026076, ' The': -8.72526, ' yes': -9.572082}
{' No': -0.21806824, ' Yes': -1.6379596, 'No': -7.034337, ' The': -8.068185, 'Yes': -8.663678}
{' No': -0.43505955, ' Yes': -1.0467175, 'No': -7.09571, 'Yes': -7.850381, ' The': -8.1054945}
{' No': -0.54500234, ' Yes': -0.87031585, 'No': -7.47564, 'Yes': -7.843346, ' The': -8.262798}
{' No': -0.049838766, ' Yes': -3.0455832, 'No': -7.130653, ' The': -9.316159, '\n': -9.934441}
{' No': -0.0054538087, ' Yes': -5.331837, 'No': -7.6898327, ' The': -9.216306, ' ': -10.891468}
{' Yes': -0.0029778904, ' No': -6.234964, 'Yes': -7.109898, ' yes': -9.249571, ' The': -10.278681}
{' Yes': -0.04564669, ' No': -3.1353092, 'Yes': -7.5071864, ' The': -8.087442, ' yes': -8.998647}
{' No': -0.5419258, ' Yes': -0.8758891, ' The': -7.234595, 'No': -7.4758058, 'Yes': -7.9539}
{' No': -0.42908067, ' Yes': -1.0573288, 'No': -7.500018, ' The': -7.646638, 'Yes': -8.233924}
{' No': -0.12820229, ' Yes': -2.1274412, 'No': -7.500915, ' The': -7.6893973, 'Yes': -9.453174}
{' No': -0.08299607, ' Yes': -2.5387053, 'No': -8.01213, ' The': -8.316981, 'Yes': -10.135969}
{' No': -0.18176273, ' Yes': -1.8071766, 'No': -6.7826786, ' The': -7.433071, 'Yes': -8.463753}
{' Yes': -0.020802954, ' No': -3.9398034, 'Yes': -7.069732, ' The': -9.113034, ' yes': -9.429591}
{' No': -0.55595404, ' Yes': -0.8548699, 'No': -7.827585, 'Yes': -8.275391, ' The': -8.70842}
{' Yes': -0.05581823, ' No': -2.931226, 'Yes': -7.6796737, ' The': -8.063888, ' yes': -9.981897}
{' Yes': -0.16986474, ' No': -1.863678, 'Yes': -7.7150645, ' The': -7.755489, 'No': -9.177004}
{' No': -0.05639297, ' Yes': -2.9269943, 'No': -6.9319205, ' The': -8.796099, ' ': -9.796955}
{' Yes': -0.6529605, ' No': -0.7399261, 'No': -7.124472, 'Yes': -7.4277325, ' The': -7.614678}
{' Yes': -0.60728, ' No': -0.79053813, 'No': -7.6707964, ' The': -7.6810503, 'Yes': -7.7691374}
{' Yes': -0.05373424, ' No': -2.966713, 'Yes': -7.3879313, ' yes': -9.493107, ' The': -9.913311}
{' No': -0.027503816, ' Yes': -3.6687293, 'No': -6.8085938, ' The': -7.9330554, '\n': -10.244631}
{' Yes': -0.03735682, ' No': -3.3450024, 'Yes': -7.279714, ' The': -7.6383066, ' yes': -8.959552}
{' Yes': -0.10686521, ' No': -2.300028, 'Yes': -7.253725, ' The': -8.923964, 'No': -9.299587}
{' Yes': -0.5900685, ' No': -0.8145634, ' The': -6.4830317, 'Yes': -7.2511573, 'No': -7.7748237}
{' No': -0.042588584, ' Yes': -3.218967, 'No': -6.7204022, ' The': -8.282045, ' ': -9.391868}
{' Yes': -0.014091036, ' No': -4.33159, 'Yes': -7.824254, ' The': -7.963828, ' yes': -9.852067}
{' Yes': -0.03022062, ' No': -3.538367, 'Yes': -7.7148285, ' The': -9.233919, ' yes': -9.475991}
{' Yes': -0.025737898, ' No': -3.7053645, 'Yes': -7.666826, ' The': -8.700599, ' yes': -9.257249}
{' Yes': -0.26912126, ' No': -1.4476396, 'Yes': -7.819584, 'No': -8.647625, ' yes': -9.40164}
{' No': -0.36138618, ' Yes': -1.1952809, 'No': -8.084411, 'Yes': -8.886262, ' The': -8.946073}
{' No': -0.029860748, ' Yes': -3.5737886, 'No': -6.747142, ' The': -9.674039, ' ': -10.133706}
{' Yes': -0.23339875, ' No': -1.5786937, 'Yes': -7.1171703, ' The': -7.5507865, 'No': -8.589359}
{' No': -0.103327736, ' Yes': -2.3439283, 'No': -6.8340154, ' The': -7.06235, 'Yes': -9.000621}
{' No': -0.38933957, ' Yes': -1.1376802, ' The': -7.2396502, 'No': -7.3620486, 'Yes': -8.117989}
{' No': -0.0959604, ' Yes': -2.4007032, 'No': -7.408674, ' The': -9.365306, 'Yes': -9.701518}
{' Yes': -0.005315319, ' No': -5.3573813, 'Yes': -7.773934, ' yes': -9.426419, ' The': -10.028026}
{' Yes': -0.20321655, ' No': -1.6978302, 'Yes': -7.9276595, 'No': -8.946065, ' The': -8.954944}
{' No': -0.07345436, ' Yes': -2.6595693, 'No': -7.2528763, 'Yes': -10.113916, ' ': -10.129676}
{' No': -0.5083119, ' Yes': -0.922609, 'No': -7.72375, ' The': -8.518651, 'Yes': -8.537021}
{' Yes': -0.13230522, ' No': -2.0923653, 'Yes': -8.035542, ' The': -9.649347, 'No': -9.701397}
{' No': -0.041680403, ' Yes': -3.2375648, 'No': -6.6516294, ' The': -8.796729, 'Yes': -10.069375}
{' Yes': -0.38373828, ' No': -1.1490829, 'Yes': -7.5354366, 'No': -7.6911187, ' The': -7.710074}
{' Yes': -0.5590964, ' No': -0.85071087, 'No': -8.032361, ' The': -8.060557, 'Yes': -8.278222}
{' Yes': -0.3276908, ' No': -1.2794979, 'Yes': -7.439505, 'No': -8.034225, ' The': -8.471454}
{' Yes': -0.52817774, ' No': -0.89350367, 'Yes': -7.896832, 'No': -7.918337, ' The': -8.30906}
{' Yes': -0.070641786, ' No': -2.6984875, 'Yes': -7.5224466, ' The': -8.7225485, 'No': -9.583039}
{' Yes': -0.543701, ' No': -0.870817, 'No': -8.350949, 'Yes': -8.370299, ' The': -8.505601}
{' Yes': -0.0066553038, ' No': -5.1588864, 'Yes': -7.6705537, ' The': -8.129327, ' yes': -9.741933}
{' Yes': -0.07288716, ' No': -2.6899183, ' The': -6.414612, 'Yes': -7.727306, ' yes': -9.3741665}
{' Yes': -0.022649856, ' No': -3.8222828, 'Yes': -8.098436, ' The': -9.15016, ' yes': -9.829863}
{' Yes': -0.0005763155, 'Yes': -7.864914, ' No': -9.020973, ' yes': -10.263557, ' The': -11.141421}
