{' Yes': -0.0048690545, 'Yes': -5.7965517, ' No': -6.421077, ' The': -9.055835, ' yes': -10.524884}
{' Yes': -0.030025408, ' No': -3.6398523, 'Yes': -6.448362, ' The': -7.101426, ' ': -8.09294}
{' Yes': -0.30671358, ' No': -1.3568387, ' The': -6.142904, 'Yes': -6.560316, '\n': -6.8634167}
{' Yes': -0.13278675, ' No': -2.1091278, 'Yes': -6.1367536, 'No': -7.8332334, ' The': -8.501556}
{' Yes': -0.00089937466, 'Yes': -7.1944113, ' yes': -9.410797, ' ': -10.825403, ' The': -11.150372}
{' Yes': -0.001798295, 'Yes': -6.376739, ' yes': -10.141064, ' ': -10.976533, ' The': -11.324195}
{' Yes': -0.024355154, ' No': -3.8372233, 'Yes': -6.37054, ' Last': -8.192151, ' yes': -8.436022}
{' Yes': -0.0053226906, 'Yes': -5.9214892, ' No': -6.4339533, ' The': -7.3292394, ' yes': -8.872674}
{' Yes': -0.05543958, ' No': -3.0145323, ' Door': -5.8355412, 'Yes': -6.787266, ' The': -8.492727}
{' Yes': -0.08669236, ' No': -2.5925384, ' Door': -5.1622806, 'Yes': -6.623071, ' ': -7.413654}
{' No': -0.6665046, ' Yes': -0.7316101, 'Yes': -6.116171, ' The': -6.5691934, 'No': -6.7594376}
{' Yes': -0.29018497, ' No': -1.3894529, 'Yes': -6.3376813, ' The': -7.8173923, 'No': -8.00279}
{' No': -0.60761434, ' Yes': -0.79673755, 'No': -6.4342513, 'Yes': -6.69829, ' The': -6.8010178}
{' Yes': -0.170039, ' No': -1.8799695, 'Yes': -6.0370927, 'No': -7.6185236, ' The': -7.7556477}
{' Yes': -0.0026398143, 'Yes': -6.1707687, ' No': -8.525167, ' The': -8.958967, ' yes': -9.226542}
{' Yes': -0.003707447, ' No': -6.341693, 'Yes': -6.3920093, ' yes': -9.04824, ' ': -9.575639}
{' Yes': -0.0035086025, ' No': -6.3196716, 'Yes': -6.450436, ' yes': -9.843694, '\n': -10.816573}
{' Yes': -0.0013614743, 'Yes': -6.906562, ' No': -8.151177, ' yes': -10.127433, ' ': -11.451741}
{' Yes': -0.001304118, 'Yes': -6.9838896, ' Most': -8.719247, ' No': -9.547034, ' yes': -9.594621}
{' Yes': -0.0117269475, ' Most': -4.7720585, 'Yes': -6.1958814, ' No': -7.0609155, ' The': -8.956793}
{' Yes': -0.216775, ' No': -1.6549978, 'Yes': -6.489771, ' The': -6.948884, 'No': -7.328883}
{' Yes': -0.002410353, 'Yes': -6.727475, ' No': -6.785737, ' yes': -10.146468, ' ': -10.97078}
{' Yes': -0.34079686, ' No': -1.2522655, 'Yes': -6.47026, 'No': -7.1030245, ' The': -8.30091}
{' Yes': -0.011576008, ' No': -4.6573086, 'Yes': -6.337747, ' The': -9.237008, ' yes': -9.556983}
{' Yes': -0.09064386, ' No': -2.4753675, 'Yes': -6.905331, ' The': -6.958624, 'No': -8.716778}
{' Yes': -0.0018408684, 'Yes': -6.482963, ' No': -9.114685, ' yes': -9.368714, ' The': -9.557129}
{' Yes': -0.025551325, ' No': -3.9008472, 'Yes': -6.092564, ' Lawn': -6.112053, ' ': -8.675997}
{' No': -0.5659628, ' Yes': -0.855609, 'No': -5.644507, 'Yes': -6.52434, ' The': -6.6684365}
{' No': -0.600171, ' Yes': -0.8024035, 'No': -6.5341344, 'Yes': -7.215527, ' The': -8.176869}
{' No': -0.4897748, ' Yes': -0.95584106, 'No': -6.4903774, 'Yes': -7.328264, ' The': -7.8787804}
{' Yes': -0.0035242753, 'Yes': -5.9565063, ' No': -7.136367, ' The': -10.140817, ' yes': -10.214906}
{' Yes': -0.0014576352, 'Yes': -6.6278667, ' yes': -9.900784, ' No': -10.135879, ' The': -11.150351}
{' Yes': -0.004967109, ' No': -6.051356, 'Yes': -6.198243, ' yes': -8.662449, ' The': -8.798847}
{' Yes': -0.0017948303, 'Yes': -6.6701317, ' No': -7.9033947, ' The': -9.689087, ' yes': -9.822533}
{' Yes': -0.0028635918, ' No': -6.22581, 'Yes': -7.1754823, ' yes': -9.741685, ' ': -10.734251}
{' Yes': -0.0016483098, 'Yes': -6.8916297, ' No': -7.617031, ' yes': -9.620941, ' The': -9.879625}
{' Yes': -0.0029714934, 'Yes': -5.8395305, ' yes': -10.795347, ' ': -11.23556, ' No': -11.2509575}
{' Yes': -0.0070090815, ' No': -5.2048316, 'Yes': -6.636932, ' yes': -9.602825, ' The': -9.693597}
{' Yes': -0.1163347, ' No': -2.2623365, 'Yes': -6.061647, ' The': -6.0722976, ' ': -8.088415}
{' No': -0.1985615, ' Yes': -1.7346429, 'No': -5.968129, 'Yes': -7.5763006, ' The': -8.041865}
{' Yes': -0.004594709, ' No': -5.8942695, 'Yes': -6.4377456, ' yes': -9.404595, ' ': -9.455752}
{' Yes': -0.008283879, ' No': -5.1838264, 'Yes': -6.0295386, ' yes': -9.023237, ' ': -10.325378}
{' Yes': -0.008654165, ' No': -4.9300327, 'Yes': -6.839203, ' The': -8.573275, ' yes': -9.296078}
{' Yes': -0.012924233, ' No': -4.511369, 'Yes': -6.5132556, ' The': -8.618551, ' yes': -8.976055}
{' Yes': -0.019313237, ' No': -4.044648, 'Yes': -6.804229, ' The': -8.308303, ' yes': -9.400779}
{' Yes': -0.034277968, ' No': -3.4636698, 'Yes': -6.251929, ' The': -9.141352, '\n': -9.164343}
{' Yes': -0.0013662501, 'Yes': -6.797594, ' No': -9.448362, ' yes': -9.843475, ' The': -10.054089}
{' Yes': -0.0012743383, 'Yes': -7.116139, ' The': -8.439411, ' No': -9.316176, ' yes': -9.60985}
{' Yes': -0.0019949449, 'Yes': -7.0906496, ' The': -7.5829973, ' No': -7.704538, ' yes': -8.954467}
{' Yes': -0.0018983766, 'Yes': -6.574869, ' yes': -8.700834, ' No': -8.955503, ' The': -9.398273}
{' Yes': -0.0027396835, 'Yes': -6.624579, ' No': -6.9621563, ' The': -8.564838, ' YES': -8.9775915}
{' Yes': -0.0011562373, 'Yes': -6.894285, ' yes': -9.751133, ' The': -10.332851, ' ': -10.801714}
{' Yes': -0.4466256, ' No': -1.0357921, ' Stop': -6.566977, ' ': -6.7208695, ' The': -6.866425}
{' Yes': -0.0044126897, ' No': -5.7509947, 'Yes': -7.54089, ' YES': -7.6696553, ' ': -9.523255}
{' Yes': -0.0072712386, ' No': -5.3903084, 'Yes': -6.0385566, ' ': -8.472816, ' The': -10.396765}
{' Yes': -0.001477988, ' No': -7.3117557, 'Yes': -7.3724165, ' ': -9.643071, ' yes': -9.80729}
{' No': -0.08702791, ' Yes': -2.5161889, 'No': -6.3695245, ' The': -7.4476666, 'Yes': -8.960145}
{' Yes': -0.010527599, ' No': -4.7732434, 'Yes': -6.4422293, ' The': -8.799871, '\n': -8.908087}
{' Yes': -0.0018533494, 'Yes': -6.43748, ' No': -9.289332, ' The': -10.231233, ' ': -10.238616}
{' Yes': -0.0031934897, ' No': -5.956357, 'Yes': -7.584953, ' yes': -10.11084, ' The': -10.757208}
{' Yes': -0.0008385858, 'Yes': -7.3636746, ' yes': -9.639251, ' ': -9.745547, ' No': -9.917163}
{' Yes': -0.0013556245, 'Yes': -7.1181684, ' No': -7.999388, ' yes': -9.611472, ' ': -10.103444}
{' Yes': -0.0028994586, ' No': -6.6051083, 'Yes': -6.6396656, ' ': -9.207079, ' The': -9.904642}
{' Yes': -0.0014838377, 'Yes': -6.5629663, ' yes': -10.471314, ' No': -10.975572, ' ': -11.5372305}
{' Yes': -0.0012119726, 'Yes': -6.995491, ' The': -8.875922, ' yes': -9.837754, ' ': -10.301372}
{' Yes': -0.049480215, ' No': -3.3607597, 'Yes': -4.6256313, ' yes': -5.934957, 'No': -7.757525}
{' Yes': -0.0013648167, 'Yes': -7.431559, ' No': -7.7441316, ' ': -9.120896, ' yes': -9.171224}
{' Yes': -0.034320224, ' No': -3.428897, 'Yes': -7.107571, ' The': -8.426396, ' ': -8.936286}
{' Yes': -0.00181364, 'Yes': -6.5110083, ' No': -8.51497, ' yes': -9.881093, ' ': -10.380954}
{' Yes': -0.0007384261, 'Yes': -7.362213, ' yes': -9.669979, ' The': -10.878288, ' ': -11.507777}
{' Yes': -0.39390627, ' No': -1.1296259, 'Yes': -6.774056, 'No': -7.380501, ' The': -7.6440735}
{' Yes': -0.09301291, ' No': -2.463252, 'Yes': -6.3016686, ' The': -6.7182603, 'No': -8.415932}
{' No': -0.007339146, 'No': -5.274125, ' Yes': -6.1666446, ' ': -9.9766245, ' The': -11.213244}
{' Yes': -0.18212424, ' No': -1.8067274, 'Yes': -6.545302, 'No': -7.735284, ' The': -8.428065}
{' Yes': -0.006835868, ' No': -5.1677055, 'Yes': -7.4558563, ' The': -8.079716, ' ': -9.479012}
{' Yes': -0.013189582, ' No': -4.4158807, 'Yes': -7.170942, ' The': -9.321161, ' Draw': -9.8330555}
{' Yes': -0.00056796713, 'Yes': -7.6121664, ' yes': -10.398774, ' No': -10.84039, ' The': -11.61054}
{' Yes': -0.0012336348, ' No': -7.3415923, 'Yes': -7.7623625, ' yes': -9.631761, ' The': -9.800482}
{' Yes': -0.002373847, 'Yes': -6.971244, ' No': -7.1823473, ' The': -7.732602, ' yes': -9.201909}
{' Yes': -0.0013177866, 'Yes': -7.1369886, ' No': -8.3581295, ' The': -8.824244, ' yes': -9.460376}
{' Yes': -0.026674734, 'Yes': -4.2207355, ' No': -4.4814873, 'No': -8.714049, ' ': -9.498901}
{' Yes': -0.004002314, ' No': -5.755364, 'Yes': -7.2361507, ' The': -9.977091, ' ': -10.64081}
{' Yes': -0.0006565927, 'Yes': -7.462826, ' yes': -10.179199, ' ': -10.603125, ' YES': -11.71075}
{' Yes': -0.00082826347, 'Yes': -7.427568, ' No': -9.104956, ' yes': -9.772892, ' ': -10.287225}
{' Yes': -0.0028774596, ' No': -6.3271556, 'Yes': -7.0561976, ' Dirt': -9.433387, ' yes': -9.918791}
{' Yes': -0.012435517, ' No': -4.5259986, 'Yes': -6.8537803, ' The': -8.586883, ' ': -9.249484}
{' Yes': -0.0010114159, 'Yes': -7.3924584, ' The': -8.612156, ' yes': -9.125819, ' YES': -10.036636}
{' Yes': -0.014840173, ' No': -4.9346223, 'Yes': -5.923386, ' ': -6.477481, ' YES': -6.9919477}
{' False': -0.0644788, ' No': -2.7943292, 'False': -6.9792542, 'No': -8.5053835, ' ': -8.867468}
{' No': -0.0057342057, ' Yes': -5.385417, 'No': -6.986281, ' ': -8.830887, '\n': -10.248365}
{' Yes': -0.0020045012, 'Yes': -6.463159, ' Rain': -9.012275, ' No': -9.349937, ' ': -9.35049}
{' Yes': -0.003625608, ' No': -6.141647, 'Yes': -7.056131, ' Rain': -8.150706, ' The': -8.9743185}
{' Yes': -0.14346895, ' No': -2.021225, 'Yes': -7.1865826, 'No': -8.758476, ' ': -9.049271}
{' No': -0.07968536, ' Yes': -2.591652, 'No': -6.5447674, 'Yes': -9.036427, ' ': -9.17557}
{' Yes': -0.018681036, ' No': -4.0728936, 'Yes': -6.7951336, ' The': -9.423893, ' ': -9.48069}
{' Yes': -0.002395953, ' No': -6.2740955, 'Yes': -7.9767947, ' The': -9.740629, ' yes': -9.960457}
{' Yes': -0.0029985732, ' No': -6.286434, 'Yes': -7.263333, ' The': -8.481642, ' ': -8.851833}
{' Yes': -0.0042178985, ' No': -5.882441, 'Yes': -6.9476566, ' The': -8.7453, ' yes': -8.936827}
{' Yes': -0.0013827845, 'Yes': -7.308337, ' No': -7.404081, ' yes': -10.000859, ' ': -10.509654}
{' Yes': -0.006985851, ' No': -5.126479, 'Yes': -7.357341, ' The': -8.206641, ' ': -10.008151}
{' Yes': -0.081045866, ' No': -2.5785892, 'Yes': -6.991297, ' The': -7.2852387, ' ': -8.814026}
{' Yes': -0.06720579, ' No': -2.7522833, 'Yes': -7.0756764, ' ': -8.664278, 'No': -9.498144}
{' Yes': -0.0010565255, 'Yes': -7.0107107, ' yes': -9.466597, ' ': -10.5349655, ' Land': -11.093928}
{' Yes': -0.0038537337, ' No': -6.055638, 'Yes': -6.6240983, ' ': -9.853876, ' The': -9.926212}
{' Yes': -0.0013089529, 'Yes': -7.630141, ' The': -7.7772965, ' yes': -8.480476, ' YES': -9.500853}
{' Yes': -0.0019052447, 'Yes': -7.1812057, ' No': -7.2136765, ' The': -8.46149, ' yes': -9.3535595}
{' No': -0.100889616, ' Yes': -2.3559382, 'No': -7.023863, ' ': -9.0423355, 'Yes': -9.051006}
{' Yes': -0.015539259, ' No': -4.393116, 'Yes': -6.351616, ' The': -7.536861, ' ': -8.0037365}
{' Yes': -0.0037099007, 'Yes': -5.9448013, ' ': -7.5451565, ' The': -7.9218616, '\n': -9.922249}
{' Yes': -0.0008170485, 'Yes': -7.359011, ' ': -9.465263, ' yes': -9.650024, '\n': -11.197478}
{' Yes': -0.0013102652, 'Yes': -6.781526, ' yes': -9.50136, ' The': -10.345167, ' ': -10.414875}
{' Yes': -0.0007430809, 'Yes': -7.359977, ' yes': -9.826081, ' No': -10.924621, ' ': -11.040843}
{' Yes': -0.0019121718, ' Deer': -7.0785584, 'Yes': -7.1694036, ' No': -9.3843565, ' yes': -9.452663}
{' Yes': -0.0008733628, 'Yes': -7.1973, ' yes': -9.741289, ' The': -10.325928, ' ': -11.206767}
{' Yes': -0.0010877347, 'Yes': -7.270912, ' No': -8.400337, ' yes': -9.615686, ' The': -9.866068}
{' Yes': -0.0056834314, ' No': -5.404268, 'Yes': -7.1654234, ' The': -9.032493, ' yes': -9.073367}
{' Yes': -0.00073317625, 'Yes': -7.484595, ' No': -9.234126, ' yes': -10.050445, ' ': -11.408758}
{' Yes': -0.0009622559, 'Yes': -7.445082, ' No': -8.312209, ' yes': -9.816523, ' ': -10.3737955}
{' Yes': -0.00196329, ' No': -6.8598976, 'Yes': -7.2135816, ' yes': -9.57108, ' ': -10.191292}
{' Yes': -0.0009029538, 'Yes': -7.275339, ' No': -9.192016, ' yes': -9.846862, ' YES': -10.357807}
{' Yes': -0.0014584706, 'Yes': -7.346574, ' No': -7.387267, ' The': -9.106328, ' yes': -10.133792}
{' Yes': -0.0014246848, 'Yes': -6.928068, ' No': -8.548226, ' The': -9.134722, ' yes': -9.973064}
{' Yes': -0.00052067416, 'Yes': -7.7139297, ' yes': -10.429034, ' The': -10.843356, ' ': -11.386811}
{' Yes': -0.0021811223, 'Yes': -6.310668, ' No': -8.252061, ' ': -9.86574, ' yes': -10.887814}
{' Yes': -0.16876373, ' No': -1.8696189, 'Yes': -7.370906, ' ': -8.832135, 'No': -9.204801}
{' Yes': -0.009973644, ' No': -4.684038, 'Yes': -7.5003176, ' ': -9.942221, ' yes': -10.151663}
{' Yes': -0.038128316, ' No': -3.5391088, ' Lion': -4.922085, 'Yes': -7.1490016, ' The': -9.631313}
{' Yes': -0.0029094412, ' No': -6.189158, 'Yes': -7.2719274, ' yes': -9.680173, ' The': -9.7398205}
{' Yes': -0.001388633, 'Yes': -7.0489383, ' ': -8.491434, ' No': -8.924235, ' yes': -9.593286}
{' Yes': -0.0017990109, ' No': -7.1264954, 'Yes': -7.1978188, ' yes': -9.539871, ' The': -9.545677}
{' Yes': -0.0010099844, 'Yes': -7.0144076, ' The': -10.073061, ' yes': -10.564298, ' ': -10.719955}
{' Yes': -0.002067753, ' No': -6.924315, 'Yes': -7.2911077, ' Want': -8.627287, ' The': -9.086676}
{' Yes': -0.0010970423, 'Yes': -7.163883, ' No': -8.477936, ' yes': -10.019325, ' The': -10.257132}
{' Yes': -0.09960542, ' No': -2.4274576, ' Wind': -5.2633896, 'Yes': -6.9812083, 'No': -8.651745}
{' Yes': -0.00502881, ' No': -5.4893155, 'Yes': -7.493188, ' yes': -8.697755, ' The': -9.401788}
{' Yes': -0.0016883104, ' No': -6.8883386, 'Yes': -7.70954, ' yes': -9.314768, ' The': -9.566687}
{' No': -0.0058610034, 'No': -5.8366046, ' Yes': -6.107616, ' ': -7.9689155, ' Unfortunately': -8.907443}
{' Yes': -0.1948992, ' No': -1.7419096, 'Yes': -7.488636, ' ': -7.6592503, ' The': -7.801016}
{' Yes': -0.39834118, ' No': -1.1167537, 'Yes': -7.6556554, ' The': -8.173433, 'No': -8.397591}
{' Yes': -0.055485006, ' No': -2.9478073, 'Yes': -6.950733, ' ': -8.521027, '\n': -8.900255}
{' Yes': -0.00054804806, 'Yes': -7.9620295, ' No': -8.920646, ' yes': -10.613896, ' ': -10.681833}
{' Yes': -0.006793379, ' No': -5.0608625, 'Yes': -7.9538007, ' ': -10.17635, ' yes': -10.900959}
{' Yes': -0.0006414438, 'Yes': -7.434447, ' yes': -10.709318, ' No': -11.472573, ' ': -11.59713}
{' Yes': -0.0003210935, 'Yes': -8.170086, ' yes': -10.763599, ' ': -11.43877, ' YES': -12.333145}
{' Yes': -0.0008563592, 'Yes': -7.560451, ' No': -8.642248, ' The': -9.593611, ' ': -10.247867}
{' Yes': -0.039536346, ' No': -3.2831771, 'Yes': -7.228161, ' The': -8.403237, ' ': -8.81662}
{' Yes': -0.001170855, 'Yes': -7.0300612, ' The': -9.039048, ' yes': -9.656345, ' No': -10.007901}
{' Yes': -0.0015030011, 'Yes': -6.706531, ' yes': -9.1855955, ' ': -9.655113, ' YES': -10.2331705}
{' Yes': -0.010814724, ' No': -4.6554375, 'Yes': -7.057581, ' Skin': -8.483095, ' ': -9.7373085}
{' Yes': -0.08758832, ' No': -2.5009813, 'Yes': -6.93166, ' Skin': -7.4882665, ' ': -9.238134}
{' Yes': -0.0010867792, 'Yes': -7.349319, ' No': -8.596768, ' The': -9.103966, ' yes': -9.477381}
{' Yes': -0.0033904775, 'Yes': -6.1685495, ' No': -7.504298, ' So': -8.299399, ' ': -8.743604}
{' Yes': -0.001290868, 'Yes': -6.75028, ' ': -9.604671, ' yes': -10.977193, ' The': -11.141311}
{' Yes': -0.00096106285, 'Yes': -7.214471, ' The': -9.4633665, ' No': -9.804465, ' yes': -10.177463}
{' No': -0.12798196, ' Yes': -2.1593997, 'No': -5.917258, ' Male': -6.6303678, ' ': -7.984929}
{' Yes': -0.56948, ' No': -0.84758466, 'Yes': -6.088736, 'No': -6.191226, ' ': -7.269413}
{' Yes': -0.013685436, ' No': -4.342596, 'Yes': -7.6673875, ' yes': -9.762447, ' YES': -10.992607}
{' Yes': -0.014650598, ' No': -4.2892857, 'Yes': -7.303648, ' yes': -9.956388, ' ': -9.95854}
{' Yes': -0.011551949, ' No': -4.586699, 'Yes': -6.913134, ' The': -8.958711, ' ': -9.48376}
{' Yes': -0.03565452, ' No': -3.3813765, 'Yes': -7.3519826, ' ': -9.004023, ' The': -9.030523}
{' Yes': -0.0063626533, ' No': -5.5075965, 'Yes': -6.301912, ' ': -8.596348, ' The': -9.194304}
{' No': -0.6760757, ' Yes': -0.7157561, 'Yes': -7.051661, 'No': -7.1163983, ' ': -7.8427067}
{' Yes': -0.0006252821, 'Yes': -7.5446787, ' No': -10.110849, ' yes': -10.643558, ' The': -11.145543}
{' Yes': -0.00071212515, 'Yes': -7.482935, ' yes': -9.883427, ' No': -10.006212, ' The': -10.689692}
{' Yes': -0.30088845, ' No': -1.354235, 'Yes': -7.0577297, 'No': -7.651523, ' The': -8.925217}
{' Yes': -0.031871855, ' No': -3.5211754, 'Yes': -6.5194564, ' yes': -9.238777, ' ': -9.338328}
{' Yes': -0.17638855, ' No': -1.8695915, ' Pain': -5.737665, 'Yes': -6.320374, ' The': -6.5886674}
{' No': -0.16928792, ' Yes': -1.9018948, 'No': -6.1228356, ' Pain': -6.179414, ' The': -7.196587}
{' Yes': -0.0020617205, ' No': -6.8177614, 'Yes': -7.054531, ' ': -10.14244, ' yes': -10.412672}
{' No': -0.008536572, ' Yes': -4.8890753, 'No': -7.0167103, ' ': -10.297561, 'Yes': -11.208508}
{' Yes': -0.12434605, ' No': -2.16906, 'Yes': -6.7006297, ' The': -7.178898, 'No': -8.508795}
{' Yes': -0.09133363, ' No': -2.4802132, 'Yes': -6.0362244, ' The': -7.846003, ' ': -8.271914}
{' Yes': -0.0026968878, ' No': -6.8334136, 'Yes': -7.025548, ' Dive': -7.595107, ' ': -9.683625}
{' Yes': -0.0066149198, ' No': -5.326679, 'Yes': -6.4960437, ' yes': -9.606162, ' The': -9.708527}
{' Yes': -0.010526335, ' No': -5.312038, 'Yes': -5.3960185, ' The': -7.624429, ' ': -8.593999}
{' Yes': -0.0007584691, 'Yes': -7.3575277, ' yes': -9.838202, ' ': -10.04563, ' YES': -11.451423}
{' Yes': -0.002575511, 'Yes': -6.0528855, ' ': -9.255632, ' yes': -10.072777, ' No': -10.078535}
{' Yes': -0.0011403629, 'Yes': -6.993398, ' No': -9.630828, ' yes': -10.073459, ' Bush': -10.162533}
{' Yes': -0.0059170607, ' No': -5.2342267, 'Yes': -7.938107, ' The': -9.325451, ' yes': -9.860893}
{' Yes': -0.000563196, 'Yes': -8.157989, ' Near': -9.247801, ' yes': -9.724476, ' No': -9.956782}
{' Yes': -0.32672167, ' No': -1.28834, 'Yes': -6.5899415, 'No': -7.2047577, ' The': -7.51376}
{' Yes': -0.001821105, 'Yes': -6.5393977, ' No': -8.26197, ' ': -9.886132, ' yes': -10.043991}
{' Yes': -0.0015680111, 'Yes': -6.6354585, ' No': -9.189272, ' yes': -9.308317, ' The': -10.491322}
{' Yes': -0.0018010413, 'Yes': -6.4746494, ' No': -9.524376, ' Navy': -9.870901, ' yes': -9.882334}
{' No': -0.031834014, ' Yes': -3.7485657, 'No': -5.1611943, ' Not': -6.699882, ' ': -8.23863}
{' No': -0.015174528, ' Yes': -4.4489017, 'No': -6.1223993, ' ': -7.805234, ' The': -7.8073554}
{' Yes': -0.6910138, ' No': -0.69893503, 'No': -7.5127454, 'Yes': -7.6971755, ' The': -7.7663193}
{' Yes': -0.02369676, ' No': -3.790523, 'Yes': -7.3390083, ' ': -9.907892, ' The': -10.376726}
{' Yes': -0.038185347, ' No': -3.3572006, ' The': -6.855308, 'Yes': -7.2391205, ' Beef': -7.4204025}
{' Yes': -0.03927979, ' No': -3.2926402, 'Yes': -7.1063166, ' The': -8.24417, ' yes': -8.808938}
{' Yes': -0.0011274132, 'Yes': -6.8743935, ' yes': -10.188571, ' No': -10.581075, ' The': -11.348362}
{' Yes': -0.0014193129, 'Yes': -6.859949, ' No': -8.464735, ' yes': -9.529137, ' The': -10.096258}
{' No': -0.6883982, ' Yes': -0.70221114, 'No': -7.4494166, 'Yes': -7.49953, ' The': -7.8106394}
{' Yes': -0.01357752, ' No': -4.3979883, 'Yes': -7.018606, ' yes': -9.214871, ' ': -9.392334}
{' Yes': -0.0008290979, 'Yes': -7.3126383, ' No': -9.310515, ' yes': -10.14845, ' The': -11.062142}
{' Yes': -0.00083088985, 'Yes': -7.499282, ' yes': -9.23496, ' No': -9.513429, ' The': -10.251399}
{' Yes': -0.0015263426, 'Yes': -6.5847473, ' The': -9.873159, ' yes': -10.244532, ' YES': -10.308002}
{' Yes': -0.0014582332, 'Yes': -6.6403604, ' yes': -9.58773, ' YES': -9.806571, ' ': -10.894277}
{' Yes': -0.0032532872, ' No': -5.934336, 'Yes': -7.645364, ' yes': -9.863978, ' The': -10.311818}
{' Yes': -0.008084128, ' No': -5.302727, ' The': -6.451218, 'Yes': -6.870159, ' ': -8.557806}
{' Yes': -0.001258403, 'Yes': -7.1025453, ' No': -8.169696, ' yes': -9.6630125, ' ': -10.190618}
{' Yes': -0.010355038, ' No': -4.917604, 'Yes': -6.6795554, ' ': -7.0442653, ' yes': -8.265357}
{' Yes': -0.4616559, ' No': -1.0013039, ' The': -6.810569, 'Yes': -7.6506333, 'No': -7.911742}
{' Yes': -0.078924626, ' No': -2.6078172, 'Yes': -6.478853, ' The': -8.212055, 'No': -8.736616}
{' Yes': -0.00062468514, 'Yes': -7.738311, ' yes': -9.39421, ' ': -10.07323, ' The': -10.288241}
{' Yes': -0.0007945584, 'Yes': -7.228017, ' yes': -10.384723, ' ': -11.053191, ' YES': -11.654377}
{' Yes': -0.04120954, ' No': -3.2559652, 'Yes': -6.9517756, ' Last': -8.067795, ' The': -8.332728}
{' Yes': -0.0046445313, ' No': -6.0508714, 'Yes': -6.2838798, ' The': -8.427988, ' yes': -9.05806}
{' No': -0.48883954, ' Yes': -0.9631476, ' Door': -5.8579335, 'No': -7.389053, ' ': -7.688901}
{' No': -0.61550105, ' Yes': -0.78419834, ' ': -6.9741416, ' Door': -7.005688, 'No': -7.2549562}
{' Yes': -0.27682677, ' No': -1.4415531, 'Yes': -5.772971, ' ': -7.0982394, 'No': -7.650417}
{' Yes': -0.30538616, ' No': -1.3430144, 'Yes': -6.5729904, 'No': -8.419064, ' ': -8.634098}
{' Yes': -0.4320432, ' No': -1.0529672, 'Yes': -7.248844, ' The': -7.4894633, 'No': -7.846935}
{' Yes': -0.016098013, ' No': -4.2279778, 'Yes': -6.8111606, ' The': -8.797576, ' ': -9.914297}
{' Yes': -0.0017177446, 'Yes': -6.759576, ' No': -8.027682, ' The': -9.589704, ' yes': -9.66899}
{' Yes': -0.0030911833, ' No': -6.4488363, 'Yes': -6.75649, ' ': -8.920981, ' yes': -9.095717}
{' Yes': -0.0008750327, 'Yes': -7.219964, ' No': -9.353539, ' yes': -10.448131, ' ': -11.283319}
{' Yes': -0.00047028364, 'Yes': -7.825486, ' No': -10.268956, ' yes': -10.897309, ' ': -11.448086}
{' Yes': -0.0013190989, 'Yes': -7.3461084, ' No': -7.5541787, ' yes': -10.162052, ' Most': -10.205567}
{' Yes': -0.009192347, ' Most': -4.8998094, 'Yes': -6.9189835, ' No': -7.484158, ' The': -10.164516}
{' Yes': -0.011176426, ' No': -4.6342845, 'Yes': -6.914441, ' The': -8.773129, ' ': -9.145947}
{' Yes': -0.0020354374, ' No': -6.576731, 'Yes': -7.4439774, ' yes': -10.4988575, ' ': -11.393389}
{' Yes': -0.10682483, ' No': -2.3012922, 'Yes': -7.0662193, ' The': -9.303507, 'No': -9.303711}
{' Yes': -0.07166418, ' No': -2.6963074, 'Yes': -6.6944947, ' The': -8.856208, 'No': -8.897279}
{' Yes': -0.019546488, ' No': -4.006687, ' The': -7.631258, 'Yes': -7.6851077, ' ': -9.252889}
{' Yes': -0.00081311085, 'Yes': -7.3396635, ' The': -9.794477, ' yes': -9.833514, ' No': -10.631741}
{' Yes': -0.003534026, ' No': -6.149219, 'Yes': -6.6795816, ' ': -9.519286, ' yes': -10.664012}
{' Yes': -0.034575574, ' No': -3.4975863, 'Yes': -6.1371036, ' The': -7.115779, '\n': -8.083848}
{' Yes': -0.52456534, ' No': -0.9031188, 'No': -6.8426456, 'Yes': -6.9039574, ' ': -7.9884973}
{' No': -0.5662369, ' Yes': -0.84433603, 'No': -6.742472, 'Yes': -7.4694448, ' The': -7.5855503}
{' Yes': -0.0017881425, 'Yes': -7.0043397, ' No': -7.162381, ' yes': -10.2023, ' The': -10.28692}
{' Yes': -0.0006335704, 'Yes': -7.5023003, ' yes': -9.932098, ' The': -11.430714, ' ': -11.581139}
{' Yes': -0.0026147147, 'Yes': -6.6895366, ' No': -6.776271, ' yes': -9.162364, ' ': -9.658111}
{' Yes': -0.0016055007, 'Yes': -7.0439444, ' No': -7.4440045, ' The': -9.516376, ' yes': -10.172126}
{' Yes': -0.001097997, 'Yes': -7.4685144, ' No': -7.908937, ' The': -9.760458, ' yes': -9.817718}
{' Yes': -0.0017905312, ' No': -7.0456896, 'Yes': -7.1712484, ' yes': -9.366433, ' The': -10.449321}
{' Yes': -0.0023526354, 'Yes': -6.594292, ' No': -6.991923, ' ': -10.285296, ' yes': -11.126504}
{' Yes': -0.018367967, ' No': -4.062319, 'Yes': -7.0543246, ' ': -10.203388, ' yes': -10.356283}
{' Yes': -0.05690983, ' No': -2.955954, 'Yes': -6.4079127, ' The': -6.99311, ' yes': -8.304609}
