{' Yes': -0.0011963383, 'Yes': -7.0440254, ' The': -8.79854, ' yes': -9.431768, ' No': -9.676268}
{' No': -0.015769042, ' Yes': -4.5626135, 'No': -5.3796663, ' The': -8.284505, '\n': -8.762187}
{' No': -0.39596087, ' Yes': -1.1327754, 'No': -6.1443067, '\n': -6.843096, 'Yes': -7.1815343}
{' Yes': -0.1454914, ' No': -2.010701, 'Yes': -7.0128026, 'No': -8.342639, ' The': -9.009718}
{' No': -0.019929728, ' Yes': -4.178327, 'No': -5.6803913, '\n': -7.9542747, ' The': -7.994228}
{' Yes': -0.0023894997, 'Yes': -6.379397, ' No': -7.5733023, ' yes': -9.395162, ' ': -10.256627}
{' Yes': -0.0005829959, 'Yes': -7.66036, ' yes': -9.7086935, ' The': -10.800987, ' YES': -11.450791}
{' Yes': -0.17741081, ' No': -1.8336188, 'Yes': -6.719347, ' The': -7.3623734, 'No': -7.8999634}
{' Yes': -0.0066593247, ' No': -5.4440317, 'Yes': -6.204798, '\n': -9.129554, ' yes': -9.4828}
{' Yes': -0.17108002, ' No': -1.8664496, 'Yes': -6.556091, 'No': -7.9122295, '\n': -8.442955}
{' Yes': -0.020550307, ' No': -4.0635915, 'Yes': -5.9586215, '\n': -8.721417, ' yes': -9.096051}
{' Yes': -0.0097805355, ' No': -4.743213, 'Yes': -7.196856, ' yes': -9.183341, '\n': -9.741063}
{' Yes': -0.013784898, ' No': -4.501812, 'Yes': -6.117914, ' yes': -8.619509, '\n': -9.108068}
{' Yes': -0.01188738, ' No': -4.5694737, 'Yes': -6.8118634, ' yes': -8.923857, ' The': -9.069334}
{' Yes': -0.043267276, ' No': -3.1932516, 'Yes': -6.9035287, ' yes': -9.118925, ' The': -9.636671}
{' Yes': -0.004112794, 'Yes': -5.970272, ' No': -6.9935136, '\n': -7.9486527, ' yes': -8.910475}
{' Yes': -0.021735908, ' No': -3.964658, 'Yes': -6.2462325, '\n': -8.327858, ' yes': -9.048877}
{' Yes': -0.0021369795, 'Yes': -6.773447, ' No': -7.31513, ' yes': -8.7201805, '\n': -9.586561}
{' Yes': -0.15601423, ' No': -1.9452485, 'Yes': -7.2861576, 'No': -8.235512, ' The': -8.325221}
{' Yes': -0.0011736015, 'Yes': -6.915207, ' yes': -9.461208, ' No': -9.894243, ' ': -10.81436}
{' Yes': -0.0026725063, 'Yes': -6.1519775, ' yes': -8.395201, ' No': -8.494949, '\n': -10.050209}
{' Yes': -0.00219104, 'Yes': -6.402673, ' No': -8.363822, ' yes': -8.730342, '\n': -9.407197}
{' Yes': -0.0075873956, ' No': -5.1470623, 'Yes': -6.687366, ' yes': -8.172974, '\n': -9.37302}
{' Yes': -0.0036570763, ' No': -6.3087487, 'Yes': -6.45945, ' yes': -9.08584, '\n': -9.78836}
{' Yes': -0.11167513, ' No': -2.2687604, 'Yes': -6.415729, 'No': -8.131255, ' yes': -9.412788}
{' Yes': -0.0011214463, 'Yes': -7.2686534, ' No': -8.607643, ' yes': -8.688586, ' The': -10.289168}
{' Yes': -0.16017559, ' No': -1.9261878, 'Yes': -6.605064, 'No': -7.8977427, ' yes': -8.239256}
{' No': -0.48189536, ' Yes': -0.97793573, '\n': -5.8030543, 'No': -6.6244297, 'Yes': -7.3618045}
{' No': -0.12943089, ' Yes': -2.1320152, 'No': -6.2536354, ' The': -8.108857, 'Yes': -8.382326}
{' Yes': -0.0032427022, ' No': -6.2536087, 'Yes': -7.0098243, ' yes': -8.397167, ' The': -9.49341}
{' No': -0.052607413, ' Yes': -3.0173023, 'No': -6.304677, ' The': -8.867993, '\n': -8.9736595}
{' Yes': -0.010411532, ' No': -4.823369, 'Yes': -6.360402, '\n': -8.33744, ' yes': -8.725179}
{' Yes': -0.06694407, ' No': -2.8059976, 'Yes': -6.0506835, '\n': -7.169252, ' The': -7.859459}
{' No': -0.011370952, 'No': -4.9557447, ' Yes': -5.6432867, ' The': -8.298121, '\n': -8.657653}
{' Yes': -0.15052724, ' No': -1.9938632, 'Yes': -6.1085577, 'No': -7.513906, ' yes': -8.05123}
{' Yes': -0.013866185, ' No': -4.409662, 'Yes': -6.861854, '\n': -8.58958, ' yes': -8.612807}
{' Yes': -0.003654084, 'Yes': -6.2418795, ' No': -6.538018, ' yes': -8.991267, '\n': -9.495881}
{' Yes': -0.08920005, ' No': -2.4913912, 'Yes': -6.3703136, 'No': -8.378892, ' The': -8.621706}
{' Yes': -0.3239488, ' No': -1.2989969, 'Yes': -6.336022, 'No': -6.9860654, ' The': -7.6989803}
{' Yes': -0.0018766994, 'Yes': -6.5428886, ' yes': -8.259421, '\n': -9.384941, ' No': -10.217939}
{' Yes': -0.0016055007, 'Yes': -7.082486, ' No': -7.548136, ' yes': -8.761243, ' The': -10.4924}
{' Yes': -0.0011548041, ' No': -7.594984, 'Yes': -7.883813, ' The': -8.743935, ' yes': -9.422702}
{' Yes': -0.00050910533, 'Yes': -7.989849, ' yes': -9.214415, ' The': -10.488479, ' YES': -11.119213}
{' Yes': -0.0004909753, 'Yes': -8.056286, ' No': -9.354624, ' yes': -9.800634, ' YES': -11.36702}
{' Yes': -0.00031071954, 'Yes': -8.298521, ' yes': -10.43258, ' No': -11.0398, ' YES': -12.135212}
{' Yes': -0.49340847, ' No': -0.94854367, ' The': -6.6098843, 'Yes': -8.374697, 'No': -8.529184}
{' No': -0.45482305, ' Yes': -1.0133519, ' The': -6.766318, 'No': -7.4541154, 'Yes': -8.358429}
{' Yes': -0.002175926, ' No': -6.7405386, 'Yes': -7.29482, ' The': -8.7993555, ' yes': -9.014976}
{' No': -0.55141705, ' Yes': -0.86240834, 'No': -7.352917, 'Yes': -7.945399, ' The': -8.065416}
{' Yes': -0.00079420075, 'Yes': -7.5076637, ' No': -8.884244, ' yes': -9.462584, ' ': -11.521875}
{' Yes': -0.0012793507, ' No': -7.0633388, 'Yes': -7.9847536, ' yes': -9.909947, ' The': -11.396485}
{' No': -0.04146007, ' Yes': -3.2615242, 'No': -6.501975, ' The': -7.5670733, ' ': -9.223357}
{' Yes': -0.011960305, ' No': -4.507533, 'Yes': -7.2547636, ' yes': -9.697785, ' The': -9.980561}
{' Yes': -0.004064975, ' No': -5.681511, 'Yes': -7.8108177, ' The': -8.794743, ' yes': -9.590101}
{' Yes': -0.5575642, ' No': -0.8528237, ' The': -7.7142353, 'No': -8.012997, 'Yes': -8.111414}
{' Yes': -0.0055212933, ' No': -5.3328395, 'Yes': -7.855069, ' The': -8.875287, ' yes': -9.369437}
{' Yes': -0.0006344049, 'Yes': -7.901084, ' No': -8.718007, ' yes': -10.210155, ' The': -10.277919}
{' Yes': -0.028593974, ' No': -3.5986753, 'Yes': -7.3681664, ' The': -9.8691225, ' yes': -9.88736}
{' Yes': -0.0012883609, ' No': -7.179398, 'Yes': -7.7275667, ' yes': -10.062474, ' The': -11.237877}
{' Yes': -0.0033365313, ' No': -5.9788823, 'Yes': -7.3803844, ' The': -9.710953, ' yes': -9.927479}
{' No': -0.013652623, ' Yes': -4.3867393, 'No': -6.9147887, ' ': -9.616233, ' The': -10.380351}
{' Yes': -0.0009624952, 'Yes': -7.649125, ' No': -8.47391, ' The': -8.7998, ' yes': -9.650495}
{' Yes': -0.24156916, ' No': -1.5496919, ' The': -7.259297, 'Yes': -7.3957934, 'No': -8.050778}
{' Yes': -0.0006931559, 'Yes': -7.4111676, ' yes': -9.684755, ' YES': -11.387321, ' ': -11.664087}
{' Yes': -0.00065134565, 'Yes': -7.458451, ' yes': -9.929044, ' YES': -11.395652, ' ': -11.684125}
{' Yes': -0.0034072837, ' No': -5.973025, 'Yes': -7.4785466, ' The': -8.457184, ' yes': -9.892611}
{' Yes': -0.23203015, ' No': -1.5853988, ' The': -6.653964, 'Yes': -7.643119, 'No': -8.521716}
{' Yes': -0.010663862, ' No': -4.660881, 'Yes': -7.083824, ' The': -8.752875, ' yes': -9.71616}
{' Yes': -0.0006994787, 'Yes': -7.360427, ' yes': -10.2556095, ' ': -11.625673, '\n': -11.926141}
{' No': -0.16545916, ' Yes': -1.8894601, 'No': -7.252611, ' The': -8.406633, ' ': -8.964546}
{' Yes': -0.15915808, ' No': -1.9220383, 'Yes': -7.6382375, 'No': -9.214204, ' The': -9.441871}
{' No': -0.12643225, ' Yes': -2.1404874, 'No': -7.148681, ' ': -8.867755, ' The': -9.234347}
{' No': -0.16526164, ' Yes': -1.8882326, 'No': -7.365163, ' ': -9.255293, 'Yes': -9.360887}
{' Yes': -0.00076294556, 'Yes': -7.649889, ' No': -8.87937, ' yes': -9.748037, ' The': -10.057233}
{' Yes': -0.03766098, ' No': -3.3130937, 'Yes': -8.075333, ' The': -8.917887, ' yes': -10.1279335}
{' Yes': -0.0020951063, ' No': -6.8079743, 'Yes': -7.106314, ' The': -9.297606, ' yes': -9.853273}
{' Yes': -0.058728985, ' No': -2.8925207, 'Yes': -6.6267557, ' The': -9.208749, ' yes': -9.72733}
{' No': -0.5887419, ' Yes': -0.81527007, ' The': -6.7813516, 'No': -7.305207, 'Yes': -7.8755894}
{' Yes': -0.062786855, ' No': -2.839459, ' Ending': -6.9914536, 'Yes': -7.0979214, ' yes': -8.272281}
{' Yes': -0.000751311, 'Yes': -7.6710176, ' No': -8.85122, ' yes': -9.520697, ' The': -10.306756}
{' Yes': -0.0010787218, 'Yes': -7.2610517, ' No': -8.338689, ' yes': -9.542065, ' The': -10.794387}
{' Yes': -0.00038674276, 'Yes': -8.044038, ' yes': -9.980241, ' YES': -11.767436, ' ': -12.000252}
{' Yes': -0.0005138765, 'Yes': -7.744733, ' yes': -10.17958, ' The': -11.2567625, ' ': -11.481321}
{' Yes': -0.0018166268, ' No': -6.6570444, 'Yes': -7.9121003, ' yes': -9.539363, ' The': -9.778954}
{' Yes': -0.0006963783, 'Yes': -8.108547, ' No': -8.203964, ' yes': -9.610125, ' The': -10.528212}
{' Yes': -0.0005460206, 'Yes': -7.715407, ' yes': -9.764995, ' The': -11.178572, ' ': -11.348648}
{' Yes': -0.0005519829, 'Yes': -8.248196, ' No': -8.82897, ' yes': -9.6346, ' The': -9.935811}
{' Yes': -0.00041023534, 'Yes': -8.054012, ' yes': -10.103696, ' No': -10.759295, ' The': -11.34989}
{' Yes': -0.000370047, 'Yes': -8.1410475, ' The': -10.359722, ' yes': -10.417047, ' YES': -11.934034}
{' Yes': -0.0007066368, 'Yes': -7.76484, ' No': -8.586171, ' yes': -10.39229, ' The': -10.410663}
{' Yes': -0.011840635, ' No': -4.5150433, 'Yes': -7.8209143, ' The': -8.167885, ' yes': -9.349106}
{' Yes': -0.25655204, ' No': -1.4959052, ' The': -6.634897, 'Yes': -7.6190815, 'No': -8.707722}
{' Yes': -0.008244035, ' No': -4.9288125, 'Yes': -7.2680817, ' yes': -8.862192, ' The': -9.218056}
{' Yes': -0.00043665178, 'Yes': -8.037157, ' yes': -9.662213, ' No': -10.844537, ' The': -11.443117}
{' Yes': -0.00052747375, 'Yes': -8.157168, ' No': -8.710998, ' yes': -10.061704, ' The': -10.888303}
{' Yes': -0.16290347, ' No': -1.9101188, 'Yes': -6.7971287, ' The': -8.0281105, 'No': -8.246941}
{' Yes': -0.0011499099, ' No': -7.258346, 'Yes': -8.101481, ' The': -9.629264, ' yes': -9.8259325}
{' Yes': -0.00052675663, 'Yes': -7.780859, ' yes': -9.828972, ' No': -10.673061, ' The': -11.262984}
{' Yes': -0.00056927843, 'Yes': -8.17155, ' No': -8.41515, ' yes': -10.063763, ' The': -11.4541}
{' Yes': -0.00043295536, 'Yes': -7.8934665, ' yes': -10.510204, ' The': -11.290821, ' ': -12.01535}
{' Yes': -0.0007936066, 'Yes': -7.8605456, ' No': -8.130486, ' yes': -9.925537, ' The': -10.000671}
{' Yes': -0.0051887096, ' No': -5.4726872, 'Yes': -7.1693444, ' The': -9.145454, ' yes': -9.744238}
{' No': -0.34645912, ' Yes': -1.2345645, 'No': -7.2859654, ' The': -7.4460607, 'Yes': -8.357475}
{' No': -0.015940234, ' Yes': -4.2544274, 'No': -6.7783623, ' The': -8.754747, ' ': -8.797139}
{' Yes': -0.0030571623, ' No': -6.199374, 'Yes': -7.0268407, ' yes': -9.609231, ' The': -10.713811}
{' Yes': -0.0005659378, 'Yes': -7.723733, ' yes': -9.373668, ' The': -11.090848, ' ': -11.651418}
{' Yes': -0.00055186276, 'Yes': -8.155222, ' yes': -9.028057, ' No': -9.508501, ' The': -10.222891}
{' Yes': -0.003134891, ' No': -6.031047, 'Yes': -7.693078, ' The': -8.671714, ' yes': -9.74372}
{' Yes': -0.11683521, ' No': -2.2138565, 'Yes': -7.608456, ' The': -8.188103, 'No': -9.270775}
{' Yes': -0.042940628, ' No': -3.184353, 'Yes': -7.831352, ' The': -9.58666, ' yes': -9.832821}
{' Yes': -0.12810099, ' No': -2.1329417, ' The': -7.0457983, 'Yes': -7.4549136, 'No': -9.217913}
{' Yes': -0.002410472, ' No': -6.3763537, 'Yes': -7.5937433, ' yes': -9.431392, ' ': -10.018117}
{' Yes': -0.0011843424, 'Yes': -7.3595095, ' No': -7.862312, ' yes': -9.379928, ' ': -10.424825}
{' Yes': -0.004198983, ' No': -5.7263823, 'Yes': -7.350409, ' yes': -9.071658, ' The': -9.330398}
{' Yes': -0.014474061, ' No': -4.3159328, 'Yes': -7.268895, ' The': -8.711629, ' yes': -9.385251}
{' Yes': -0.0019822232, ' No': -6.6700344, 'Yes': -7.4337306, ' The': -10.06937, ' yes': -10.127653}
{' Yes': -0.0006969734, 'Yes': -7.4168115, ' No': -10.140198, ' yes': -10.453003, ' ': -11.48113}
{' Yes': -0.6478806, ' No': -0.74338144, ' The': -7.5384383, 'No': -8.360181, 'Yes': -8.387326}
{' No': -0.03192853, ' Yes': -3.4916852, 'No': -7.560818, ' The': -8.009692, ' Not': -10.322932}
{' Yes': -0.0010503792, 'Yes': -7.3229346, ' No': -8.927779, ' yes': -8.935237, ' The': -9.968367}
{' Yes': -0.00069267815, 'Yes': -7.8781695, ' No': -8.2797165, ' yes': -10.390764, ' The': -11.3328905}
{' Yes': -0.012577349, ' No': -4.4405575, 'Yes': -7.6172233, ' yes': -9.495375, ' ': -9.815397}
{' Yes': -0.008238324, ' No': -4.9165654, 'Yes': -7.21821, ' yes': -9.8486595, ' The': -10.523975}
{' Yes': -0.0007160609, 'Yes': -7.379418, ' yes': -9.755104, ' ': -11.2826805, ' No': -11.729029}
{' Yes': -0.00077475474, 'Yes': -7.3200974, ' yes': -10.059929, ' No': -10.236107, ' The': -11.598777}
{' Yes': -0.048178434, ' No': -3.070788, 'Yes': -7.7621675, ' The': -9.186155, 'No': -10.21956}
{' Yes': -0.36795622, ' No': -1.1807538, 'Yes': -8.032265, 'No': -8.176123, ' The': -9.167465}
{' No': -0.23566267, ' Yes': -1.5668662, 'No': -7.635547, ' The': -7.816007, 'Yes': -9.017682}
{' Yes': -0.34126005, ' No': -1.2605449, ' The': -5.3570013, 'Yes': -7.6545396, 'No': -8.645157}
{' Yes': -0.034109343, ' No': -3.4263022, 'Yes': -7.3912296, ' The': -8.534131, ' yes': -9.190509}
{' Yes': -0.010551815, ' No': -4.6492257, 'Yes': -7.5304337, ' The': -8.238228, ' yes': -9.748709}
{' Yes': -0.0005872311, 'Yes': -7.6856494, ' The': -9.754144, ' yes': -10.18444, ' No': -11.325987}
{' Yes': -0.00079169736, 'Yes': -7.3494353, ' yes': -9.910162, ' No': -10.267552, ' The': -10.377516}
{' Yes': -0.00052472914, 'Yes': -7.6586566, ' yes': -10.246585, ' YES': -11.877606, ' ': -12.095004}
{' Yes': -0.011163227, ' No': -4.570222, 'Yes': -7.4859343, ' The': -9.464406, ' yes': -10.012677}
{' Yes': -0.00063368963, 'Yes': -7.449581, ' yes': -10.485025, ' ': -11.637438, '\n': -12.165683}
{' Yes': -0.055064663, ' No': -2.9361963, 'Yes': -8.234946, ' The': -8.8599825, ' yes': -10.284085}
{' Yes': -0.0007177308, 'Yes': -7.7032657, ' No': -8.547596, ' yes': -10.1453705, ' ': -11.361179}
{' Yes': -0.00045144022, 'Yes': -7.836558, ' yes': -10.456128, ' No': -11.598893, ' ': -12.036848}
{' Yes': -0.00126801, 'Yes': -7.413051, ' No': -7.583726, ' yes': -9.656647, ' The': -9.7148285}
{' Yes': -0.0010732325, 'Yes': -7.201512, ' No': -8.84224, ' yes': -9.216432, ' The': -9.831153}
{' Yes': -0.57018983, ' No': -0.8389199, ' The': -6.540323, 'No': -8.237407, 'Yes': -8.296994}
{' No': -0.51999205, ' Yes': -0.90648955, ' The': -7.4870996, 'No': -7.5824037, 'Yes': -8.351817}
{' No': -0.13889594, ' Yes': -2.0499275, 'No': -7.2460446, 'Yes': -9.360581, ' The': -9.392406}
{' No': -0.0037090625, ' Yes': -6.0078993, 'No': -6.8423204, ' The': -9.443795, ' ': -9.952586}
{' Yes': -0.00074367604, 'Yes': -7.718143, ' No': -8.88312, ' yes': -9.339897, '\n': -10.615887}
{' Yes': -0.00067567825, 'Yes': -7.91511, ' No': -8.628843, ' yes': -9.418323, ' The': -10.478518}
{' Yes': -0.001043817, 'Yes': -7.379755, ' No': -8.255227, ' yes': -9.314675, ' The': -10.634554}
{' Yes': -0.0008276665, 'Yes': -7.7291145, ' No': -8.230486, ' yes': -9.605426, ' The': -10.413857}
{' Yes': -0.0011261002, ' No': -7.3473477, 'Yes': -8.05616, ' yes': -9.395264, ' The': -9.919529}
{' Yes': -0.005187631, ' No': -5.400066, 'Yes': -7.8506784, ' yes': -8.808017, ' The': -10.038875}
{' Yes': -0.00090140215, 'Yes': -7.4156847, ' No': -8.555777, ' yes': -10.211671, ' The': -10.2917185}
{' Yes': -0.0012263537, ' No': -7.366447, 'Yes': -7.648395, ' yes': -10.13228, ' The': -10.215794}
{' Yes': -0.2992808, ' No': -1.3573977, ' The': -7.3847275, 'Yes': -8.220812, ' yes': -8.663044}
{' No': -0.009791972, ' Yes': -4.723823, 'No': -7.20201, ' The': -10.079088, ' ': -10.120067}
{' Yes': -0.010985317, ' No': -4.5718904, 'Yes': -7.8049874, ' The': -9.521279, ' yes': -10.120069}
{' Yes': -0.03484469, ' No': -3.3980818, 'Yes': -7.3015623, ' yes': -10.114242, 'No': -10.187945}
{' Yes': -0.0025901531, ' No': -6.327144, 'Yes': -7.466236, ' The': -9.452518, ' yes': -9.592685}
{' Yes': -0.07455655, ' No': -2.6454928, 'Yes': -7.6721554, ' The': -8.341324, ' yes': -9.437775}
{' Yes': -0.0066577042, ' No': -5.0951395, 'Yes': -8.1093025, ' The': -9.288738, ' yes': -9.463229}
{' Yes': -0.0227779, ' No': -3.8451061, 'Yes': -7.2405357, ' yes': -8.605924, ' The': -9.270459}
{' Yes': -0.028123533, ' No': -3.6094873, 'Yes': -7.8714595, ' The': -8.96226, ' yes': -9.56055}
{' Yes': -0.014971639, ' No': -4.244851, 'Yes': -8.173529, ' yes': -9.2370205, ' The': -9.46736}
{' Yes': -0.0013780096, ' No': -7.140885, 'Yes': -7.686314, ' yes': -10.021803, ' The': -10.046318}
{' Yes': -0.0014743459, ' No': -6.953386, 'Yes': -8.054283, ' The': -9.260662, ' yes': -9.732778}
{' Yes': -0.0009499661, 'Yes': -7.338104, ' No': -8.946754, ' yes': -9.5846, ' The': -9.637972}
{' Yes': -0.00074427295, 'Yes': -7.715323, ' No': -8.629322, ' The': -9.782394, ' yes': -10.01531}
{' Yes': -0.107985556, ' No': -2.2880964, 'Yes': -7.6337147, ' The': -9.186038, 'No': -9.246748}
{' Yes': -0.53487396, ' No': -0.88356394, ' The': -8.072653, 'No': -8.267792, 'Yes': -8.33016}
{' Yes': -0.024390943, ' No': -3.7726684, 'Yes': -7.6247835, ' The': -7.8718276, ' ': -9.515623}
{' No': -0.40578347, ' Yes': -1.1029174, 'No': -7.55444, ' The': -7.7626843, 'Yes': -8.46151}
{' No': -0.17663203, ' Yes': -1.8368475, ' The': -6.794864, 'No': -6.82175, 'Yes': -8.469441}
{' No': -0.022088422, ' Yes': -3.8659375, 'No': -7.3791356, ' The': -8.659953, ' ': -10.418605}
{' Yes': -0.16622226, ' No': -1.8826909, 'Yes': -7.614294, 'No': -8.931244, ' ': -9.241695}
{' Yes': -0.42494425, ' No': -1.0665402, ' The': -6.9534917, 'Yes': -7.714945, 'No': -7.917567}
{' Yes': -0.012668135, ' No': -4.488809, 'Yes': -6.8932414, ' The': -8.652171, ' yes': -9.401157}
{' No': -0.07759978, ' Yes': -2.6149876, 'No': -7.2869754, ' The': -7.474534, 'Yes': -9.334815}
{' Yes': -0.01718847, ' No': -4.2248564, 'Yes': -6.7741942, ' The': -6.9948263, ' yes': -8.3307905}
{' Yes': -0.45013937, ' No': -1.0201982, ' The': -6.7509446, 'Yes': -7.846652, 'No': -8.724493}
{' Yes': -0.005390643, ' No': -5.3457737, 'Yes': -7.6678004, ' yes': -9.910355, '\n': -10.210581}
{' Yes': -0.00072071474, 'Yes': -7.4817996, ' yes': -9.538324, '\n': -10.67641, ' The': -10.851263}
{' Yes': -0.03368112, ' No': -3.421025, 'Yes': -8.190217, ' yes': -9.454024, ' ': -10.465516}
{' Yes': -0.0015348166, ' No': -6.694629, 'Yes': -8.645792, ' yes': -10.134691, ' The': -10.345439}
{' Yes': -0.0007384261, 'Yes': -7.691311, ' No': -8.698626, ' yes': -9.481182, ' The': -10.903103}
{' Yes': -0.0071630534, ' No': -5.0970407, 'Yes': -7.2201715, ' yes': -8.866467, ' The': -9.488294}
{' Yes': -0.008225464, ' No': -4.9312983, 'Yes': -7.573811, ' The': -8.440236, ' yes': -8.725438}
{' Yes': -0.012310355, ' No': -4.5172024, 'Yes': -7.264463, ' yes': -8.113092, ' The': -8.4940405}
{' Yes': -0.005164864, ' No': -5.400207, 'Yes': -7.503959, ' yes': -10.193485, ' ': -10.913639}
{' Yes': -0.002542587, ' No': -6.284336, 'Yes': -7.4794483, ' yes': -10.374874, ' ': -10.456923}
{' Yes': -0.0012335156, ' No': -7.501235, 'Yes': -7.510667, ' yes': -9.414204, ' ': -10.709388}
{' Yes': -0.0012157318, ' No': -7.500315, 'Yes': -7.582152, ' yes': -9.615309, ' ': -10.305073}
{' Yes': -0.0011755116, ' No': -7.3509603, 'Yes': -7.698939, ' yes': -10.099252, ' The': -10.87291}
{' Yes': -0.003157255, ' No': -5.9633946, 'Yes': -7.571028, ' yes': -10.052106, ' The': -11.874663}
{' Yes': -0.23525144, ' No': -1.5677766, ' The': -7.508187, 'Yes': -8.144217, 'No': -9.308221}
{' No': -0.021137912, ' Yes': -3.9027522, 'No': -7.648722, ' The': -8.865334, ' ': -9.773594}
{' Yes': -0.25724253, ' No': -1.488274, ' The': -7.874174, 'Yes': -7.9839997, 'No': -9.072798}
{' Yes': -0.108691975, ' No': -2.2816598, 'Yes': -7.747485, ' The': -8.524888, ' yes': -9.243394}
{' Yes': -0.000503143, 'Yes': -7.9320884, ' No': -9.662265, ' yes': -10.378221, ' The': -10.386277}
{' Yes': -0.00068373187, 'Yes': -8.088945, ' No': -8.179667, ' yes': -10.058722, ' The': -10.135398}
{' Yes': -0.0003960448, 'Yes': -8.064504, ' No': -10.195657, ' yes': -10.481671, ' ': -12.177858}
{' Yes': -0.0005418436, 'Yes': -8.005677, ' No': -9.430457, ' The': -9.624092, ' yes': -10.09574}
{' No': -0.024510415, ' Yes': -3.7937744, 'No': -6.680777, ' The': -8.128368, ' ': -9.760761}
{' No': -0.20838912, ' Yes': -1.6783923, 'No': -7.3880663, ' The': -7.9910216, ' ': -8.685673}
{' Yes': -0.11457102, ' No': -2.2326474, 'Yes': -7.6165886, ' The': -8.263306, 'No': -9.321016}
{' No': -0.014175306, ' Yes': -4.3691287, 'No': -6.9670024, ' The': -7.990373, ' ': -9.856142}
{' Yes': -0.00071558316, 'Yes': -7.401886, ' yes': -10.132484, ' No': -10.252945, ' ': -11.152066}
{' Yes': -0.00038745708, 'Yes': -8.180002, ' yes': -9.951126, ' The': -10.554905, ' YES': -10.877718}
{' Yes': -0.28687385, ' No': -1.3942174, ' The': -7.5192075, 'Yes': -7.72658, 'No': -8.535459}
{' Yes': -0.0010942968, 'Yes': -7.1745887, ' No': -8.45185, ' The': -9.908479, ' yes': -10.2359705}
{' Yes': -0.026486512, ' No': -3.682767, 'Yes': -7.263585, ' The': -9.319343, ' yes': -9.408641}
{' Yes': -0.002373966, ' No': -6.776709, 'Yes': -6.8633337, ' The': -9.469441, ' yes': -9.835464}
{' Yes': -0.009878469, ' No': -4.6606045, 'Yes': -8.313908, ' The': -9.887901, ' yes': -10.146846}
{' Yes': -0.004994903, ' No': -5.4614577, 'Yes': -7.347055, ' yes': -9.9428835, ' The': -11.079777}
{' Yes': -0.0051144185, ' No': -5.3819647, 'Yes': -7.8942947, ' The': -9.672617, ' yes': -10.514423}
{' Yes': -0.0017334473, ' No': -6.8176856, 'Yes': -7.6374106, ' Circus': -9.647588, ' The': -10.198691}
{' Yes': -0.0015632352, ' No': -7.091227, 'Yes': -7.4111714, ' yes': -9.754549, ' ': -10.571719}
{' Yes': -0.023286762, ' No': -3.8057802, 'Yes': -7.408382, ' The': -9.827242, ' yes': -10.030704}
{' Yes': -0.001609919, ' No': -6.8263016, 'Yes': -7.8388267, ' yes': -9.735401, ' ': -10.533155}
{' Yes': -0.35925677, ' No': -1.2019253, ' The': -7.530021, 'Yes': -8.387794, 'No': -8.6646805}
{' Yes': -0.0007683128, 'Yes': -7.8508945, ' No': -8.139155, ' yes': -10.179769, ' The': -10.941864}
{' Yes': -0.00064299355, 'Yes': -7.5085444, ' yes': -10.048829, ' No': -10.931196, ' The': -11.286921}
{' Yes': -0.00046968853, 'Yes': -7.912373, ' yes': -10.0311775, ' No': -10.383194, ' The': -11.259372}
{' Yes': -0.001768917, ' No': -6.769475, 'Yes': -7.6671777, ' The': -9.674589, ' yes': -9.721204}
{' Yes': -0.0073458105, ' No': -5.0140576, 'Yes': -7.503851, ' The': -9.712879, ' yes': -10.311106}
{' Yes': -0.09047876, ' No': -2.4577749, 'Yes': -7.3440666, 'No': -9.396324, ' The': -9.575659}
{' Yes': -0.00084860687, 'Yes': -7.7834926, ' No': -8.602574, ' yes': -8.825795, ' The': -9.786298}
{' Yes': -0.3538345, ' No': -1.2141747, 'Yes': -7.8166065, ' The': -8.249231, 'No': -8.503277}
{' Yes': -0.3815397, ' No': -1.1523204, ' The': -7.645161, 'Yes': -8.037946, 'No': -8.675297}
{' No': -0.07081227, ' Yes': -2.694374, 'No': -7.554717, ' The': -8.907888, 'Yes': -10.090793}
{' Yes': -0.0010564062, ' No': -7.455444, 'Yes': -8.006004, ' The': -9.812586, ' yes': -9.856641}
{' Yes': -0.49473754, ' No': -0.94354993, ' The': -7.902965, 'Yes': -8.261176, 'No': -8.480538}
{' Yes': -0.0017092676, ' No': -6.9103847, 'Yes': -7.469562, ' yes': -9.779378, ' The': -10.45493}
{' Yes': -0.0045073484, ' No': -5.6200523, 'Yes': -7.414123, ' The': -9.056242, ' yes': -9.415739}
{' No': -0.01220802, ' Yes': -4.864093, 'No': -5.624835, ' The': -7.8627057, ' ': -8.913848}
{' Yes': -0.011150751, ' No': -4.61908, 'Yes': -6.932474, ' yes': -9.200428, ' The': -9.251961}
{' Yes': -0.003700925, ' No': -5.7606206, 'Yes': -7.874581, ' The': -9.642155, ' yes': -9.674862}
{' Yes': -0.0022474886, ' No': -6.4413457, 'Yes': -7.4918394, ' yes': -9.834643, ' The': -11.212711}
{' Yes': -0.17731623, ' No': -1.8242029, 'Yes': -7.32442, ' The': -8.75027, 'No': -8.892699}
{' Yes': -0.4377622, ' No': -1.0421476, 'Yes': -7.4240103, ' The': -7.601439, 'No': -7.8481755}
{' Yes': -0.00066398835, 'Yes': -7.8875885, ' No': -9.014097, ' yes': -9.30426, ' The': -10.473352}
