{' Yes': -0.04511578, ' Generally': -3.6469321, ' No': -4.4161234, 'Yes': -5.597255, ' Typically': -7.983192}
{' Yes': -0.06523936, ' Generally': -3.1417394, 'Yes': -5.432297, ' It': -5.451636, ' In': -5.771393}
{' Yes': -0.062365964, ' Generally': -3.4240086, ' It': -4.6484976, 'Yes': -5.1631007, ' In': -5.9899473}
{' Yes': -0.050832603, ' Generally': -4.0410304, 'Yes': -4.1467795, ' It': -4.7065578, ' No': -6.163305}
{' Yes': -0.023893852, 'Yes': -4.3965955, ' Generally': -4.986344, ' It': -6.034083, ' Typically': -7.998897}
{' Yes': -0.032499205, 'Yes': -4.2113857, ' Generally': -4.4439106, ' No': -6.5810127, ' It': -7.264192}
{' Yes': -0.025071558, 'Yes': -4.504047, ' Generally': -4.608196, ' It': -7.10225, ' In': -7.5511975}
{' Yes': -0.026511056, 'Yes': -4.05506, ' Generally': -5.9392934, ' It': -6.1039643, ' No': -6.949494}
{' Yes': -0.023809921, 'Yes': -4.170065, ' It': -5.9796433, ' Generally': -6.0648255, '\n': -7.1304193}
{' Yes': -0.03656824, 'Yes': -4.014321, ' No': -5.1121755, ' Generally': -5.428887, ' It': -6.123909}
{' Yes': -0.031165715, 'Yes': -4.131265, ' Generally': -5.4714065, ' It': -5.654897, ' No': -6.521504}
{' Yes': -0.019870384, ' Generally': -4.5749125, 'Yes': -5.3438144, ' It': -6.4714293, ' A': -6.9347644}
{' Yes': -0.01600425, ' Generally': -4.74991, 'Yes': -5.306413, ' It': -7.2562895, ' Typically': -8.290631}
{' Yes': -0.045462593, ' Generally': -3.5485334, 'Yes': -4.9885926, ' Frog': -6.12003, ' On': -6.232178}
{' Yes': -0.05401121, ' Generally': -3.3863358, 'Yes': -5.096638, ' It': -5.798403, ' Frog': -5.9907136}
{' Yes': -0.15436001, ' No': -3.1085033, 'Yes': -3.4447615, ' It': -4.2566395, ' Generally': -4.3797426}
{' Yes': -0.054499023, 'Yes': -3.4407885, ' Generally': -4.835982, '\n': -5.796955, ' It': -6.0466213}
{' Yes': -0.058805414, 'Yes': -3.2542703, ' Generally': -5.520721, ' No': -5.753673, '\n': -6.1356473}
{' Yes': -0.05539151, 'Yes': -3.4177036, ' Generally': -5.339484, '\n': -5.6866226, ' It': -6.0406013}
{' Yes': -0.03543903, ' Generally': -4.219786, 'Yes': -4.504889, ' It': -6.3106117, ' A': -6.620587}
{' Yes': -0.02223443, 'Yes': -4.3478875, ' Generally': -5.233441, ' yes': -7.155946, ' It': -7.580547}
{' Yes': -0.029825253, 'Yes': -4.094866, ' Generally': -5.1219687, ' Frog': -6.4187346, ' No': -6.581218}
{' Yes': -0.031759504, 'Yes': -4.083603, ' Generally': -4.981442, ' yes': -6.373925, ' Frog': -6.7392716}
{' Yes': -0.0049535115, 'Yes': -5.7007346, ' yes': -7.353498, '\n': -7.954199, ' ': -8.114152}
{' Yes': -0.004360426, 'Yes': -5.781395, ' yes': -7.6651134, ' ': -8.245285, '\n': -8.48542}
{' Yes': -0.0053534308, 'Yes': -5.6927156, '\n': -7.4686975, ' yes': -7.5595446, ' ': -8.02918}
{' Yes': -0.006174557, 'Yes': -5.9521346, ' Generally': -6.642275, ' yes': -7.294857, ' ': -7.515665}
{' Yes': -0.043063458, 'Yes': -3.9264765, '\n': -5.4047785, ' No': -5.519561, ' Generally': -5.5666056}
{' Yes': -0.028739834, 'Yes': -4.390621, ' It': -5.387853, ' Generally': -5.762397, '\n': -5.984512}
{' Yes': -0.01996244, 'Yes': -4.475565, ' Generally': -5.8610034, ' Frog': -6.9551787, ' ': -6.962177}
{' Yes': -0.023407076, 'Yes': -4.5921116, ' Generally': -5.3599453, ' Frog': -6.5758924, ' ': -6.7197022}
{' Yes': -0.08002004, 'Yes': -3.4675188, '\n': -3.4832296, ' ': -4.7859545, ' A': -5.6367826}
{' Yes': -0.06544107, 'Yes': -3.506178, '\n': -3.7670097, ' ': -5.1327186, ' A': -6.326696}
{' Yes': -0.15632047, '\n': -2.6087224, 'Yes': -3.2317865, ' ': -4.3402705, ' No': -4.869001}
{' Yes': -0.117682, '\n': -2.773184, 'Yes': -3.560875, ' ': -4.265946, ' yes': -6.509049}
{' Yes': -0.0032305636, 'Yes': -6.0079412, ' yes': -7.947683, ' ': -8.687542, ' A': -9.502143}
{' Yes': -0.0034346746, 'Yes': -5.95453, ' yes': -7.93258, ' ': -8.607384, ' It': -9.541088}
{' Yes': -0.0061804354, 'Yes': -5.4143853, ' yes': -7.5799127, ' ': -8.269854, ' Generally': -8.330942}
{' Yes': -0.0040552183, 'Yes': -5.9656677, ' Generally': -7.8973846, ' yes': -7.9221973, ' ': -8.462886}
{' Yes': -0.28400773, 'Yes': -2.2974184, ' No': -2.677921, 'No': -3.61511, '\n': -3.9646735}
{' Yes': -0.14021017, 'Yes': -2.386878, '\n': -4.3191023, ' ': -4.984934, ' No': -5.2473536}
{' Yes': -0.28437474, 'Yes': -2.346558, ' No': -2.7417111, '\n': -3.4620423, 'No': -3.7022974}
{' Yes': -0.10374368, 'Yes': -2.5284433, '\n': -4.9034753, ' ': -5.4496794, ' yes': -5.69434}
{' Yes': -0.02175924, 'Yes': -4.54204, ' yes': -5.0287476, ' A': -6.791352, ' ': -6.9486504}
{' Yes': -0.021299982, 'Yes': -4.713881, ' yes': -5.079436, ' ': -6.4913664, ' Generally': -6.9687805}
{' Yes': -0.032426305, 'Yes': -4.1351805, ' yes': -4.7191653, ' ': -6.4226255, '\n': -6.7562647}
{' Yes': -0.033372626, 'Yes': -4.338304, ' yes': -4.518188, ' ': -6.203257, ' Generally': -6.4947753}
{' Yes': -0.075663894, 'Yes': -3.2592406, ' It': -4.858947, ' yes': -4.973419, ' Generally': -5.072752}
{' Yes': -0.057802632, 'Yes': -3.4619489, ' yes': -4.6809278, ' It': -5.4226665, ' Generally': -5.5275426}
{' Yes': -0.09773081, 'Yes': -3.1100903, ' yes': -4.130583, ' Generally': -4.7672596, ' Frog': -5.2386236}
{' Yes': -0.12563363, 'Yes': -3.2965918, ' yes': -4.139384, ' It': -4.442633, ' Generally': -4.466824}
{' Yes': -0.05767798, 'Yes': -3.210565, ' No': -4.8052173, ' yes': -5.718305, ' Generally': -6.4386206}
{' Yes': -0.041234013, 'Yes': -3.3844593, ' No': -6.1389585, ' yes': -6.2744064, ' Generally': -7.0545945}
{' Yes': -0.057417553, 'Yes': -3.190438, ' Generally': -5.1180825, ' No': -5.382109, 'No': -6.702648}
{' Yes': -0.057833266, 'Yes': -3.4331858, ' Generally': -4.785933, ' No': -5.0378976, ' It': -5.6289783}
{' Yes': -0.054372013, 'Yes': -3.281085, ' No': -4.648368, 'No': -6.4338846, ' Generally': -6.7147145}
{' Yes': -0.037001356, 'Yes': -3.4008737, ' yes': -7.1489277, ' Generally': -7.3403473, ' No': -7.694262}
{' Yes': -0.059341118, 'Yes': -3.0283542, ' No': -5.626178, ' Generally': -6.252969, ' yes': -7.0454655}
{' Yes': -0.07072667, 'Yes': -2.943268, ' No': -4.953972, ' Generally': -5.990514, 'No': -6.406963}
{' Yes': -0.015647808, 'Yes': -4.50506, ' No': -6.011188, ' Generally': -7.181213, ' yes': -7.5500956}
{' Yes': -0.012690593, 'Yes': -4.5022855, ' yes': -7.4302473, ' Generally': -7.7921, ' No': -8.788058}
{' Yes': -0.032516383, 'Yes': -4.0336623, ' No': -5.0747256, ' Generally': -5.261492, 'No': -7.47488}
{' Yes': -0.030841898, 'Yes': -3.9236238, ' Generally': -5.4107666, ' No': -5.9458346, ' yes': -7.388698}
{' Yes': -0.78176385, ' No': -1.5279664, 'No': -1.8059146, 'Yes': -2.5575283, ' Frog': -3.821942}
{' Yes': -0.18489379, 'Yes': -2.0866575, ' Generally': -4.5939016, ' No': -5.034089, ' FR': -5.213933}
{' Yes': -0.23593739, 'Yes': -1.862488, ' Frog': -4.24465, ' Generally': -4.767211, 'No': -4.913723}
{' Yes': -0.18784344, 'Yes': -2.2080615, ' Frog': -3.974171, ' Generally': -4.480017, ' It': -5.034006}
{' Yes': -0.051381316, 'Yes': -3.4143708, ' yes': -4.9482355, ' No': -5.245099, ' Frog': -6.727946}
{' Yes': -0.041475043, 'Yes': -3.5137823, ' yes': -4.840873, ' FR': -7.415872, ' A': -7.8053107}
{' Yes': -0.041468147, 'Yes': -3.399834, ' yes': -5.6365, ' Generally': -6.446442, ' Frog': -7.618875}
{' Yes': -0.05286578, 'Yes': -3.1892984, ' yes': -5.5856223, ' Generally': -5.998243, ' Frog': -6.798975}
{' Yes': -0.044862214, ' yes': -3.2626677, 'Yes': -5.5688486, ' ': -7.1915836, 'yes': -7.910002}
{' Yes': -0.08444567, ' yes': -2.6399171, 'Yes': -5.0295367, ' ': -6.9391704, 'yes': -6.9477186}
{' Yes': -0.05484735, ' yes': -3.0500236, 'Yes': -5.458854, ' ': -7.6504083, 'yes': -7.671977}
{' Yes': -0.06552844, ' yes': -2.8860085, 'Yes': -5.1878905, 'yes': -7.388034, '\n': -7.4739203}
{' Yes': -0.034790687, 'Yes': -3.9807746, ' yes': -4.9423547, ' Generally': -6.184176, '\n': -6.363667}
{' Yes': -0.037671316, 'Yes': -3.907815, ' yes': -4.795432, '\n': -6.155199, ' Generally': -6.276186}
{' Yes': -0.031957515, 'Yes': -3.9769475, ' yes': -5.0932117, ' Generally': -6.1034293, '\n': -6.5788875}
{' Yes': -0.03385331, 'Yes': -3.9072149, ' yes': -4.9402237, '\n': -6.318982, ' Generally': -6.4467044}
{' Yes': -0.09666278, 'Yes': -2.977915, '\n': -3.805775, ' yes': -4.431278, ' ': -5.7575574}
{' Yes': -0.086645775, 'Yes': -3.046988, '\n': -3.8793244, ' yes': -4.778626, ' ': -5.629647}
{' Yes': -0.074164905, 'Yes': -3.1564822, '\n': -4.3208227, ' yes': -4.7545466, ' ': -6.1141768}
{' Yes': -0.12350749, '\n': -2.9851084, 'Yes': -3.0596168, ' yes': -4.8657866, ' ': -5.073308}
{' Yes': -0.011328993, 'Yes': -5.008271, ' yes': -5.9002314, ' Generally': -7.631165, ' ': -8.040578}
{' Yes': -0.014404578, 'Yes': -4.787897, ' yes': -5.6608596, ' Generally': -7.398058, ' It': -7.5897574}
{' Yes': -0.014036509, 'Yes': -4.7622795, ' yes': -5.9251328, ' Generally': -6.7685475, '\n': -7.974366}
{' Yes': -0.012978698, 'Yes': -4.704074, ' yes': -6.1162324, ' Generally': -7.419375, '\n': -7.9076123}
{' Yes': -0.7406317, ' No': -1.4850737, 'No': -2.147427, 'Yes': -2.4609761, '\n': -2.8746858}
{' Yes': -0.20221163, 'Yes': -2.299967, '\n': -3.4074287, ' No': -4.153949, ' yes': -4.291316}
{' Yes': -0.24900082, 'Yes': -2.2882597, ' No': -3.3045006, '\n': -3.4584408, ' yes': -3.9683354}
{' Yes': -0.14195302, 'Yes': -2.3443973, '\n': -4.2015977, ' yes': -4.4197736, ' ': -5.942923}
{' Yes': -0.14680196, ' yes': -2.2167006, 'Yes': -4.101903, '\n': -6.2099247, 'yes': -6.2854676}
{' Yes': -0.14493383, ' yes': -2.1927624, 'Yes': -4.4014816, '\n': -5.875999, ' ': -6.04911}
{' Yes': -0.17437004, ' yes': -2.0543845, 'Yes': -4.0232716, '\n': -5.239443, 'yes': -5.667343}
{' Yes': -0.1443755, ' yes': -2.2745674, 'Yes': -4.1026864, '\n': -4.9829707, 'yes': -5.9385004}
{' Yes': -0.007952183, 'Yes': -5.642229, '\n': -6.3820643, ' yes': -7.16408, ' ': -7.2012687}
{' Yes': -0.0065959627, 'Yes': -5.6826653, '\n': -6.966473, ' yes': -7.188097, ' Generally': -7.4984345}
{' Yes': -0.01296928, '\n': -5.412175, 'Yes': -5.605033, ' ': -6.4229536, ' Generally': -6.5033484}
{' Yes': -0.011086139, 'Yes': -5.7459087, ' Generally': -6.0085692, '\n': -6.036598, ' ': -6.8938046}
{' Yes': -0.046811275, 'Yes': -4.028861, '\n': -4.540263, ' ': -5.395219, ' Generally': -5.7579236}
{' Yes': -0.041259415, 'Yes': -4.1187263, '\n': -4.3905883, ' ': -5.3913074, ' Generally': -6.044458}
{' Yes': -0.058792204, '\n': -3.6263444, 'Yes': -4.245365, ' ': -5.2248077, ' No': -5.6963115}
{' Yes': -0.043074906, 'Yes': -4.2438407, '\n': -4.352149, ' Generally': -5.4108286, ' ': -5.502578}
{' Yes': -0.05761629, '\n': -3.927213, 'Yes': -3.9480505, ' ': -4.8986883, ' A': -5.403466}
{' Yes': -0.036050156, 'Yes': -4.174966, '\n': -4.631196, ' ': -5.4569464, ' A': -6.0023313}
{' Yes': -0.042499024, 'Yes': -4.092569, '\n': -4.5617347, ' ': -5.3573356, ' Frog': -6.051011}
{' Yes': -0.0403203, 'Yes': -4.2568307, '\n': -4.6005583, ' ': -5.333398, ' Frog': -5.9733796}
{' Yes': -0.012727656, 'Yes': -5.4417534, '\n': -5.897852, ' ': -5.9575863, ' A': -7.031948}
{' Yes': -0.009382512, 'Yes': -5.5217648, '\n': -6.0713763, ' ': -6.2371883, ' yes': -7.7741714}
{' Yes': -0.028844427, '\n': -4.4615283, 'Yes': -5.139293, ' ': -5.30776, ' Generally': -5.9367933}
{' Yes': -0.016339721, 'Yes': -5.1020236, '\n': -5.439895, ' ': -5.9500513, ' Generally': -6.633487}
{' Yes': -0.3137015, ' No': -1.6208113, 'Yes': -3.746025, 'No': -4.15506, ' A': -4.548715}
{' Yes': -0.046902597, 'Yes': -3.7342596, ' No': -4.9656553, '\n': -5.0866895, ' ': -5.46762}
{' Yes': -0.04410968, 'Yes': -3.7811167, '\n': -4.860146, ' ': -5.2971478, ' No': -5.3305225}
{' Yes': -0.029102432, 'Yes': -4.216154, '\n': -5.5205703, ' ': -5.6489673, ' Frog': -6.4799056}
{' Yes': -0.026305182, 'Yes': -4.7071104, ' yes': -5.2434125, ' ': -5.482867, '\n': -5.4864855}
{' Yes': -0.02803998, 'Yes': -4.864509, ' yes': -4.9628277, '\n': -5.629751, ' ': -5.771248}
{' Yes': -0.025045158, 'Yes': -4.692674, '\n': -5.50131, ' ': -5.529054, ' yes': -5.588195}
{' Yes': -0.028990448, 'Yes': -4.657776, ' yes': -4.7643995, '\n': -5.957131, ' ': -6.012096}
{' No': -0.07277221, ' Generally': -3.4154081, 'No': -3.8930273, ' It': -5.117641, ' Yes': -5.533486}
{' Yes': -0.6422413, ' Generally': -1.6412361, ' No': -1.7445496, ' It': -2.6700904, ' A': -4.950291}
{' No': -0.28945255, ' Generally': -1.8690023, 'No': -3.6632814, ' It': -3.7481353, ' Yes': -4.4672036}
{' No': -0.49846128, ' It': -1.8560662, ' Generally': -1.9930598, ' That': -3.7535484, 'No': -3.9975955}
{' No': -0.07988645, 'No': -2.7516985, ' Generally': -4.837857, ' It': -6.571954, ' A': -6.785609}
{' No': -0.1694633, 'No': -2.8884532, ' Generally': -3.3977172, ' It': -3.46025, ' Yes': -3.8356276}
{' No': -0.14914896, 'No': -2.3885002, ' Generally': -3.7132988, ' Yes': -5.1421204, ' Frog': -5.3327804}
{' No': -0.2071745, 'No': -2.7102396, ' It': -2.8637962, ' Generally': -3.425163, ' That': -4.7705517}
{' No': -0.11003716, 'No': -2.396414, ' Generally': -5.7019787, ' It': -5.905424, '\n': -6.0734253}
{' No': -0.1582165, 'No': -2.6684322, ' Yes': -3.4340742, ' It': -3.9917428, ' Generally': -4.702696}
{' No': -0.16904241, 'No': -2.4413202, ' It': -3.6473784, ' Generally': -4.4592643, ' Yes': -4.8976226}
{' No': -0.190696, 'No': -2.6475174, ' It': -3.136083, ' Generally': -4.271661, ' That': -4.4465322}
{' No': -0.09362872, ' Generally': -3.21115, 'No': -3.537625, ' A': -4.8477864, ' On': -5.8506308}
{' No': -0.30747062, ' Generally': -2.0808282, ' Yes': -2.7524571, 'No': -3.842541, ' It': -4.047245}
{' No': -0.34781924, ' Generally': -1.8017528, ' Frog': -3.0038726, 'No': -3.3183239, ' On': -4.2359185}
{' No': -0.32773036, ' Generally': -2.338396, ' It': -2.7675707, 'No': -3.2881832, ' Frog': -3.3158}
{' No': -0.18872318, 'No': -1.8940244, ' Generally': -5.280109, '\n': -5.6594834, ' It': -5.693669}
{' No': -0.22272019, 'No': -2.0513525, ' Generally': -3.862319, ' Yes': -3.866662, ' It': -4.8569975}
{' No': -0.29747736, 'No': -1.8120552, ' It': -3.8556206, ' Frog': -3.965585, ' Generally': -4.524089}
{' No': -0.38792974, 'No': -2.064434, ' It': -3.0348146, ' Frog': -3.699331, ' Generally': -3.749913}
{' No': -0.15388884, 'No': -2.929016, ' Generally': -2.9727535, ' Yes': -4.4188385, ' A': -4.9038525}
{' Yes': -0.9015138, ' No': -1.0017469, ' Generally': -2.12726, 'No': -3.611793, ' A': -3.7765002}
{' No': -0.26583624, 'No': -2.3066573, ' Frog': -3.0217125, ' Generally': -3.2012475, ' Yes': -3.9557147}
{' No': -0.441792, ' Generally': -2.4700437, ' Frog': -2.7373185, 'No': -2.7643704, ' Yes': -3.2656672}
{' No': -0.006890002, 'No': -5.204577, ' ': -7.991963, ' A': -8.042788, '\n': -8.402776}
{' No': -0.014384383, 'No': -4.8363576, ' Yes': -6.3102026, ' A': -6.639313, ' ': -6.885339}
{' No': -0.020933747, 'No': -4.5639596, ' Generally': -5.694046, ' Yes': -6.169232, '\n': -6.1955285}
{' No': -0.033102434, 'No': -4.482075, ' Generally': -4.959166, ' It': -5.2122464, ' ': -6.012346}
{' No': -0.08821257, 'No': -2.6231875, '\n': -5.1922145, ' ': -6.0618906, ' A': -6.267509}
{' No': -0.08000035, 'No': -2.9544528, ' A': -5.0544305, ' It': -5.3248677, ' Generally': -5.3967934}
{' No': -0.071348995, 'No': -2.8528197, '\n': -5.887041, ' Generally': -5.8975353, ' ': -5.9619927}
{' No': -0.114775434, 'No': -3.0206118, ' Generally': -3.956803, ' It': -4.4964895, ' Frog': -4.7566915}
{' No': -0.18657306, 'No': -2.2844546, '\n': -2.9011726, ' ': -4.829979, ' A': -5.519354}
{' No': -0.16011809, 'No': -2.374548, '\n': -3.1809232, ' ': -4.9667907, ' A': -5.4617653}
{' No': -0.33656198, '\n': -1.9484872, 'No': -2.0958238, ' ': -4.1991606, ' Frog': -6.5361123}
{' No': -0.44176224, '\n': -1.5333948, 'No': -2.548343, ' ': -3.3786595, ' Frog': -4.6356497}
{' No': -0.013337319, 'No': -4.377635, ' ': -7.919793, ' A': -8.813151, '\n': -9.644937}
{' No': -0.011007491, 'No': -4.588621, ' ': -7.879527, ' A': -8.636142, '\n': -9.78094}
{' No': -0.021829784, 'No': -3.9621582, ' Generally': -7.3168774, ' Frog': -7.4132094, ' ': -7.569603}
{' No': -0.022026632, 'No': -4.045023, ' It': -6.484452, ' Generally': -7.134035, ' ': -7.3880444}
{' No': -0.38102043, 'No': -1.238036, '\n': -4.172175, ' ': -5.063744, ' A': -5.855657}
{' No': -0.29255125, 'No': -1.4784147, '\n': -4.2989254, ' ': -5.0717754, ' A': -5.554615}
{' No': -0.28824323, 'No': -1.5267476, '\n': -4.0320954, ' ': -4.726253, ' Frog': -5.9076986}
{' No': -0.25480852, 'No': -1.6352196, '\n': -4.204891, ' ': -4.764661, ' Frog': -5.6657705}
{' No': -0.064162314, 'No': -3.2473152, ' A': -4.394635, ' ': -5.7249823, ' Generally': -6.2450757}
{' No': -0.27656776, ' Yes': -2.0823863, ' A': -2.9835322, 'No': -3.5741103, ' Generally': -4.5356827}
{' No': -0.111991294, 'No': -2.6057258, ' Frog': -4.75681, ' ': -5.086543, '\n': -5.490609}
{' No': -0.1979943, 'No': -3.0647259, ' It': -3.6375158, ' Frog': -3.6721268, ' Generally': -3.9692228}
{' No': -0.17817275, 'No': -2.048967, ' A': -4.5074916, ' It': -4.994436, ' Generally': -5.193328}
{' No': -0.15780276, 'No': -2.4675827, ' A': -4.234112, ' It': -4.2585344, ' Generally': -4.576932}
{' No': -0.3927553, 'No': -2.087053, ' It': -2.7142112, ' Frog': -3.3210273, ' Generally': -3.9304109}
{' No': -0.28439817, 'No': -2.2008657, ' It': -3.0901148, ' Frog': -4.0110054, ' That': -4.2738132}
{' No': -0.17943422, 'No': -1.8142971, ' no': -8.202064, ' Generally': -8.48836, ' ': -8.537837}
{' No': -0.17251872, 'No': -1.8538867, ' Yes': -7.7248793, ' Generally': -8.01562, ' It': -8.195863}
{' No': -0.30301315, 'No': -1.4540523, ' Generally': -4.3795433, ' Yes': -5.163931, ' It': -5.627285}
{' No': -0.32980588, 'No': -1.8228571, ' It': -2.6714654, ' Generally': -3.9337335, ' Yes': -4.793488}
{' No': -0.21455492, 'No': -1.6640846, ' Yes': -6.5685205, ' It': -7.6513634, ' Generally': -7.861708}
{' No': -0.2521293, 'No': -1.7805278, ' Yes': -3.105889, 'Yes': -5.8007436, ' It': -6.3195157}
{' No': -0.28535086, 'No': -1.6483421, ' Yes': -3.3609924, ' It': -5.3928113, ' Generally': -5.393093}
{' No': -0.27315143, 'No': -1.7912006, ' Yes': -3.6393125, ' It': -4.21418, ' Generally': -4.860853}
{' No': -0.027310846, 'No': -3.6541703, ' A': -8.163911, ' Generally': -8.260321, ' ': -8.916077}
{' No': -0.044226613, 'No': -3.4226196, ' Yes': -4.8590093, ' Generally': -6.671122, ' A': -7.1875362}
{' No': -0.10755174, 'No': -2.6876945, ' Yes': -3.9736671, ' Generally': -4.7193813, ' Frog': -5.722223}
{' No': -0.09862182, 'No': -2.6963255, ' Generally': -4.6820207, ' It': -5.054951, ' Frog': -5.788627}
{' No': -0.6449108, 'No': -0.7684975, ' Frog': -5.5555015, ' Generally': -6.1113944, ' A': -6.5841513}
{' No': -0.6561723, 'No': -0.81733936, ' FR': -4.506539, ' It': -5.04703, ' Generally': -5.144818}
{' No': -0.66887456, 'No': -1.0462874, ' Frog': -2.755369, ' It': -3.6835191, ' Generally': -4.4556227}
{'No': -1.5423462, ' No': -1.5537982, ' It': -1.7230695, ' Frog': -1.9293932, ' That': -2.824529}
{' No': -0.17774469, 'No': -2.0838516, ' Frog': -3.7869973, ' Yes': -5.331368, ' A': -5.698221}
{' Yes': -1.0238549, ' No': -1.0890825, ' Frog': -2.3743033, ' FR': -2.4679427, 'No': -3.101173}
{' No': -0.60763586, ' Yes': -1.80625, 'No': -1.9891932, ' Frog': -2.7077734, ' Generally': -3.530844}
{' No': -0.4029157, 'No': -1.920717, ' Yes': -2.799869, ' Frog': -3.3016527, ' Generally': -3.7751024}
{' No': -0.01326979, 'No': -5.162588, ' no': -5.696379, ' ': -6.3675823, ' A': -7.088852}
{' No': -0.026485475, 'No': -4.484482, ' no': -5.2778797, ' Yes': -5.7583537, ' ': -5.836616}
{' No': -0.022631688, 'No': -4.629243, ' no': -5.3272142, ' Yes': -5.9382043, ' ': -6.3443303}
{' No': -0.03069819, 'No': -3.9855375, ' ': -5.966034, ' no': -6.0119324, ' It': -6.264683}
{' No': -0.102716886, 'No': -2.3917317, '\n': -6.0711327, ' ': -6.418751, ' Generally': -7.28227}
{' No': -0.14226523, 'No': -2.3230379, ' It': -5.083044, ' A': -5.1386256, '\n': -5.1606536}
{' No': -0.13661584, 'No': -2.256285, '\n': -5.072006, ' Generally': -5.316597, ' ': -5.3300705}
{' No': -0.20429076, 'No': -2.1445432, ' It': -3.8748136, '\n': -4.2129884, ' Generally': -4.316376}
{' No': -0.25617817, 'No': -1.8468441, '\n': -2.863762, ' ': -5.1522565, ' A': -5.984783}
{' No': -0.30561703, 'No': -1.7893301, '\n': -2.7040505, ' A': -4.7226286, ' ': -4.795489}
{' No': -0.3165801, 'No': -1.7839644, '\n': -2.469025, ' ': -4.5090866, ' It': -6.624735}
{' No': -0.5812452, '\n': -1.4735773, 'No': -1.9035298, ' ': -3.7669313, ' It': -4.2223434}
{' No': -0.024715126, 'No': -3.8104622, ' A': -7.3536196, ' ': -7.3997526, '\n': -8.150346}
{' No': -0.1865683, ' Yes': -2.0852423, 'No': -3.65346, ' A': -4.486987, ' ': -6.3807282}
{' No': -0.046339188, 'No': -3.2029133, '\n': -6.9660683, ' ': -7.2585464, ' Generally': -7.2720165}
{' No': -0.0749314, 'No': -2.9105787, ' It': -4.947097, ' Generally': -5.7858396, '\n': -6.3647485}
{' No': -0.43890798, 'No': -1.1737312, '\n': -3.4312232, ' ': -5.307891, ' no': -5.442622}
{' No': -0.44515526, 'No': -1.1425773, '\n': -3.4499676, ' ': -5.39904, ' no': -6.4923677}
{' No': -0.47691205, 'No': -1.158856, '\n': -3.0739005, ' ': -4.8435655, ' no': -5.532065}
{' No': -0.39115375, 'No': -1.287804, '\n': -3.354111, ' ': -5.031219, ' Frog': -6.384405}
{' No': -0.107711166, 'No': -2.801717, ' no': -3.9275656, ' A': -4.9131927, '\n': -5.474823}
{' No': -0.30138054, ' Yes': -2.6826308, 'No': -3.2089896, ' It': -3.2311938, ' A': -3.2616389}
{' No': -0.31606546, 'No': -2.576017, '\n': -2.9839103, ' It': -3.0618396, ' no': -3.6907833}
{' No': -0.259305, 'No': -2.758192, ' It': -2.8075705, '\n': -3.736944, ' no': -4.227408}
{' No': -0.022481289, 'No': -4.7488127, '\n': -5.329219, ' A': -5.8313, ' ': -6.220155}
{' No': -0.03085118, 'No': -4.5842967, ' A': -5.4167113, '\n': -5.446493, ' Yes': -5.4871745}
{' No': -0.059771426, '\n': -4.0964513, 'No': -4.2414746, ' Generally': -4.7825246, ' Yes': -5.0421166}
{' No': -0.05819368, 'No': -4.3572617, ' It': -4.3888593, ' Generally': -4.6424146, '\n': -4.6997724}
