{' Yes': -0.010687537, ' No': -4.721705, 'Yes': -6.4608536, ' Right': -10.454877, 'No': -10.500437}
{' Yes': -0.0009503228, 'Yes': -7.240223, ' Hello': -8.553736, ' yes': -11.108224, ' YES': -11.486201}
{' Yes': -0.0007109312, 'Yes': -7.2972326, ' yes': -10.911349, ' YES': -11.981192, ' Hello': -12.228823}
{' Yes': -0.0016185772, 'Yes': -6.567801, ' Sure': -8.943791, ' yes': -10.549155, ' YES': -10.593278}
{' Yes': -0.005411739, 'Yes': -5.6507034, ' Sure': -6.64413, ' Purs': -8.728078, ' yes': -9.221742}
{' Yes': -0.0036158564, 'Yes': -6.2734084, ' No': -6.7949924, ' yes': -7.86997, ' Actor': -9.369507}
{' Yes': -0.051616583, ' Actor': -3.7602954, ' No': -3.8252866, 'Yes': -5.902002, ' yes': -7.121315}
{' Yes': -0.0011707367, 'Yes': -6.8389735, ' yes': -10.54559, ' Sure': -10.882546, ' YES': -10.9402075}
{' Yes': -0.0014794212, 'Yes': -6.618625, ' yes': -9.932406, ' No': -10.391068, ' Sure': -10.718616}
{' Yes': -0.55670816, ' No': -0.85584915, 'Yes': -7.204453, 'No': -7.2442517, ' Nope': -7.9583573}
{' Yes': -0.37906492, ' No': -1.1643605, ' Nope': -6.552298, 'Yes': -6.9200306, 'No': -7.327988}
{' No': -0.23771286, ' Yes': -1.576189, ' False': -6.0476856, 'No': -6.6940136, ' Nope': -7.140167}
{' No': -0.01436582, ' False': -4.910764, ' Yes': -5.271909, ' Nope': -6.662193, 'No': -7.759193}
{' Yes': -0.0008302919, 'Yes': -7.3180165, ' Watch': -9.423032, ' yes': -10.473584, ' YES': -10.950162}
{' Yes': -0.002167203, 'Yes': -6.8934975, ' Watch': -7.082041, ' yes': -9.531689, ' Yeah': -10.0052}
{' Yes': -0.0035356404, 'Yes': -5.9738836, ' Sure': -7.858258, ' Spice': -8.158875, ' yes': -9.172718}
{' Yes': -0.0017906514, 'Yes': -6.7104826, ' Sure': -7.820842, ' Spice': -10.075897, ' yes': -10.403278}
{' Yes': -0.0006154986, 'Yes': -7.4684477, ' yes': -10.790063, ' YES': -11.400945, ' ': -12.179605}
{' Yes': -0.0011876241, 'Yes': -7.0692887, ' yes': -9.2562685, ' Under': -9.8264885, ' YES': -10.070489}
{' Yes': -0.0022746117, 'Yes': -6.734205, ' Crack': -7.362281, ' Cr': -8.294747, ' yes': -9.3122835}
{' Yes': -0.00060249923, 'Yes': -7.550927, ' No': -10.18176, ' yes': -10.777241, ' YES': -11.742268}
{' Yes': -0.0023359074, 'Yes': -6.4861155, ' Ar': -8.387442, ' Arg': -8.765153, ' Sure': -8.97576}
{' Yes': -0.096858054, ' Ar': -2.7797725, ' Arg': -4.1110024, ' Argument': -5.3070517, 'Yes': -5.7802672}
{' Yes': -0.00043569715, 'Yes': -7.8587313, ' yes': -10.66895, ' YES': -11.349796, ' ': -12.098348}
{' Yes': -0.00062229816, 'Yes': -7.54582, ' yes': -10.3388815, ' YES': -10.848463, ' Child': -11.380733}
{' Yes': -0.004458011, 'Yes': -6.049557, ' Early': -7.379765, ' Yeah': -8.200253, ' Yep': -8.569844}
{' Yes': -0.0044259815, 'Yes': -6.2991757, ' Early': -7.536683, ' Yeah': -7.8939385, ' Ye': -8.193486}
{' Yes': -0.002057538, 'Yes': -6.35456, ' Goose': -9.469805, ' yes': -9.877211, ' YES': -10.051257}
{' Yes': -0.0015227598, 'Yes': -6.64629, ' No': -8.986557, ' yes': -10.376781, ' Goose': -10.641515}
{' Yes': -0.056698736, ' Ocean': -2.9711676, ' No': -6.2806687, 'Yes': -6.3674326, ' yes': -9.205638}
{' No': -0.3361442, ' Ocean': -1.9555098, ' Yes': -1.9700993, 'No': -6.0537586, ' Nope': -7.001118}
{' Yes': -0.003258969, 'Yes': -6.2893534, ' No': -6.6898036, ' yes': -9.721355, ' YES': -10.976989}
{' Yes': -0.0018298241, 'Yes': -6.770428, ' No': -7.702868, ' yes': -9.359472, ' YES': -10.555822}
{' Yes': -0.0023087843, 'Yes': -6.260428, ' Gross': -8.88344, ' yes': -9.11511, ' YES': -9.779807}
{' Yes': -0.0021957597, 'Yes': -6.3218875, ' Gross': -8.6999445, ' yes': -9.3598385, ' YES': -9.724558}
{' Yes': -0.00085397495, 'Yes': -7.19358, ' Yep': -10.5385475, ' YES': -10.7035, ' yes': -10.84764}
{' Yes': -0.0007681936, 'Yes': -7.283902, ' YES': -11.0203495, ' Sure': -11.038114, ' Yep': -11.083699}
{' Yes': -0.43856514, ' Guard': -1.1046895, ' Guardian': -4.466609, 'Guard': -5.717455, 'Yes': -6.182424}
{' Yes': -0.06630377, ' Guard': -2.8916037, ' No': -5.835436, 'Yes': -6.350732, ' Guardian': -6.370306}
{' Yes': -0.0015618019, 'Yes': -6.651859, ' yes': -9.739907, ' Sweet': -9.742055, ' YES': -9.842677}
{' Yes': -0.008033532, ' Sweet': -5.3485484, 'Yes': -6.324627, ' Swe': -7.2339544, ' YES': -8.4414015}
{' Yes': -0.0013812319, 'Yes': -6.9490013, ' Grass': -8.0954895, ' yes': -10.0681, ' No': -10.073708}
{' Yes': -0.0012376334, 'Yes': -7.0426, ' Grass': -8.666691, ' No': -8.969116, ' yes': -10.32227}
{' Yes': -0.0020325705, 'Yes': -6.4581175, ' yes': -8.898405, ' Beard': -9.393934, ' YES': -9.7147665}
{' Yes': -0.0032500573, 'Yes': -6.1502314, ' Beard': -7.9579825, ' yes': -8.209436, ' Be': -8.603181}
{' Yes': -0.0188964, ' Girls': -5.0656967, 'Yes': -5.239792, ' No': -5.5104313, ' G': -6.6862636}
{' Yes': -0.027324509, ' Girls': -3.8024135, 'Yes': -6.225723, ' No': -6.9057093, ' G': -7.4833193}
{' Yes': -0.0014527993, 'Yes': -6.7653856, ' YES': -9.139267, ' Light': -9.300162, ' yes': -10.275885}
{' Yes': -0.0021090235, 'Yes': -6.785386, ' Light': -7.417817, ' YES': -8.381444, ' yes': -9.965584}
{' Yes': -0.0030038336, ' No': -6.474239, 'Yes': -6.711557, ' Spoon': -9.255045, ' yes': -10.41095}
{' Yes': -0.001585025, 'Yes': -6.934068, ' No': -7.5483546, ' yes': -10.714033, ' Yep': -11.294747}
{' Yes': -0.0014301758, 'Yes': -6.6706805, ' Lo': -9.685388, ' No': -10.306039, ' yes': -10.893279}
{' Yes': -0.0017829479, 'Yes': -6.579259, ' Lo': -8.266464, ' No': -9.895329, ' yes': -10.4219}
{' Yes': -0.0010903592, 'Yes': -6.8628435, ' yes': -10.770289, ' YES': -11.27787, ' Plant': -13.128339}
{' Yes': -0.0018694145, 'Yes': -6.3369884, ' yes': -10.269323, ' YES': -10.32019, ' Plant': -11.688297}
{' Yes': -0.0017677231, 'Yes': -6.7470374, ' No': -7.689283, ' yes': -9.85201, ' YES': -10.70525}
{' Yes': -0.0037541129, ' Seven': -6.19085, 'Yes': -6.6585755, ' yes': -9.06952, ' No': -9.397947}
{' Yes': -0.0021424724, 'Yes': -6.241675, ' yes': -10.067223, ' YES': -10.13293, ' Yeah': -10.708843}
{' Yes': -0.0009793768, 'Yes': -7.0161653, ' yes': -11.05287, ' No': -11.093144, ' Sure': -11.166242}
{' Yes': -0.12873332, ' Rough': -2.13201, 'Yes': -6.6597195, ' Tough': -8.426286, ' Yeah': -8.911849}
{' Rough': -0.5758301, ' Yes': -0.83600396, ' Tough': -6.4371233, 'Yes': -7.19991, ' Though': -7.870936}
{' Yes': -0.0054892893, 'Yes': -5.610969, ' Dance': -6.626425, ' YES': -8.570599, ' yes': -9.044228}
{' Yes': -0.0056156376, 'Yes': -5.7796, ' Dance': -6.5985603, ' Sure': -8.06526, ' YES': -8.067621}
{' Yes': -0.00090623525, 'Yes': -7.1096687, ' yes': -10.065893, ' YES': -10.417034, ' Salad': -12.195234}
{' Yes': -0.0013248285, 'Yes': -6.9535246, ' Salad': -8.371068, ' yes': -9.7303915, ' YES': -10.052892}
{' Yes': -0.020706078, ' Looks': -4.2777553, 'Yes': -5.4228115, ' No': -7.3331842, ' YES': -7.865742}
{' Yes': -0.044746764, ' Looks': -3.5667744, 'Yes': -5.228733, ' No': -5.3583946, ' Lo': -5.9044547}
{' Yes': -0.4355599, ' Store': -1.0895802, ' Sure': -4.1830535, 'Yes': -6.9302974, 'Store': -8.393164}
{' Yes': -0.02717879, ' Store': -4.1219206, ' Sure': -4.7099957, 'Yes': -6.7943826, ' St': -8.993884}
{' Yes': -0.00090384827, 'Yes': -7.2060733, ' Break': -9.604044, ' yes': -9.847072, ' YES': -11.157144}
{' Yes': -0.0017575707, 'Yes': -6.651892, ' Break': -8.570558, ' Sure': -9.436007, ' yes': -9.593762}
{' Yes': -0.001934507, 'Yes': -6.3518906, ' Parts': -9.46241, ' yes': -10.032684, ' No': -10.8193}
{' Yes': -0.002853968, 'Yes': -5.9899693, ' No': -9.201638, ' Parts': -9.381913, ' yes': -9.559202}
{' Yes': -0.0036956614, 'Yes': -6.18612, ' Sh': -7.2590666, ' Sure': -7.9470835, ' Sho': -8.41555}
{' Yes': -0.10375267, ' Sh': -2.6491206, ' Sho': -4.070797, ' Sure': -5.51519, 'Yes': -6.01939}
{' Yes': -0.003127297, 'Yes': -6.2188883, ' Sy': -7.030415, ' yes': -9.171295, ' YES': -9.689231}
{' Yes': -0.0029448892, 'Yes': -6.012781, ' Sy': -8.339281, ' yes': -8.992865, ' YES': -9.69682}
{' Yes': -0.0006889808, 'Yes': -7.419722, ' yes': -10.221411, ' YES': -10.307869, ' ': -11.942529}
{' Yes': -0.00070639845, 'Yes': -7.4185376, ' yes': -10.118595, ' YES': -10.378014, ' Yep': -11.725559}
{' Yes': -0.0034529783, ' No': -5.935068, 'Yes': -7.20645, ' yes': -10.276884, ' Minor': -11.532011}
{' Yes': -0.0007380695, 'Yes': -7.360952, ' No': -9.924185, ' yes': -10.257251, ' ': -12.389905}
{' Yes': -0.0011204908, 'Yes': -6.817773, ' yes': -11.529152, ' YES': -12.139886, ' Where': -12.337618}
{' Yes': -0.0014038534, 'Yes': -6.6313543, ' Where': -9.912381, ' YES': -11.531324, ' yes': -11.5974045}
{' Yes': -0.0011786139, 'Yes': -6.7661166, ' yes': -10.987398, ' YES': -12.770419, 'yes': -12.940799}
{' Yes': -0.0072729797, ' Arrow': -5.383339, 'Yes': -6.033943, ' yes': -9.278497, ' YES': -9.599518}
{' Yes': -0.0013937666, 'Yes': -6.653024, ' No': -10.211801, ' yes': -10.435931, ' YES': -11.386883}
{' Yes': -0.0014918378, 'Yes': -6.6450977, ' Chain': -9.925785, ' No': -10.083857, ' yes': -10.474549}
{' Yes': -0.00060154457, 'Yes': -7.4624834, ' yes': -10.977391, ' YES': -12.733798, ' ': -13.2130375}
{' Yes': -0.0008044011, 'Yes': -7.183879, ' yes': -10.77571, ' Sure': -11.756115, ' YES': -12.295192}
{' Yes': -0.016894177, ' Heart': -4.2591143, 'Yes': -6.086222, ' YES': -8.987589, ' yes': -10.10136}
{' Yes': -0.02935504, ' Heart': -3.6392448, 'Yes': -6.1392655, ' YES': -8.913029, ' Hearts': -9.314563}
{' Yes': -0.0008562409, 'Yes': -7.156713, ' Sure': -10.45895, ' Horse': -11.0872, ' yes': -11.5378475}
{' Yes': -0.0014444424, 'Yes': -6.5995064, ' Sure': -10.378886, ' Horse': -11.078986, ' YES': -11.422504}
{' Yes': -0.010097187, ' No': -4.6743197, 'Yes': -7.5436506, ' Right': -9.4884205, ' yes': -10.485313}
{' Yes': -0.01111537, ' No': -5.137641, ' Right': -5.5619235, 'Yes': -7.0261846, ' YES': -9.873317}
{' Yes': -0.00068194285, 'Yes': -7.9704137, ' No': -8.176264, ' YES': -10.964889, ' yes': -10.982863}
{' Yes': -0.0010237084, ' No': -7.465638, 'Yes': -7.863057, ' YES': -10.628316, ' yes': -10.824676}
{' Yes': -0.0038733608, 'Yes': -5.804347, ' Snake': -7.346419, ' yes': -9.466014, ' YES': -9.731629}
{' Yes': -0.0017213874, 'Yes': -6.5421357, ' Snake': -9.089908, ' yes': -9.820746, ' YES': -9.924478}
{' Yes': -0.0012711133, 'Yes': -7.342272, ' Yeah': -8.232191, ' Laugh': -9.575132, ' Yep': -9.631594}
{' Yes': -0.0016791754, 'Yes': -6.9971967, ' Yeah': -8.237935, ' Laugh': -8.746426, ' YES': -9.194537}
{' Yes': -0.0012159712, 'Yes': -7.1597943, ' No': -8.042142, ' yes': -9.813521, ' Queen': -10.357638}
{' Yes': -0.01778484, ' No': -4.092053, 'Yes': -7.230589, ' yes': -9.860012, ' Queen': -9.947933}
{' Yes': -0.05931493, ' No': -2.8642368, 'Yes': -7.6457233, 'No': -10.257122, ' Nope': -11.141545}
{' Yes': -0.0009355268, 'Yes': -7.6288404, ' No': -8.389741, ' Sure': -8.881725, ' YES': -10.728675}
{' Yes': -0.0025394792, 'Yes': -6.4213886, ' Plane': -7.1221414, ' yes': -9.895178, ' YES': -10.561691}
{' Yes': -0.0050050877, ' Plane': -5.564508, 'Yes': -6.9317985, ' yes': -9.578148, ' YES': -9.913023}
{' Yes': -0.0056584347, ' Found': -5.6028852, 'Yes': -7.0389347, ' F': -8.551609, ' Y': -8.8033085}
{' Yes': -0.0030224875, ' Found': -6.5178213, 'Yes': -7.3004518, ' F': -8.654195, ' yes': -9.162227}
{' Yes': -0.00023702794, 'Yes': -8.509689, ' yes': -10.569756, ' YES': -12.311417, ' Uncle': -12.645599}
{' Yes': -0.0017110558, 'Yes': -7.5031886, ' Uncle': -7.6233134, ' No': -7.6559806, ' yes': -10.155555}
{' Yes': -0.00034858286, 'Yes': -8.060002, ' yes': -11.198635, ' No': -12.03005, ' YES': -12.059036}
{' Yes': -0.00078597065, 'Yes': -7.3168297, ' No': -10.597874, ' Yep': -10.711245, ' Sure': -10.741514}
{' Yes': -0.0023069915, 'Yes': -7.0039735, ' Sleep': -7.0523386, ' Yep': -8.392257, ' yes': -8.977215}
{' Yes': -0.0013670844, 'Yes': -7.1761484, ' Sleep': -8.211551, ' yes': -8.82517, ' YES': -9.391954}
{' Yes': -0.17841966, ' No': -1.8164582, 'Yes': -7.322159, 'No': -9.190164, ' yes': -11.228943}
{' Yes': -0.0009466245, 'Yes': -7.390599, ' No': -9.005795, ' Close': -9.040349, ' YES': -10.446911}
{' Yes': -0.0009246085, 'Yes': -7.0751143, ' YES': -10.440198, ' yes': -11.0557375, ' No': -11.212443}
{' Yes': -0.0014530377, 'Yes': -6.9145164, ' No': -8.742332, ' Te': -8.974037, ' YES': -10.214325}
{' Yes': -0.00020871071, 'Yes': -8.551751, ' Sure': -11.899867, ' No': -12.969143, ' yes': -13.042007}
{' Yes': -0.0002409637, 'Yes': -8.569618, ' Sure': -10.204824, ' No': -12.765828, ' yes': -12.925709}
{' Yes': -0.0005401756, 'Yes': -7.6591053, ' yes': -10.19342, ' YES': -10.843115, 'yes': -12.820643}
{' Yes': -0.0028646085, 'Yes': -6.4548182, ' Drunk': -7.6261954, ' No': -8.421409, ' Y': -8.712294}
{' No': -0.027076269, ' Yes': -3.644416, 'No': -7.621898, ' Nope': -9.692849, 'Yes': -11.165446}
{' Yes': -0.3706745, ' No': -1.174786, 'Yes': -7.8125153, 'No': -8.319023, ' Nope': -9.184544}
{' Yes': -0.000513638, 'Yes': -7.7253156, ' yes': -10.263291, ' Word': -11.007561, ' YES': -11.326659}
{' Yes': -0.0015462193, 'Yes': -7.4087477, ' Word': -7.4170966, ' World': -8.898206, ' yes': -9.154266}
{' Yes': -0.00049908616, 'Yes': -7.964946, ' No': -9.69319, ' yes': -10.253139, ' YES': -11.0353365}
{' Yes': -0.0005407735, 'Yes': -8.3606825, ' No': -8.361655, ' yes': -10.300361, ' YES': -11.362006}
{' Yes': -0.0015001354, ' Woman': -7.01641, 'Yes': -7.6208043, ' yes': -10.3337345, ' YES': -10.381733}
{' Yes': -0.00016793102, 'Yes': -8.77655, ' YES': -12.0172205, ' yes': -12.398596, ' Sure': -14.165468}
{' Yes': -0.0028622758, ' Party': -6.195489, 'Yes': -7.3059893, ' YES': -9.817687, ' yes': -10.407407}
{' Yes': -0.0021329771, 'Yes': -7.0997486, ' No': -7.5873795, ' Party': -7.7564487, ' Yep': -8.480537}
{' Yes': -0.0007693875, 'Yes': -7.3236227, ' yes': -9.536276, ' YES': -11.045662, ' No': -11.094317}
{' Yes': -0.00041840534, 'Yes': -7.8675375, ' yes': -10.869767, ' YES': -11.49423, ' No': -13.05158}
{' Yes': -0.00039974027, 'Yes': -7.8621736, ' yes': -12.125, ' YES': -12.3090515, ' No': -13.840512}
{' Yes': -0.0010467983, 'Yes': -6.971004, ' Shoes': -10.108434, ' YES': -10.525165, ' yes': -10.677318}
{' Yes': -0.00041745167, 'Yes': -7.846496, ' yes': -11.41636, ' YES': -12.257878, ' No': -12.507107}
{' Yes': -0.0004681379, 'Yes': -8.0241, ' No': -9.264793, ' yes': -11.145778, ' Ghost': -11.189233}
{' Yes': -0.0002496669, 'Yes': -8.380021, ' yes': -11.538812, ' YES': -12.044314, ' No': -13.159236}
{' Yes': -0.0004523939, 'Yes': -7.9178653, ' Shirt': -9.945753, ' YES': -11.26668, ' yes': -11.33599}
{' Yes': -0.0014117315, 'Yes': -6.9342647, ' No': -8.355354, ' Pants': -8.809334, ' yes': -10.739698}
{' Yes': -0.0048648627, ' Pants': -6.09919, 'Yes': -6.1663465, ' No': -8.384745, ' YES': -9.459798}
{' Yes': -0.008726494, ' Board': -5.0893974, 'Yes': -6.378935, ' yes': -7.8588076, ' B': -8.951617}
{' Yes': -0.0041054296, 'Yes': -6.3227944, ' Board': -6.3363175, ' yes': -8.24124, ' B': -9.326817}
{' Yes': -0.002177837, 'Yes': -6.7891207, ' Leave': -7.51061, ' yes': -8.603458, ' No': -9.141051}
{' Yes': -0.0014802567, 'Yes': -7.055069, ' yes': -9.011884, ' Leave': -9.039954, ' Yeah': -9.560879}
{' Yes': -0.00247112, ' No': -6.821524, 'Yes': -7.361792, ' Sure': -7.9705915, ' Nope': -8.97062}
{' Yes': -0.004841742, ' There': -6.307521, 'Yes': -6.697872, ' No': -7.075954, ' The': -9.1325655}
{' Yes': -0.0013563416, 'Yes': -6.980871, ' No': -8.00999, ' yes': -9.728405, ' YES': -11.175756}
{' Yes': -0.060311638, ' No': -3.0002587, ' Sn': -5.389917, 'Yes': -5.9953976, ' yes': -7.791994}
{' Yes': -0.0006719809, 'Yes': -7.700236, ' No': -9.415699, ' yes': -9.866226, ' Bride': -10.100035}
{' Yes': -0.0024588697, 'Yes': -7.0573153, ' Bride': -7.064153, ' Bridge': -7.8963733, ' yes': -9.087137}
{' Yes': -0.00030284992, 'Yes': -8.183011, ' yes': -11.124435, ' No': -12.550302, ' YES': -12.850772}
{' Yes': -0.0022897269, ' Throw': -6.62883, 'Yes': -7.484514, ' No': -8.563557, ' yes': -9.5045595}
{' Yes': -0.0006765137, 'Yes': -7.5909357, ' No': -9.246877, ' yes': -10.907996, ' Yep': -10.935667}
{' Yes': -0.0007239953, 'Yes': -7.6248446, ' No': -9.867541, ' YES': -10.073086, ' Yep': -10.187374}
{' Yes': -0.004080534, 'Yes': -6.06174, ' yes': -7.6213846, ' No': -7.945982, ' Ank': -8.088906}
{' Yes': -0.0043046325, ' No': -6.0054297, 'Yes': -6.5820208, ' yes': -8.7774725, ' YES': -9.438363}
{' Yes': -0.08856626, ' No': -2.4824717, 'Yes': -7.4573283, ' Nope': -7.680355, 'No': -9.907824}
{' Yes': -0.005438887, ' No': -5.8677773, ' Lo': -6.986281, 'Yes': -7.1731133, ' Los': -7.6672006}
{' Yes': -0.00027864208, 'Yes': -8.264885, ' YES': -11.801421, ' yes': -12.077514, ' No': -12.236652}
{' Yes': -0.014123921, ' No': -4.292379, 'Yes': -8.079369, ' YES': -11.400179, ' yes': -11.61385}
{' Yes': -0.00035013165, 'Yes': -8.0614395, ' Sure': -11.366819, ' yes': -11.581705, ' YES': -11.865953}
{' Yes': -0.0006654207, 'Yes': -7.585744, ' Shark': -9.601235, ' Sure': -10.210345, ' yes': -10.818017}
{' Yes': -0.00078084006, 'Yes': -7.360319, ' No': -9.89311, ' yes': -10.21643, ' Lemon': -10.547867}
{' Yes': -0.000632796, 'Yes': -7.4729323, ' yes': -10.854884, ' No': -11.146353, ' YES': -11.359558}
{' Yes': -0.016215649, ' No': -4.2288084, 'Yes': -7.322648, ' Tight': -7.427556, ' Nope': -8.866017}
{' Yes': -0.6458247, ' No': -0.74696195, ' Nope': -6.657039, 'Yes': -8.237591, 'No': -8.3925085}
{' No': -0.19590026, ' Yes': -1.7317393, 'No': -7.3442726, 'Yes': -8.967875, ' Below': -9.6572895}
{' Yes': -0.01625763, ' No': -4.3665442, ' Below': -6.0709143, 'Yes': -6.9933195, ' yes': -9.946508}
{' Yes': -0.0004974163, 'Yes': -8.034787, ' Sm': -9.524716, ' yes': -10.094012, ' YES': -10.590348}
{' Yes': -0.0014045704, 'Yes': -7.332239, ' Sm': -8.256897, ' No': -9.029322, ' Spell': -9.188824}
{' Yes': -0.019664533, ' No': -4.9129066, 'Yes': -5.2766004, ' Your': -5.630119, ' Y': -6.966916}
{' Yes': -0.010145234, ' No': -5.3110557, 'Yes': -5.951616, ' Sure': -6.7761626, ' Y': -8.629644}
{' No': -0.0019535597, ' Yes': -6.790667, 'No': -7.120791, ' Nope': -11.08777, '\n': -13.465539}
{' No': -0.5596687, ' Yes': -0.88165194, ' Wrong': -4.2760515, 'No': -8.456052, ' Nope': -8.466208}
{' Yes': -0.026244234, ' Devil': -3.9671392, 'Yes': -6.192121, ' yes': -6.7524157, ' Dev': -7.04003}
{' Yes': -0.14837527, ' Devil': -2.2374942, ' Devils': -5.2557626, ' Dev': -5.297094, ' No': -6.023183}
{' Yes': -0.00027244323, 'Yes': -8.282998, ' yes': -11.5565815, ' YES': -12.495713, ' Sure': -12.642289}
{' Yes': -0.00051638077, 'Yes': -7.9382906, ' No': -9.751156, ' yes': -10.085416, ' Sure': -10.48162}
{' Yes': -0.0006593373, 'Yes': -7.912656, ' No': -8.209483, ' yes': -11.2137375, ' YES': -12.624341}
{' Yes': -0.0019209511, ' No': -6.5774465, 'Yes': -7.7824726, ' Major': -9.494999, ' yes': -11.210247}
{' No': -0.121608175, ' Yes': -2.1757386, 'No': -7.3858976, ' Nope': -8.220487, 'Yes': -9.4560795}
{' Yes': -0.20013037, ' Worst': -1.8425233, ' No': -3.9767413, 'Yes': -6.8811235, ' Worse': -6.97574}
{' Yes': -0.03804869, ' No': -3.3040912, 'Yes': -7.8737764, ' Nope': -9.540292, ' yes': -10.138604}
{' Yes': -0.001030569, 'Yes': -7.669895, ' No': -8.249161, ' Pound': -9.363591, ' Yep': -9.68949}
{' Yes': -0.00081311085, 'Yes': -7.269776, ' yes': -10.368085, ' YES': -10.502027, ' Yep': -10.831392}
{' Yes': -0.047466073, ' Dirty': -3.6221712, ' Dirt': -4.3207073, 'Yes': -5.7864676, ' D': -6.931133}
{' Yes': -0.0006619627, 'Yes': -7.4094086, ' yes': -10.899156, ' YES': -10.950646, ' Sure': -11.450637}
{' Yes': -0.0009701922, 'Yes': -7.040078, ' yes': -10.390086, ' YES': -10.518748, ' Sure': -10.986911}
{' Yes': -0.0012720687, 'Yes': -6.8759513, ' YES': -9.577848, ' yes': -9.90155, ' Yep': -10.056938}
{' Yes': -0.04200931, ' E': -3.9551618, 'rupt': -5.432625, 'Yes': -5.5020833, ' erupt': -5.7850566}
{' Yes': -0.00046241307, 'Yes': -7.7161508, ' yes': -11.228174, ' YES': -13.207278, 'yes': -14.575711}
{' Yes': -0.0014650364, 'Yes': -6.6067047, ' yes': -9.734993, ' YES': -10.772413, ' Yep': -11.421214}
{' Yes': -0.007185806, ' Armor': -5.2057824, 'Yes': -7.0427175, ' Armour': -7.79369, ' yes': -8.828359}
{' Yes': -0.004162947, ' Armor': -6.371632, ' No': -6.673835, 'Yes': -7.0677996, ' yes': -9.11346}
{' Yes': -0.0003210935, 'Yes': -8.110815, ' No': -11.689561, ' yes': -11.891822, ' YES': -12.727122}
{' Yes': -0.04226135, ' No': -3.2344587, ' Ex': -6.761925, 'Yes': -7.438889, ' Nope': -9.738405}
{' Yes': -0.00070269924, 'Yes': -7.6039968, ' yes': -9.680818, ' YES': -9.931682, ' Still': -9.943805}
{' Yes': -0.0010915541, 'Yes': -7.198645, ' Still': -9.033581, ' yes': -9.384169, ' YES': -9.808491}
{' Yes': -0.0004971769, 'Yes': -7.6946306, ' Hello': -11.008838, ' yes': -11.46775, ' YES': -12.174413}
{' Yes': -0.00032002066, 'Yes': -8.1256, ' yes': -11.707755, ' Hello': -12.441008, ' Yeah': -12.503686}
{' Yes': -0.00043080773, 'Yes': -7.814512, ' Sure': -11.602457, ' YES': -11.775929, ' yes': -11.820021}
{' Yes': -0.002693183, 'Yes': -6.583814, ' Sure': -6.880373, ' YES': -9.396056, ' yes': -9.7338505}
{' Yes': -0.002753369, ' No': -6.246888, 'Yes': -7.381093, ' yes': -8.972596, ' YES': -10.734023}
{' Yes': -0.024235884, ' No': -4.130383, ' Actor': -5.279151, 'Yes': -6.360441, ' yes': -7.7357345}
{' Yes': -0.0005086275, 'Yes': -7.7194486, ' No': -10.67163, ' yes': -10.969636, ' YES': -11.507602}
{' Yes': -0.0010713233, 'Yes': -7.007062, ' yes': -9.872465, ' Sure': -10.226748, ' No': -10.323943}
{' No': -0.17229421, ' Yes': -1.855144, ' Nope': -6.9941897, 'No': -7.320985, 'Yes': -8.786014}
{' No': -0.26597646, ' Yes': -1.4647754, ' Nope': -6.588337, 'No': -7.2462196, 'Yes': -8.459951}
{' No': -0.033587176, ' Yes': -3.475369, 'No': -7.0850606, ' Nope': -7.1018257, ' False': -7.96378}
{' No': -0.036671247, ' Yes': -3.3809626, ' Nope': -6.496634, 'No': -8.362707, ' False': -8.450651}
{' Yes': -0.0003708805, 'Yes': -8.084149, ' yes': -11.169464, ' No': -11.170367, ' Sure': -11.360308}
{' Yes': -0.000679676, 'Yes': -7.804413, ' No': -9.062878, ' Watch': -9.497859, ' yes': -10.280366}
{' Yes': -0.0012276659, 'Yes': -6.8858747, ' Sure': -9.610314, ' yes': -9.91701, ' Spice': -10.669732}
{' Yes': -0.0009324847, 'Yes': -7.2977595, ' Sure': -8.686183, ' No': -10.48478, ' yes': -11.037217}
{' Yes': -0.00021204854, 'Yes': -8.5292, ' yes': -11.632769, ' YES': -12.482771, 'yes': -14.611273}
{' Yes': -0.0005505505, 'Yes': -7.779385, ' yes': -10.118875, ' No': -10.808461, ' Yeah': -11.181418}
{' Yes': -0.00030713953, 'Yes': -8.249501, ' No': -10.943151, ' yes': -11.072831, ' YES': -12.17125}
{' Yes': -0.000306903, 'Yes': -8.359988, ' No': -9.89009, ' yes': -11.258151, ' YES': -12.1589775}
{' Yes': -0.00075417483, 'Yes': -7.4432087, ' Sure': -9.617495, ' yes': -10.73451, ' YES': -10.794772}
{' Yes': -0.021853235, ' Ar': -4.573878, ' Arg': -5.494353, ' No': -6.1043563, 'Yes': -6.3342805}
{' Yes': -0.00019285125, 'Yes': -8.693518, ' yes': -11.123672, ' YES': -12.091075, ' Yeah': -13.377168}
{' Yes': -0.0004034395, 'Yes': -8.082435, ' No': -10.198814, ' yes': -10.468139, ' YES': -11.439678}
{' Yes': -0.0028158897, 'Yes': -6.5731664, ' Early': -7.7533493, ' Yeah': -8.292532, ' Yep': -8.88456}
{' Yes': -0.0057448773, 'Yes': -6.546416, ' Year': -7.2324367, ' Yeah': -7.2711163, ' Ye': -7.2819123}
{' Yes': -0.00057846407, 'Yes': -7.582087, ' No': -10.966993, ' YES': -11.136623, ' yes': -11.204923}
