{' No': -0.032526918, ' Yes': -3.841517, 'No': -4.6175275, '\n': -8.260648, 'Yes': -9.013032}
{' No': -0.08939531, ' Yes': -2.5677583, 'No': -5.1801357, '\n': -6.446901, ' The': -7.007486}
{' No': -0.017823912, ' Yes': -4.2651896, 'No': -5.8593264, ' The': -8.214407, '\n': -8.231221}
{' No': -0.035486765, ' Yes': -3.465964, 'No': -5.7649555, '\n': -8.612238, ' The': -9.418177}
{' Yes': -0.026616337, ' No': -3.7201016, 'Yes': -6.5369287, ' yes': -8.210788, '\n': -9.357999}
{' No': -0.15239988, ' Yes': -1.9921442, 'No': -5.5599027, 'Yes': -7.9610615, '\n': -8.480385}
{' No': -0.035429023, ' Yes': -3.5185776, 'No': -5.341318, '\n': -8.938162, ' ': -9.126316}
{' No': -0.2856847, ' Yes': -1.4120103, 'No': -5.7403526, 'Yes': -7.4746776, '\n': -7.5905128}
{' Yes': -0.6177335, ' No': -0.78662354, 'No': -6.29398, '\n': -6.435656, 'Yes': -6.5632195}
{' No': -0.014022182, 'No': -4.3737364, ' Yes': -7.0152807, '\n': -8.486337, ' The': -9.353839}
{' No': -0.129441, ' Yes': -2.1635022, 'No': -5.2905755, 'Yes': -7.9835634, ' ': -7.9870877}
{' No': -0.081979625, ' Yes': -2.598171, 'No': -5.855518, '\n': -7.453885, ' The': -7.884805}
{' No': -0.08927995, ' Yes': -2.5239112, 'No': -5.425851, ' The': -7.96477, 'Yes': -8.4542885}
{' No': -0.12871854, ' Yes': -2.1419477, 'No': -5.9304686, ' The': -8.131946, 'Yes': -8.515325}
{' Yes': -0.29602492, ' No': -1.372191, 'Yes': -6.6816983, 'No': -7.333557, ' The': -8.047866}
{' No': -0.46911335, ' Yes': -0.98976225, 'No': -6.6387277, 'Yes': -7.509728, ' The': -8.002027}
{' Yes': -0.3977758, ' No': -1.1289903, 'No': -6.549001, 'Yes': -6.5772624, '\n': -7.127498}
{' No': -0.33415163, ' Yes': -1.2812381, 'No': -5.728135, ' The': -6.6848917, '\n': -7.2617826}
{' Yes': -0.042026218, ' No': -3.2396178, 'Yes': -6.7629232, ' The': -7.8981466, ' yes': -8.701148}
{' Yes': -0.0034402963, 'Yes': -6.321986, ' No': -6.575291, ' yes': -9.233968, '\n': -9.417396}
{' Yes': -0.4710816, ' No': -0.98108566, 'Yes': -8.031296, 'No': -8.277875, ' ': -9.712772}
{' No': -0.063123606, ' Yes': -2.8257327, 'No': -6.564496, ' The': -8.462577, ' ': -9.511675}
{' No': -0.022749605, ' Yes': -3.961993, 'No': -5.86463, ' The': -7.8736277, ' ': -9.702646}
{' No': -0.004387847, ' Yes': -6.0313077, 'No': -6.281496, ' The': -9.62067, ' ': -11.09186}
{' Yes': -0.010497542, ' No': -4.6968875, 'Yes': -7.1786203, ' The': -7.8901606, ' yes': -9.344071}
{' Yes': -0.27944717, ' No': -1.4170909, 'Yes': -7.2721167, ' The': -8.296143, 'No': -8.483695}
{' No': -0.00709666, ' Yes': -5.160756, 'No': -6.986632, ' The': -8.488017, ' ': -9.461234}
{' Yes': -0.2993586, ' No': -1.3598883, 'Yes': -7.2003803, ' The': -7.308523, 'No': -8.012373}
{' No': -0.06549185, ' Yes': -2.7840507, 'No': -6.6161165, ' The': -9.4688425, 'Yes': -9.524789}
{' No': -0.0083544385, ' Yes': -4.914509, 'No': -7.0564766, ' The': -9.545069, ' ': -10.79537}
{' No': -0.053769715, ' Yes': -2.986318, 'No': -6.3921256, 'Yes': -9.654044, ' ': -9.954526}
{' Yes': -0.66564614, ' No': -0.728663, ' The': -6.51858, 'No': -6.7974167, 'Yes': -7.2785378}
{' No': -0.25726268, ' Yes': -1.4971633, 'No': -6.6653624, ' The': -7.012345, ' Plane': -7.929147}
{' No': -0.2274808, ' Yes': -1.600108, 'No': -7.242821, ' The': -7.534379, 'Yes': -8.491593}
{' Yes': -0.03418872, ' No': -3.4134572, 'Yes': -7.820946, ' yes': -9.266431, ' The': -9.577101}
{' No': -0.014891172, ' Yes': -4.2646356, 'No': -7.549139, ' The': -9.227114, ' ': -10.246237}
{' No': -0.028071241, ' Yes': -3.6461818, 'No': -6.653092, ' The': -9.576744, ' ': -9.941725}
{' No': -0.013425395, ' Yes': -4.3664813, 'No': -7.6540637, ' The': -9.834661, ' ': -10.377643}
{' Yes': -0.13666326, ' No': -2.0715654, ' The': -7.243167, 'Yes': -7.360592, 'No': -8.525834}
{' No': -0.0034845602, ' Yes': -6.2943206, 'No': -6.483638, ' The': -10.065596, ' ': -10.710876}
{' Yes': -0.062574446, ' No': -2.8192425, 'Yes': -7.600199, ' The': -8.280003, ' yes': -9.067249}
{' Yes': -0.3017952, ' No': -1.3488934, 'Yes': -7.8474927, ' The': -8.557601, 'No': -8.731074}
{' Yes': -0.0948662, ' No': -2.4088788, 'Yes': -7.668314, 'No': -9.765348, ' yes': -10.375261}
{' No': -0.009837535, ' Yes': -4.758674, 'No': -6.8485613, ' The': -9.389872, ' ': -10.693715}
{' No': -0.057169117, ' Yes': -2.9322264, 'No': -6.689884, ' The': -7.2192345, '\n': -9.39489}
{' No': -0.20342158, ' Yes': -1.7309425, ' The': -5.567021, 'No': -6.1918054, 'Yes': -7.8649354}
{' Yes': -0.04531964, ' No': -3.1322641, 'Yes': -7.6574864, ' yes': -9.646802, ' The': -9.810811}
{' No': -0.2664111, ' Yes': -1.4619601, 'No': -6.6170526, 'Yes': -8.303762, ' The': -8.310909}
{' No': -0.57515776, ' Yes': -0.83100754, ' The': -6.9513097, 'No': -7.8370895, 'Yes': -8.311485}
{' No': -0.0031084039, ' Yes': -6.5121775, 'No': -6.5815687, ' The': -9.280152, ' ': -9.580453}
{' No': -0.4390192, ' Yes': -1.0387373, 'No': -7.3327546, 'Yes': -8.0767355, ' The': -8.353323}
{' No': -0.008415208, ' Yes': -4.9095783, 'No': -7.0363693, ' The': -9.759285, ' ': -10.676482}
{' Yes': -0.0008962724, 'Yes': -7.7851043, ' No': -7.934703, ' yes': -9.610969, ' The': -10.282548}
{' Yes': -0.039374642, ' No': -3.269467, 'Yes': -7.9090815, ' The': -9.20173, ' yes': -9.769938}
{' No': -0.29767713, ' Yes': -1.3670132, 'No': -6.794417, ' The': -7.187888, 'Yes': -8.120961}
{' No': -0.0024024653, 'No': -6.7435484, ' Yes': -6.779404, ' The': -10.210229, ' ': -10.757983}
{' No': -0.087590076, ' Yes': -2.4928405, 'No': -7.008429, 'Yes': -9.543001, ' ': -9.56309}
{' Yes': -0.026820011, ' No': -3.7126298, 'Yes': -6.424937, ' The': -8.51001, 'No': -9.44787}
{' Yes': -0.001721745, 'Yes': -6.8892374, ' No': -7.5148683, ' The': -9.532773, ' yes': -9.887498}
{' No': -0.009777347, ' Yes': -4.9644666, 'No': -6.1976414, ' The': -8.310669, ' Not': -8.588429}
{' No': -0.07785657, ' Yes': -2.611279, 'No': -6.725363, ' The': -9.354433, 'Yes': -9.472946}
{' No': -0.28406784, ' Yes': -1.4024702, 'No': -7.204632, ' The': -8.307844, 'Yes': -8.574379}
{' No': -0.2303066, ' Yes': -1.5877457, 'No': -7.227455, ' The': -8.371106, 'Yes': -8.403063}
{' Yes': -0.20796554, ' No': -1.6814992, 'Yes': -7.143647, ' The': -7.5052633, 'No': -8.839095}
{' No': -0.025708057, ' Yes': -3.7556977, 'No': -6.502379, ' The': -8.027569, ' ': -9.7680855}
{' No': -0.0031134274, ' Yes': -6.3707457, 'No': -6.694669, ' The': -9.353159, ' ': -10.368263}
{' Yes': -0.0013500142, 'Yes': -7.398195, ' No': -7.485572, ' yes': -9.123538, '\n': -10.769757}
{' Yes': -0.17945607, ' No': -1.8163465, 'Yes': -7.367604, ' The': -7.774916, 'No': -8.42866}
{' No': -0.02405472, ' Yes': -3.7729728, 'No': -7.6986837, ' The': -8.356711, '\n': -10.675525}
{' No': -0.18379614, ' Yes': -1.7931082, ' The': -7.1818366, 'No': -7.716387, 'Yes': -8.725885}
{' No': -0.23612781, ' Yes': -1.5753517, 'No': -6.3861384, ' The': -6.9629054, 'Yes': -8.055055}
{' No': -0.013612744, ' Yes': -4.3858185, 'No': -7.019844, ' The': -9.584842, ' ': -10.4709015}
{' No': -0.19182472, ' Yes': -1.7546108, ' The': -7.2708726, 'No': -7.7956624, 'Yes': -8.954285}
{' No': -0.02150154, ' Yes': -3.881527, 'No': -7.650844, ' The': -9.26292, ' ': -10.2320385}
{' No': -0.64774, ' Yes': -0.7437026, 'No': -7.5175533, 'Yes': -7.956692, ' The': -8.392176}
{' No': -0.14849295, ' Yes': -1.9928954, ' The': -7.220688, 'No': -7.3761973, '\n': -9.060469}
{' No': -0.09621519, ' Yes': -2.426938, ' The': -6.3614473, 'No': -6.5995474, 'Yes': -9.211169}
{' No': -0.14580387, ' Yes': -2.017695, ' The': -6.4344425, 'No': -7.0633264, 'Yes': -9.077898}
{' No': -0.17638314, ' Yes': -1.8282653, 'No': -7.40079, ' The': -8.7374525, 'Yes': -9.119336}
{' No': -0.15330887, ' Yes': -1.9597911, 'No': -7.265961, ' The': -8.284948, 'Yes': -9.161799}
{' No': -0.0383904, ' Yes': -3.3201227, 'No': -7.0132055, ' The': -7.82129, '\n': -9.595548}
{' No': -0.025009222, ' Yes': -3.7400246, 'No': -7.246031, ' The': -9.114677, ' ': -9.6742115}
{' No': -0.39473978, ' Yes': -1.1238581, 'No': -7.3948693, 'Yes': -8.267443, ' The': -9.187729}
{' Yes': -0.6483528, ' No': -0.7423699, ' The': -7.97873, 'No': -7.991906, 'Yes': -8.092452}
{' No': -0.20333457, ' Yes': -1.7032659, 'No': -7.078014, ' The': -7.777101, '\n': -8.457906}
{' No': -0.05004918, ' Yes': -3.0673983, 'No': -6.4872704, ' The': -8.293816, '\n': -8.871647}
{' No': -0.34491158, ' Yes': -1.2354755, 'No': -7.3811507, 'Yes': -8.676413, ' The': -8.902072}
{' No': -0.038734403, ' Yes': -3.300518, 'No': -7.2450843, ' The': -8.379508, ' ': -9.858814}
{' No': -0.32036644, ' Yes': -1.2979532, 'No': -7.416252, 'Yes': -8.56068, ' The': -8.90115}
{' No': -0.02086345, ' Yes': -3.9431026, 'No': -6.8574185, ' The': -9.043489, '\n': -10.44047}
{' Yes': -0.11092437, ' No': -2.2636745, 'Yes': -7.554005, ' The': -8.4206295, 'No': -9.425047}
{' Yes': -0.06114838, ' No': -2.8443894, 'Yes': -7.565535, ' The': -7.880728, ' yes': -9.123856}
{' No': -0.09592458, ' Yes': -2.408125, 'No': -6.803499, ' The': -8.911436, 'Yes': -9.369419}
{' No': -0.44965932, ' Yes': -1.0204163, 'No': -6.9829116, 'Yes': -7.9958544, ' The': -8.508329}
{' No': -0.0022275376, 'No': -6.703947, ' Yes': -7.0664325, ' The': -9.853019, ' Not': -10.312205}
{' No': -0.0030580002, 'No': -6.49219, ' Yes': -6.613469, ' ': -9.300864, '\n': -10.045338}
{' Yes': -0.4304986, ' No': -1.0537955, 'Yes': -7.468981, 'No': -7.832716, ' yes': -9.474785}
{' No': -0.1481582, ' Yes': -1.9964364, 'No': -6.712743, ' The': -7.921647, 'Yes': -8.864011}
{' No': -0.01749304, ' Yes': -4.13502, 'No': -6.963101, ' The': -8.546975, ' ': -9.57086}
{' No': -0.39532503, ' Yes': -1.1254638, ' The': -6.8142133, 'No': -7.7654953, 'Yes': -8.71824}
{' No': -0.05592588, ' Yes': -2.9587023, 'No': -6.371876, ' The': -7.655447, 'Yes': -9.304693}
{' No': -0.0011087942, 'No': -7.2613034, ' Yes': -8.02355, ' The': -10.098236, ' ': -11.201404}
{' No': -0.001544191, 'No': -6.506295, ' ': -10.812321, ' The': -11.704915, '\n': -11.861968}
{' No': -0.0014886144, 'No': -6.5477877, ' ': -11.095756, ' Yes': -11.177954, ' The': -11.671748}
{' No': -0.0160647, ' Yes': -4.321624, 'No': -6.200726, ' Unfortunately': -8.634599, ' The': -8.841901}
{' No': -0.09696214, ' Yes': -2.3980198, 'No': -7.25473, ' The': -7.984366, ' Devil': -8.216529}
{' No': -0.096292034, ' Yes': -2.3980327, 'No': -7.4211817, ' The': -8.544417, 'Yes': -10.101846}
{' No': -0.058531284, ' Yes': -2.8851342, 'No': -7.2535076, ' The': -8.617035, ' ': -10.172731}
{' No': -0.0028568974, 'No': -6.1169615, ' Yes': -7.5325427, ' ': -9.892587, ' The': -10.621785}
{' No': -0.0014464728, 'No': -7.0725846, ' Yes': -7.58239, ' The': -10.356533, ' ': -10.551703}
{' No': -0.26139322, ' Yes': -1.4781346, 'No': -6.7480536, ' The': -7.951802, 'Yes': -8.438595}
{' No': -0.08582451, ' Yes': -2.5242114, 'No': -6.46465, ' The': -8.403145, 'Yes': -9.232659}
{' No': -0.004671716, ' Yes': -5.653719, 'No': -6.8482537, ' ': -10.287492, ' The': -10.59492}
{' No': -0.040458445, ' Yes': -3.256252, 'No': -7.463859, ' The': -7.8141265, ' ': -10.200099}
{' No': -0.009359591, ' Yes': -4.9268746, 'No': -6.2762203, ' The': -9.221916, ' Unfortunately': -10.4163475}
{' No': -0.012425497, ' Yes': -4.5500326, 'No': -6.429066, ' The': -10.11913, '\n': -10.352295}
{' Yes': -0.10482886, ' No': -2.318986, 'Yes': -7.344075, ' The': -8.522561, 'No': -9.236842}
{' Yes': -0.61477387, ' No': -0.7809573, 'No': -7.904847, 'Yes': -7.972676, ' The': -8.198407}
{' No': -0.006976848, ' Yes': -5.127508, 'No': -7.217899, ' The': -9.27139, ' ': -9.83682}
{' No': -0.0010652371, 'No': -7.261096, ' Yes': -8.344544, ' The': -9.908099, ' ': -10.63749}
{' No': -0.0041519967, ' Yes': -5.796312, 'No': -7.054319, ' The': -8.879368, '\n': -10.279713}
{' No': -0.015965914, ' Yes': -4.267797, 'No': -6.461747, ' The': -8.802478, '\n': -9.970624}
{' No': -0.0084858965, ' Yes': -4.929426, 'No': -6.8522625, ' The': -9.504042, ' ': -10.1344185}
{' No': -0.014384868, ' Yes': -4.453716, 'No': -6.0372295, ' The': -9.110297, ' ': -9.988429}
{' No': -0.0022862614, 'No': -6.778775, ' Yes': -6.8910203, ' ': -10.036082, ' The': -10.104493}
{' No': -0.0033681686, ' Yes': -6.009599, 'No': -7.196405, ' ': -9.879577, '\n': -9.938237}
{' No': -0.67215747, ' Yes': -0.7196085, ' The': -6.8339667, 'No': -7.8299007, 'Yes': -8.167929}
{' No': -0.036691032, ' Yes': -3.385814, 'No': -6.8873262, ' Still': -7.4876966, ' The': -8.07146}
{' Yes': -0.004397126, ' No': -5.6592183, 'Yes': -7.2124634, ' yes': -9.639818, ' The': -9.867945}
{' Yes': -0.48351848, ' No': -0.9613704, 'No': -7.704626, 'Yes': -7.784437, ' yes': -9.848037}
{' Yes': -0.14470354, ' No': -2.0178, ' The': -7.1307764, 'Yes': -7.3748636, 'No': -9.21551}
{' No': -0.042861238, ' Yes': -3.1973507, 'No': -7.5910807, ' The': -8.17842, ' Purs': -8.461711}
{' No': -0.0023838237, 'No': -6.633945, ' Yes': -7.021217, ' ': -9.403876, ' The': -10.0306635}
{' No': -0.0040196106, ' Yes': -5.8837514, 'No': -6.943976, ' The': -9.193054, ' ': -9.891895}
{' Yes': -0.13904881, ' No': -2.06627, ' The': -6.4784575, 'Yes': -6.772959, 'No': -8.448866}
{' No': -0.07071823, ' Yes': -2.7214425, 'No': -6.5263834, ' The': -7.197272, 'Yes': -9.219348}
{' No': -0.012549587, ' Yes': -4.5194674, 'No': -6.6367216, ' The': -9.309539, ' ': -9.541649}
{' No': -0.0028038786, 'No': -6.1360683, ' Yes': -8.146186, ' The': -8.651878, ' ': -9.725859}
{' No': -0.003792822, ' Yes': -5.716795, 'No': -7.917973, ' The': -9.978782, '\n': -10.04856}
{' No': -0.010597597, ' Yes': -4.6126347, 'No': -7.7793407, ' The': -9.345543, '\n': -10.127048}
{' No': -0.025095211, ' Yes': -3.7626207, 'No': -6.806978, ' The': -8.096666, '\n': -9.909294}
{' No': -0.010757727, ' Yes': -4.7192497, 'No': -6.621285, ' The': -8.349472, ' ': -9.4068775}
{' No': -0.040605802, ' Yes': -3.253712, 'No': -7.1441975, ' The': -8.616949, ' ': -10.031838}
{' Yes': -0.55929357, ' No': -0.85054946, ' The': -7.818109, 'Yes': -8.079513, 'No': -8.387149}
{' Yes': -0.01423117, ' No': -4.2936273, 'Yes': -8.419037, ' yes': -9.070986, '\n': -10.070293}
{' No': -0.09941711, ' Yes': -2.3662744, 'No': -7.364261, 'Yes': -9.766893, ' ': -10.164032}
{' No': -0.006719029, ' Yes': -5.248754, 'No': -6.75673, ' The': -8.913989, ' ': -9.573619}
{' No': -0.009935418, ' Yes': -4.769249, 'No': -6.854357, ' The': -8.335096, ' ': -10.067133}
{' No': -0.15627539, ' Yes': -1.9423014, 'No': -7.350996, ' The': -8.0017605, 'Yes': -9.211233}
{' No': -0.37130842, ' Yes': -1.1753988, 'No': -7.289433, 'Yes': -8.073123, ' The': -8.150443}
{' No': -0.37602636, ' Yes': -1.163111, 'No': -7.669861, ' The': -8.424612, 'Yes': -8.919735}
{' No': -0.05699583, ' Yes': -2.908852, 'No': -7.464236, ' The': -8.646885, ' ': -9.91157}
{' No': -0.11157563, ' Yes': -2.2633853, 'No': -6.804471, '\n': -8.639037, 'Yes': -9.082132}
{' Yes': -0.18817265, ' No': -1.7745372, 'Yes': -7.0089164, 'No': -8.143708, ' The': -8.374709}
{' No': -0.0537406, ' Yes': -2.9696414, 'No': -7.2746134, ' The': -8.64699, 'Yes': -10.102319}
{' No': -0.25690848, ' Yes': -1.4890594, 'No': -7.2985554, 'Yes': -8.64764, ' The': -10.010387}
{' No': -0.0013534761, 'No': -7.072802, ' Yes': -7.877032, ' The': -9.836106, ' ': -10.296235}
{' No': -0.0022581846, ' Yes': -6.873752, 'No': -6.9634852, ' The': -8.538959, ' ': -10.683018}
{' No': -0.10081227, ' Yes': -2.3979294, 'No': -5.6285963, ' The': -6.9589148, 'Yes': -8.590589}
{' No': -0.011173954, ' Yes': -4.7466683, 'No': -6.1234517, ' The': -9.443348, ' ': -9.656538}
{' No': -0.021200191, ' Yes': -3.9420357, 'No': -6.678079, ' The': -8.945734, ' ': -9.654728}
{' Yes': -0.29174435, ' No': -1.3790398, 'Yes': -7.490967, 'No': -8.2392645, ' The': -8.3593855}
{' Yes': -0.0020224173, ' No': -6.612833, 'Yes': -7.6423783, ' The': -9.245457, ' yes': -9.720131}
{' Yes': -0.18140037, ' No': -1.8048134, 'Yes': -7.3729835, ' The': -7.7985115, 'No': -9.038504}
{' No': -0.4415378, ' Yes': -1.032669, 'No': -7.7903132, ' The': -8.545266, 'Yes': -8.716296}
{' No': -0.011099459, ' Yes': -4.5590806, 'No': -7.668673, ' The': -10.122118, '\n': -10.976318}
{' Yes': -0.108209684, ' No': -2.2909107, 'Yes': -7.1041965, ' The': -8.334568, 'No': -8.731008}
{' Yes': -0.55876523, ' No': -0.85151076, 'Yes': -7.50674, 'No': -7.8562756, ' The': -8.424883}
{' Yes': -0.25423175, ' No': -1.5041401, 'Yes': -6.826386, 'No': -7.5556993, ' The': -7.837655}
{' No': -0.044903047, ' Yes': -3.1733055, 'No': -6.4645405, ' The': -8.254227, '\n': -9.405155}
{' No': -0.13496165, ' Yes': -2.0868735, 'No': -6.506469, ' The': -7.947707, 'Yes': -8.670575}
{' No': -0.06219437, ' Yes': -2.8294253, 'No': -6.939946, ' The': -8.9137745, 'Yes': -9.6848}
{' No': -0.014954454, ' Yes': -4.30543, 'No': -6.7409477, ' The': -9.936634, '\n': -9.963184}
{' No': -0.0030660718, ' Yes': -6.0906153, 'No': -7.320603, ' The': -9.33352, ' ': -11.199874}
{' No': -0.32832667, ' Yes': -1.2821345, 'No': -6.592399, 'Yes': -7.8561544, ' The': -8.290179}
{' No': -0.07521365, ' Yes': -2.6463938, 'No': -7.0130906, ' The': -7.91381, ' ': -9.663938}
{' No': -0.5855837, ' Yes': -0.8180494, ' The': -7.139914, 'No': -7.6236296, 'Yes': -7.8840737}
{' No': -0.36460316, ' Yes': -1.1922704, 'No': -7.1440196, ' The': -7.342869, 'Yes': -8.151205}
{' No': -0.077314466, ' Yes': -2.6138937, 'No': -7.3009357, ' The': -8.0313, 'Yes': -9.733975}
{' No': -0.03262119, ' Yes': -3.4587781, 'No': -7.779865, ' The': -8.830701, 'Yes': -10.844222}
{' No': -0.05402172, ' Yes': -2.9807508, 'No': -6.630943, ' The': -8.012185, 'Yes': -9.430718}
{' No': -0.18942824, ' Yes': -1.7659626, 'No': -7.0008483, ' The': -8.279367, 'Yes': -8.290585}
{' No': -0.04676737, ' Yes': -3.1137662, 'No': -6.9710355, ' ': -9.2399435, '\n': -9.464057}
{' No': -0.12910816, ' Yes': -2.1204183, 'No': -7.309343, ' The': -8.273755, 'Yes': -9.3290205}
{' Yes': -0.31720805, ' No': -1.3075397, ' The': -7.6086564, 'Yes': -7.6964955, 'No': -8.433365}
{' No': -0.036252055, ' Yes': -3.376866, 'No': -6.751908, ' The': -8.782826, ' ': -9.971381}
{' No': -0.60140204, ' Yes': -0.80175006, 'No': -6.787252, 'Yes': -7.2487445, ' The': -7.3657374}
{' No': -0.08550093, ' Yes': -2.5271952, 'No': -6.5645847, ' The': -7.8422794, 'Yes': -9.2295885}
{' No': -0.3796487, ' Yes': -1.1571984, 'No': -7.3805046, ' The': -7.7893434, 'Yes': -8.16996}
{' No': -0.0038365028, ' Yes': -5.9873223, 'No': -6.92346, ' The': -8.287867, ' ': -10.90778}
{' No': -0.24946181, ' Yes': -1.5218388, ' The': -6.8245387, 'No': -7.0319185, 'Yes': -8.217626}
{' Yes': -0.4722958, ' No': -0.9809837, 'Yes': -7.3070426, 'No': -7.7473392, ' The': -8.657421}
{' No': -0.04081775, ' Yes': -3.2560468, 'No': -6.9638143, ' The': -7.941962, 'Yes': -9.708216}
{' No': -0.007379014, ' Yes': -5.170665, 'No': -6.5670385, ' The': -9.133937, ' ': -9.658774}
{' Yes': -0.25536862, ' No': -1.4948343, ' The': -7.7969084, 'Yes': -7.993598, 'No': -9.077413}
{' Yes': -0.07570877, ' No': -2.6331675, 'Yes': -7.517591, ' The': -8.162481, ' yes': -9.545948}
{' Yes': -0.3805887, ' No': -1.1558594, ' The': -7.1726418, 'Yes': -7.744314, 'No': -8.142271}
{' No': -0.114138715, ' Yes': -2.2366648, 'No': -7.168431, 'Yes': -9.537911, ' The': -9.60053}
{' No': -0.016451875, ' Yes': -4.1565886, 'No': -7.5194707, ' The': -9.878867, '\n': -10.816047}
{' No': -0.0505757, ' Yes': -3.0374074, 'No': -6.843611, ' The': -9.167566, ' ': -9.814268}
{' Yes': -0.6731521, ' No': -0.719575, ' The': -6.982906, 'Yes': -7.184586, 'No': -7.466122}
{' No': -0.03156831, ' Yes': -3.538965, 'No': -6.6184397, ' The': -7.678485, '\n': -9.336518}
{' No': -0.065713786, ' Yes': -2.7812364, 'No': -6.95696, ' The': -7.79916, 'Yes': -9.449328}
{' No': -0.06326189, ' Yes': -2.807738, 'No': -7.329585, ' The': -9.001321, ' ': -9.884234}
{' Yes': -0.011692755, ' No': -4.510163, 'Yes': -7.842543, ' yes': -8.9439125, ' The': -9.8417}
{' No': -0.3240702, ' Yes': -1.288809, 'No': -7.3190536, ' The': -8.500006, 'Yes': -8.725092}
{' No': -0.24750006, ' Yes': -1.5221143, 'No': -7.1953783, 'Yes': -8.928822, ' ': -10.22769}
{' No': -0.6038884, ' Yes': -0.7933796, 'No': -7.673125, 'Yes': -8.335141, ' The': -8.761864}
{' No': -0.46771404, ' Yes': -0.9867762, 'No': -7.794008, 'Yes': -8.557203, ' The': -9.306349}
{' No': -0.006054617, ' Yes': -5.5773644, 'No': -6.165953, ' The': -9.425431, ' ': -10.71804}
{' No': -0.6456744, ' Yes': -0.7492262, 'No': -6.842812, ' The': -7.0229626, 'Yes': -7.643061}
{' No': -0.32180315, ' Yes': -1.296443, 'No': -7.260051, ' The': -7.7042203, 'Yes': -8.809138}
{' No': -0.118807994, ' Yes': -2.2051976, 'No': -6.644032, ' The': -8.152466, 'Yes': -9.129115}
{' No': -0.0743566, ' Yes': -2.656445, 'No': -6.807358, ' The': -8.459286, 'Yes': -9.715174}
{' Yes': -0.15700701, ' No': -1.9361607, 'Yes': -7.53511, ' The': -8.3008375, 'No': -8.918171}
{' No': -0.4962227, ' Yes': -0.94155437, 'No': -7.773246, ' The': -7.898114, 'Yes': -8.5523815}
{' Yes': -0.09879241, ' No': -2.3834949, ' The': -7.0363584, 'Yes': -7.4992414, 'No': -9.098645}
{' No': -0.2639316, ' Yes': -1.4782296, ' The': -6.221916, 'No': -6.750155, 'Yes': -8.374016}
{' Yes': -0.08818816, ' No': -2.4799917, 'Yes': -8.04202, ' The': -8.562085, ' yes': -9.995626}
{' Yes': -0.0008767044, 'Yes': -7.6217012, ' No': -8.121852, ' The': -10.409389, ' yes': -10.414121}
